policy,heldout_run,heldout_group,n_scored_events,training_runs,min_downstream_template_count,support_bucket,n_synthetic_train,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,shuffled_label_synthetic_auc
ablate_B6_to_B2,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.9166683673469388,0.9248908496817874,0.12337504064110281,0.08586333997087155,0.4842826530612244
ablate_B6_to_B2,46,low_2nA,417,47,14.0,lt100,5600,47,0.9847418336361825,0.9862590999216009,0.05439637842773798,0.04147083953957611,0.6048602768504489
ablate_B6_to_B2,47,low_2nA,675,46,1.0,lt100,1332,46,0.938374031806784,0.9449512754885118,0.11230607553279032,0.07810372492836916,0.537082416029416
ablate_B6_to_B2,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9134081632653062,0.9211202743871603,0.1257837713584031,0.08747192393142289,0.5128061224489796
ablate_B6_to_B2,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9055714285714286,0.911039228690361,0.12921776415524988,0.08696948876721919,0.5311948979591836
ablate_B6_to_B2,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.9190632653061224,0.9228757241748765,0.1246808876142939,0.088148021220476,0.4268173469387755
ablate_B6_to_B2,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.9230561224489795,0.9302535672558803,0.11749413001260187,0.08538941924008636,0.47809795918367354
ablate_B6_to_B2,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.9466221952405254,0.9507779381136832,0.10027028194278699,0.07216882638660989,0.555791645402456
ablate_B6_to_B2,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9219448979591837,0.9302633748319706,0.12125390404116725,0.08757019085094253,0.5388204081632654
ablate_B6_to_B2,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.9069530612244898,0.9176160265090366,0.12946273342712994,0.08306957616168585,0.5389132653061224
ablate_B6_to_B2,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9295622448979592,0.9379417873700333,0.1160891275485134,0.08475431620499642,0.5484704081632653
ablate_B6_to_B2,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9139214285714287,0.9222665300761055,0.1254988497755223,0.08619726074444653,0.5201989795918368
ablate_B6_to_B2,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.9055102040816326,0.907206933302841,0.1287946855339056,0.08802346737285778,0.4784887755102041
ablate_B8_to_B2,44,high_20nA,652,46 47,15.0,lt100,5600,46 47,0.9511933019213283,0.952167745569195,0.09749288593828365,0.0742337183080945,0.5036991769109954
ablate_B8_to_B2,45,high_20nA,1120,46 47,15.0,lt100,5600,46 47,0.9168204081632653,0.9258130507826816,0.12092045196677588,0.08275467885155514,0.47972040816326533
ablate_B8_to_B2,46,low_2nA,417,47,14.0,lt100,5600,47,0.9885058165156445,0.9903332579024572,0.045040453361433946,0.04101410244282082,0.5363177562194761
ablate_B8_to_B2,47,low_2nA,675,46,1.0,lt100,1332,46,0.9273663847982969,0.9355128900913129,0.11984971018002556,0.08259721357620191,0.4419382275224885
ablate_B8_to_B2,48,high_20nA,1086,46 47,15.0,lt100,5600,46 47,0.9253561224489796,0.9337209929982383,0.11664967053326863,0.08433120489647637,0.4750122448979592
ablate_B8_to_B2,49,high_20nA,1107,46 47,15.0,lt100,5600,46 47,0.9148683673469388,0.9225047207815152,0.12410746079686029,0.08833616871657733,0.5767571428571429
ablate_B8_to_B2,50,high_20nA,996,46 47,15.0,lt100,5600,46 47,0.9096316326530614,0.914334782039873,0.12738915613183469,0.09110794938610552,0.496365306122449
ablate_B8_to_B2,51,high_20nA,903,46 47,15.0,lt100,5600,46 47,0.913211224489796,0.9219662144937696,0.12198343895516839,0.08671180500274185,0.5387295918367347
ablate_B8_to_B2,52,high_20nA,703,46 47,15.0,lt100,5600,46 47,0.933644778437002,0.9395030325949871,0.107195181441072,0.07335239843667739,0.4374759643873851
ablate_B8_to_B2,53,high_20nA,929,46 47,15.0,lt100,5600,46 47,0.9114540816326531,0.920808614252318,0.1248251665568644,0.08877858420242506,0.5050061224489796
ablate_B8_to_B2,54,high_20nA,927,46 47,15.0,lt100,5600,46 47,0.926345918367347,0.9331726523336386,0.1166159631661169,0.08307566446088681,0.49865918367346945
ablate_B8_to_B2,55,high_20nA,950,46 47,15.0,lt100,5600,46 47,0.9236040816326531,0.930958224882198,0.11967459818530699,0.07753988711884974,0.5362448979591836
ablate_B8_to_B2,56,high_20nA,1052,46 47,15.0,lt100,5600,46 47,0.9107683673469387,0.9197791860846627,0.1290822477772922,0.08485637953231233,0.4969448979591836
ablate_B8_to_B2,57,high_20nA,1100,46 47,15.0,lt100,5600,46 47,0.9071408163265305,0.9120235860780621,0.1293588983427757,0.09362406945285512,0.5253326530612246
