max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,method,fold,cv_rmse_ns,n_train_rows,n_val_rows,alpha,note
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,1,2.127465466918446,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,2,1.9858826060423573,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,-1,1.7023410513994446,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,0,1.092348042018291,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,1,2.2578774026332495,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,2,2.073761421816915,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,-1,1.8079956221561517,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,0,1.1075991541288555,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,1,2.2571012084206883,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,2,2.0717980027563234,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,-1,1.8121661217686225,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,0,1.044171299858512,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,1,2.2152306865207376,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,2,2.0438566485986973,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,-1,1.7677528783259824,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,0,1.0501086943804574,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,1,2.214326819357721,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,2,2.042336294864538,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,-1,1.7689239362009055,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,0,0.9788143616721143,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,1,2.157034399761719,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,2,2.0134948818884637,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_waveform,-1,1.7164478811074322,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,0,0.9906699652780565,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,1,2.1603031484572974,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,2,2.013138532621107,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_waveform,-1,1.721370548785487,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,0,0.9793170332799385,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,1,2.1358414973344537,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,2,1.9965321413957793,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_waveform,-1,1.7038968906700571,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,0,0.9847216690297179,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,1,2.134740948549351,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,2,2.0025801741496227,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_waveform,-1,1.7073475972428973,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,0,2.916206872098497,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,1,3.520055786288363,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,2,3.4099326996057133,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,-1,3.282065119330858,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_amplitude_only_control,0,2.9187508613248085,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_amplitude_only_control,1,3.519834156892003,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_amplitude_only_control,2,3.4088994663787626,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_amplitude_only_control,-1,3.2824948281985247,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,0,2.8725010337940797,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,1,3.4895989289611613,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_amplitude_only_control,2,3.379997518329908,2523.0,1257.0,,
