method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
gradient_boosted_trees,pedestal_drift_bin,high,1681,0.1501284008431511,4.273557614040671,5.945633421962319,0.2498512790005949,0.0547293277810826
mlp,pedestal_drift_bin,high,1681,0.2408557216747482,4.407496245278662,5.908056830425746,0.2659131469363474,0.0582986317668054
ridge,pedestal_drift_bin,high,1681,0.3216062871234211,4.35132350861578,5.858022985283184,0.2617489589530041,0.0606781677572873
traditional_cfd_template_derivative,pedestal_drift_bin,high,1681,0.3114385644234012,0.9185951085514112,0.9316431332194436,0.0005948839976204,0.0
1d_cnn,pedestal_drift_bin,low,1831,1.6775343021684437,5.508857198231571,6.97827678219738,0.3921354451119607,0.1239759694156198
compact_waveform_transformer,pedestal_drift_bin,low,1831,-0.245685233153992,5.104367227349381,6.619100302511107,0.3178590933915893,0.0906608410704533
derivative_gate_transformer_new,pedestal_drift_bin,low,1831,2.358258460665038,5.350320708095954,7.0431552416221805,0.4085199344620426,0.1026761332605133
gradient_boosted_trees,pedestal_drift_bin,low,1831,-0.2412208927871802,3.716807901698345,5.211848370246357,0.212998361551065,0.0540688148552703
mlp,pedestal_drift_bin,low,1831,-1.0818566677250692,4.138744430896437,5.424001622662865,0.2528672856362643,0.0540688148552703
ridge,pedestal_drift_bin,low,1831,-0.193649663760814,3.950296629358689,5.5676961296117415,0.2359366466411797,0.0535226652102676
traditional_cfd_template_derivative,pedestal_drift_bin,low,1831,0.246514753889862,0.8444599742363402,0.8611038034104181,0.0,0.0
1d_cnn,pedestal_drift_bin,mid,1954,1.9287927304517376,5.20194053141342,6.65380201146899,0.3853633572159672,0.1069600818833162
compact_waveform_transformer,pedestal_drift_bin,mid,1954,0.1545616365171369,5.016859672665753,6.028788641447661,0.3208802456499488,0.0721596724667349
derivative_gate_transformer_new,pedestal_drift_bin,mid,1954,2.6150938811004814,5.338135574247613,6.280921988414965,0.4083930399181167,0.1059365404298874
gradient_boosted_trees,pedestal_drift_bin,mid,1954,-0.0210488413086494,3.694162687494814,4.765430441923951,0.2021494370522006,0.0388945752302968
mlp,pedestal_drift_bin,mid,1954,-0.7521303227344935,4.263839375561835,5.046504163274912,0.2492323439099283,0.0394063459570112
ridge,pedestal_drift_bin,mid,1954,-0.0325011992336388,3.8514782984126303,4.932950929898358,0.2256908904810644,0.0378710337768679
traditional_cfd_template_derivative,pedestal_drift_bin,mid,1954,0.2541206356213695,0.8667430635249751,0.8821711688668664,0.0,0.0
