mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_heldout,b2_containing,60,gradient_boosted_trees,802,2.451147188184821,2406
b2_heldout,b2_containing,60,gradient_boosted_trees_shuffled,802,3.2179862985550667,2406
b2_heldout,b2_containing,60,mlp,802,2.3587004555148177,2406
b2_heldout,b2_containing,60,mlp_shuffled,802,3.9869571669828243,2406
b2_heldout,b2_containing,60,cnn1d,802,2.0523899921203945,2406
b2_heldout,b2_containing,60,cnn1d_shuffled,802,3.0855216878764726,2406
b2_heldout,b2_containing,60,event_token_attention,802,2.0514385932603663,2406
b2_heldout,b2_containing,60,event_token_attention_shuffled,802,3.580417674768028,2406
b2_heldout,downstream_only,60,base,802,2.7944747866505857,2406
b2_heldout,downstream_only,60,traditional,802,2.0409692233976187,2406
b2_heldout,downstream_only,60,ridge,802,1.8696426614845691,2406
b2_heldout,downstream_only,60,ridge_shuffled,802,3.043049003289313,2406
b2_heldout,downstream_only,60,gradient_boosted_trees,802,2.0857558328191095,2406
b2_heldout,downstream_only,60,gradient_boosted_trees_shuffled,802,3.514516380003279,2406
b2_heldout,downstream_only,60,mlp,802,1.9738622146472142,2406
b2_heldout,downstream_only,60,mlp_shuffled,802,4.205799931215456,2406
b2_heldout,downstream_only,60,cnn1d,802,1.6971319797844044,2406
b2_heldout,downstream_only,60,cnn1d_shuffled,802,2.8464279320680252,2406
b2_heldout,downstream_only,60,event_token_attention,802,1.7542955894130703,2406
b2_heldout,downstream_only,60,event_token_attention_shuffled,802,2.8564147269202387,2406
b2_heldout,all_six,61,base,925,2.8186463915967837,5550
b2_heldout,all_six,61,traditional,925,3.889831009743151,5550
b2_heldout,all_six,61,ridge,925,3.7614636949074276,5550
b2_heldout,all_six,61,ridge_shuffled,925,2.9909478570311743,5550
b2_heldout,all_six,61,gradient_boosted_trees,925,3.677964379568331,5550
b2_heldout,all_six,61,gradient_boosted_trees_shuffled,925,3.4294833158172486,5550
b2_heldout,all_six,61,mlp,925,3.7131679726086175,5550
b2_heldout,all_six,61,mlp_shuffled,925,3.624691267273151,5550
b2_heldout,all_six,61,cnn1d,925,2.9185444776959315,5550
b2_heldout,all_six,61,cnn1d_shuffled,925,2.836495859553271,5550
b2_heldout,all_six,61,event_token_attention,925,2.9042333730079952,5550
b2_heldout,all_six,61,event_token_attention_shuffled,925,2.9290483077032947,5550
b2_heldout,b2_containing,61,base,925,2.5804802974395185,2775
b2_heldout,b2_containing,61,traditional,925,2.521493134176936,2775
b2_heldout,b2_containing,61,ridge,925,2.4972091301908,2775
b2_heldout,b2_containing,61,ridge_shuffled,925,2.7534364894447263,2775
b2_heldout,b2_containing,61,gradient_boosted_trees,925,2.475385440320366,2775
b2_heldout,b2_containing,61,gradient_boosted_trees_shuffled,925,3.1155234682829476,2775
b2_heldout,b2_containing,61,mlp,925,2.3813749755385807,2775
b2_heldout,b2_containing,61,mlp_shuffled,925,3.4562950895447297,2775
b2_heldout,b2_containing,61,cnn1d,925,1.978461878701672,2775
b2_heldout,b2_containing,61,cnn1d_shuffled,925,2.710977845805277,2775
b2_heldout,b2_containing,61,event_token_attention,925,1.9404809880328755,2775
b2_heldout,b2_containing,61,event_token_attention_shuffled,925,3.0414187663543575,2775
b2_heldout,downstream_only,61,base,925,2.71151589456774,2775
b2_heldout,downstream_only,61,traditional,925,2.5560890449128064,2775
b2_heldout,downstream_only,61,ridge,925,2.320184267030152,2775
b2_heldout,downstream_only,61,ridge_shuffled,925,2.8065725338294842,2775
b2_heldout,downstream_only,61,gradient_boosted_trees,925,2.305866969864138,2775
b2_heldout,downstream_only,61,gradient_boosted_trees_shuffled,925,3.5466556874969073,2775
b2_heldout,downstream_only,61,mlp,925,2.1311022455759643,2775
b2_heldout,downstream_only,61,mlp_shuffled,925,3.719874604109623,2775
b2_heldout,downstream_only,61,cnn1d,925,1.8686342534699971,2775
b2_heldout,downstream_only,61,cnn1d_shuffled,925,2.750416486621249,2775
b2_heldout,downstream_only,61,event_token_attention,925,1.9814835870469332,2775
b2_heldout,downstream_only,61,event_token_attention_shuffled,925,2.673350258513613,2775
b2_heldout,all_six,62,base,798,3.0945267194630546,4788
b2_heldout,all_six,62,traditional,798,3.250570459900864,4788
b2_heldout,all_six,62,ridge,798,3.2118167547504113,4788
b2_heldout,all_six,62,ridge_shuffled,798,3.1682913070834693,4788
b2_heldout,all_six,62,gradient_boosted_trees,798,3.3700152178202805,4788
b2_heldout,all_six,62,gradient_boosted_trees_shuffled,798,3.55996425735513,4788
b2_heldout,all_six,62,mlp,798,3.3818034269673234,4788
b2_heldout,all_six,62,mlp_shuffled,798,3.7720566078248616,4788
b2_heldout,all_six,62,cnn1d,798,2.6088087844065497,4788
b2_heldout,all_six,62,cnn1d_shuffled,798,3.1105329154543875,4788
b2_heldout,all_six,62,event_token_attention,798,2.563493718440469,4788
b2_heldout,all_six,62,event_token_attention_shuffled,798,3.2891017929484123,4788
b2_heldout,b2_containing,62,base,798,3.094926275902769,2394
b2_heldout,b2_containing,62,traditional,798,2.3223664942535187,2394
b2_heldout,b2_containing,62,ridge,798,2.408945310839844,2394
b2_heldout,b2_containing,62,ridge_shuffled,798,3.155582861675816,2394
b2_heldout,b2_containing,62,gradient_boosted_trees,798,2.5299946507788134,2394
b2_heldout,b2_containing,62,gradient_boosted_trees_shuffled,798,3.4807805068232684,2394
b2_heldout,b2_containing,62,mlp,798,2.397884953543241,2394
b2_heldout,b2_containing,62,mlp_shuffled,798,3.882738118331625,2394
b2_heldout,b2_containing,62,cnn1d,798,2.1195823211846196,2394
