contrast,mode,family,delta_ns,ci_low,ci_high,method
cnn1d_shuffled_minus_real,b2_included,b2_containing,0.8307622440888889,0.6638189692134999,1.0061208053383082,
event_token_attention_shuffled_minus_real,b2_included,b2_containing,0.7875819273399778,0.6220541148380015,0.98480891514951,
ridge_minus_base,b2_included,downstream_only,-1.0342155382488316,-1.1951749020976885,-0.8572673597715731,
ridge_minus_traditional,b2_included,downstream_only,-0.20590247041036167,-0.3446292870645749,-0.06118198931983151,
gradient_boosted_trees_minus_base,b2_included,downstream_only,-0.48480879448266734,-0.661277903292397,-0.3079808380793456,
gradient_boosted_trees_minus_traditional,b2_included,downstream_only,0.34350427335580264,0.1814557469619404,0.4962378902979853,
mlp_minus_base,b2_included,downstream_only,-0.6313179360102437,-0.8176692003630832,-0.42260698377866895,
mlp_minus_traditional,b2_included,downstream_only,0.19699513182822628,-0.02982403755796151,0.4542020563919351,
cnn1d_minus_base,b2_included,downstream_only,-0.7154894188982688,-0.8218732804511009,-0.6156008945914841,
cnn1d_minus_traditional,b2_included,downstream_only,0.11282364894020122,-0.03785666143221711,0.21589166710473084,
event_token_attention_minus_base,b2_included,downstream_only,-0.961663742871375,-1.0496263735087998,-0.8760306937224971,
event_token_attention_minus_traditional,b2_included,downstream_only,-0.13335067503290518,-0.3255033933995647,0.0019045116495478417,
ridge_shuffled_minus_real,b2_included,downstream_only,1.600792879458482,1.3734572066872341,1.8147788527589295,
gradient_boosted_trees_shuffled_minus_real,b2_included,downstream_only,1.9304763384591972,1.7229223900768793,2.128390327117273,
mlp_shuffled_minus_real,b2_included,downstream_only,1.7504439491320212,1.5882889267146285,1.9205224502582994,
cnn1d_shuffled_minus_real,b2_included,downstream_only,0.7750206260295133,0.6272089575061988,0.8999156678388395,
event_token_attention_shuffled_minus_real,b2_included,downstream_only,0.9982817669442203,0.9162593262935377,1.074111997192946,
b2_included_minus_b2_heldout,paired_modes,all_six,0.0,0.0,0.0,base
b2_included_minus_b2_heldout,paired_modes,all_six,-1.2988782747000094,-1.489905425311109,-1.1246483075786802,traditional
b2_included_minus_b2_heldout,paired_modes,all_six,-1.0301840141722365,-1.217487876513429,-0.8696299194463984,ridge
b2_included_minus_b2_heldout,paired_modes,all_six,-1.0785510758558519,-1.3977832927515104,-0.8924485925288018,gradient_boosted_trees
b2_included_minus_b2_heldout,paired_modes,all_six,-0.8663631057294001,-0.9552756836382709,-0.7750886079534008,mlp
b2_included_minus_b2_heldout,paired_modes,all_six,-0.5318547132495752,-0.7031269715630328,-0.39244405737385163,cnn1d
b2_included_minus_b2_heldout,paired_modes,all_six,-0.6812373497737677,-0.8778328878135172,-0.503900685759322,event_token_attention
b2_included_minus_b2_heldout,paired_modes,b2_containing,0.0,0.0,0.0,base
b2_included_minus_b2_heldout,paired_modes,b2_containing,-0.1718782371006695,-0.3127586896053972,-0.03566331711785807,traditional
b2_included_minus_b2_heldout,paired_modes,b2_containing,-0.231662312135861,-0.5911444258002956,0.09810450525498648,ridge
b2_included_minus_b2_heldout,paired_modes,b2_containing,-0.727116088340862,-1.55941269457208,0.07392703654172075,gradient_boosted_trees
b2_included_minus_b2_heldout,paired_modes,b2_containing,0.19132455142013338,-0.5456283464727305,0.8096111354043181,mlp
b2_included_minus_b2_heldout,paired_modes,b2_containing,-0.28828784189516476,-0.6299723106231899,0.018478590817527563,cnn1d
b2_included_minus_b2_heldout,paired_modes,b2_containing,-0.26442647208168146,-0.6067875674311569,0.05189717992683976,event_token_attention
b2_included_minus_b2_heldout,paired_modes,downstream_only,0.0,0.0,0.0,base
b2_included_minus_b2_heldout,paired_modes,downstream_only,-0.04892468408183483,-0.10356761623799222,0.0066550010189140784,traditional
b2_included_minus_b2_heldout,paired_modes,downstream_only,-0.21455926778010218,-0.2602180426034186,-0.17453548300932056,ridge
b2_included_minus_b2_heldout,paired_modes,downstream_only,0.17281992053531667,0.10001923799402748,0.247133406309283,gradient_boosted_trees
b2_included_minus_b2_heldout,paired_modes,downstream_only,0.15497058502821234,0.0954502911605958,0.21575077214324187,mlp
b2_included_minus_b2_heldout,paired_modes,downstream_only,0.24694119682741714,0.10725177655745867,0.38991013902176697,cnn1d
b2_included_minus_b2_heldout,paired_modes,downstream_only,-0.009410713083285385,-0.11895054118405146,0.11657006609052739,event_token_attention
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.541463092179012,0.3924793312494868,2.846512634818917,base
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.9386722497107627,0.5386617893107858,3.4606041731782375,traditional
b2_containing_minus_downstream_only,b2_heldout,paired_families,2.0726724262157328,0.8580036707110141,3.4464943921777014,ridge
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.8444028714069556,0.655089690857399,3.1439126821156695,gradient_boosted_trees
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.8368099075664603,0.6839164593689379,3.1684581607310944,mlp
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.903372311978254,0.6221449770628621,3.4225623394503324,cnn1d
b2_containing_minus_downstream_only,b2_heldout,paired_families,1.7822799826442721,0.5316626735312868,3.2258214199915076,event_token_attention
b2_containing_minus_downstream_only,b2_included,paired_families,1.541463092179012,0.3924793312494868,2.7827976789531705,base
b2_containing_minus_downstream_only,b2_included,paired_families,1.8157186966919276,0.5451740562164004,3.300116441425398,traditional
b2_containing_minus_downstream_only,b2_included,paired_families,2.055569381859974,1.050411831488707,3.1990582951351443,ridge
b2_containing_minus_downstream_only,b2_included,paired_families,0.9444668625307767,0.4731479102904513,1.4136506721649087,gradient_boosted_trees
b2_containing_minus_downstream_only,b2_included,paired_families,1.8731638739583816,1.2297866099452093,2.541847041697561,mlp
b2_containing_minus_downstream_only,b2_included,paired_families,1.3681432732556722,0.2835486604913862,2.641998319287541,cnn1d
b2_containing_minus_downstream_only,b2_included,paired_families,1.527264223645876,0.5785955216164804,2.575222651376556,event_token_attention
