method,metric,bootstrap_unit,value,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
mlp_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.7155573749542254,1.6135345402021843,1.8423336931153582,0.22089082570299334,0.14506539897582646,0.275528440453963,11460,1.7017570499587364,1.7155573749542254,2.59640109416478,0.020157068062827226,1.769723804754349,25.8068790559269
tcn_new_architecture_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,1.8527338073579536,1.765571393135576,1.9228897767598228,0.35806725810672146,0.09536319867478897,0.538664266179314,11460,-1.073999478834299,1.8527338073579536,3.096330591576053,0.07076788830715532,1.2445732317773701,12.038121064499864
hgb_run_family_only_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.0459430282283897,1.7959430282283968,2.045943028228397,0.5512764789771576,0.3873187449238761,0.6698114103745905,11460,-3.5918860564567794,2.0459430282283897,3.362029308566705,0.09973821989528796,0.7818052977994955,229.84693486425417
template_phase_base,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.0459430282283897,1.7959430282283897,2.0459430282284004,0.5512764789771576,0.36805425468497194,0.671008425086781,11460,-3.5918860564567794,2.0459430282283897,3.362029308566705,0.09973821989528796,0.781805379833031,229.84693486536128
cnn1d_all,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.1967690710221754,2.0982326126883573,2.269309616673459,0.7021025217709433,0.4484221541415675,0.880728611771326,11460,-1.799649979997266,2.1967690710221754,3.3293747073310036,0.0911867364746946,1.9935614166375606,39.96605908203587
hgb_shuffled_target_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.3766128476198256,2.3094099050552055,2.4443446181955357,0.8819462983685935,0.6540318441867997,1.0609541425775781,11460,-3.2134826855508507,2.3766128476198256,3.4215868464775814,0.10218150087260035,2.6464282270712762,74.3446274618409
hgb_no_stave,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.380732738971094,2.2532053575041746,2.490593886893635,0.8860661897198621,0.5806856613435439,1.1091137443981423,11460,-1.1993970923727133,2.380732738971094,3.1428626999759492,0.06291448516579407,2.3076622244810365,4.069604298031987
hgb_support_excluded_sentinel,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.6037153833399507,2.4897232506360965,2.687610017041987,1.1090488340887186,0.8085295099519694,1.2968711661488486,11460,-1.8910036839291742,2.6037153833399507,3.231954337550462,0.06666666666666667,2.560812863367577,12.104818272158603
hgb_amplitude_only_control,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.6429021335488954,2.522359548799434,2.7687928568203515,1.1482355842976633,0.859368943991361,1.3790794284715395,11460,-2.2323315532176977,2.6429021335488954,3.445696800747384,0.09799301919720768,2.34505831569233,23.94630306115998
hgb_single_stave_B8,pooled_blind_sample_ii_pairwise_sigma68_ns,heldout_run,2.670740078764503,2.669996575960365,2.817948776286153,1.1760735295132707,0.9611973742739709,1.4304088765493688,11460,-1.8662709794644954,2.670740078764503,3.550303714552025,0.09546247818499128,303.1556202197928,183.17349778682996
