loss,loss_param,alpha,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,method,heldout_run
trimmed,0.1,100.0,inv_amp_1000,-2.9271343552201428,-0.4000337271834887,robust_trimmed,59
trimmed,0.1,100.0,inv_sqrt_amp_1000,0.007733277635384435,0.0007981137889631862,robust_trimmed,59
huber,0.75,100.0,stave_B4,-4.0050427207760535,-1.8879952445349215,robust_huber,60
huber,0.75,100.0,stave_B6,2.375558705170695,1.119849113021882,robust_huber,60
huber,0.75,100.0,stave_B8,1.6294840156069539,0.7681461315137917,robust_huber,60
huber,0.75,100.0,log_amp,-1.4342432734462383,-0.47322204675724605,robust_huber,60
huber,0.75,100.0,inv_amp_1000,-2.6082366569153694,-0.36967299937347303,robust_huber,60
huber,0.75,100.0,inv_sqrt_amp_1000,-0.005247141759653188,-0.0005552833884626047,robust_huber,60
trimmed,0.1,100.0,stave_B4,-4.016532459663772,-1.8934115593893,robust_trimmed,60
trimmed,0.1,100.0,stave_B6,2.362093981439851,1.11350178138396,robust_trimmed,60
trimmed,0.1,100.0,stave_B8,1.654438478227656,0.7799097780071008,robust_trimmed,60
trimmed,0.1,100.0,log_amp,-1.625375712687701,-0.5362853260307956,robust_trimmed,60
trimmed,0.1,100.0,inv_amp_1000,-2.964522608233785,-0.4201704478735167,robust_trimmed,60
trimmed,0.1,100.0,inv_sqrt_amp_1000,0.01193859205039749,0.001263411996640167,robust_trimmed,60
huber,0.75,100.0,stave_B4,-4.283579595089507,-2.0192987862932825,robust_huber,61
huber,0.75,100.0,stave_B6,2.5702926831049955,1.2116475905717288,robust_huber,61
huber,0.75,100.0,stave_B8,1.7132869119861087,0.8076511957223069,robust_huber,61
huber,0.75,100.0,log_amp,-1.285095003027275,-0.425227067456797,robust_huber,61
huber,0.75,100.0,inv_amp_1000,-2.3236525470730425,-0.3268298150917196,robust_huber,61
huber,0.75,100.0,inv_sqrt_amp_1000,-0.03576397958021168,-0.003774425618477931,robust_huber,61
trimmed,0.1,100.0,stave_B4,-4.305145738953502,-2.0294651640067993,robust_trimmed,61
trimmed,0.1,100.0,stave_B6,2.5465826264937657,1.2004705626969843,robust_trimmed,61
trimmed,0.1,100.0,stave_B8,1.7585631124596661,0.8289946013097815,robust_trimmed,61
trimmed,0.1,100.0,log_amp,-1.4381275849086497,-0.47586425448613445,robust_trimmed,61
trimmed,0.1,100.0,inv_amp_1000,-2.6542023774198182,-0.3733227987638779,robust_trimmed,61
trimmed,0.1,100.0,inv_sqrt_amp_1000,-0.008953795025322115,-0.0009449572928644429,robust_trimmed,61
huber,0.75,100.0,stave_B4,-4.163070135058328,-1.9624900820364983,robust_huber,62
huber,0.75,100.0,stave_B6,2.503233292233613,1.1800354905534658,robust_huber,62
huber,0.75,100.0,stave_B8,1.6598368428257602,0.7824545914835253,robust_huber,62
huber,0.75,100.0,log_amp,-1.3769406742632953,-0.45358465854845814,robust_huber,62
huber,0.75,100.0,inv_amp_1000,-2.4656422502585205,-0.34279909163811606,robust_huber,62
huber,0.75,100.0,inv_sqrt_amp_1000,-0.029153371910375828,-0.0030520879079106063,robust_huber,62
trimmed,0.1,100.0,stave_B4,-4.181952620328754,-1.971391370956746,robust_trimmed,62
trimmed,0.1,100.0,stave_B6,2.470933760605866,1.1648093453247137,robust_trimmed,62
trimmed,0.1,100.0,stave_B8,1.7110188597250693,0.8065820256330609,robust_trimmed,62
trimmed,0.1,100.0,log_amp,-1.689541722748525,-0.5565600753469527,robust_trimmed,62
trimmed,0.1,100.0,inv_amp_1000,-3.041733390399829,-0.4228932413552947,robust_trimmed,62
trimmed,0.1,100.0,inv_sqrt_amp_1000,0.04765323013497209,0.00498885164690216,robust_trimmed,62
huber,0.75,100.0,stave_B4,-4.139756781418027,-1.951500061735722,robust_huber,63
huber,0.75,100.0,stave_B6,2.4706375775144456,1.1646697232764727,robust_huber,63
huber,0.75,100.0,stave_B8,1.6691192039022058,0.7868303384586006,robust_huber,63
huber,0.75,100.0,log_amp,-1.5769018425286572,-0.5145455523469248,robust_huber,63
huber,0.75,100.0,inv_amp_1000,-2.897978380123748,-0.39771707418795416,robust_huber,63
huber,0.75,100.0,inv_sqrt_amp_1000,-0.05759440295390587,-0.005960745029314987,robust_huber,63
trimmed,0.1,100.0,stave_B4,-4.156699816418737,-1.959487085030977,robust_trimmed,63
trimmed,0.1,100.0,stave_B6,2.4462272608345037,1.1531625896396078,robust_trimmed,63
trimmed,0.1,100.0,stave_B8,1.7104725555824531,0.80632449539053,robust_trimmed,63
trimmed,0.1,100.0,log_amp,-1.8674263584796724,-0.6093441590189957,robust_trimmed,63
trimmed,0.1,100.0,inv_amp_1000,-3.458512250360643,-0.4746444565255507,robust_trimmed,63
trimmed,0.1,100.0,inv_sqrt_amp_1000,-0.028316816102431527,-0.0029306549277658333,robust_trimmed,63
huber,0.75,100.0,stave_B4,-4.222999247728801,-1.9907409366764568,robust_huber,65
huber,0.75,100.0,stave_B6,2.5050755442679193,1.1809039364909357,robust_huber,65
huber,0.75,100.0,stave_B8,1.7179237034616346,0.8098370001858756,robust_huber,65
huber,0.75,100.0,log_amp,-1.5308795634943946,-0.501660206849456,robust_huber,65
huber,0.75,100.0,inv_amp_1000,-2.7458462823582375,-0.37936285459087604,robust_huber,65
huber,0.75,100.0,inv_sqrt_amp_1000,-0.09408643917314692,-0.009793342541187553,robust_huber,65
trimmed,0.1,100.0,stave_B4,-4.2398102100590895,-1.9986657003178028,robust_trimmed,65
trimmed,0.1,100.0,stave_B6,2.478352686531774,1.1683066605456616,robust_trimmed,65
trimmed,0.1,100.0,stave_B8,1.7614575235279637,0.8303590397724462,robust_trimmed,65
trimmed,0.1,100.0,log_amp,-1.768728291994041,-0.5796018328162003,robust_trimmed,65
trimmed,0.1,100.0,inv_amp_1000,-3.237994454744382,-0.4473574603915121,robust_trimmed,65
trimmed,0.1,100.0,inv_sqrt_amp_1000,-0.02683852368294909,-0.0027935891509635476,robust_trimmed,65
