method,family,coverage,stave,accepted_n,accepted_fraction_within_accepted,accepted_harm_rate
atom_prior_residual_cnn_new_arch,new_architecture,0.8,B4,19755,0.1973980035372763,0.9441154138192862
atom_prior_residual_cnn_new_arch,new_architecture,0.8,B6,10269,0.1026109895380557,0.9424481449021326
atom_prior_residual_cnn_new_arch,new_architecture,0.8,B8,3859,0.03856030856240695,0.9720134749935216
atom_prior_residual_cnn_new_arch,new_architecture,0.9,B2,77874,0.6916845788996856,0.8559467858335259
atom_prior_residual_cnn_new_arch,new_architecture,0.9,B4,20180,0.17924075817597215,0.9452923686818633
atom_prior_residual_cnn_new_arch,new_architecture,0.9,B6,10578,0.09395484340859432,0.9441293250141803
atom_prior_residual_cnn_new_arch,new_architecture,0.9,B8,3954,0.03511981951574796,0.9726858877086495
atom_prior_residual_cnn_new_arch,new_architecture,0.95,B2,82680,0.6957194907481424,0.8643202709240445
atom_prior_residual_cnn_new_arch,new_architecture,0.95,B4,20939,0.17619340126723942,0.9472754190744543
atom_prior_residual_cnn_new_arch,new_architecture,0.95,B6,11007,0.09261955049183362,0.9463068956118833
atom_prior_residual_cnn_new_arch,new_architecture,0.95,B8,4215,0.03546755749278448,0.9743772241992883
