method,family,coverage,policy_loss_ci95,accepted_harm_rate_ci95,rejected_harm_capture_ci95,harmful_pulse_rejection_ci95,accepted_support_ci95,threshold_ci95
ridge,ml,0.95,"[1.7432205071428784, 1.809225223238999]","[0.8617076542532116, 0.9072792082857593]","[0.09655745349503309, 0.1243525630964653]","[0.05481676716014552, 0.057545323370515995]","[0.95, 0.9500211305658508]","[0.9999999350402639, 0.9999999991864036]"
gradient_boosted_trees,ml,0.5,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
gradient_boosted_trees,ml,0.6,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
gradient_boosted_trees,ml,0.7,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
gradient_boosted_trees,ml,0.8,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
gradient_boosted_trees,ml,0.9,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
gradient_boosted_trees,ml,0.95,"[1.8730074573678448, 1.9130321849394318]","[0.8730074573678447, 0.9130321849394318]","[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.8543187566665668, 0.8543187566665668]"
mlp,nn,0.5,"[1.052899440577808, 1.170415645241653]","[0.749728920304546, 0.8266016538587153]","[0.6533281602929292, 0.6988678496460763]","[0.547457148294141, 0.5715178651819479]","[0.5, 0.5000197774173488]","[0.9817870377753158, 0.987582465905324]"
mlp,nn,0.6,"[1.2172441204256441, 1.3208727751807738]","[0.7914416013390927, 0.8555005036122234]","[0.5340789911225332, 0.5748603285933522]","[0.43796633776996796, 0.4572115280803458]","[0.6, 0.6000212344718705]","[0.9919656868708656, 0.9930535057326222]"
mlp,nn,0.7,"[1.3592436286485827, 1.445351392785949]","[0.8212351474233371, 0.8761433633209502]","[0.4297017516008704, 0.4624280871742229]","[0.32847175545483914, 0.3429097977540979]","[0.7, 0.7000207687570698]","[0.9947128638365976, 0.9952607289328343]"
mlp,nn,0.8,"[1.4882619075373273, 1.5617673589716872]","[0.8435819832568404, 0.8916250247795717]","[0.3297808113546197, 0.3575453260542558]","[0.2189809449306661, 0.2285941331808569]","[0.8, 0.8000216272374112]","[0.9959168521334942, 0.9967237216013571]"
mlp,nn,0.9,"[1.6388946990937434, 1.7080760824537138]","[0.860960758516622, 0.9036663667636008]","[0.19527324281937283, 0.22511712599543188]","[0.10949047246533306, 0.1143017303262479]","[0.9, 0.9000229796390166]","[0.9975585226000433, 0.9989465009950628]"
mlp,nn,0.95,"[1.7460020355951351, 1.8094648104884126]","[0.8682802751964627, 0.908736804989313]","[0.09866646004753164, 0.12571953596018032]","[0.05474095735345077, 0.05713817465923973]","[0.95, 0.9500222575996499]","[0.9994198131087394, 0.9998034495735639]"
1d_cnn,nn,0.5,"[1.2755164111589745, 1.3676707048099914]","[0.9379853980104232, 0.9843082553714293]","[0.6162194978598983, 0.663617728180944]","[0.4379900803771845, 0.4834748132793735]","[0.5, 0.5000413437288932]","[0.4707829356193542, 0.4722112737596035]"
1d_cnn,nn,0.6,"[1.2991472507312105, 1.4339636949786478]","[0.888538078609283, 0.9623663852817756]","[0.5292220539434241, 0.5932824854960409]","[0.3473257645392851, 0.40987815805082245]","[0.6, 0.6000356462954309]","[0.4717564880847931, 0.4728901594877243]"
1d_cnn,nn,0.7,"[1.3484341158719324, 1.442639511215305]","[0.8536147738236564, 0.911203972539258]","[0.46651432942691234, 0.505572491524031]","[0.2818153615411019, 0.32569344889400553]","[0.7, 0.7000457524669587]","[0.4725153148174286, 0.473593920469284]"
1d_cnn,nn,0.8,"[1.4549094338576565, 1.5390707692111998]","[0.8460629902974306, 0.8911536410499497]","[0.3491218223574843, 0.3937841955078345]","[0.2164166300163133, 0.22559688810022596]","[0.8, 0.800032160318134]","[0.47336389422416686, 0.47473364919424055]"
1d_cnn,nn,0.9,"[1.6504380842536455, 1.7259380986181458]","[0.8588697884653281, 0.9022804373916663]","[0.17450557990899626, 0.21546167315200979]","[0.1093424533436206, 0.11399363610821196]","[0.9, 0.9000233078610822]","[0.47574698776006696, 0.47763297259807586]"
1d_cnn,nn,0.95,"[1.7609309036848069, 1.815752179224053]","[0.8657961814321858, 0.9072327458473983]","[0.0907609604847161, 0.10736859879629945]","[0.05476462208745345, 0.05722843325000874]","[0.95, 0.950022092103534]","[0.4788648091256618, 0.48026388660073277]"
atom_prior_residual_cnn_new_arch,new_architecture,0.5,"[1.2670600667439877, 1.3725679315605988]","[0.7461026974255341, 0.8274283364361665]","[0.42552083689141246, 0.49910381700076567]","[0.5472091807611069, 0.5727040020428703]","[0.5, 0.5000228262556723]","[0.5065304636955261, 0.5166154265403747]"
atom_prior_residual_cnn_new_arch,new_architecture,0.6,"[1.4518269927048493, 1.5201589030323317]","[0.7884232676971823, 0.8561902803634721]","[0.320341274580363, 0.3539194969385271]","[0.4377638352693868, 0.458149062201571]","[0.6, 0.600027377671178]","[0.5140645027160644, 0.5201562583446503]"
atom_prior_residual_cnn_new_arch,new_architecture,0.7,"[1.5765788588604153, 1.6437206990292126]","[0.8186510861363987, 0.8767330737812837]","[0.20285742752601565, 0.24894808221816217]","[0.32832753955142224, 0.343594535471512]","[0.7, 0.7000290305264651]","[0.5192576736211777, 0.5283678829669952]"
atom_prior_residual_cnn_new_arch,new_architecture,0.8,"[1.7095351429910883, 1.7679826665902307]","[0.8413171489751263, 0.8921437569217318]","[0.11935022882012401, 0.13642323751741672]","[0.21886464736220806, 0.2290644905218732]","[0.8, 0.8000283906717035]","[0.5283662676811218, 0.5358445569872856]"
atom_prior_residual_cnn_new_arch,new_architecture,0.9,"[1.793038870148622, 1.8377658209245302]","[0.8589474713210866, 0.9041264143225356]","[0.057779323876216315, 0.06948012882940076]","[0.10943232368110403, 0.11452963183839844]","[0.9, 0.9000304393240464]","[0.5382890358567238, 0.5425150990486145]"
atom_prior_residual_cnn_new_arch,new_architecture,0.95,"[1.838325020683421, 1.880282148581191]","[0.8663725948779533, 0.9091722172993693]","[0.026051290775904394, 0.030358197413918656]","[0.05471191337868285, 0.05724963342678753]","[0.95, 0.9500322713670568]","[0.5478642582893372, 0.5504200547933579]"
