baseline,amp_cut_adc,pickoff_kind,pickoff_value,events_total,selected_pulses,downstream_ge2,clean,violating,ambiguous,labelled_events,scope,delta_labelled,delta_clean,delta_violating,target_l1_distance,target_exact_match
median4,500.0,cfd,0.6,1096728,684377,17090,8629,3039,5422,11668,doc_32_runs,-479,-2007,1528,4014,False
mean4,750.0,leading_adc,250.0,1096728,664895,16416,8626,3057,4733,11683,doc_32_runs,-464,-2010,1546,4020,False
median4,750.0,cfd,0.6,1649802,1108434,17449,8622,3236,5591,11858,all_b_53_runs,-289,-2014,1725,4028,False
median4,500.0,cfd,0.2,1649802,1138562,18589,8942,3526,6121,12468,all_b_53_runs,321,-1694,2015,4030,False
median4,500.0,cfd,0.3,1649802,1138562,18589,9091,3532,5966,12623,all_b_53_runs,476,-1545,2021,4042,False
median4,500.0,cfd,0.25,1649802,1138562,18589,8987,3536,6066,12523,all_b_53_runs,376,-1649,2025,4050,False
mean4,1000.0,cfd,0.5,1649802,1089625,16917,8608,2939,5370,11547,all_b_53_runs,-600,-2028,1428,4056,False
mean4,750.0,cfd,0.35,1096728,664895,16416,8602,2564,5250,11166,doc_32_runs,-981,-2034,1053,4068,False
mean4,1000.0,cfd,0.25,1649802,1089625,16917,8600,2892,5425,11492,all_b_53_runs,-655,-2036,1381,4072,False
median4,500.0,cfd,0.35,1649802,1138562,18589,9155,3547,5887,12702,all_b_53_runs,555,-1481,2036,4072,False
mean4,1000.0,cfd,0.2,1649802,1089625,16917,8599,2900,5418,11499,all_b_53_runs,-648,-2037,1389,4074,False
median4,500.0,cfd,0.1,1649802,1138562,18589,8899,3553,6137,12452,all_b_53_runs,305,-1737,2042,4084,False
mean4,500.0,cfd,0.15,1649802,1143568,18967,9615,3559,5793,13174,all_b_53_runs,1027,-1021,2048,4096,False
mean4,750.0,cfd,0.3,1096728,664895,16416,8588,2561,5267,11149,doc_32_runs,-998,-2048,1050,4096,False
mean4,750.0,cfd,0.7,1649802,1114176,17792,8583,3496,5713,12079,all_b_53_runs,-68,-2053,1985,4106,False
mean4,500.0,cfd,0.1,1649802,1143568,18967,9679,3569,5719,13248,all_b_53_runs,1101,-957,2058,4116,False
median4,750.0,cfd,0.3,1649802,1108434,17449,8577,3072,5800,11649,all_b_53_runs,-498,-2059,1561,4118,False
median4,500.0,leading_adc,250.0,1096728,684377,17090,8574,3474,5042,12048,doc_32_runs,-99,-2062,1963,4124,False
mean4,1000.0,cfd,0.15,1649802,1089625,16917,8569,2930,5418,11499,all_b_53_runs,-648,-2067,1419,4134,False
mean4,500.0,cfd,0.2,1649802,1143568,18967,9576,3581,5810,13157,all_b_53_runs,1010,-1060,2070,4140,False
mean4,500.0,cfd,0.7,1096728,688328,17431,8562,3303,5566,11865,doc_32_runs,-282,-2074,1792,4148,False
median4,500.0,cfd,0.4,1649802,1138562,18589,9232,3587,5770,12819,all_b_53_runs,672,-1404,2076,4152,False
mean4,750.0,cfd,0.2,1096728,664895,16416,8554,2561,5301,11115,doc_32_runs,-1032,-2082,1050,4164,False
mean4,750.0,cfd,0.25,1096728,664895,16416,8543,2570,5303,11113,doc_32_runs,-1034,-2093,1059,4186,False
median4,500.0,cfd,0.25,1096728,684377,17090,8533,2870,5687,11403,doc_32_runs,-744,-2103,1359,4206,False
mean4,750.0,cfd,0.15,1096728,664895,16416,8526,2580,5310,11106,doc_32_runs,-1041,-2110,1069,4220,False
mean4,500.0,cfd,0.25,1649802,1143568,18967,9524,3622,5821,13146,all_b_53_runs,999,-1112,2111,4222,False
mean4,750.0,cfd,0.5,1096728,664895,16416,8524,2637,5255,11161,doc_32_runs,-986,-2112,1126,4224,False
mean4,500.0,cfd,0.3,1649802,1143568,18967,9542,3625,5800,13167,all_b_53_runs,1020,-1094,2114,4228,False
mean4,750.0,leading_adc,500.0,1096728,664895,16416,8520,3246,4650,11766,doc_32_runs,-381,-2116,1735,4232,False
median4,500.0,cfd,0.5,1649802,1138562,18589,9168,3634,5787,12802,all_b_53_runs,655,-1468,2123,4246,False
mean4,1000.0,cfd,0.1,1649802,1089625,16917,8508,3011,5398,11519,all_b_53_runs,-628,-2128,1500,4256,False
mean4,500.0,cfd,0.35,1649802,1143568,18967,9530,3644,5793,13174,all_b_53_runs,1027,-1106,2133,4266,False
mean4,1000.0,cfd,0.6,1649802,1089625,16917,8499,3032,5386,11531,all_b_53_runs,-616,-2137,1521,4274,False
mean4,750.0,cfd,0.1,1096728,664895,16416,8496,2647,5273,11143,doc_32_runs,-1004,-2140,1136,4280,False
mean4,750.0,leading_adc,250.0,1649802,1114176,17792,9144,3652,4996,12796,all_b_53_runs,649,-1492,2141,4282,False
median4,500.0,cfd,0.2,1096728,684377,17090,8488,2863,5739,11351,doc_32_runs,-796,-2148,1352,4296,False
mean4,500.0,cfd,0.4,1649802,1143568,18967,9545,3690,5732,13235,all_b_53_runs,1088,-1091,2179,4358,False
median4,750.0,leading_adc,250.0,1649802,1108434,17449,8466,3691,5292,12157,all_b_53_runs,10,-2170,2180,4360,False
median4,750.0,cfd,0.25,1649802,1108434,17449,8452,3088,5909,11540,all_b_53_runs,-607,-2184,1577,4368,False
median4,750.0,cfd,0.7,1649802,1108434,17449,8435,3372,5642,11807,all_b_53_runs,-340,-2201,1861,4402,False
median4,500.0,cfd,0.7,1096728,684377,17090,8433,3182,5475,11615,doc_32_runs,-532,-2203,1671,4406,False
median4,500.0,cfd,0.6,1649802,1138562,18589,9079,3744,5766,12823,all_b_53_runs,676,-1557,2233,4466,False
mean4,500.0,cfd,0.5,1649802,1143568,18967,9416,3749,5802,13165,all_b_53_runs,1018,-1220,2238,4476,False
mean4,750.0,cfd,0.6,1096728,664895,16416,8388,2732,5296,11120,doc_32_runs,-1027,-2248,1221,4496,False
median4,750.0,cfd,0.2,1649802,1108434,17449,8377,3104,5968,11481,all_b_53_runs,-666,-2259,1593,4518,False
median4,1000.0,cfd,0.4,1649802,1084018,16648,8377,2828,5443,11205,all_b_53_runs,-942,-2259,1317,4518,False
median4,500.0,cfd,0.1,1096728,684377,17090,8377,2918,5795,11295,doc_32_runs,-852,-2259,1407,4518,False
mean4,500.0,leading_adc,500.0,1096728,688328,17431,8868,3775,4788,12643,doc_32_runs,496,-1768,2264,4528,False
median4,1000.0,cfd,0.5,1649802,1084018,16648,8368,2846,5434,11214,all_b_53_runs,-933,-2268,1335,4536,False
median4,500.0,leading_adc,500.0,1096728,684377,17090,8394,3784,4912,12178,doc_32_runs,31,-2242,2273,4546,False
median4,500.0,cfd,0.15,1096728,684377,17090,8351,2866,5873,11217,doc_32_runs,-930,-2285,1355,4570,False
mean4,1000.0,leading_adc,750.0,1649802,1089625,16917,8347,3796,4774,12143,all_b_53_runs,-4,-2289,2285,4578,False
median4,1000.0,cfd,0.6,1649802,1084018,16648,8326,2930,5392,11256,all_b_53_runs,-891,-2310,1419,4620,False
median4,750.0,cfd,0.4,1096728,660336,16090,8314,2515,5261,10829,doc_32_runs,-1318,-2322,1004,4644,False
mean4,1250.0,leading_adc,500.0,1649802,1066940,15926,8308,3086,4532,11394,all_b_53_runs,-753,-2328,1575,4656,False
mean4,1000.0,cfd,0.7,1649802,1089625,16917,8289,3166,5462,11455,all_b_53_runs,-692,-2347,1655,4694,False
mean4,750.0,leading_adc,500.0,1649802,1114176,17792,9009,3863,4920,12872,all_b_53_runs,725,-1627,2352,4704,False
mean4,500.0,cfd,0.6,1649802,1143568,18967,9263,3865,5839,13128,all_b_53_runs,981,-1373,2354,4708,False
median4,1000.0,cfd,0.35,1649802,1084018,16648,8282,2805,5561,11087,all_b_53_runs,-1060,-2354,1294,4708,False
mean4,750.0,cfd,0.8,1649802,1114176,17792,8279,3640,5873,11919,all_b_53_runs,-228,-2357,2129,4714,False
mean4,1000.0,cfd,0.4,1096728,645242,15612,8279,2346,4987,10625,doc_32_runs,-1522,-2357,835,4714,False
mean4,1250.0,cfd,0.4,1649802,1066940,15926,8274,2641,5011,10915,all_b_53_runs,-1232,-2362,1130,4724,False
mean4,500.0,cfd,0.8,1096728,688328,17431,8272,3452,5707,11724,doc_32_runs,-423,-2364,1941,4728,False
median4,1000.0,leading_adc,500.0,1649802,1084018,16648,8271,3475,4902,11746,all_b_53_runs,-401,-2365,1964,4730,False
median4,750.0,cfd,0.5,1096728,660336,16090,8271,2547,5272,10818,doc_32_runs,-1329,-2365,1036,4730,False
mean4,500.0,leading_adc,750.0,1096728,688328,17431,8599,3879,4953,12478,doc_32_runs,331,-2037,2368,4736,False
median4,750.0,leading_adc,500.0,1649802,1108434,17449,8544,3894,5011,12438,all_b_53_runs,291,-2092,2383,4766,False
median4,500.0,cfd,0.7,1649802,1138562,18589,8873,3896,5820,12769,all_b_53_runs,622,-1763,2385,4770,False
mean4,1000.0,leading_adc,250.0,1096728,645242,15612,8250,2753,4609,11003,doc_32_runs,-1144,-2386,1242,4772,False
mean4,1000.0,leading_adc,500.0,1096728,645242,15612,8238,2887,4487,11125,doc_32_runs,-1022,-2398,1376,4796,False
median4,750.0,cfd,0.1,1649802,1108434,17449,8233,3204,6012,11437,all_b_53_runs,-710,-2403,1693,4806,False
mean4,1000.0,cfd,0.35,1096728,645242,15612,8233,2325,5054,10558,doc_32_runs,-1589,-2403,814,4806,False
mean4,1250.0,leading_adc,250.0,1649802,1066940,15926,8231,3002,4693,11233,all_b_53_runs,-914,-2405,1491,4810,False
median4,750.0,cfd,0.15,1649802,1108434,17449,8228,3123,6098,11351,all_b_53_runs,-796,-2408,1612,4816,False
median4,750.0,cfd,0.35,1096728,660336,16090,8225,2487,5378,10712,doc_32_runs,-1435,-2411,976,4822,False
mean4,1000.0,cfd,0.3,1096728,645242,15612,8211,2334,5067,10545,doc_32_runs,-1602,-2425,823,4850,False
median4,500.0,leading_adc,750.0,1096728,684377,17090,8209,3834,5047,12043,doc_32_runs,-104,-2427,2323,4854,False
mean4,1250.0,cfd,0.5,1649802,1066940,15926,8208,2661,5057,10869,all_b_53_runs,-1278,-2428,1150,4856,False
mean4,1250.0,cfd,0.35,1649802,1066940,15926,8203,2627,5096,10830,all_b_53_runs,-1317,-2433,1116,4866,False
median4,1000.0,cfd,0.3,1649802,1084018,16648,8202,2809,5637,11011,all_b_53_runs,-1136,-2434,1298,4868,False
median4,750.0,cfd,0.6,1096728,660336,16090,8200,2626,5264,10826,doc_32_runs,-1321,-2436,1115,4872,False
mean4,1000.0,cfd,0.5,1096728,645242,15612,8186,2377,5049,10563,doc_32_runs,-1584,-2450,866,4900,False
median4,1000.0,cfd,0.7,1649802,1084018,16648,8170,3053,5425,11223,all_b_53_runs,-924,-2466,1542,4932,False
mean4,1250.0,cfd,0.3,1649802,1066940,15926,8167,2640,5119,10807,all_b_53_runs,-1340,-2469,1129,4938,False
mean4,750.0,cfd,0.7,1096728,664895,16416,8160,2869,5387,11029,doc_32_runs,-1118,-2476,1358,4952,False
mean4,1000.0,cfd,0.25,1096728,645242,15612,8156,2350,5106,10506,doc_32_runs,-1641,-2480,839,4960,False
median4,750.0,cfd,0.3,1096728,660336,16090,8156,2489,5445,10645,doc_32_runs,-1502,-2480,978,4960,False
mean4,1000.0,cfd,0.2,1096728,645242,15612,8147,2359,5106,10506,doc_32_runs,-1641,-2489,848,4978,False
mean4,1250.0,cfd,0.6,1649802,1066940,15926,8139,2731,5056,10870,all_b_53_runs,-1277,-2497,1220,4994,False
median4,750.0,cfd,0.8,1649802,1108434,17449,8132,3515,5802,11647,all_b_53_runs,-500,-2504,2004,5008,False
mean4,500.0,leading_adc,1000.0,1096728,688328,17431,8274,4028,5129,12302,doc_32_runs,155,-2362,2517,5034,False
median4,500.0,cfd,0.8,1096728,684377,17090,8114,3340,5636,11454,doc_32_runs,-693,-2522,1829,5044,False
mean4,500.0,cfd,0.7,1649802,1143568,18967,9016,4034,5917,13050,all_b_53_runs,903,-1620,2523,5046,False
mean4,1000.0,cfd,0.15,1096728,645242,15612,8097,2393,5122,10490,doc_32_runs,-1657,-2539,882,5078,False
mean4,1250.0,cfd,0.25,1649802,1066940,15926,8086,2666,5174,10752,all_b_53_runs,-1395,-2550,1155,5100,False
median4,1250.0,cfd,0.5,1649802,1062132,15875,8085,2601,5189,10686,all_b_53_runs,-1461,-2551,1090,5102,False
median4,500.0,cfd,0.8,1649802,1138562,18589,8528,4065,5996,12593,all_b_53_runs,446,-2108,2554,5108,False
median4,1000.0,leading_adc,250.0,1649802,1084018,16648,8082,3330,5236,11412,all_b_53_runs,-735,-2554,1819,5108,False
mean4,1000.0,cfd,0.6,1096728,645242,15612,8078,2465,5069,10543,doc_32_runs,-1604,-2558,954,5116,False
median4,750.0,leading_adc,500.0,1096728,660336,16090,8076,3267,4747,11343,doc_32_runs,-804,-2560,1756,5120,False
median4,1250.0,cfd,0.4,1649802,1062132,15875,8071,2587,5217,10658,all_b_53_runs,-1489,-2565,1076,5130,False
median4,1250.0,cfd,0.6,1649802,1062132,15875,8069,2677,5129,10746,all_b_53_runs,-1401,-2567,1166,5134,False
median4,1000.0,cfd,0.25,1649802,1084018,16648,8068,2832,5748,10900,all_b_53_runs,-1247,-2568,1321,5136,False
mean4,1250.0,leading_adc,750.0,1649802,1066940,15926,8065,3323,4538,11388,all_b_53_runs,-759,-2571,1812,5142,False
mean4,500.0,leading_adc,250.0,1649802,1143568,18967,9734,4086,5147,13820,all_b_53_runs,1673,-902,2575,5150,False
mean4,1250.0,cfd,0.2,1649802,1066940,15926,8057,2685,5184,10742,all_b_53_runs,-1405,-2579,1174,5158,False
median4,1250.0,leading_adc,500.0,1649802,1062132,15875,8030,3085,4760,11115,all_b_53_runs,-1032,-2606,1574,5212,False
median4,750.0,cfd,0.25,1096728,660336,16090,8028,2509,5553,10537,doc_32_runs,-1610,-2608,998,5216,False
mean4,1000.0,cfd,0.8,1649802,1089625,16917,8021,3291,5605,11312,all_b_53_runs,-835,-2615,1780,5230,False
median4,750.0,cfd,0.7,1096728,660336,16090,8020,2753,5317,10773,doc_32_runs,-1374,-2616,1242,5232,False
median4,1000.0,leading_adc,750.0,1649802,1084018,16648,8017,3792,4839,11809,all_b_53_runs,-338,-2619,2281,5238,False
mean4,1000.0,cfd,0.1,1096728,645242,15612,8014,2472,5126,10486,doc_32_runs,-1661,-2622,961,5244,False
median4,500.0,leading_adc,250.0,1649802,1138562,18589,9114,4137,5338,13251,all_b_53_runs,1104,-1522,2626,5252,False
median4,500.0,leading_adc,1000.0,1096728,684377,17090,8001,3934,5155,11935,doc_32_runs,-212,-2635,2423,5270,False
median4,750.0,leading_adc,250.0,1096728,660336,16090,7993,3091,5006,11084,doc_32_runs,-1063,-2643,1580,5286,False
mean4,750.0,leading_adc,750.0,1096728,664895,16416,7992,3738,4686,11730,doc_32_runs,-417,-2644,2227,5288,False
mean4,1250.0,cfd,0.15,1649802,1066940,15926,7987,2727,5212,10714,all_b_53_runs,-1433,-2649,1216,5298,False
median4,1000.0,cfd,0.2,1649802,1084018,16648,7987,2856,5805,10843,all_b_53_runs,-1304,-2649,1345,5298,False
median4,1000.0,cfd,0.4,1096728,640737,15354,7975,2273,5106,10248,doc_32_runs,-1899,-2661,762,5322,False
median4,1250.0,cfd,0.35,1649802,1062132,15875,7969,2572,5334,10541,all_b_53_runs,-1606,-2667,1061,5334,False
median4,1000.0,cfd,0.5,1096728,640737,15354,7965,2287,5102,10252,doc_32_runs,-1895,-2671,776,5342,False
median4,750.0,cfd,0.2,1096728,660336,16090,7955,2526,5609,10481,doc_32_runs,-1666,-2681,1015,5362,False
mean4,500.0,cfd,0.8,1649802,1143568,18967,8698,4196,6073,12894,all_b_53_runs,747,-1938,2685,5370,False
mean4,1250.0,cfd,0.7,1649802,1066940,15926,7949,2841,5136,10790,all_b_53_runs,-1357,-2687,1330,5374,False
median4,1250.0,cfd,0.7,1649802,1062132,15875,7929,2790,5156,10719,all_b_53_runs,-1428,-2707,1279,5414,False
median4,1000.0,cfd,0.8,1649802,1084018,16648,7920,3172,5556,11092,all_b_53_runs,-1055,-2716,1661,5432,False
median4,1000.0,cfd,0.6,1096728,640737,15354,7920,2362,5072,10282,doc_32_runs,-1865,-2716,851,5432,False
mean4,1000.0,leading_adc,750.0,1096728,645242,15612,7902,3192,4518,11094,doc_32_runs,-1053,-2734,1681,5468,False
median4,1250.0,leading_adc,750.0,1649802,1062132,15875,7886,3328,4661,11214,all_b_53_runs,-933,-2750,1817,5500,False
mean4,750.0,cfd,0.8,1096728,664895,16416,7884,3002,5530,10886,doc_32_runs,-1261,-2752,1491,5504,False
mean4,1250.0,cfd,0.1,1649802,1066940,15926,7882,2806,5238,10688,all_b_53_runs,-1459,-2754,1295,5508,False
median4,1250.0,cfd,0.3,1649802,1062132,15875,7881,2586,5408,10467,all_b_53_runs,-1680,-2755,1075,5510,False
mean4,1000.0,cfd,0.7,1096728,645242,15612,7877,2588,5147,10465,doc_32_runs,-1682,-2759,1077,5518,False
median4,1000.0,cfd,0.35,1096728,640737,15354,7876,2254,5224,10130,doc_32_runs,-2017,-2760,743,5520,False
mean4,750.0,leading_adc,1000.0,1096728,664895,16416,7873,3937,4606,11810,doc_32_runs,-337,-2763,2426,5526,False
mean4,1250.0,cfd,0.4,1096728,626909,14704,7864,2126,4714,9990,doc_32_runs,-2157,-2772,615,5544,False
mean4,1250.0,leading_adc,500.0,1096728,626909,14704,7859,2552,4293,10411,doc_32_runs,-1736,-2777,1041,5554,False
mean4,1500.0,leading_adc,500.0,1649802,1045680,14907,7857,2811,4239,10668,all_b_53_runs,-1479,-2779,1300,5558,False
median4,1000.0,leading_adc,500.0,1096728,640737,15354,7820,2887,4647,10707,doc_32_runs,-1440,-2816,1376,5632,False
median4,1000.0,cfd,0.15,1649802,1084018,16648,7814,2890,5944,10704,all_b_53_runs,-1443,-2822,1379,5644,False
mean4,1250.0,cfd,0.5,1096728,626909,14704,7803,2139,4762,9942,doc_32_runs,-2205,-2833,628,5666,False
mean4,1500.0,cfd,0.4,1649802,1045680,14907,7798,2452,4657,10250,all_b_53_runs,-1897,-2838,941,5676,False
median4,1000.0,cfd,0.3,1096728,640737,15354,7798,2263,5293,10061,doc_32_runs,-2086,-2838,752,5676,False
median4,750.0,leading_adc,750.0,1649802,1108434,17449,8040,4357,5052,12397,all_b_53_runs,250,-2596,2846,5692,False
mean4,1250.0,cfd,0.35,1096728,626909,14704,7790,2113,4801,9903,doc_32_runs,-2244,-2846,602,5692,False
median4,1000.0,cfd,0.1,1649802,1084018,16648,7785,2982,5881,10767,all_b_53_runs,-1380,-2851,1471,5702,False
median4,750.0,cfd,0.15,1096728,660336,16090,7781,2555,5754,10336,doc_32_runs,-1811,-2855,1044,5710,False
mean4,1500.0,cfd,0.5,1649802,1045680,14907,7779,2453,4675,10232,all_b_53_runs,-1915,-2857,942,5714,False
median4,1250.0,leading_adc,250.0,1649802,1062132,15875,7777,3000,5098,10777,all_b_53_runs,-1370,-2859,1489,5718,False
mean4,1250.0,leading_adc,250.0,1096728,626909,14704,7772,2483,4449,10255,doc_32_runs,-1892,-2864,972,5728,False
median4,1000.0,cfd,0.7,1096728,640737,15354,7769,2476,5109,10245,doc_32_runs,-1902,-2867,965,5734,False
median4,1500.0,cfd,0.5,1649802,1042551,15043,7764,2406,4873,10170,all_b_53_runs,-1977,-2872,895,5744,False
median4,1500.0,cfd,0.6,1649802,1042551,15043,7764,2472,4807,10236,all_b_53_runs,-1911,-2872,961,5744,False
median4,750.0,cfd,0.1,1096728,660336,16090,7764,2635,5691,10399,doc_32_runs,-1748,-2872,1124,5744,False
mean4,500.0,leading_adc,1500.0,1096728,688328,17431,7774,4392,5265,12166,doc_32_runs,19,-2862,2881,5762,False
mean4,1250.0,cfd,0.3,1096728,626909,14704,7753,2131,4820,9884,doc_32_runs,-2263,-2883,620,5766,False
mean4,1500.0,cfd,0.6,1649802,1045680,14907,7749,2504,4654,10253,all_b_53_runs,-1894,-2887,993,5774,False
mean4,750.0,leading_adc,750.0,1649802,1114176,17792,8436,4402,4954,12838,all_b_53_runs,691,-2200,2891,5782,False
median4,750.0,cfd,0.8,1096728,660336,16090,7739,2886,5465,10625,doc_32_runs,-1522,-2897,1375,5794,False
mean4,1250.0,cfd,0.6,1096728,626909,14704,7732,2207,4765,9939,doc_32_runs,-2208,-2904,696,5808,False
median4,1500.0,leading_adc,500.0,1649802,1042551,15043,7729,2798,4516,10527,all_b_53_runs,-1620,-2907,1287,5814,False
mean4,1250.0,cfd,0.8,1649802,1066940,15926,7725,2926,5275,10651,all_b_53_runs,-1496,-2911,1415,5822,False
median4,1250.0,cfd,0.25,1649802,1062132,15875,7722,2614,5539,10336,all_b_53_runs,-1811,-2914,1103,5828,False
median4,1250.0,cfd,0.8,1649802,1062132,15875,7721,2881,5273,10602,all_b_53_runs,-1545,-2915,1370,5830,False
mean4,1500.0,leading_adc,750.0,1649802,1045680,14907,7719,2955,4233,10674,all_b_53_runs,-1473,-2917,1444,5834,False
median4,1500.0,cfd,0.4,1649802,1042551,15043,7719,2402,4922,10121,all_b_53_runs,-2026,-2917,891,5834,False
mean4,500.0,cfd,0.4,650970,406681,14202,7718,2060,4424,9778,analysis_21_runs,-2369,-2918,549,5836,False
mean4,1500.0,cfd,0.35,1649802,1045680,14907,7717,2442,4748,10159,all_b_53_runs,-1988,-2919,931,5838,False
mean4,500.0,cfd,0.35,650970,406681,14202,7707,2029,4466,9736,analysis_21_runs,-2411,-2929,518,5858,False
mean4,500.0,cfd,0.3,650970,406681,14202,7705,2022,4475,9727,analysis_21_runs,-2420,-2931,511,5862,False
mean4,500.0,leading_adc,250.0,650970,406681,14202,7705,2438,4059,10143,analysis_21_runs,-2004,-2931,927,5862,False
median4,1250.0,cfd,0.5,1096728,623084,14655,7695,2083,4877,9778,doc_32_runs,-2369,-2941,572,5882,False
mean4,500.0,cfd,0.25,650970,406681,14202,7688,2028,4486,9716,analysis_21_runs,-2431,-2948,517,5896,False
median4,1250.0,cfd,0.4,1096728,623084,14655,7685,2073,4897,9758,doc_32_runs,-2389,-2951,562,5902,False
mean4,1500.0,leading_adc,250.0,1649802,1045680,14907,7681,2776,4450,10457,all_b_53_runs,-1690,-2955,1265,5910,False
mean4,500.0,cfd,0.2,650970,406681,14202,7679,2009,4514,9688,analysis_21_runs,-2459,-2957,498,5914,False
mean4,1000.0,leading_adc,1000.0,1649802,1089625,16917,7719,4471,4727,12190,all_b_53_runs,43,-2917,2960,5920,False
median4,1250.0,cfd,0.6,1096728,623084,14655,7674,2152,4829,9826,doc_32_runs,-2321,-2962,641,5924,False
median4,1500.0,leading_adc,750.0,1649802,1042551,15043,7667,2954,4422,10621,all_b_53_runs,-1526,-2969,1443,5938,False
mean4,1500.0,cfd,0.3,1649802,1045680,14907,7666,2462,4779,10128,all_b_53_runs,-2019,-2970,951,5940,False
mean4,1250.0,cfd,0.25,1096728,626909,14704,7666,2159,4879,9825,doc_32_runs,-2322,-2970,648,5940,False
mean4,500.0,cfd,0.15,650970,406681,14202,7662,2001,4539,9663,analysis_21_runs,-2484,-2974,490,5948,False
median4,1000.0,cfd,0.25,1096728,640737,15354,7661,2290,5403,9951,doc_32_runs,-2196,-2975,779,5950,False
mean4,500.0,leading_adc,500.0,1649802,1143568,18967,9408,4492,5067,13900,all_b_53_runs,1753,-1228,2981,5962,False
median4,750.0,leading_adc,1000.0,1649802,1108434,17449,7976,4494,4979,12470,all_b_53_runs,323,-2660,2983,5966,False
median4,500.0,leading_adc,500.0,1649802,1138562,18589,8901,4500,5188,13401,all_b_53_runs,1254,-1735,2989,5978,False
