method,run,n,bias_median_frac,charge_res68_abs_frac,full_rms_frac,tail_gt10_frac,tail_gt25_frac,within_10pct,bias_ci95,charge_res68_ci95,full_rms_ci95,tail_gt10_ci95,tail_gt25_ci95
hgb_regressor,57,13819,0.00020908146250237222,0.014250008222372587,0.05381984950033467,0.036399160576018524,0.005354946088718431,0.9636008394239814,"[2.2713598161281484e-05, 0.00044817615328814975]","[0.013931780197946489, 0.01458938658167747]","[0.04650634969021416, 0.0615911896562725]","[0.03379405166799334, 0.03938056299298068]","[0.004197119907373905, 0.006512772270062956]"
hgb_regressor,65,13038,0.0014434438199821802,0.01440414491758291,0.041214496083603246,0.026921306948918547,0.0032213529682466636,0.9730786930510814,"[0.001138894655149656, 0.0016544190623930756]","[0.014066838695818965, 0.014807826098602867]","[0.03645497564250588, 0.04693850299808143]","[0.024144807485810705, 0.029467709771437336]","[0.0021475686454977758, 0.0042337781868384715]"
extra_trees_regressor,57,13819,-0.0001737259105767839,0.00478141531257886,0.044257422068801296,0.022432882263550183,0.004703668861712135,0.9775671177364498,"[-0.00023663849415706976, -0.00011751522355178749]","[0.0046286397647540296, 0.004908277194967215]","[0.03583620412208383, 0.052609507693798234]","[0.020073811419060714, 0.025255083580577466]","[0.0035313698531008035, 0.005875967870323467]"
extra_trees_regressor,65,13038,-3.7259665156194796e-05,0.004620301106875918,0.03225616062197027,0.016413560362018714,0.0021475686454977758,0.9835864396379813,"[-0.00010756852706342926, 2.4434225558067128e-05]","[0.00447235431236417, 0.004769860063567178]","[0.028020153963497753, 0.03710272702480676]","[0.01420463261236386, 0.01865316766375211]","[0.0013038809633379353, 0.002914557447461267]"
mlp_regressor,57,13819,0.0026853143226658457,0.03738855689174619,1.6936326221841076,0.08387003401114408,0.016933207902163686,0.9161299659888559,"[0.002081322505739151, 0.0033639733625736024]","[0.03639152739310514, 0.03837616704691151]","[0.08220398435219085, 2.9305779459177885]","[0.07936898473116723, 0.08908025182719444]","[0.014907012084810769, 0.01890151241044938]"
mlp_regressor,65,13038,0.01212387754582197,0.0415899152078161,0.4172548222610512,0.06764841233317993,0.011274735388863323,0.93235158766682,"[0.011362895373869211, 0.012661227740200506]","[0.04078812795908739, 0.0423781245145027]","[0.06871525670363529, 0.7153638850755278]","[0.06249424758398527, 0.07180549163982206]","[0.00972541800889707, 0.013054149409418622]"
cnn1d,57,13819,0.04189951262149777,0.11260917528705633,3.681053655091171,0.3445980172226644,0.19306751573919964,0.6554019827773355,"[0.04026021308937102, 0.04292714983993333]","[0.10800242549939809, 0.11526868122927768]","[1.0895789441510417, 5.624715666113153]","[0.33630508719878427, 0.3511252623199942]","[0.18577321079672915, 0.19916057601852521]"
cnn1d,65,13038,0.05599093632708098,0.21357877924694765,1.0455944347753223,0.47024083448381654,0.29559748427672955,0.5297591655161835,"[0.054302247683216516, 0.0576840060076671]","[0.20179821307573395, 0.22561840515363316]","[0.5398658599809822, 1.6012255883901478]","[0.4628930817610063, 0.47910722503451453]","[0.2881423531216444, 0.30392698266605306]"
residual_gated_cnn,57,13819,-0.0771827842189928,0.106956983798085,0.5449805648095183,0.3737607641652797,0.04435921557276214,0.6262392358347203,"[-0.07844976013392055, -0.07590974033790387]","[0.10593833441746, 0.10792077004796218]","[0.17039325258839721, 0.8873574826658986]","[0.36619147550473985, 0.3819379115710254]","[0.04130544901946595, 0.04754323757145958]"
residual_gated_cnn,65,13038,-0.0542902660356661,0.08425578243829311,0.13869885098534276,0.22794907194354963,0.033977603926982666,0.7720509280564504,"[-0.05515270771161623, -0.05302371236986121]","[0.08299825185053814, 0.08557218198781746]","[0.10918418280264894, 0.1800158448631]","[0.2198189906427366, 0.23486731093726032]","[0.03094032827120724, 0.03712225801503298]"
