run,method,method_label,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
60,ridge,Ridge residual,2424,1.1000920719292384,1.2254065453413148,1.4042473179987964,2.3293772371771606,0.05693069306930693,0.01773927392739274,0.009488448844884489
60,traditional,S02/S03 analytic template-phase,2424,1.0951296158840185,1.3625896230517256,1.3437044382667231,2.395288467483586,0.06311881188118812,0.015264026402640265,0.009075907590759076
61,atom_gated_cnn,Atom-gated residual CNN,2799,1.499963971678819,1.9291038655219097,1.6929752603665917,2.663990729440761,0.08717399071096821,0.015005359056806002,0.007145409074669525
61,cnn1d,1D-CNN residual,2799,1.5898723216996469,1.9729941033301372,1.8001534715787555,2.5989088769942255,0.09682029296177207,0.01429081814933905,0.007145409074669525
61,gradient_boosted_trees,HistGradientBoosting residual,2799,1.6014356822289249,1.9548343945911313,1.9106645262885402,2.601468585872396,0.12147195426938193,0.020364415862808145,0.00857449088960343
61,mlp,MLP residual,2799,1.603392222359942,1.9194071434912843,1.8438635690502723,2.701639376050107,0.10968202929617721,0.017506252232940337,0.007145409074669525
61,ridge,Ridge residual,2799,1.7651114224845794,1.9277720593390626,2.068070634155713,2.8773975641288048,0.15005359056806003,0.021793497677742052,0.009289031797070382
61,traditional,S02/S03 analytic template-phase,2799,1.8789983836883537,2.1181026561652203,2.1299643935400328,3.0080597200873203,0.16291532690246516,0.03143979992854591,0.011789924973204717
62,atom_gated_cnn,Atom-gated residual CNN,2421,1.2353215388712688,1.5631936220290115,1.3839116005602072,2.3335825522933074,0.04584882280049566,0.007434944237918215,0.004956629491945477
62,cnn1d,1D-CNN residual,2421,1.293180297078367,1.6191579727293899,1.4687153878421944,2.3860652046085273,0.05452292441140025,0.008674101610904586,0.0057827344072697235
62,gradient_boosted_trees,HistGradientBoosting residual,2421,1.229092538696223,1.4609326450521465,1.458316467100527,2.3884220493203663,0.05617513424204874,0.011565468814539447,0.006195786864931847
62,mlp,MLP residual,2421,1.4193038032464236,1.6334580919799677,1.6770073669287662,2.4235476822290254,0.06732755059892606,0.011152416356877323,0.007021891780256092
62,ridge,Ridge residual,2421,1.1447819776071195,1.2561202673079421,1.500264073009126,2.491432523597182,0.05741429161503511,0.011565468814539447,0.007021891780256092
62,traditional,S02/S03 analytic template-phase,2421,1.0940847179352562,1.3292452494912084,1.4690048724299023,2.584189582963563,0.06897976042957456,0.012804626187525816,0.008261049153242462
63,atom_gated_cnn,Atom-gated residual CNN,1110,1.1922315139767499,1.5249655227177392,1.5020861532441407,2.3106540278963474,0.05405405405405406,0.012612612612612612,0.009009009009009009
63,cnn1d,1D-CNN residual,1110,1.1424094331970298,1.3908717612736403,1.4558364207814813,2.3630971645223497,0.05405405405405406,0.014414414414414415,0.008108108108108109
63,gradient_boosted_trees,HistGradientBoosting residual,1110,1.1116585568426267,1.3221079694255096,1.4354921788135107,2.1166038544644326,0.05675675675675676,0.012612612612612612,0.006306306306306306
63,mlp,MLP residual,1110,1.1880986301487844,1.3474159343761727,1.501243963625159,2.2757570055067564,0.051351351351351354,0.012612612612612612,0.008108108108108109
63,ridge,Ridge residual,1110,1.0157485630874374,1.1366175867024673,1.4392294480553858,2.4826070300577747,0.055855855855855854,0.018018018018018018,0.00990990990990991
63,traditional,S02/S03 analytic template-phase,1110,1.0191657415911322,1.2936294120173493,1.3913214606535687,2.628067512304927,0.06576576576576576,0.02072072072072072,0.010810810810810811
65,atom_gated_cnn,Atom-gated residual CNN,198,1.1770439207635282,1.5679447227996022,1.4018969665217198,1.488607590349842,0.050505050505050504,0.0,0.0
65,cnn1d,1D-CNN residual,198,1.2535321097864787,1.669042881084259,1.4605009843853294,1.5295063761745353,0.05555555555555555,0.0,0.0
65,gradient_boosted_trees,HistGradientBoosting residual,198,1.2652297974911317,1.4404167251298254,1.4549056877480162,1.5970547516865932,0.06060606060606061,0.0,0.0
65,mlp,MLP residual,198,1.3673685114272451,1.5591780503069224,1.538657818034011,1.61559113162256,0.0707070707070707,0.0,0.0
65,ridge,Ridge residual,198,1.046105272188044,1.0699244910758097,1.4421505858628139,1.5944958555632243,0.08080808080808081,0.005050505050505051,0.0
65,traditional,S02/S03 analytic template-phase,198,1.0303469619591854,1.1792291919174787,1.4946400762696816,1.6991283591200734,0.08080808080808081,0.005050505050505051,0.0
