granularity,dimension,stratum,pair,method,method_label,sigma68_ci_low_ns,sigma68_ci_high_ns,bias_ci_low_ns,bias_ci_high_ns,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt3ns,tail_frac_abs_gt5ns,tail_frac_abs_gt8ns
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.5576056702839719,13.944860502747082,-5.589056431082358,0.5944899965694189,17,-1.7163905539179354,-0.08560697827281416,1.2207691733797876,6.9399405220358465,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,mlp,MLP residual,0.6632316298907454,1.2919701275287376,1.8913558603204421,2.56610916716065,197,2.2834188291349014,2.1537931068462655,0.9163060582975339,1.246158123393275,0.04060913705583756,0.01015228426395939,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,mlp,MLP residual,0.8248321138684171,2.4354270897961254,-0.6270727543451031,2.210639894995094,42,1.1114024086104646,1.4640125862115134,1.5131402079164231,3.978767839020216,0.07142857142857142,0.047619047619047616,0.047619047619047616
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,mlp,MLP residual,0.3965306773889245,14.853519119637077,-6.3771978613840075,0.5511763865033564,17,-1.7471219021151099,-0.4795477817071472,1.215853992995824,7.2983117801194215,0.11764705882352941,0.11764705882352941,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,ridge,Ridge residual,0.5804277933574666,1.0925730153417954,1.7662582024847946,2.3154659060889546,197,2.071459234964447,2.066342121659197,0.7759101038977947,1.1326165876208423,0.03553299492385787,0.0,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,ridge,Ridge residual,0.4684645282582867,2.043472627745957,-0.8575649267582066,2.176459786119132,42,1.2186725076557299,2.1736476364893633,1.2611599955079966,4.075127235476103,0.09523809523809523,0.023809523809523808,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,ridge,Ridge residual,0.1724680253779369,14.20661856645156,-6.451755137427174,-0.022457802901582197,17,-2.0571463520455815,-0.2451985572532891,0.9683134961883123,6.8480666523339995,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B6,traditional,S02/S03 analytic template-phase,0.3688342280842498,1.086697705765213,1.911566139054892,2.419166604212729,197,2.1900024095219863,2.3216785418266426,0.5198196639073395,1.0667378217630712,0.025380710659898477,0.0,0.0
pairwise,amplitude_bin,"amp_adc[1000,1500)",B4-B8,traditional,S02/S03 analytic template-phase,0.22502501990990187,2.365750921355051,-1.4456310129713317,2.275701058197517,42,1.2711879110831898,2.3972862874878267,0.577679489290637,4.656129249544517,0.09523809523809523,0.023809523809523808,0.023809523809523808
pairwise,amplitude_bin,"amp_adc[1000,1500)",B6-B8,traditional,S02/S03 analytic template-phase,0.20625378464834349,15.041655159532965,-6.211242195399012,0.18562254105650144,17,-1.8446006458834356,-0.023655651680918766,0.7534555137001586,7.006394434016796,0.058823529411764705,0.058823529411764705,0.058823529411764705
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.6688644477355241,0.8825831973786136,2.071332442777364,2.4375236702690475,1998,2.228389122433893,2.1790556792587346,0.7963121555185422,1.7087078209379307,0.010510510510510511,0.004004004004004004,0.003003003003003003
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.6409678067604673,0.8609228687397016,1.6297352638851552,2.0646943416880967,975,1.85950367923168,1.8333276054916325,0.7754878038818841,2.430399852682942,0.017435897435897435,0.009230769230769232,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.5629094693463399,0.7331992309615263,-0.3536583658591603,-0.17267491503882956,928,-0.2554016402202524,-0.28928334601411976,0.6563440549118027,0.9853530037981192,0.01293103448275862,0.004310344827586207,0.0010775862068965517
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,cnn1d,1D-CNN residual,0.7822921668127616,0.9708317463655991,2.0722305384375024,2.4630268520687952,1998,2.2562057955835884,2.255247118673754,0.8701516969010724,1.6466410527414426,0.013513513513513514,0.0035035035035035035,0.0025025025025025025
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,cnn1d,1D-CNN residual,0.6999694544079773,0.9039366231890423,1.6532016520195696,2.148008502541876,975,1.8962359586301825,1.9486562155661602,0.7921001197429427,2.4242705032618126,0.02564102564102564,0.010256410256410256,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,cnn1d,1D-CNN residual,0.5917735459881837,0.7802820975612954,-0.3489662853519651,-0.18982008091113595,928,-0.2692989267555895,-0.2781986286769538,0.6775982196055509,1.059287082700462,0.01293103448275862,0.004310344827586207,0.0021551724137931034
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,0.8426036208765896,1.0346662952038073,1.9900406894531846,2.4352387764989443,1998,2.1882079356870556,2.1794313116286794,0.9621789853770941,1.705279872053854,0.02002002002002002,0.0035035035035035035,0.0025025025025025025
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.7521501034914465,1.0557871005573938,1.8001144311857784,2.234883655161153,975,2.007014994306019,1.992518573026949,0.9422892768359914,2.3920479442800735,0.02564102564102564,0.009230769230769232,0.009230769230769232
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.662360259535231,0.9082099000413659,-0.26631000108079295,-0.012046331163819923,928,-0.13442914382317703,-0.15122647299281766,0.7781602034089342,1.1317721081188619,0.016163793103448277,0.004310344827586207,0.0021551724137931034
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,mlp,MLP residual,0.9243121357920061,1.0509014103644405,2.0596486839017163,2.488731816018257,1998,2.282393852786721,2.2951318126044242,0.9862421869430901,1.7920958373170333,0.017517517517517518,0.0055055055055055055,0.003003003003003003
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,mlp,MLP residual,0.9205675517856353,1.149668527352279,1.7209460345557985,2.340542297200844,975,2.0394637571715695,2.0267957458043995,1.0168867185554802,2.5153349523192645,0.03282051282051282,0.011282051282051283,0.0071794871794871795
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,mlp,MLP residual,0.769187607061265,0.9855604817846916,-0.31060721915560896,-0.07596082097581432,928,-0.20588839536333273,-0.22800271908512926,0.8689534539713454,1.1655114306239949,0.01939655172413793,0.003232758620689655,0.0021551724137931034
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,ridge,Ridge residual,0.8886197185160873,1.29813028951224,1.7889574793998508,2.4979830538395777,1998,2.107226268753797,2.04391392088748,1.1186492175058755,1.7739662359195356,0.03453453453453453,0.005005005005005005,0.0025025025025025025
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,ridge,Ridge residual,1.0244559920592853,1.2366527818182669,1.3715571295198448,2.010777428179399,975,1.6752254430014655,1.8555238697490992,1.112096049419571,2.4815207941464985,0.0441025641025641,0.011282051282051283,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,ridge,Ridge residual,0.888275249263989,1.1020927704280354,-0.42336095730006124,-0.19938951947688993,928,-0.32412336959111415,-0.19719192276659925,0.9767266845642889,1.222557111531279,0.029094827586206896,0.003232758620689655,0.0010775862068965517
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B6,traditional,S02/S03 analytic template-phase,0.8379944342938008,1.3072874425403547,1.7259497352395023,2.494666242736664,1998,2.059786093346579,2.0575076841763185,1.096361248734639,1.8642569235872115,0.062062062062062065,0.0065065065065065065,0.0025025025025025025
pairwise,amplitude_bin,"amp_adc[1500,2500)",B4-B8,traditional,S02/S03 analytic template-phase,0.8152635510748212,1.1979055204889277,1.3340835996561566,2.0405122959184667,975,1.6882555293534127,2.0185742225506687,1.033877393284935,2.598735453428125,0.06051282051282051,0.011282051282051283,0.008205128205128205
pairwise,amplitude_bin,"amp_adc[1500,2500)",B6-B8,traditional,S02/S03 analytic template-phase,0.622765159609195,0.9814304607835478,-0.44654270624465475,-0.20572746829242883,928,-0.32794358562600284,-0.05392096081079245,0.9053421224466761,1.3086331589859201,0.03987068965517242,0.005387931034482759,0.0021551724137931034
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.7901671480105824,0.9416652239997716,1.967452921804956,2.526037336465763,1606,2.2425309608699115,2.2422330462290496,0.8759150840857971,2.043474293416155,0.034869240348692404,0.0186799501867995,0.00933997509339975
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.7297704446135799,0.8847433046092599,1.6260043371990525,2.0803882496562163,2590,1.84748452766558,1.912384927035344,0.817155611515044,2.1258133506752652,0.016216216216216217,0.009652509652509652,0.0069498069498069494
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.6923174315111376,0.8335840159116428,-0.5065767517625012,-0.2551052416200954,2615,-0.390534913511875,-0.3105775038408396,0.7726261062035527,1.9414447210738828,0.011089866156787764,0.006118546845124283,0.004588910133843212
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,cnn1d,1D-CNN residual,0.8570186307857451,1.1795426464485934,1.9633272311847423,2.684594037565424,1606,2.2786972063797086,2.221236115990557,1.1013222786049606,2.2672269466096786,0.039850560398505604,0.02054794520547945,0.009962640099626401
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,cnn1d,1D-CNN residual,0.812405990581859,0.9902881622049751,1.549416568999489,2.1687542702037432,2590,1.8507917459456575,1.9008823929498462,0.9482100714448605,2.129252397041965,0.019305019305019305,0.010810810810810811,0.006177606177606178
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,cnn1d,1D-CNN residual,0.7406953730562263,0.8892518967350547,-0.6107419845498513,-0.26924652395410426,2615,-0.4175117299335881,-0.33877618062059867,0.818185220300197,1.9492183749613263,0.01338432122370937,0.006883365200764819,0.004206500956022944
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,0.9590467935727843,1.3714132879359058,1.7483763835377097,2.764772806069531,1606,2.173025342315779,2.1574217668946396,1.2215612366276936,2.1772821915328193,0.05603985056039851,0.026774595267745952,0.015566625155666251
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.9883662236345898,1.1670506425509122,1.5890837372094804,2.2093427332755424,2590,1.8626212654428935,1.93568433064533,1.0725417400126025,2.0407521433099145,0.03397683397683398,0.01583011583011583,0.008494208494208495
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.9140019478784709,1.0457638906430453,-0.46141315378876163,-0.1974821637150979,2615,-0.321436851099897,-0.23093966097043506,0.9780970138440958,1.9738789796652998,0.02026768642447419,0.00803059273422562,0.004588910133843212
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,mlp,MLP residual,0.9794205583333969,1.3144112871414702,1.8774341346928036,2.6043061095541424,1606,2.2192628658529125,2.2383946976742877,1.2023052615550023,2.321853153678677,0.047322540473225407,0.021793275217932753,0.009962640099626401
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,mlp,MLP residual,1.0728214558403095,1.1927264989107127,1.6668673691576588,2.2132089607178766,2590,1.9433102345942033,2.0135908281040997,1.140112799919635,2.2021377538709426,0.02972972972972973,0.012741312741312742,0.0069498069498069494
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,mlp,MLP residual,0.9341495007987781,1.073703405181941,-0.4312064485081863,-0.18152410217508136,2615,-0.3036074726752767,-0.2334142060313411,1.0052326377427003,1.92903918869121,0.01835564053537285,0.006883365200764819,0.004206500956022944
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,ridge,Ridge residual,0.8893132963485739,1.4300009704897587,1.8031331463229234,2.7823976420197116,1606,2.2534730928188575,2.0372194337983878,1.2133848361209671,2.4476913519923147,0.049813200498132,0.0186799501867995,0.0136986301369863
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,ridge,Ridge residual,1.0010040718251327,1.222309723246151,1.4673187484573134,2.226495552528981,2590,1.8073356641961924,1.8324131367216303,1.1157312620582802,2.2689045715019502,0.03822393822393822,0.011583011583011582,0.00888030888030888
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,ridge,Ridge residual,0.9668209099324608,1.0669367258585989,-0.5060345741854074,-0.26489725101838424,2615,-0.38742790110626457,-0.25948209511797415,1.028434160540689,2.036348987074756,0.02026768642447419,0.00650095602294455,0.00497131931166348
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,traditional,S02/S03 analytic template-phase,0.9266155009420801,1.4453977543805225,1.7452196474556023,2.991552891047284,1606,2.275204481454824,2.034363159516438,1.2816384631446285,2.6957296324344537,0.06973848069738481,0.0224159402241594,0.015566625155666251
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,traditional,S02/S03 analytic template-phase,0.9296728515668206,1.3508372273662896,1.34497155725037,2.3262544083205774,2590,1.7633905887659544,1.7457091013055468,1.170081256499017,2.41078249689181,0.055984555984555984,0.013899613899613899,0.00888030888030888
pairwise,amplitude_bin,"amp_adc[2500,4000)",B6-B8,traditional,S02/S03 analytic template-phase,0.8995061139480923,1.0715608017924787,-0.5596538746481214,-0.2845164369764569,2615,-0.41312280186486244,-0.29535069002471914,0.9944885471779894,2.0829921942248926,0.03212237093690248,0.006883365200764819,0.005353728489483747
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.2212109746699678,19.88571170982629,-3.6037065122119345,8.304987539205564,19,3.1621719935038546,1.3443100790559015,5.33001547363547,11.417784228395766,0.47368421052631576,0.3684210526315789,0.3157894736842105
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.8022288837432897,1.5475258160451995,1.4857397245062502,3.5190571877178733,213,2.3152245230623305,1.8799767636237306,1.1988438391785383,4.434335874138007,0.11737089201877934,0.09389671361502347,0.046948356807511735
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.6273293047547331,1.0838954043140725,-0.6497070302146976,-0.07732773984315851,260,-0.3734577449040454,-0.35952070428744776,0.8555190289826456,1.5605073452359863,0.046153846153846156,0.019230769230769232,0.007692307692307693
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,cnn1d,1D-CNN residual,1.4133637718993461,16.893758735287243,-2.6683779799458556,8.050541195282342,19,2.813432237722782,1.1739572910429885,5.796966887854845,10.349140583365394,0.42105263157894735,0.3157894736842105,0.2631578947368421
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,cnn1d,1D-CNN residual,0.8691248812664282,1.6127050842893713,1.3192605635245471,3.380087870676684,213,2.2800541727860817,1.773939476102953,1.3775188274093346,4.483376295504047,0.11267605633802817,0.0892018779342723,0.06572769953051644
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,cnn1d,1D-CNN residual,0.6729054681240144,1.112424214350665,-0.7614244386596019,-0.19144131013834878,260,-0.42424249896941224,-0.4214542002909809,0.9451425979092969,1.5556515245170024,0.04230769230769231,0.023076923076923078,0.0038461538461538464
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.9886802306051863,15.342142808295462,-3.5826990818119744,5.722483574924546,19,0.9405273281173101,-0.25320240614976797,6.262823265596078,9.133981290162282,0.47368421052631576,0.3684210526315789,0.2631578947368421
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.9276484059417133,1.6972895578686764,1.0251615761163462,2.876490646539585,213,1.9043653241087297,1.7294325324024271,1.2818585310921455,3.686350216229953,0.1267605633802817,0.07981220657276995,0.051643192488262914
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.8179259670925588,1.3462326969562604,-0.625307576641372,-0.13576001156672693,260,-0.34148864464543816,-0.4365889903216136,1.0235403744499858,1.7327763115928543,0.05,0.019230769230769232,0.011538461538461539
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,mlp,MLP residual,1.9863273494934583,16.039234993818532,-2.5180542069066787,7.737010901339489,19,2.837761466343563,2.490890990070767,5.35295276586973,9.62329812289782,0.5263157894736842,0.3684210526315789,0.21052631578947367
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,mlp,MLP residual,1.1254194484411546,1.8901818241725528,1.6540007990568801,3.52541591236834,213,2.4471336915144946,1.972531243461134,1.4531874276331251,4.300642066374132,0.13615023474178403,0.09389671361502347,0.051643192488262914
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,mlp,MLP residual,0.8771660464068917,1.4601009322338754,-0.43629471570790246,0.1873523255054496,260,-0.09169986558953104,-0.26854678894382644,1.2040160667429494,1.8592392019485844,0.05384615384615385,0.046153846153846156,0.007692307692307693
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,ridge,Ridge residual,2.690598715623451,18.70159979854371,-1.5935156513689783,11.072652055646024,19,5.210407463246679,3.3192522474446022,6.128845567197686,11.484523754640257,0.5789473684210527,0.3684210526315789,0.3157894736842105
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,ridge,Ridge residual,1.6275431951247,3.1580857664309803,2.3640423872952465,5.066862340065303,213,3.659024541302421,2.816986945566569,2.5591907125297038,5.209548103951655,0.22535211267605634,0.12206572769953052,0.07511737089201878
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,ridge,Ridge residual,1.44843181889132,1.9290686025143842,0.16821265642600336,0.9952608200946522,260,0.6053519347880015,0.11268963784029751,1.7245346715852845,2.3779509455806114,0.11153846153846154,0.05,0.026923076923076925
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B6,traditional,S02/S03 analytic template-phase,2.5823771252737706,18.639229402835937,-1.27413344382314,11.145411932659089,19,5.659486279963241,3.129805019533208,8.239394983243926,11.981791336699299,0.5789473684210527,0.5263157894736842,0.3157894736842105
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,traditional,S02/S03 analytic template-phase,1.7411979820816474,3.2182913144379177,2.7118201455969575,5.544329050509673,213,4.049153353698621,3.3447354328624996,2.3959588863520813,5.4640225369784625,0.1596244131455399,0.10328638497652583,0.07981220657276995
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,traditional,S02/S03 analytic template-phase,1.5707004234547552,2.012957518776733,0.31823969865595114,1.246006505566065,260,0.910402239331612,0.7079170546105082,1.810790456697776,2.3639388721060213,0.08076923076923077,0.03076923076923077,0.023076923076923078
pairwise,charge_bin,"charge[1000,4000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.15760420556352486,0.5374238937021667,2.0246378828009615,2.5185397395844022,24,2.2489849819844263,2.272728431639102,0.4220353582777474,0.3779272076740892,0.0,0.0,0.0
pairwise,charge_bin,"charge[1000,4000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.09292364135307249,0.5793451237765339,1.6080660475414124,2.2954059341769404,16,1.9195768903173782,2.1086594163656827,0.47747973854871895,0.4412821971206684,0.0,0.0,0.0
pairwise,charge_bin,"charge[1000,4000)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.04191816469498244,0.9392896235017101,-0.6029004448848895,-0.066355893035224,20,-0.305657931932371,-0.30979443537752616,0.2024283666164081,0.4542457359488563,0.0,0.0,0.0
pairwise,charge_bin,"charge[1000,4000)",B4-B6,cnn1d,1D-CNN residual,0.12056432327718825,0.4538784610342977,2.086254894039099,2.5000953872941487,24,2.2874555581912692,2.317151411275262,0.2926819489742418,0.31428111278076554,0.0,0.0,0.0
