granularity,dimension,stratum,pair,method,method_label,method_sigma68_ns,method_bias_ns,traditional_sigma68_ns,traditional_bias_ns,delta_sigma68_ns,delta_bias_ns
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.2818585310921455,1.9043653241087297,2.3959588863520813,4.049153353698621,-1.1141003552599358,-2.1447880295898916
pairwise,saturation_flag,True,B4-B8,cnn1d,1D-CNN residual,4.064980514049534,6.363472506545124,5.149879931688982,8.227777576612526,-1.0848994176394484,-1.8643050700674024
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,cnn1d,1D-CNN residual,1.3775188274093346,2.2800541727860817,2.3959588863520813,4.049153353698621,-1.0184400589427467,-1.7690991809125394
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.8555190289826456,-0.3734577449040454,1.810790456697776,0.910402239331612,-0.9552714277151303,-1.2838599842356575
pairwise,amplitude_bin,"amp_adc[4000,7000)",B4-B8,mlp,MLP residual,1.4531874276331251,2.4471336915144946,2.3959588863520813,4.049153353698621,-0.9427714587189562,-1.6020196621841265
pairwise,charge_bin,"charge[40000,80000)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.4465192811098373,2.8908778813017255,2.3229149673071694,3.12449807728712,-0.8763956861973321,-0.2336201959853943
pairwise,p09_anomaly_class,novel_broad_template_mismatch,B4-B6,ridge,Ridge residual,9.624942344569348,1.792218356405689,10.498479257979135,2.240215498280783,-0.8735369134097866,-0.4479971418750939
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,cnn1d,1D-CNN residual,0.9451425979092969,-0.42424249896941224,1.810790456697776,0.910402239331612,-0.865647858788479,-1.3346447383010243
pairwise,charge_bin,"charge[40000,80000)",B4-B6,cnn1d,1D-CNN residual,1.495820425574193,1.0816403453754626,2.3229149673071694,3.12449807728712,-0.8270945417329765,-2.042857731911657
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,1.0235403744499858,-0.34148864464543816,1.810790456697776,0.910402239331612,-0.7872500822477901,-1.2518908839770502
pairwise,p09_anomaly_class,dropout,B4-B8,atom_gated_cnn,Atom-gated residual CNN,2.797961276313422,-1.9493448831004672,3.5170894077650736,-2.122639024390647,-0.7191281314516518,0.17329414129017962
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.0028610162570168,1.9092297409163699,1.7047114775021037,1.799493638573107,-0.7018504612450869,0.10973610234326281
pairwise,charge_bin,"charge[40000,80000)",B4-B8,cnn1d,1D-CNN residual,6.741770146938507,3.6904519453908495,7.435918921925885,5.544330878870638,-0.6941487749873776,-1.8538789334797885
pairwise,peak_sample_bin,peakmax_9,B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.0968298104565821,2.1254644599276795,1.7885089531086436,2.094187343725125,-0.6916791426520614,0.03127711620255447
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1699051807803387,2.3069246510951813,1.8570204789603602,2.281051860711621,-0.6871152981800215,0.025872790383560496
pairwise,peak_sample_bin,peakmax_10,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.9991807694701866,2.413053666567376,1.665432706469118,2.4939752259102694,-0.6662519369989313,-0.08092155934289336
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.2091196777118727,2.067141751979613,1.8709799654936932,2.276180187172975,-0.6618602877818205,-0.20903843519336185
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1594378384767134,2.2093336043741747,1.8050568256077177,2.0841504851127626,-0.6456189871310043,0.12518311926141212
pairwise,peak_sample_bin,peakmax_11,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.7200441370074102,2.224096760967755,1.3339777326323283,2.7940988100888853,-0.6139335956249181,-0.5700020491211304
pairwise,amplitude_bin,"amp_adc[4000,7000)",B6-B8,mlp,MLP residual,1.2040160667429494,-0.09169986558953104,1.810790456697776,0.910402239331612,-0.6067743899548266,-1.0021021049211432
pairwise,peak_sample_bin,peakmax_11,B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.045604619979861,1.7771374436088405,1.6484680475331857,1.7071950454769353,-0.6028634275533247,0.06994239813190517
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.9686628495964035,1.9613256542112272,1.568813686366227,1.9513402281233871,-0.6001508367698235,0.009985426087840032
pairwise,peak_sample_bin,peakmax_8,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.9331725732579654,1.8459484565710145,1.5230864686527628,1.7623558977121605,-0.5899138953947973,0.08359255885885397
pairwise,peak_sample_bin,peakmax_9,B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1731165939084205,2.191130122611666,1.7628920206734036,2.0430670349474798,-0.5897754267649831,0.1480630876641862
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.109787119891422,1.864156091815728,1.6925286486980502,1.7942013915876416,-0.5827415288066282,0.06995470022808647
pairwise,baseline_bin,"baseline_rms[32,64)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1848537640448291,2.8027266142052225,1.7669186547955151,2.769118073713853,-0.582064890750686,0.03360854049136952
pairwise,charge_bin,"charge[24000,40000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.9273880607719459,1.9273551261602402,1.479584156880786,2.2170802466968667,-0.55219609610884,-0.28972512053662647
pairwise,peak_sample_bin,peakmax_10,B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.0934628941601934,1.9357796109919057,1.644382756183749,1.8224955735199204,-0.5509198620235556,0.11328403747198523
pairwise,baseline_bin,"baseline_rms[16,32)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,1.141702470072448,1.8305598179508589,1.6911188065216995,1.7140739357622414,-0.5494163364492515,0.11648588218861744
pairwise,baseline_bin,"baseline_rms[8,16)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.0241761976044397,2.2189765494909532,1.562247473457005,2.2489556471230356,-0.5380712758525654,-0.029979097632082397
pairwise,p09_anomaly_class,novel_broad_template_mismatch,B4-B8,ridge,Ridge residual,9.802568188013124,-2.1606999099397814,10.337448678804812,-1.3065235292129695,-0.5348804907916875,-0.8541763807268119
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.9869725807825176,2.2092079168182543,1.5181597886681426,2.1152097669127405,-0.531187207885625,0.0939981499055138
pairwise,peak_sample_bin,peakmax_9,B4-B8,cnn1d,1D-CNN residual,1.2633423351046464,2.1283601224887385,1.7885089531086436,2.094187343725125,-0.5251666180039971,0.034172778763613465
pairwise,baseline_bin,"baseline_rms[8,16)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.9779079522519885,1.912144663959013,1.4969759557276197,1.943074618844607,-0.5190680034756312,-0.030929954885594135
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B8,cnn1d,1D-CNN residual,1.3530225270731984,2.068987985531766,1.8709799654936932,2.276180187172975,-0.5179574384204948,-0.2071922016412091
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1735774032839559,2.3400163683609145,1.6899736583998184,2.4389739154914825,-0.5163962551158625,-0.09895754713056792
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.9704701500869065,2.2310941771703416,1.477118923679131,2.064158771395769,-0.5066487735922244,0.16693540577457266
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B8,cnn1d,1D-CNN residual,1.0640316533112906,1.979889157465688,1.568813686366227,1.9513402281233871,-0.5047820330549364,0.02854892934230091
pairwise,peak_sample_bin,peakmax_9,B4-B8,mlp,MLP residual,1.2929629689963114,2.1914777272302546,1.7885089531086436,2.094187343725125,-0.4955459841123322,0.09729038350512953
pairwise,q_template_bin,"q_template[0.12,0.2)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,1.0339321174509697,-0.31600705933870565,1.5222328553157047,-0.29404177810305887,-0.48830073786473505,-0.021965281235646783
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.389487614274742,1.9553709658433631,1.8709799654936932,2.276180187172975,-0.48149235121895106,-0.32080922132961187
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B8,cnn1d,1D-CNN residual,1.2242940807601954,1.896045614896892,1.7047114775021037,1.799493638573107,-0.4804173967419083,0.09655197632378498
pairwise,charge_bin,"charge[24000,40000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1089624100059865,2.3104292622374496,1.5847031692802336,2.839277172243117,-0.4757407592742471,-0.5288479100056676
pairwise,q_template_bin,"q_template[0.025,0.05)",B6-B8,cnn1d,1D-CNN residual,0.8124318742096317,-0.4552798206132402,1.2874062728967186,-0.2735322520843382,-0.4749743986870869,-0.181747568528902
pairwise,peak_sample_bin,peakmax_8,B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.8951172967427616,-0.46088836896546226,1.358746158491475,-0.31619259455409676,-0.46362886174871343,-0.1446957744113655
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B6,cnn1d,1D-CNN residual,1.344555234709552,2.341828574449772,1.8050568256077177,2.0841504851127626,-0.4605015908981658,0.25767808933700964
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.9063673588842001,1.9269385602029063,1.3654248539754554,1.8859717099398974,-0.4590574950912554,0.04096685026300895
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B6,cnn1d,1D-CNN residual,1.4006972252181091,2.3865395242880725,1.8570204789603602,2.281051860711621,-0.456323253742251,0.10548766357645167
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B6,mlp,MLP residual,1.4027256745549166,2.3887828249343657,1.8570204789603602,2.281051860711621,-0.45429480440544356,0.10773096422274486
pairwise,peak_sample_bin,peakmax_9,B4-B6,cnn1d,1D-CNN residual,1.312347800953941,2.216044583700022,1.7628920206734036,2.0430670349474798,-0.45054421971946246,0.17297754875254245
pairwise,peak_sample_bin,peakmax_8,B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.020602301019725,2.2796939845599837,1.469259988236703,2.199788888235506,-0.4486576872169781,0.07990509632447784
pairwise,peak_sample_bin,peakmax_10,B4-B6,cnn1d,1D-CNN residual,1.217833349014383,2.323764643899316,1.665432706469118,2.4939752259102694,-0.447599357454735,-0.17021058201095363
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B8,mlp,MLP residual,1.4245556545627025,2.1018964244906706,1.8709799654936932,2.276180187172975,-0.44642431093099066,-0.1742837626823044
pairwise,peak_sample_bin,peakmax_9,B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.317212699058936,2.0642340729522983,1.7628920206734036,2.0430670349474798,-0.44567932161446766,0.02116703800481856
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B8,mlp,MLP residual,1.2475426415882325,2.0345950099188173,1.6925286486980502,1.7942013915876416,-0.4449860071098177,0.24039361833117567
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B8,cnn1d,1D-CNN residual,1.249631608441426,1.9999166267558228,1.6925286486980502,1.7942013915876416,-0.44289704025662413,0.20571523516818124
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,0.92303121912565,1.7652282107298687,1.3654248539754554,1.8859717099398974,-0.44239363484980543,-0.12074349921002869
pairwise,q_template_bin,"q_template[0.08,0.12)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,1.0376547925736275,-0.3576724124038363,1.4763333225555613,-0.31619780763569655,-0.4386785299819338,-0.041474604768139745
pairwise,peak_sample_bin,peakmax_10,B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.8973860386379504,-0.23612644363375634,1.3360323035139041,-0.3120962670543301,-0.4386462648759537,0.07596982342057373
pairwise,q_template_bin,"q_template[0.025,0.05)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,0.8510137922883976,-0.4131534951780899,1.2874062728967186,-0.2735322520843382,-0.43639248060832103,-0.13962124309375173
pairwise,q_template_bin,"q_template[0.05,0.08)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,1.0296924952266227,-0.30476925394257953,1.464068268160001,-0.30495817484146104,-0.43437577293337837,0.0001889208988815061
pairwise,charge_bin,"charge[24000,40000)",B4-B8,cnn1d,1D-CNN residual,1.046736550399368,1.909259530900871,1.479584156880786,2.2170802466968667,-0.43284760648141796,-0.30782071579599557
pairwise,peak_sample_bin,peakmax_8,B4-B8,cnn1d,1D-CNN residual,1.0907951160970226,1.8335454394991657,1.5230864686527628,1.7623558977121605,-0.43229135255574014,0.0711895417870052
pairwise,q_template_bin,"q_template[0.025,0.05)",B6-B8,mlp,MLP residual,0.860358312112784,-0.47839573699240273,1.2874062728967186,-0.2735322520843382,-0.4270479607839346,-0.20486348490806455
pairwise,p09_anomaly_class,unassigned_common,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.8542037560533929,1.9494476947727126,1.2809500868604902,1.8954746647773337,-0.42674633080709723,0.053973029995378896
pairwise,baseline_bin,"baseline_rms[0,8)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.9525368778888037,-0.31764641586586756,1.3734984219507989,-0.27000005050034015,-0.42096154406199515,-0.04764636536552741
pairwise,charge_bin,"charge[14000,24000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.858651036152941,2.255063010080573,1.2784054583390252,2.1130830351967935,-0.41975442218608416,0.14197997488377956
pairwise,peak_sample_bin,peakmax_9,B6-B8,atom_gated_cnn,Atom-gated residual CNN,1.0366840340275822,-0.1808520585817193,1.455088309816495,-0.205283168135226,-0.4184042757889128,0.02443110955350672
pairwise,peak_sample_bin,peakmax_9,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.370637994982348,2.1434295192100694,1.7885089531086436,2.094187343725125,-0.4178709581262956,0.04924217548494436
pairwise,peak_sample_bin,peakmax_11,B4-B8,cnn1d,1D-CNN residual,1.2318551296091602,1.926567547479094,1.6484680475331857,1.7071950454769353,-0.41661291792402544,0.21937250200215863
pairwise,peak_sample_bin,peakmax_10,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.2281137070979362,1.9923577251423967,1.644382756183749,1.8224955735199204,-0.41626904908581275,0.1698621516224763
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.2887811459419956,1.8150656794421993,1.7047114775021037,1.799493638573107,-0.41593033156010817,0.015572040869092252
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B8,mlp,MLP residual,1.2894565462119951,1.8443089091679523,1.7047114775021037,1.799493638573107,-0.4152549312901086,0.04481527059484525
pairwise,baseline_bin,"baseline_rms[16,32)",B4-B8,cnn1d,1D-CNN residual,1.2761509952162584,1.8006688220589444,1.6911188065216995,1.7140739357622414,-0.41496781130544114,0.08659488629670298
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.3904686911461541,2.1707708771859253,1.8050568256077177,2.0841504851127626,-0.4145881344615636,0.08662039207316274
pairwise,peak_sample_bin,peakmax_9,B4-B6,mlp,MLP residual,1.3541756755178378,2.224931084027042,1.7628920206734036,2.0430670349474798,-0.40871634515556576,0.18186404907956222
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B8,cnn1d,1D-CNN residual,0.9584260385378358,1.8338697290957107,1.3654248539754554,1.8859717099398974,-0.4069988154376196,-0.05210198084418671
pairwise,p09_anomaly_class,unassigned_common,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.8522793463389113,2.275447267325981,1.258774229647033,2.191424877644143,-0.40649488330812167,0.08402238968183795
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.8759150840857971,2.2425309608699115,1.2816384631446285,2.275204481454824,-0.4057233790588314,-0.03267352058491246
pairwise,q_template_bin,"q_template[0.025,0.05)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.8846783092945824,-0.35925488954982265,1.2874062728967186,-0.2735322520843382,-0.40272796360213625,-0.08572263746548447
pairwise,q_template_bin,"q_template[0.12,0.2)",B6-B8,cnn1d,1D-CNN residual,1.1245136256095192,-0.3045312658590615,1.5222328553157047,-0.29404177810305887,-0.39771922970618556,-0.010489487756002613
pairwise,baseline_bin,"baseline_rms[8,16)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.914955003261565,-0.3005621436047657,1.3094416705500285,-0.28313457125420827,-0.3944866672884635,-0.01742757235055742
pairwise,q_template_bin,"q_template[0.12,0.2)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.297126999381621,2.1934308195264505,1.6899736583998184,2.4389739154914825,-0.3928466590181974,-0.245543095965032
pairwise,baseline_bin,"baseline_rms[16,32)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,1.1589600519518535,2.331720421910275,1.551643272756376,2.197977326788424,-0.39268322080452256,0.13374309512185079
pairwise,p09_anomaly_class,dropout,B4-B8,cnn1d,1D-CNN residual,3.1286904103826885,-1.1098471197234976,3.5170894077650736,-2.122639024390647,-0.38839899738238515,1.0127919046671492
pairwise,peak_sample_bin,peakmax_11,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.2641005808045005,1.9800451146922184,1.6484680475331857,1.7071950454769353,-0.38436746672868516,0.2728500692152831
pairwise,peak_sample_bin,peakmax_10,B4-B6,mlp,MLP residual,1.2820421801709094,2.3109705861484002,1.665432706469118,2.4939752259102694,-0.38339052629820847,-0.1830046397618692
pairwise,topology_atom,B4-B8,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.8206042451579914,1.8667158695129813,1.2029419536997943,1.8662540111588222,-0.38233770854180293,0.0004618583541591281
pairwise,all,all,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.8206042451579914,1.8667158695129813,1.2029419536997943,1.8662540111588222,-0.38233770854180293,0.0004618583541591281
pairwise,saturation_flag,False,B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.8159375083787476,1.8588424098446164,1.1937261973448212,1.8529034895104408,-0.37778868896607365,0.005938920334175535
pairwise,peak_sample_bin,peakmax_8,B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.1463671513643365,1.7231652890099087,1.5230864686527628,1.7623558977121605,-0.3767193172884262,-0.03919060870225177
pairwise,charge_bin,"charge[24000,40000)",B6-B8,atom_gated_cnn,Atom-gated residual CNN,0.8227067811034755,-0.37309536042660557,1.1989059032555063,-0.08521776804888255,-0.3761991221520308,-0.28787759237772303
pairwise,peak_sample_bin,peakmax_10,B4-B8,cnn1d,1D-CNN residual,1.2722034829561293,1.8288464492056051,1.644382756183749,1.8224955735199204,-0.3721792732276197,0.006350875685684709
pairwise,peak_sample_bin,peakmax_8,B4-B8,mlp,MLP residual,1.1520221972481937,1.8197157431058226,1.5230864686527628,1.7623558977121605,-0.3710642714045691,0.05735984539366212
pairwise,q_template_bin,"q_template[0.05,0.08)",B4-B6,mlp,MLP residual,1.4346190302848758,2.3120828328516527,1.8050568256077177,2.0841504851127626,-0.37043779532284193,0.22793234773889015
pairwise,all,all,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.8285278676512505,2.231772210649377,1.1969860563877206,2.1749716559471324,-0.36845818873647007,0.05680055470224454
pairwise,topology_atom,B4-B6,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.8285278676512505,2.231772210649377,1.1969860563877206,2.1749716559471324,-0.36845818873647007,0.05680055470224454
pairwise,saturation_flag,False,B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.8281803137938119,2.2249540747171324,1.1964312612817998,2.16676362876139,-0.3682509474879879,0.0581904459557423
pairwise,peak_sample_bin,peakmax_8,B6-B8,cnn1d,1D-CNN residual,0.9966528765950324,-0.4853612239471714,1.358746158491475,-0.31619259455409676,-0.36209328189644263,-0.16916862939307464
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.4954362004803328,2.2862754674274433,1.8570204789603602,2.281051860711621,-0.3615842784800274,0.005223606715822449
pairwise,baseline_bin,"baseline_rms[8,16)",B6-B8,cnn1d,1D-CNN residual,0.9497779421725278,-0.33597314436684944,1.3094416705500285,-0.28313457125420827,-0.3596637283775007,-0.052838573112641174
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B6,cnn1d,1D-CNN residual,1.1629849992600194,2.249603368671163,1.5181597886681426,2.1152097669127405,-0.3551747894081232,0.1343936017584224
pairwise,peak_sample_bin,peakmax_9,B6-B8,cnn1d,1D-CNN residual,1.1004425265966022,-0.19946329963283219,1.455088309816495,-0.205283168135226,-0.3546457832198928,0.005819868502393827
pairwise,q_template_bin,"q_template[0.05,0.08)",B6-B8,gradient_boosted_trees,HistGradientBoosting residual,1.1103277573837111,-0.30206700146843873,1.464068268160001,-0.30495817484146104,-0.3537405107762899,0.0028911733730223044
pairwise,amplitude_bin,"amp_adc[2500,4000)",B4-B8,atom_gated_cnn,Atom-gated residual CNN,0.817155611515044,1.84748452766558,1.170081256499017,1.7633905887659544,-0.35292564498397305,0.08409393889962558
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B6,cnn1d,1D-CNN residual,1.1253341615789565,2.1978065159749605,1.477118923679131,2.064158771395769,-0.3517847621001744,0.13364774457919149
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B6,gradient_boosted_trees,HistGradientBoosting residual,1.1263646253007902,2.055925095199214,1.477118923679131,2.064158771395769,-0.3507542983783407,-0.008233676196554907
pairwise,baseline_bin,"baseline_rms[0,8)",B6-B8,cnn1d,1D-CNN residual,1.023172553716173,-0.3275769208822174,1.3734984219507989,-0.27000005050034015,-0.35032586823462575,-0.057576870381877254
pairwise,q_template_bin,"q_template[0.05,0.08)",B6-B8,cnn1d,1D-CNN residual,1.1172094769110927,-0.34961843829454253,1.464068268160001,-0.30495817484146104,-0.3468587912489083,-0.044660263453081495
pairwise,peak_sample_bin,peakmax_10,B4-B6,ridge,Ridge residual,1.320382736496009,2.382988008186209,1.665432706469118,2.4939752259102694,-0.3450499699731089,-0.11098721772406028
pairwise,charge_bin,"charge[8000,14000)",B4-B6,atom_gated_cnn,Atom-gated residual CNN,0.6145628135008196,2.1986954963274585,0.9585834771041809,2.092526881934268,-0.34402066360336125,0.10616861439319036
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.2284650512861244,2.006412547819334,1.568813686366227,1.9513402281233871,-0.3403486350801026,0.055072319695946836
pairwise,q_template_bin,"q_template[0.025,0.05)",B4-B8,mlp,MLP residual,1.0265366102731524,1.770589676053397,1.3654248539754554,1.8859717099398974,-0.3388882437023031,-0.11538203388650037
pairwise,peak_sample_bin,peakmax_8,B6-B8,gradient_boosted_trees,HistGradientBoosting residual,1.0228356757179118,-0.48271004682761237,1.358746158491475,-0.31619259455409676,-0.3359104827735633,-0.1665174522735156
pairwise,baseline_bin,"baseline_rms[0,8)",B4-B8,mlp,MLP residual,1.2352154283498704,2.0744726349379916,1.568813686366227,1.9513402281233871,-0.33359825801635656,0.12313240681460447
pairwise,charge_bin,"charge[24000,40000)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.1503109818799846,1.808694386096278,1.479584156880786,2.2170802466968667,-0.32927317500080133,-0.40838586060058857
pairwise,baseline_bin,"baseline_rms[8,16)",B4-B8,cnn1d,1D-CNN residual,1.16880425268191,1.9409214944998283,1.4969759557276197,1.943074618844607,-0.32817170304570964,-0.0021531243447787674
pairwise,peak_sample_bin,peakmax_9,B6-B8,mlp,MLP residual,1.128268203220441,-0.16895846871250736,1.455088309816495,-0.205283168135226,-0.3268201065960541,0.036324699422718654
pairwise,baseline_bin,"baseline_rms[8,16)",B4-B6,cnn1d,1D-CNN residual,1.235949258592393,2.24746724305352,1.562247473457005,2.2489556471230356,-0.3262982148646121,-0.0014884040695157807
pairwise,q_template_bin,"q_template[0.025,0.05)",B6-B8,ridge,Ridge residual,0.9636817077458042,-0.34902036243247897,1.2874062728967186,-0.2735322520843382,-0.3237245651509144,-0.07548811034814079
pairwise,q_template_bin,"q_template[0.08,0.12)",B4-B8,gradient_boosted_trees,HistGradientBoosting residual,1.3705621377467918,1.924756206162363,1.6925286486980502,1.7942013915876416,-0.3219665109512584,0.1305548145747215
