alpha,amplitude_sign,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run,variant,mode,direction,n_bins,max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,monotone_log_amp
10.0,-1.0,0,2.0828562222862317,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,-1.0,1,1.2353794411784236,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,-1.0,2,1.3885878131776117,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,-1.0,-1,1.5689411588807556,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,1.0,0,2.085695710884849,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,1.0,1,1.24452499071404,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,1.0,2,1.3733218750686642,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
10.0,1.0,-1,1.567847525555851,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,-1.0,0,2.0815546241074045,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,-1.0,1,1.2342383138858963,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,-1.0,2,1.3887865910090744,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,-1.0,-1,1.568193176334125,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,1.0,0,2.0798689670103334,2997,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,1.0,1,1.2420915628712164,3534,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,1.0,2,1.382823905090433,4710,5.0,58,signed_shared_shrinkage,,,,,,,,,,
100.0,1.0,-1,1.5682614783239943,0,5.0,58,signed_shared_shrinkage,,,,,,,,,,
,,0,2.1304688214082987,2997,,58,monotone_residual_table,monotonic,decreasing,4.0,,,,,,,
,,1,1.4056012777732123,3534,,58,monotone_residual_table,monotonic,decreasing,4.0,,,,,,,
,,2,1.5616324501987369,4710,,58,monotone_residual_table,monotonic,decreasing,4.0,,,,,,,
,,-1,1.6992341831267492,0,,58,monotone_residual_table,monotonic,decreasing,4.0,,,,,,,
,,0,2.095211319408463,2997,,58,monotone_residual_table,monotonic,decreasing,6.0,,,,,,,
,,1,1.434815082658499,3534,,58,monotone_residual_table,monotonic,decreasing,6.0,,,,,,,
,,2,1.5000000000000036,4710,,58,monotone_residual_table,monotonic,decreasing,6.0,,,,,,,
,,-1,1.6766754673556552,0,,58,monotone_residual_table,monotonic,decreasing,6.0,,,,,,,
,,0,1.8990336200355438,2997,,58,monotone_residual_table,monotonic,decreasing,8.0,,,,,,,
,,1,1.420848055466431,3534,,58,monotone_residual_table,monotonic,decreasing,8.0,,,,,,,
,,2,1.463434484394368,4710,,58,monotone_residual_table,monotonic,decreasing,8.0,,,,,,,
,,-1,1.5944387199654475,0,,58,monotone_residual_table,monotonic,decreasing,8.0,,,,,,,
,,0,1.8865864692975336,2997,,58,monotone_residual_table,monotonic,decreasing,10.0,,,,,,,
,,1,1.3922283967696827,3534,,58,monotone_residual_table,monotonic,decreasing,10.0,,,,,,,
,,2,1.4464015519560363,4710,,58,monotone_residual_table,monotonic,decreasing,10.0,,,,,,,
,,-1,1.5750721393410843,0,,58,monotone_residual_table,monotonic,decreasing,10.0,,,,,,,
,,0,1.8865864692975371,2997,,58,monotone_residual_table,monotonic,decreasing,12.0,,,,,,,
,,1,1.416599665500446,3534,,58,monotone_residual_table,monotonic,decreasing,12.0,,,,,,,
,,2,1.476574333803552,4710,,58,monotone_residual_table,monotonic,decreasing,12.0,,,,,,,
,,-1,1.593253489533845,0,,58,monotone_residual_table,monotonic,decreasing,12.0,,,,,,,
,,0,1.8422967802558912,2997,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.2459908955909564,3534,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.258909761549888,4710,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.4490658124655784,0,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,1.853269433614565,2997,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.2407168725564433,3534,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.2575516819960026,4710,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.450512662722337,0,24.0,58,full_unconstrained,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.8756394237034026,2997,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.306804921484142,3534,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.2939029749773279,4710,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.492115773388291,0,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,1.8648571109952712,2997,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.3110658676823175,3534,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.2809563357641431,4710,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.485626438147244,0,24.0,58,full_unconstrained,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,1.9829707378300943,2997,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.3347855748896484,3534,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.3261382209561186,4710,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.5479648445586205,0,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,1.9706294324469555,2997,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.3550771205915826,3534,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.3328491603601371,4710,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.552851904466225,0,24.0,58,full_unconstrained,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.9781564891335113,2997,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.4374446446939397,3534,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.3887074224464109,4710,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.6014361854246204,0,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,1.9801212705382676,2997,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.4438027489826242,3534,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.3778560283915067,4710,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.6005933493041329,0,24.0,58,full_unconstrained,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,1.8520369156852041,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,1,1.2331528887746288,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,2,1.2393308310358049,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,-1,1.441506878498546,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,0,1.8756093302368435,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,1
,,1,1.2160360089085278,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,1
,,2,1.2196115913789103,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,1
,,-1,1.4370856435080939,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,1
,,0,1.821574150446125,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,1,1.227703016012079,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,2,1.2362404437327479,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,-1,1.4285058700636506,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,0,1.8843698684108694,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,1
,,1,1.2136443198485702,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,1
,,2,1.2195312212836849,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,1
,,-1,1.4391818031810415,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,1
,,0,1.8652910701974519,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,1,1.2875772445477809,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,2,1.269665229053396,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,-1,1.4741778479328762,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,0,1.8979228805229509,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,1
,,1,1.2714703856236276,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,1
,,2,1.2779836840373715,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,1
,,-1,1.4824589833946498,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,1
,,0,1.8432391062577786,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,1,1.290064695402706,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,2,1.270881053696394,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,-1,1.4680616184522928,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,0,1.8905296678582482,2997,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,1
,,1,1.2980523084610458,3534,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,1
,,2,1.2653633108067663,4710,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,1
,,-1,1.4846484290420203,0,24.0,58,full_monotone_log_amp,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,1
,,0,1.959227160547934,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,1,1.3308341496785634,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,2,1.3236792599358218,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,-1,1.5379135233874397,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,-1
,,0,2.004409216756835,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,1
,,1,1.3259103415162614,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,1
,,2,1.348816197951712,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,1
,,-1,1.5597119187416029,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,1
,,0,1.9647367795757193,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,1,1.3365673910423732,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,2,1.3213023608666954,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,-1,1.5408688438282627,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,-1
,,0,2.013682293806836,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,1
,,1,1.3363105836024458,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,1
,,2,1.3406308037378145,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,1
,,-1,1.563541227049032,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,1
,,0,1.962911991458848,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,1,1.4208304514554273,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,2,1.3709146534606274,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,-1,1.5848856987916342,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,-1
,,0,2.0074179187711523,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,1
,,1,1.4049301392778044,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,1
,,2,1.3778633371137787,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,1
,,-1,1.5967371317209118,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,1
,,0,1.9452220264123377,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,1,1.4180429916690036,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,2,1.3579628888837285,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,-1,1.573742635655023,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,-1
,,0,1.9892137587717715,2997,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,1
,,1,1.404025850729279,3534,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,1
,,2,1.3762657826267921,4710,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,1
,,-1,1.5898351307092808,0,24.0,58,full_monotone_log_amp,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,1
,,0,1.938848015401556,2997,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.2772091482154497,3534,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.2914180261684898,4710,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.5024917299284983,0,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,1.9388951146756215,2997,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.2742281611817998,3534,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.2869315972181232,4710,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.5000182910251816,0,6.0,58,amplitude_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.9621561004022205,2997,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.3076205806778027,3534,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.3202208691127961,4710,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.5299991833976065,0,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,1.9656461937787113,2997,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.3160099661943914,3534,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.3266795659346287,4710,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.5361119086359105,0,6.0,58,amplitude_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,2.079191389227084,2997,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.3653520960716148,3534,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.388408507193794,4710,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.6109839974974978,0,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,2.0776190968356065,2997,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.3655942220478796,3534,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.386063078970692,4710,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.609758799284726,0,6.0,58,amplitude_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,2.107182220229487,2997,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.3999568388422365,3534,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.4399027758208576,4710,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.6490139449641938,0,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,2.1131303854189207,2997,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.403450028543568,3534,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.437070706742595,4710,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.651217040235028,0,6.0,58,amplitude_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,1.884715663845952,2997,23.0,58,shape_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.195950435084052,3534,23.0,58,shape_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.2275591104377905,4710,23.0,58,shape_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.4360750697892648,0,23.0,58,shape_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,1.8779473188577498,2997,23.0,58,shape_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.1752357020230575,3534,23.0,58,shape_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.2275642698456928,4710,23.0,58,shape_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.4269157635754999,0,23.0,58,shape_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.879942073687739,2997,23.0,58,shape_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.2550311547942614,3534,23.0,58,shape_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.2450511711325942,4710,23.0,58,shape_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.4600081332048649,0,23.0,58,shape_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,1.8685193678101766,2997,23.0,58,shape_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.2792064038498805,3534,23.0,58,shape_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.2359357287914896,4710,23.0,58,shape_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.4612205001505156,0,23.0,58,shape_only,,,,60.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,2.0133331670927204,2997,23.0,58,shape_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.3343037580468384,3534,23.0,58,shape_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.3487271698154797,4710,23.0,58,shape_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.5654546983183462,0,23.0,58,shape_only,,,,100.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,2.012845037651462,2997,23.0,58,shape_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.354922736824217,3534,23.0,58,shape_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.3488106039543768,4710,23.0,58,shape_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.5721927928100186,0,23.0,58,shape_only,,,,100.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.9769990753939868,2997,23.0,58,shape_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.3887965784175922,3534,23.0,58,shape_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.3727958399370483,4710,23.0,58,shape_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.579530497916209,0,23.0,58,shape_only,,,,100.0,0.05,15.0,0.0,64.0,20260609.0,
,,0,1.9823809773354046,2997,23.0,58,shape_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,1,1.4043285970896013,3534,23.0,58,shape_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,2,1.3745108709923024,4710,23.0,58,shape_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,-1,1.5870734818057695,0,23.0,58,shape_only,,,,100.0,0.05,15.0,0.1,64.0,20260609.0,
,,0,1.8998364058182027,2997,3.0,58,stave_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,1,1.217720752173797,3534,3.0,58,stave_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,2,1.3030202626814464,4710,3.0,58,stave_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,-1,1.4735258068911488,0,3.0,58,stave_only,,,,60.0,0.05,7.0,0.0,64.0,20260609.0,
,,0,1.8998153584457036,2997,3.0,58,stave_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,1,1.2177231384142786,3534,3.0,58,stave_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,2,1.3029987118268629,4710,3.0,58,stave_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,-1,1.473512402895615,0,3.0,58,stave_only,,,,60.0,0.05,7.0,0.1,64.0,20260609.0,
,,0,1.8998364058182027,2997,3.0,58,stave_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,1,1.217720752173797,3534,3.0,58,stave_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,2,1.3030202626814464,4710,3.0,58,stave_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
,,-1,1.4735258068911488,0,3.0,58,stave_only,,,,60.0,0.05,15.0,0.0,64.0,20260609.0,
