sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_I,B2-B6,raw_cfd20,1,45,27,48.011401247394275
sample_I,B2-B6,raw_cfd20,1,49,20,8.377362106319316
sample_I,B2-B6,raw_cfd20,1,56,23,50.14993660933058
sample_I,B2-B6,raw_cfd20,2,45,31,35.433084419902684
sample_I,B2-B6,raw_cfd20,2,49,20,35.79202725678456
sample_I,B2-B6,raw_cfd20,2,50,23,38.943453140209364
sample_I,B2-B6,raw_cfd20,2,53,24,43.66627093980364
sample_I,B2-B6,raw_cfd20,2,54,21,48.30812152598603
sample_I,B2-B6,raw_cfd20,2,56,25,39.413210332264946
sample_I,B2-B6,raw_cfd20,2,57,22,9.381221586520333
sample_I,B2-B6,raw_cfd20,3,45,48,29.24420740119598
sample_I,B2-B6,raw_cfd20,3,48,28,3.3988971515964392
sample_I,B2-B6,raw_cfd20,3,49,28,13.328181545315704
sample_I,B2-B6,raw_cfd20,3,50,29,35.813551957621286
sample_I,B2-B6,raw_cfd20,3,53,22,47.05655829327908
sample_I,B2-B6,raw_cfd20,3,55,28,34.080343224566114
sample_I,B2-B6,raw_cfd20,3,56,37,41.90643677165996
sample_I,B2-B6,raw_cfd20,3,57,26,49.59369698411834
sample_I,B2-B6,raw_cfd20,4,45,57,11.580485549374677
sample_I,B2-B6,raw_cfd20,4,48,44,2.6297478651950943
sample_I,B2-B6,raw_cfd20,4,49,40,5.1785206199911915
sample_I,B2-B6,raw_cfd20,4,50,41,40.839398659671964
sample_I,B2-B6,raw_cfd20,4,51,20,43.79116281384222
sample_I,B2-B6,raw_cfd20,4,52,23,34.086580093992126
sample_I,B2-B6,raw_cfd20,4,53,38,41.09013191540325
sample_I,B2-B6,raw_cfd20,4,54,47,49.96811344902864
sample_I,B2-B6,raw_cfd20,4,55,25,30.101059197426885
sample_I,B2-B6,raw_cfd20,4,56,59,28.77353186865355
sample_I,B2-B6,raw_cfd20,4,57,52,4.72479948067836
sample_I,B2-B6,raw_cfd20,5,45,76,27.988905150491767
sample_I,B2-B6,raw_cfd20,5,48,54,17.663898198579506
sample_I,B2-B6,raw_cfd20,5,49,65,4.910594144458177
sample_I,B2-B6,raw_cfd20,5,50,67,41.493112295596795
sample_I,B2-B6,raw_cfd20,5,51,31,27.941836068645813
sample_I,B2-B6,raw_cfd20,5,53,54,48.42349237293426
sample_I,B2-B6,raw_cfd20,5,54,45,40.57733022353397
sample_I,B2-B6,raw_cfd20,5,55,37,43.57904263058549
sample_I,B2-B6,raw_cfd20,5,56,71,40.93872358824254
sample_I,B2-B6,raw_cfd20,5,57,51,11.31485373662986
sample_I,B2-B6,raw_cfd20,6,45,37,42.83883662967875
sample_I,B2-B6,raw_cfd20,6,49,25,43.17062204837782
sample_I,B2-B6,raw_cfd20,6,50,35,35.71329067160551
sample_I,B2-B6,raw_cfd20,6,53,29,38.931012253723
sample_I,B2-B6,raw_cfd20,6,54,32,47.09327638216725
sample_I,B2-B6,raw_cfd20,6,56,52,38.70993805223821
sample_I,B2-B6,raw_cfd20,6,57,27,7.025181143949543
sample_I,B2-B6,timewalk_corrected,0,45,22,26.581308986317815
sample_I,B2-B6,timewalk_corrected,0,56,22,46.8842791410749
sample_I,B2-B6,timewalk_corrected,1,45,27,40.086822746202444
sample_I,B2-B6,timewalk_corrected,1,49,20,8.69949166846729
sample_I,B2-B6,timewalk_corrected,1,56,23,50.592124782101294
sample_I,B2-B6,timewalk_corrected,2,45,31,31.918861937874972
sample_I,B2-B6,timewalk_corrected,2,49,20,41.72849992005726
sample_I,B2-B6,timewalk_corrected,2,50,23,40.70186210292924
sample_I,B2-B6,timewalk_corrected,2,53,24,45.859189583432695
sample_I,B2-B6,timewalk_corrected,2,54,21,50.36901673473136
sample_I,B2-B6,timewalk_corrected,2,56,25,36.489436383631286
sample_I,B2-B6,timewalk_corrected,2,57,22,13.509772478264683
sample_I,B2-B6,timewalk_corrected,3,45,48,29.179148466501427
sample_I,B2-B6,timewalk_corrected,3,48,28,4.137152721745956
sample_I,B2-B6,timewalk_corrected,3,49,28,11.361458080716048
sample_I,B2-B6,timewalk_corrected,3,50,29,35.482625872005336
sample_I,B2-B6,timewalk_corrected,3,53,22,40.11378687666601
sample_I,B2-B6,timewalk_corrected,3,55,28,31.461940896851782
sample_I,B2-B6,timewalk_corrected,3,56,37,40.325260588600536
sample_I,B2-B6,timewalk_corrected,3,57,26,44.1517145898147
sample_I,B2-B6,timewalk_corrected,4,45,57,8.804843681808222
sample_I,B2-B6,timewalk_corrected,4,48,44,6.5617296655146
sample_I,B2-B6,timewalk_corrected,4,49,40,11.281769535525092
sample_I,B2-B6,timewalk_corrected,4,50,41,34.548406270328336
sample_I,B2-B6,timewalk_corrected,4,51,20,39.49119297154851
sample_I,B2-B6,timewalk_corrected,4,52,23,32.5674880557782
