sample,pair,has_b2,stage,amp_bin,amp_lo,amp_hi,n,amp_median,sigma68_ns,ci_low_ns,ci_high_ns,run_spread_std_ns,n_runs_used,sigma68_per_stave_sqrt2_ns
sample_II,B4-B6,False,raw_cfd20,2,1550.0,1900.0,1087,1741.5,2.256044586652168,2.0995614180126188,2.3344675042842082,0.2454516728292293,6,1.5952644258809494
sample_II,B4-B6,False,raw_cfd20,3,1900.0,2300.0,1737,2111.5,1.8230836229033285,1.7209154483006286,1.8856310072083111,0.09022614838122892,7,1.289114792425082
sample_II,B4-B6,False,raw_cfd20,4,2300.0,2800.0,2982,2565.5,1.5862745549345476,1.536115611610542,1.6281605383255668,0.07503250565983507,7,1.1216654946178912
sample_II,B4-B6,False,raw_cfd20,5,2800.0,3400.0,2685,3033.0,1.4127613931874397,1.3724954584961746,1.4527870752169294,0.17836226780306316,7,0.9989731613213928
sample_II,B4-B6,False,raw_cfd20,6,3400.0,4200.0,374,3556.0,1.5364797788946145,1.3709822363387358,1.679506992266451,0.0871744611426412,4,1.0864552708123891
sample_II,B4-B6,False,raw_cfd20,7,4200.0,5200.0,22,4622.25,,,,,0,
sample_II,B4-B6,False,raw_cfd20,8,5200.0,6500.0,1,5300.0,,,,,0,
sample_II,B4-B6,False,raw_cfd20,9,6500.0,8000.0,0,,,,,,0,
sample_II,B4-B6,False,raw_cfd20,10,8000.0,,0,,,,,,0,
sample_II,B4-B6,False,timewalk_corrected,0,1000.0,1250.0,496,1125.5,1.940435173795854,1.787371294136402,2.1596302038765476,0.4404689842548208,5,1.3720948698439452
sample_II,B4-B6,False,timewalk_corrected,1,1250.0,1550.0,764,1420.75,2.1110574213129674,1.9263468323061892,2.1654979286074654,0.17752438164520978,6,1.4927430180845855
sample_II,B4-B6,False,timewalk_corrected,2,1550.0,1900.0,1087,1741.5,2.006869130015878,1.8682057198014277,2.0778138710568994,0.16741348981442855,6,1.4190707707881745
sample_II,B4-B6,False,timewalk_corrected,3,1900.0,2300.0,1737,2111.5,1.7119084597078513,1.6371716403256993,1.7763578200755445,0.15964118335829425,7,1.210502080630039
sample_II,B4-B6,False,timewalk_corrected,4,2300.0,2800.0,2982,2565.5,1.414897172925581,1.3678206551251153,1.4737952489445767,0.06906166708216775,7,1.0004833856573534
sample_II,B4-B6,False,timewalk_corrected,5,2800.0,3400.0,2685,3033.0,1.2876552658761997,1.2480288679910168,1.3264288863287736,0.12747878155963333,7,0.9105097703316276
sample_II,B4-B6,False,timewalk_corrected,6,3400.0,4200.0,374,3556.0,1.4859349181909782,1.370979453748315,1.6321545658106749,0.2044573011164189,4,1.0507146570547183
sample_II,B4-B6,False,timewalk_corrected,7,4200.0,5200.0,22,4622.25,,,,,0,
sample_II,B4-B6,False,timewalk_corrected,8,5200.0,6500.0,1,5300.0,,,,,0,
sample_II,B4-B6,False,timewalk_corrected,9,6500.0,8000.0,0,,,,,,0,
sample_II,B4-B6,False,timewalk_corrected,10,8000.0,,0,,,,,,0,
sample_II,B4-B8,False,raw_cfd20,0,1000.0,1250.0,187,1127.5,3.246084083314727,2.417715721927362,3.402781044086093,0.20133046888946377,5,2.295328067613561
