run,selected_pulses,B2,B4,B6,B8,input_path,input_sha256
53,32200,31225,559,296,120,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0053-sorted.root,b4683acf9a0054d7f5449c6c5f1a106cb4aeaea005eac00977ec6cbcf59cc341
54,30440,29493,536,298,113,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0054-sorted.root,ff256cdf850531b641120108ad2fae3d64c54db67d2a5cfe63cfd6a97f025185
55,17387,16735,372,199,81,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0055-sorted.root,da1c2306be84c1288b32af2425a6c9d81a1c15405961f498f78a045b2766ff20
56,40148,38730,825,421,172,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0056-sorted.root,081984462a6566ae0f57ffcffbe2ecad4b8b1e901437059320968ada7debc23d
57,13833,12774,656,273,130,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0057-sorted.root,feb3299913b2e6fda170ff9b9d5bb936d9ceca3f229f3d9002c84011f0e86ef0
58,16781,15791,591,285,114,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0058-sorted.root,f4f2eb974552b91dd560a2ff77121977ba7d923ee61ee38074ae78bd11e61b52
59,21377,13565,4527,2366,919,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0059-sorted.root,6a2b1b539c9c52facb2dc0b1b8937129b0b27f0c46f798b2322fe64c4850a36e
60,17029,9873,4040,2189,927,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0060-sorted.root,d9e62c536e7c4c81f0e0882c18fb5d683bf2c1d4ff453d0739d621987c99f4c8
61,18965,11015,4401,2490,1059,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0061-sorted.root,c68cbb4998546f4d76c8cf65013b0c21e0a0ed7fd425c0ff126e274cfd54f16f
62,19089,11635,4183,2342,929,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0062-sorted.root,086f08ac0db1c01220ccdd81c22fd487d5fc6d9176caf68458751ead04910acb
63,18817,14566,2645,1153,453,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0063-sorted.root,b4d29c549c305e912d63bfb0fde8a2a9540f67800c03039eb76c3f14ffff4abe
64,14630,11907,1689,763,271,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0064-sorted.root,1d4405ad8340ebcf29d1ae58eb9b55f1187be3c3518bdb80ce394a8fb1d521f0
65,13038,11768,842,323,105,/home/billy/ccb-data/data/extracted/sorted-b/hrdb_run_0065-sorted.root,6fcd467740c34e5a5af965cc9aa73f582ada8c1601284db0740ef5eb6325ab9f
