match_stratum,run,b2_charge_bin,total_charge_bin,event_current_bin,b2_saturated,pileup_width_bin,max_depth_stave,topology_code,available_rows,low_rows,high_rows,low_threshold,high_threshold
32|4|4|0|1|1|1|0,32,4,4,0,1,1,1,0,824,206,206,0.003293734567705542,0.008692864794284105
32|7|6|0|1|1|1|0,32,7,6,0,1,1,1,0,73,19,19,0.001669346820563078,0.00467698136344552
32|1|1|0|1|1|1|0,32,1,1,0,1,1,1,0,307,77,77,0.004837897140532732,0.012908617500215769
32|5|5|0|1|1|1|0,32,5,5,0,1,1,1,0,820,205,205,0.003242658101953566,0.008213939843699336
32|6|6|0|1|1|1|0,32,6,6,0,1,1,1,0,784,196,196,0.0032152023050002754,0.007740969769656658
32|0|0|0|0|0|1|0,32,0,0,0,0,0,1,0,210,53,53,0.03890196327120066,0.16439511254429817
32|2|1|0|1|1|1|0,32,2,1,0,1,1,1,0,41,11,11,0.0033778673969209194,0.00989372469484806
32|4|3|0|1|1|1|0,32,4,3,0,1,1,1,0,53,14,14,0.001893871696665883,0.005586392246186733
32|3|2|0|1|1|1|0,32,3,2,0,1,1,1,0,45,12,12,0.0027177147567272186,0.006791409570723772
32|6|5|0|1|1|1|0,32,6,5,0,1,1,1,0,60,15,15,0.001757180318236351,0.0042431901674717665
32|5|4|0|1|1|1|0,32,5,4,0,1,1,1,0,70,18,18,0.0021471853833645582,0.005242275423370302
32|1|1|1|1|1|1|0,32,1,1,1,1,1,1,0,254,64,64,0.005691648577339947,0.015341405058279634
32|4|4|1|1|1|1|0,32,4,4,1,1,1,1,0,859,215,215,0.003310000174678862,0.008578710723668337
32|6|6|1|1|1|1|0,32,6,6,1,1,1,1,0,891,223,223,0.002941796323284507,0.0076078870333731174
32|1|1|1|0|1|1|0,32,1,1,1,0,1,1,0,333,84,84,0.006276112049818039,0.016351673752069473
32|3|2|1|1|1|1|0,32,3,2,1,1,1,1,0,58,15,15,0.0025844081537798047,0.006874900311231613
32|2|2|1|1|1|1|0,32,2,2,1,1,1,1,0,730,183,183,0.004118136828765273,0.01115188654512167
32|7|7|1|1|1|1|0,32,7,7,1,1,1,1,0,815,204,204,0.0028931869892403483,0.007289421511813998
32|5|5|1|1|1|1|0,32,5,5,1,1,1,1,0,902,226,226,0.0030611094553023577,0.00816266518086195
32|4|3|1|1|1|1|0,32,4,3,1,1,1,1,0,76,19,19,0.002193350170273334,0.005974325351417065
32|3|3|1|1|1|1|0,32,3,3,1,1,1,1,0,855,214,214,0.0036502510774880648,0.00931524857878685
32|0|0|1|0|1|1|0,32,0,0,1,0,1,1,0,409,103,103,0.012980930507183075,0.033721569925546646
32|2|1|1|1|1|1|0,32,2,1,1,1,1,1,0,38,10,10,0.004796423017978668,0.011930285254493356
32|7|6|1|1|1|1|0,32,7,6,1,1,1,1,0,77,20,20,0.001948271063156426,0.0051179262809455395
32|6|5|1|1|1|1|0,32,6,5,1,1,1,1,0,93,24,24,0.0017729204846546054,0.004366847220808268
32|5|4|1|1|1|1|0,32,5,4,1,1,1,1,0,68,17,17,0.0020239694858901203,0.004355584620498121
32|0|0|1|0|0|1|0,32,0,0,1,0,0,1,0,148,37,37,0.040219021029770374,0.14891283586621284
32|2|2|2|1|1|1|0,32,2,2,2,1,1,1,0,772,193,193,0.004165552440099418,0.011035930830985308
32|1|1|2|1|1|1|0,32,1,1,2,1,1,1,0,318,80,80,0.0050107649294659495,0.01383219100534916
32|5|5|2|1|1|1|0,32,5,5,2,1,1,1,0,758,190,190,0.0032061217934824526,0.008166221668943763
32|6|6|2|1|1|1|0,32,6,6,2,1,1,1,0,775,194,194,0.0032680644653737545,0.007864600047469139
32|3|3|2|1|1|1|0,32,3,3,2,1,1,1,0,782,196,196,0.003467063361313194,0.009262278443202376
32|0|0|2|0|1|1|0,32,0,0,2,0,1,1,0,563,141,141,0.012259089853614569,0.03736548870801926
32|7|6|2|1|1|1|0,32,7,6,2,1,1,1,0,84,21,21,0.001624400116270408,0.005290287430398166
32|4|3|2|1|1|1|0,32,4,3,2,1,1,1,0,49,13,13,0.0018600554903969169,0.005399693734943867
32|7|7|2|1|1|1|0,32,7,7,2,1,1,1,0,828,207,207,0.002826926065608859,0.007489966112188995
32|1|1|2|0|1|1|0,32,1,1,2,0,1,1,0,460,115,115,0.006824932876043022,0.018445651046931744
32|4|4|2|1|1|1|0,32,4,4,2,1,1,1,0,759,190,190,0.0033805948914960027,0.008486409671604633
32|0|0|2|0|0|1|0,32,0,0,2,0,0,1,0,184,46,46,0.03526866436004639,0.15251874923706055
32|5|4|2|1|1|1|0,32,5,4,2,1,1,1,0,67,17,17,0.0015885810717009008,0.004856030689552426
32|6|5|2|1|1|1|0,32,6,5,2,1,1,1,0,67,17,17,0.0017461889074184,0.004160141106694937
32|3|2|2|1|1|1|0,32,3,2,2,1,1,1,0,49,13,13,0.0036247121170163155,0.007211968302726746
32|2|1|2|1|1|1|0,32,2,1,2,1,1,1,0,51,13,13,0.003238964476622641,0.008478328585624695
32|5|5|3|1|1|1|0,32,5,5,3,1,1,1,0,593,149,149,0.003197998972609639,0.008495303802192211
32|2|2|3|1|1|1|0,32,2,2,3,1,1,1,0,892,223,223,0.00376558379502967,0.011087170569226146
32|7|7|3|1|1|1|0,32,7,7,3,1,1,1,0,574,144,144,0.002767448138911277,0.007496701320633292
32|4|4|3|1|1|1|0,32,4,4,3,1,1,1,0,667,167,167,0.0032386212842538953,0.008160846773535013
32|2|1|3|1|1|1|0,32,2,1,3,1,1,1,0,65,17,17,0.0033799607772380114,0.01057797484099865
32|6|6|3|1|1|1|0,32,6,6,3,1,1,1,0,607,152,152,0.0030770159792155027,0.00790212070569396
32|0|0|3|0|1|1|0,32,0,0,3,0,1,1,0,815,204,204,0.011789613869041204,0.036159882321953773
32|3|3|3|1|1|1|0,32,3,3,3,1,1,1,0,737,185,185,0.0034192015882581472,0.008963142521679401
32|6|5|3|1|1|1|0,32,6,5,3,1,1,1,0,47,12,12,0.0014629646320827305,0.004017143975943327
32|1|0|3|0|1|1|0,32,1,0,3,0,1,1,0,35,9,9,0.004371705465018749,0.013895289041101933
32|1|1|3|0|1|1|0,32,1,1,3,0,1,1,0,610,153,153,0.006878043874166906,0.01758511271327734
32|7|6|3|1|1|1|0,32,7,6,3,1,1,1,0,52,13,13,0.0022501657949760556,0.005210918607190251
32|1|1|3|1|1|1|0,32,1,1,3,1,1,1,0,407,102,102,0.005038502160459757,0.015330789145082235
32|0|0|3|0|0|1|0,32,0,0,3,0,0,1,0,264,66,66,0.039104937575757504,0.17098095268011093
32|5|4|3|1|1|1|0,32,5,4,3,1,1,1,0,60,15,15,0.0015529730881098658,0.0042222358752042055
32|0|0|3|1|0|1|0,32,0,0,3,1,0,1,0,44,11,11,0.010925548383966088,0.03503513243049383
32|4|3|3|1|1|1|0,32,4,3,3,1,1,1,0,46,12,12,0.00258428294910118,0.005828770576044917
32|3|2|3|1|1|1|0,32,3,2,3,1,1,1,0,60,15,15,0.0027783499099314213,0.008056484628468752
33|6|6|0|1|1|1|0,33,6,6,0,1,1,1,0,1348,337,337,0.003328077553305775,0.008338677231222391
33|1|1|0|1|1|1|0,33,1,1,0,1,1,1,0,1446,362,362,0.003971903934143484,0.010542041389271617
33|5|4|0|1|1|1|0,33,5,4,0,1,1,1,0,89,23,23,0.002160661853849888,0.00414966931566596
33|7|7|0|1|1|1|0,33,7,7,0,1,1,1,0,1358,340,340,0.003116041305474937,0.008249895414337516
33|2|2|0|1|1|1|0,33,2,2,0,1,1,1,0,1398,350,350,0.0038726816419512033,0.009523123037070036
33|3|3|0|1|1|1|0,33,3,3,0,1,1,1,0,1370,343,343,0.0036588817019946873,0.009341469733044505
33|4|4|0|1|1|1|0,33,4,4,0,1,1,1,0,1360,340,340,0.003502950945403427,0.008788259699940681
33|5|5|0|1|1|1|0,33,5,5,0,1,1,1,0,1380,345,345,0.0034631674643605947,0.008765151258558035
33|0|0|0|1|1|1|0,33,0,0,0,1,1,1,0,641,161,161,0.005109259393066168,0.013791336677968502
33|7|6|0|1|1|1|0,33,7,6,0,1,1,1,0,91,23,23,0.0020676866406574845,0.004315427504479885
33|6|5|0|1|1|1|0,33,6,5,0,1,1,1,0,102,26,26,0.0012897952983621508,0.004477056674659252
33|0|0|0|0|1|1|0,33,0,0,0,0,1,1,0,623,156,156,0.008445315062999725,0.028286360204219818
33|0|0|0|0|0|1|0,33,0,0,0,0,0,1,0,72,18,18,0.034545453265309334,0.12539320066571236
33|2|1|0|1|1|1|0,33,2,1,0,1,1,1,0,54,14,14,0.001956537045771256,0.0048831673339009285
33|3|4|0|1|1|1|0,33,3,4,0,1,1,1,0,42,11,11,0.01320031681098044,0.02033660328015685
33|5|6|0|1|1|1|0,33,5,6,0,1,1,1,0,42,11,11,0.012121377745643258,0.01784122036769986
33|1|0|0|1|1|1|0,33,1,0,0,1,1,1,0,35,9,9,0.003253858652897179,0.006637140642851591
33|4|5|0|1|1|1|0,33,4,5,0,1,1,1,0,39,10,10,0.010657160077244043,0.017311845906078815
33|0|0|0|1|0|1|0,33,0,0,0,1,0,1,0,49,13,13,0.01293601281940937,0.02832009270787239
33|4|3|0|1|1|1|0,33,4,3,0,1,1,1,0,77,20,20,0.0018250193679705262,0.004406260792165995
33|1|2|0|1|1|1|0,33,1,2,0,1,1,1,0,38,10,10,0.013851959723979235,0.026049239095300436
33|2|3|0|1|1|1|0,33,2,3,0,1,1,1,0,37,10,10,0.012660429812967777,0.019075455144047737
33|3|2|0|1|1|1|0,33,3,2,0,1,1,1,0,65,17,17,0.0018572720000520349,0.004429420456290245
33|3|3|1|1|1|1|0,33,3,3,1,1,1,1,0,1359,340,340,0.0036022395361214876,0.009273270145058632
33|0|0|1|0|1|1|0,33,0,0,1,0,1,1,0,712,178,178,0.009187907911837101,0.027336327359080315
33|4|4|1|1|1|1|0,33,4,4,1,1,1,1,0,1398,350,350,0.0034113669535145164,0.009090033592656255
33|2|1|1|1|1|1|0,33,2,1,1,1,1,1,0,60,15,15,0.0015287859423551708,0.004369262256659567
33|0|0|1|1|1|1|0,33,0,0,1,1,1,1,0,716,179,179,0.004805851844139397,0.013135711196810007
33|5|5|1|1|1|1|0,33,5,5,1,1,1,1,0,1333,334,334,0.0035771639086306095,0.008898542262613773
33|7|7|1|1|1|1|0,33,7,7,1,1,1,1,0,1313,329,329,0.003024666104465723,0.007987173274159431
33|6|6|1|1|1|1|0,33,6,6,1,1,1,1,0,1295,324,324,0.0031277938978746533,0.008153369184583426
33|1|1|1|1|1|1|0,33,1,1,1,1,1,1,0,1446,362,362,0.004165831604041159,0.010980766266584396
33|2|2|1|1|1|1|0,33,2,2,1,1,1,1,0,1336,334,334,0.00373533449601382,0.00978190079331398
33|0|0|1|0|0|1|0,33,0,0,1,0,0,1,0,85,22,22,0.029579365625977516,0.13527894020080566
33|7|6|1|1|1|1|0,33,7,6,1,1,1,1,0,95,24,24,0.0017495289212092757,0.005585132399573922
33|5|6|1|1|1|1|0,33,5,6,1,1,1,1,0,42,11,11,0.011128220241516829,0.02417084714397788
33|3|2|1|1|1|1|0,33,3,2,1,1,1,1,0,68,17,17,0.002352548879571259,0.005118860164657235
33|0|0|1|1|0|1|0,33,0,0,1,1,0,1,0,37,10,10,0.008722658269107342,0.03236210718750954
33|1|0|1|1|1|1|0,33,1,0,1,1,1,1,0,30,8,8,0.0028543955413624644,0.006097202189266682
33|6|7|1|1|1|1|0,33,6,7,1,1,1,1,0,30,8,8,0.01311252755112946,0.024184998590499163
33|5|4|1|1|1|1|0,33,5,4,1,1,1,1,0,89,23,23,0.0018620658665895462,0.004567012190818787
33|4|5|1|1|1|1|0,33,4,5,1,1,1,1,0,49,13,13,0.010511365719139576,0.015612980350852013
33|6|5|1|1|1|1|0,33,6,5,1,1,1,1,0,99,25,25,0.001639371970668435,0.004353868309408426
33|4|3|1|1|1|1|0,33,4,3,1,1,1,1,0,72,18,18,0.0014906877186149359,0.004634637502022088
33|2|3|1|1|1|1|0,33,2,3,1,1,1,1,0,37,10,10,0.012272314168512821,0.02011704444885254
33|3|4|1|1|1|1|0,33,3,4,1,1,1,1,0,33,9,9,0.012199487537145615,0.017388446256518364
33|4|4|2|1|1|1|0,33,4,4,2,1,1,1,0,1344,336,336,0.003475224832072854,0.008619788335636258
33|5|4|2|1|1|1|0,33,5,4,2,1,1,1,0,85,22,22,0.0019355292897671461,0.0038014783058315516
33|7|7|2|1|1|1|0,33,7,7,2,1,1,1,0,1413,354,354,0.0031204335391521454,0.008090082556009293
33|6|6|2|1|1|1|0,33,6,6,2,1,1,1,0,1380,345,345,0.0031775780953466892,0.008314909180626273
33|3|3|2|1|1|1|0,33,3,3,2,1,1,1,0,1382,346,346,0.0034863819018937647,0.008834336418658495
33|2|2|2|1|1|1|0,33,2,2,2,1,1,1,0,1435,359,359,0.0037601524963974953,0.010155816096812487
33|5|5|2|1|1|1|0,33,5,5,2,1,1,1,0,1342,336,336,0.0033110667136497796,0.008462702855467796
33|0|0|2|0|1|1|0,33,0,0,2,0,1,1,0,633,159,159,0.009055896662175655,0.02656305953860283
33|0|0|2|1|1|1|0,33,0,0,2,1,1,1,0,643,161,161,0.004560432862490416,0.012853477150201797
33|1|1|2|1|1|1|0,33,1,1,2,1,1,1,0,1398,350,350,0.004297163686715066,0.01057676412165165
33|3|4|2|1|1|1|0,33,3,4,2,1,1,1,0,45,12,12,0.01218752283602953,0.019833911210298538
33|4|3|2|1|1|1|0,33,4,3,2,1,1,1,0,68,17,17,0.002123251382727176,0.004344156594015658
33|0|0|2|0|0|1|0,33,0,0,2,0,0,1,0,80,20,20,0.02389863273128867,0.10788370110094547
33|4|5|2|1|1|1|0,33,4,5,2,1,1,1,0,42,11,11,0.010743740014731884,0.01617680722847581
33|0|0|2|1|0|1|0,33,0,0,2,1,0,1,0,37,10,10,0.009700658731162548,0.026174088940024376
33|6|5|2|1|1|1|0,33,6,5,2,1,1,1,0,82,21,21,0.0020992389181628823,0.004604211659170687
33|3|2|2|1|1|1|0,33,3,2,2,1,1,1,0,76,19,19,0.0018094655824825168,0.004560501198284328
33|2|1|2|1|1|1|0,33,2,1,2,1,1,1,0,58,15,15,0.0015653272275812924,0.004376919008791447
33|7|6|2|1|1|1|0,33,7,6,2,1,1,1,0,84,21,21,0.0025829264195635915,0.00508571439422667
33|2|3|2|1|1|1|0,33,2,3,2,1,1,1,0,47,12,12,0.01288470160216093,0.024518899619579315
33|5|6|2|1|1|1|0,33,5,6,2,1,1,1,0,34,9,9,0.011581224389374256,0.016845482401549816
33|7|7|2|1|1|2|1,33,7,7,2,1,1,2,1,29,8,8,0.19121472537517548,0.2968292534351349
33|5|5|3|1|1|1|0,33,5,5,3,1,1,1,0,1343,336,336,0.003584606689400971,0.008541381917893887
33|2|1|3|1|1|1|0,33,2,1,3,1,1,1,0,42,11,11,0.0021295715123414993,0.005609217914752662
33|3|3|3|1|1|1|0,33,3,3,3,1,1,1,0,1389,348,348,0.003527718363329768,0.009180394001305103
33|4|4|3|1|1|1|0,33,4,4,3,1,1,1,0,1356,339,339,0.003286365536041558,0.008747925981879234
33|7|7|3|1|1|1|0,33,7,7,3,1,1,1,0,1357,340,340,0.003286573104560375,0.008266889490187168
33|6|6|3|1|1|1|0,33,6,6,3,1,1,1,0,1394,349,349,0.003309365944005549,0.00826510670594871
33|2|2|3|1|1|1|0,33,2,2,3,1,1,1,0,1386,347,347,0.003780860803090036,0.010046002687886357
33|0|0|3|0|0|1|0,33,0,0,3,0,0,1,0,79,20,20,0.030110192485153675,0.09773635491728783
33|0|0|3|1|1|1|0,33,0,0,3,1,1,1,0,658,165,165,0.005147482268512249,0.013606906635686755
33|4|3|3|1|1|1|0,33,4,3,3,1,1,1,0,78,20,20,0.001548235391965136,0.0039037750102579594
33|2|3|3|1|1|1|0,33,2,3,3,1,1,1,0,36,9,9,0.011161341331899166,0.021110485773533583
33|1|1|3|1|1|1|0,33,1,1,3,1,1,1,0,1409,353,353,0.003921118564903736,0.010608797892928123
33|3|2|3|1|1|1|0,33,3,2,3,1,1,1,0,62,16,16,0.0021054300596006215,0.00464451196603477
33|0|0|3|0|1|1|0,33,0,0,3,0,1,1,0,675,169,169,0.00857929466292262,0.0255814790725708
33|5|6|3|1|1|1|0,33,5,6,3,1,1,1,0,39,10,10,0.012315614148974419,0.02075241133570671
33|0|0|3|1|0|1|0,33,0,0,3,1,0,1,0,41,11,11,0.006841240916401148,0.0270107239484787
33|6|5|3|1|1|1|0,33,6,5,3,1,1,1,0,98,25,25,0.0016497446049470454,0.004005128575954586
33|7|6|3|1|1|1|0,33,7,6,3,1,1,1,0,93,24,24,0.0017048378940671682,0.0041230469942092896
33|3|4|3|1|1|1|0,33,3,4,3,1,1,1,0,35,9,9,0.011541854590177536,0.022193102166056633
33|7|7|3|1|1|2|1,33,7,7,3,1,1,2,1,30,8,8,0.2053128033876419,0.35995516926050186
33|4|5|3|1|1|1|0,33,4,5,3,1,1,1,0,34,9,9,0.011920057469978929,0.02020238758996129
33|1|2|3|1|1|1|0,33,1,2,3,1,1,1,0,35,9,9,0.013036639895290136,0.03324894607067108
33|5|4|3|1|1|1|0,33,5,4,3,1,1,1,0,72,18,18,0.0017177506524603814,0.004277755971997976
34|6|6|0|1|1|1|0,34,6,6,0,1,1,1,0,977,245,245,0.003235266078263521,0.008177320472896099
34|4|3|0|1|1|1|0,34,4,3,0,1,1,1,0,59,15,15,0.0017952868365682662,0.004885235335677862
34|4|4|0|1|1|1|0,34,4,4,0,1,1,1,0,955,239,239,0.003469342482276261,0.00861321110278368
34|7|7|0|1|1|1|0,34,7,7,0,1,1,1,0,968,242,242,0.003267926862463355,0.007867707405239344
34|3|3|0|1|1|1|0,34,3,3,0,1,1,1,0,945,237,237,0.003552413545548916,0.009093173779547215
34|2|2|0|1|1|1|0,34,2,2,0,1,1,1,0,942,236,236,0.0037923093186691403,0.009575294330716133
34|6|5|0|1|1|1|0,34,6,5,0,1,1,1,0,64,16,16,0.0012309577723499388,0.003578537842258811
34|1|1|0|1|1|1|0,34,1,1,0,1,1,1,0,981,246,246,0.0038542470429092646,0.010299243964254856
34|5|5|0|1|1|1|0,34,5,5,0,1,1,1,0,924,231,231,0.0032340785255655646,0.008487008977681398
34|0|0|0|0|0|1|0,34,0,0,0,0,0,1,0,37,10,10,0.010348071344196796,0.10877024382352829
34|0|0|0|0|1|1|0,34,0,0,0,0,1,1,0,450,113,113,0.008903120644390583,0.028202220797538757
34|0|0|0|1|1|1|0,34,0,0,0,1,1,1,0,480,120,120,0.005224576103501022,0.012884186115115881
34|3|2|0|1|1|1|0,34,3,2,0,1,1,1,0,47,12,12,0.0015000668354332447,0.005425491835922003
34|2|3|0|1|1|1|0,34,2,3,0,1,1,1,0,33,9,9,0.01221666019409895,0.021494746208190918
34|2|1|0|1|1|1|0,34,2,1,0,1,1,1,0,38,10,10,0.0019421203760430217,0.004611222539097071
34|5|4|0|1|1|1|0,34,5,4,0,1,1,1,0,52,13,13,0.0015789982280693948,0.004054216900840402
34|5|6|0|1|1|1|0,34,5,6,0,1,1,1,0,33,9,9,0.01073162816464901,0.01698513887822628
34|7|6|0|1|1|1|0,34,7,6,0,1,1,1,0,79,20,20,0.001295647060032934,0.003818495199084282
34|4|5|0|1|1|1|0,34,4,5,0,1,1,1,0,39,10,10,0.012038088869303465,0.016511968336999416
