heldout_run,method,proxy_bin,n_pair_residuals,n_events,event_pre_line_absmax_adc_mean,sigma68_ns,tail_frac_abs_gt5ns
60,traditional S16e proxy timewalk,mid,798,266,28.250268528464062,1.6096547285458631,0.011278195488721804
60,traditional S16e proxy timewalk,high,807,269,1182.4829173305031,1.068809094147637,0.01734820322180917
60,ML waveform plus S16e proxy ridge,low,819,273,12.271585557299831,1.5100354455466156,0.009768009768009768
60,ML waveform plus S16e proxy ridge,mid,798,266,28.250268528464062,1.475728559067818,0.016290726817042606
60,ML waveform plus S16e proxy ridge,high,807,269,1182.4829173305031,1.1384514877583072,0.01486988847583643
61,S02b global template timewalk,low,945,315,12.035374149659832,2.3410767681212072,0.021164021164021163
61,S02b global template timewalk,mid,921,307,24.325577788118448,2.443856436856766,0.03040173724212812
61,S02b global template timewalk,high,933,311,940.2696371152954,1.6853010683059364,0.031082529474812434
61,traditional S16e proxy timewalk,low,945,315,12.035374149659832,1.370708956223392,0.010582010582010581
61,traditional S16e proxy timewalk,mid,921,307,24.325577788118448,1.407346735060198,0.008686210640608035
61,traditional S16e proxy timewalk,high,933,311,940.2696371152954,1.0791635600866507,0.02465166130760986
61,ML waveform plus S16e proxy ridge,low,945,315,12.035374149659832,2.371581475758858,0.021164021164021163
61,ML waveform plus S16e proxy ridge,mid,921,307,24.325577788118448,2.411195564499782,0.0249728555917481
61,ML waveform plus S16e proxy ridge,high,933,311,940.2696371152954,1.278947644413903,0.030010718113612004
62,S02b global template timewalk,low,807,269,12.103735174367172,1.6493697661306073,0.007434944237918215
62,S02b global template timewalk,mid,807,269,25.38962648256331,1.7556514872569222,0.011152416356877323
62,S02b global template timewalk,high,807,269,977.0442556204664,1.4500350125683505,0.01486988847583643
62,traditional S16e proxy timewalk,low,807,269,12.103735174367172,1.557178304679028,0.0037174721189591076
62,traditional S16e proxy timewalk,mid,807,269,25.38962648256331,1.4986799814633902,0.012391573729863693
62,traditional S16e proxy timewalk,high,807,269,977.0442556204664,0.9772267086393487,0.01486988847583643
62,ML waveform plus S16e proxy ridge,low,807,269,12.103735174367172,1.6326591078784465,0.009913258983890954
62,ML waveform plus S16e proxy ridge,mid,807,269,25.38962648256331,1.7694200107204228,0.011152416356877323
62,ML waveform plus S16e proxy ridge,high,807,269,977.0442556204664,1.1331367473966483,0.01486988847583643
63,S02b global template timewalk,low,375,125,12.45714285714285,1.6805822075080594,0.02666666666666667
63,S02b global template timewalk,mid,366,122,23.655737704918028,1.599378464762462,0.00546448087431694
63,S02b global template timewalk,high,369,123,873.5749128919866,1.402019137739745,0.018970189701897018
63,traditional S16e proxy timewalk,low,375,125,12.45714285714285,1.5888718383731306,0.021333333333333333
63,traditional S16e proxy timewalk,mid,366,122,23.655737704918028,1.4452109691938533,0.00546448087431694
63,traditional S16e proxy timewalk,high,369,123,873.5749128919866,1.0481820782351923,0.016260162601626018
63,ML waveform plus S16e proxy ridge,low,375,125,12.45714285714285,1.6283461444799838,0.02666666666666667
63,ML waveform plus S16e proxy ridge,mid,366,122,23.655737704918028,1.5428966611912767,0.00819672131147541
63,ML waveform plus S16e proxy ridge,high,369,123,873.5749128919866,1.0807874863021754,0.018970189701897018
65,S02b global template timewalk,low,66,22,12.45670995670995,1.8309685204491395,0.0
65,S02b global template timewalk,mid,66,22,20.679653679653697,1.6437684599404037,0.015151515151515152
65,S02b global template timewalk,high,66,22,212.81818181818178,1.4673473036207214,0.0
65,traditional S16e proxy timewalk,low,66,22,12.45670995670995,1.7119335857841187,0.0
65,traditional S16e proxy timewalk,mid,66,22,20.679653679653697,1.4625113212353043,0.0
65,traditional S16e proxy timewalk,high,66,22,212.81818181818178,1.1624464763149356,0.0
65,ML waveform plus S16e proxy ridge,low,66,22,12.45670995670995,1.7250364255661126,0.0
65,ML waveform plus S16e proxy ridge,mid,66,22,20.679653679653697,1.4155195663883808,0.015151515151515152
65,ML waveform plus S16e proxy ridge,high,66,22,212.81818181818178,1.1360311549357895,0.0
