stave,bin,n_train_pulses,amp_low_adc,amp_high_adc,seed_cfd20_median_samples,seed_iqr_samples,aligned_cfd20_sigma68_samples,heldout_run
B6,1,753,1996.125,2394.5,5.380077619663648,2.3550467188179054,0.05861412079851399,60
B6,2,753,2394.5,2764.625,5.421760391198044,1.8120625940697277,0.06684118947716224,60
B6,3,753,2764.625,,5.4244,1.6381899405298306,0.0779976411003074,60
B8,0,753,,2778.875,5.311482254697286,3.4330091379511325,0.05241696078564956,60
B8,1,753,2778.875,3291.25,5.403700097370983,1.9884320490703473,0.07167712278784091,60
B8,2,753,3291.25,4028.125,5.396691729323308,1.694370478532921,0.08394846080818373,60
B8,3,753,4028.125,,5.241661258922777,1.7379587175318285,0.07041841108621139,60
B4,0,722,,1924.5,3.8775499074000432,3.3648017346961323,0.051234702448349455,61
B4,1,721,1924.5,2352.5,5.0123831775700936,2.0582982061250936,0.004789561429641242,61
B4,2,722,2352.5,2708.75,5.031758019785197,1.4827940087964997,0.007184835195650602,61
B4,3,722,2708.75,,4.96328995208272,1.3910987124546887,0.01942099791094918,61
B6,0,722,,2010.75,5.333700328751407,3.4102410148382933,0.057125328613087126,61
B6,1,721,2010.75,2431.0,5.386565272496831,2.3765218062047793,0.06049396760038732,61
B6,2,721,2431.0,2786.5,5.433003300330033,1.8482979759875011,0.06984119209495984,61
B6,3,723,2786.5,,5.347819063004847,1.6905280151503943,0.06632488781436219,61
B8,0,722,,2783.0,5.320178885750542,3.264526410640387,0.05285908936406063,61
B8,1,721,2783.0,3334.0,5.381786339754816,2.206752444673186,0.07212832472836234,61
B8,2,722,3334.0,4090.0,5.3521737958514,1.6189295390746312,0.07609639110866445,61
B8,3,722,4090.0,,5.2189264519373335,1.7920722499989141,0.06491390157598427,61
B4,0,753,,1934.0,3.916795865633075,3.335099466701542,0.03847588395916617,62
B4,1,753,1934.0,2375.5,5.011725663716814,2.072800003869613,0.004626020424844253,62
B4,2,753,2375.5,2723.0,5.059540636042403,1.3187138863000936,0.012132588524208997,62
B4,3,754,2723.0,,4.959625488591946,1.3224250038772147,0.021913757233433306,62
B6,0,753,,2058.0,5.336351531291611,3.3873213144099217,0.05548090205831025,62
B6,1,752,2058.0,2484.0,5.358368514555094,2.398735113729681,0.05844547792646148,62
B6,2,754,2484.0,2842.5,5.426484473415609,1.7905919738136469,0.06807833268667912,62
B6,3,754,2842.5,,5.3493736233946665,1.6289640569634223,0.06903850953122857,62
B8,0,753,,2798.0,5.30938123752495,3.4417603493552855,0.05179545168741398,62
B8,1,752,2798.0,3348.5,5.392658897132813,1.9362775482200945,0.07362629288006993,62
B8,2,754,3348.5,4108.5,5.3717564812734455,1.5687064076196968,0.08068260773998966,62
B8,3,754,4108.5,,5.214670976540747,1.75743356668073,0.06457195861749193,62
B4,0,862,,1954.5,3.9183148297919272,3.3807683639373254,0.037896866578219036,63
B4,1,863,1954.5,2396.0,5.0335403726708075,2.240961162824095,0.008034358668000525,63
B4,2,861,2396.0,2724.5,5.050706880301602,1.3465809409888356,0.010520636829825136,63
B4,3,864,2724.5,,4.97736124309747,1.2968752276706585,0.01481214609541517,63
B6,0,863,,2072.875,5.352749490835031,3.5541286325449315,0.057858361587778434,63
B6,1,862,2072.875,2491.5,5.390429341630453,2.481457235480498,0.062498524032051306,63
B6,2,862,2491.5,2844.875,5.447015847726322,1.7736486028475333,0.07107613833348006,63
B6,3,863,2844.875,,5.327577319587629,1.63887747954485,0.06465201234191788,63
B8,0,863,,2814.125,5.237220259128386,3.4633158701288282,0.04111961805022403,63
B8,1,862,2814.125,3348.75,5.398392893351855,2.015948573115719,0.0714521072043059,63
B8,2,862,3348.75,4120.875,5.40442825607064,1.609887387967276,0.08603987037075789,63
B8,3,863,4120.875,,5.2153700189753325,1.7742171468707246,0.06499321853550562,63
B4,0,939,,1942.625,3.800443458980044,3.370105389079603,0.06850612164387349,65
B4,1,938,1942.625,2373.0,5.008714403580268,2.1187278073899396,0.004915507627466979,65
B4,2,935,2373.0,2711.5,5.0620408163265305,1.350088684368981,0.012371789911285304,65
B4,3,942,2711.5,,4.957420306763202,1.3194280737246906,0.022693262269567773,65
B6,0,939,,2050.875,5.334426229508197,3.5685280397551815,0.05575862642472829,65
B6,1,937,2050.875,2471.5,5.368599717114568,2.45316720379628,0.0593658779847938,65
B6,2,937,2471.5,2823.5,5.426491405460061,1.786730814920408,0.0685273804405922,65
B6,3,941,2823.5,,5.344501718213058,1.6363588275391958,0.06741279366540773,65
B8,0,937,,2808.5,5.2684713375796175,3.4574169858254034,0.04477006923591677,65
B8,1,939,2808.5,3347.0,5.391354945968413,2.1653118267729554,0.07232241650111658,65
B8,2,938,3347.0,4111.5,5.384511500348961,1.601005122991693,0.08258642700948743,65
B8,3,940,4111.5,,5.21341262628233,1.742496725747697,0.0644094146416003,65
