feature,coefficient,method,base_method,best_alpha,train_pulses,heldout_run
B4_template_sse,0.09792006024796676,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_intercept,-71.93479651025058,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_log_amp,-48.01732251549642,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_log_amp2,24.91132043834169,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_inv_amp,0.40495640560999885,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_peak_sample,0.47454366811378007,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_area_over_amp,-0.10826055127382078,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B6_template_sse,-0.07654744720899545,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_intercept,-232.7174244152458,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_log_amp,249.50507043170464,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_log_amp2,-114.03052459995877,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_inv_amp,3.251525183530063,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_peak_sample,0.37546668604840494,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_area_over_amp,-0.4731544052644282,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
B8_template_sse,-0.18504552306427127,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_range_adc,1.0820682367786156,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_std_adc,-1.6348814835160161,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_line_absmax_adc,0.8284320612249625,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_line_rms_adc,-0.9394404639102365,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_line_slope_adc_per_sample,0.7420420337202518,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
pre_min_adc,0.027584897251817606,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
log1p_pre_range,0.16677228162165977,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
log1p_line_absmax,-3.093399936884749,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
proxy_x_log_amp,3.0228639165320996,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9171,59
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_intercept,0.5367743769435255,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_log_amp,0.36510746633515556,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_log_amp2,0.2128790064543219,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_inv_amp,0.31129498510374276,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_peak_sample,0.40209464376087944,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_area_over_amp,-0.036884360167532534,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B4_template_sse,-0.06798796586554381,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_intercept,-0.44871421987675963,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_log_amp,-0.19293873979617923,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_log_amp2,0.1444974097586362,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_inv_amp,0.1433773888509105,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_peak_sample,0.47717634478668797,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_area_over_amp,0.1532249617944337,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B6_template_sse,-0.012020398568866407,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_intercept,-0.08806015706475069,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_log_amp,0.04755903180630668,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_log_amp2,0.19493253877268354,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_inv_amp,0.0464745851498668,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_peak_sample,0.4125548810733395,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_area_over_amp,-0.12892267593964837,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
B8_template_sse,-0.12705313085069073,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_range_adc,-0.052216483118843735,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_std_adc,-0.1772750419711459,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_line_absmax_adc,-0.013060161130167149,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_line_rms_adc,-0.06759457485524388,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_line_slope_adc_per_sample,0.44977677715335684,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
pre_min_adc,0.03831447142963341,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
log1p_pre_range,-0.005109042755404415,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
log1p_line_absmax,-0.760604924166799,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
proxy_x_log_amp,0.8099655788620383,s16e_proxy_timewalk,s16e_base_timewalk,10.0,9036,60
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_intercept,292.5556024638126,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_log_amp,-624.3312713272288,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_log_amp2,274.4640550464781,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_inv_amp,-10.271191482241049,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_peak_sample,0.2254253261158393,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_area_over_amp,0.37047371994376493,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B4_template_sse,0.22316591520317583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_intercept,-116.14462510939258,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_log_amp,78.34208468747009,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_log_amp2,-32.6023394372011,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_inv_amp,1.9186678796703185,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_peak_sample,0.426435374448805,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_area_over_amp,-0.24075073712383444,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B6_template_sse,-0.07210363252272013,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_intercept,-176.4108669496134,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_log_amp,195.51926899684725,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_log_amp2,-89.19405308148583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_inv_amp,2.4674204291337296,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_peak_sample,0.13422320195464438,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_area_over_amp,-0.6788665387202588,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
B8_template_sse,-0.1017421539956145,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_range_adc,3.8173064600939597,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_std_adc,-3.60270183141236,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_line_absmax_adc,0.41362432767582147,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_line_rms_adc,-0.7272418197863495,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_line_slope_adc_per_sample,0.3509089318496452,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
pre_min_adc,0.38152553083951424,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
log1p_pre_range,-0.03424230814814247,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
log1p_line_absmax,-1.483487192820253,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
proxy_x_log_amp,1.5948330163457038,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,8661,61
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_intercept,327.47200718224116,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_log_amp,-639.3567198515253,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_log_amp2,282.83828677899595,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_inv_amp,-10.189474273468305,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_peak_sample,0.21276383608777213,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_area_over_amp,0.01990390682546464,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B4_template_sse,0.11576512129638725,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_intercept,-52.789268355304806,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_log_amp,14.877293875851544,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_log_amp2,-3.596171332368855,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_inv_amp,1.0507955834720177,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_peak_sample,0.34869084335773415,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_area_over_amp,-0.19011784980654287,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B6_template_sse,-0.02196648203522564,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_intercept,-274.682700977877,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_log_amp,424.7699043672101,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_log_amp2,-194.0671928362364,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_inv_amp,5.163751663855458,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_peak_sample,-0.00411524840105643,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_area_over_amp,-1.235463070839214,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
B8_template_sse,-0.20423771140654695,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_range_adc,2.089405819956544,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_std_adc,-2.923964040697593,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_line_absmax_adc,1.317654839996049,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_line_rms_adc,-1.2005452845426468,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_line_slope_adc_per_sample,0.8687436378668101,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
pre_min_adc,0.2085827825547113,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
log1p_pre_range,0.0771207399221605,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
log1p_line_absmax,-0.7521406558732534,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
proxy_x_log_amp,0.6726341669694736,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,9039,62
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_intercept,342.25658665577396,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_log_amp,-773.8670309623246,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_log_amp2,341.46848218080754,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_inv_amp,-12.325665087478908,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_peak_sample,0.23681540064026518,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_area_over_amp,0.12298767847769909,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B4_template_sse,0.12299357454951328,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_intercept,-84.33823411786453,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_log_amp,-40.526795008618436,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_log_amp2,20.94888962896774,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_inv_amp,0.3908001422023253,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_peak_sample,0.3902480829661368,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_area_over_amp,-0.20927328945609866,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B6_template_sse,-0.05893250925932987,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_intercept,-257.9182390602462,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_log_amp,280.7251227229329,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_log_amp2,-128.74349451564794,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_inv_amp,3.479573527306364,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_peak_sample,0.17211183957545811,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_area_over_amp,-0.9129455754733735,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
B8_template_sse,-0.1884961862770421,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_range_adc,2.753093517195217,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_std_adc,-3.556729179501481,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_line_absmax_adc,0.6398280333417428,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_line_rms_adc,-0.5307226316010518,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_line_slope_adc_per_sample,0.6721063456133852,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
pre_min_adc,-0.0009374925457234598,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
log1p_pre_range,0.1101954967432944,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
log1p_line_absmax,-3.023797930223206,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
proxy_x_log_amp,2.9868931275062667,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,10350,63
intercept,0.0,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_intercept,328.2654201152934,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_log_amp,-723.4097078930073,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_log_amp2,319.1452326765141,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_inv_amp,-11.614892667805027,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_peak_sample,0.29870215426072627,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_area_over_amp,0.129904843796718,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B4_template_sse,0.09967026652072329,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_intercept,-74.54960160647786,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_log_amp,-32.638058277033174,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_log_amp2,17.932739997832044,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_inv_amp,0.550297334178494,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_peak_sample,0.44326715732992583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_area_over_amp,-0.2013902320184797,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B6_template_sse,-0.06580383767972059,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_intercept,-253.7158023103238,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_log_amp,298.95775641935563,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_log_amp2,-136.58843224069372,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_inv_amp,3.732807786395958,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_peak_sample,0.19678264680396712,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_area_over_amp,-0.8795774703981356,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
B8_template_sse,-0.19744885309537794,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_range_adc,2.498290351562221,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_std_adc,-3.2939672617170306,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_line_absmax_adc,0.6103731944158652,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_line_rms_adc,-0.5098231517949836,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_line_slope_adc_per_sample,0.7188116438413583,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
pre_min_adc,0.00632157409381661,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
log1p_pre_range,0.08846783824132688,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
log1p_line_absmax,-2.12353223516985,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
proxy_x_log_amp,2.1067795981164767,s16e_proxy_timewalk,s16e_base_timewalk,0.0001,11262,65
