method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
gradient_boosted_trees,60,640,-0.06774326841784051,3.8727196897116025,3.974145619821306,0.184375,0.0046875,1.0016687063003518,0.15976598623690796,0.184375
gradient_boosted_trees,62,640,-0.9252475510963196,2.2961747242600747,2.579073521109316,0.059375,0.0015625,1.0122850236721037,0.15353035940234294,0.059375
gradient_boosted_trees,64,640,-1.4421077497825134,2.9562873963371477,2.753379083168802,0.13125,0.0,1.009987054149874,0.12095621608304426,0.13125
gradient_boosted_trees,65,585,-2.704206288794836,3.974308971114298,3.5934859280904052,0.23931623931623933,0.0017094017094017094,1.0087994227967576,0.13612330700774977,0.23931623931623933
matched_filter_residual_transformer_new,42,597,0.45688815943024963,4.500342682637962,5.77893988541269,0.25963149078726966,0.04690117252931323,0.9895403008858173,0.2477986647540307,0.25963149078726966
matched_filter_residual_transformer_new,50,620,-1.3249847480790464,15.411672590290639,14.526914486759136,0.38387096774193546,0.2709677419354839,0.9255793062701972,0.19337668529713212,0.38387096774193546
matched_filter_residual_transformer_new,57,610,0.899287588132049,4.758315564262433,4.755737596853053,0.29508196721311475,0.03114754098360656,0.9962042702264696,0.21883468638772313,0.29508196721311475
matched_filter_residual_transformer_new,58,594,-3.3153063820915216,5.528543092459411,5.540801212139512,0.43097643097643096,0.11447811447811448,0.9740894648495528,0.18341250040181767,0.43097643097643096
matched_filter_residual_transformer_new,60,640,-0.17973587319259998,4.214538686550799,5.5306521339748675,0.23125,0.0234375,0.9966047071952304,0.15976598623690796,0.23125
matched_filter_residual_transformer_new,62,640,-0.29860554410326134,4.358708701948169,4.2751281216148795,0.2625,0.015625,1.008461932284798,0.15353035940234294,0.2625
matched_filter_residual_transformer_new,64,640,-1.135921334094932,3.961937310855629,4.603490088175213,0.221875,0.0171875,0.9852766747164043,0.12095621608304426,0.221875
matched_filter_residual_transformer_new,65,585,-1.649961874873183,4.307968378856157,4.804194847052436,0.28547008547008546,0.05299145299145299,0.9974888506314139,0.13612330700774977,0.28547008547008546
mlp,42,597,1.7310589195607022,3.192972208132994,3.4808857444929253,0.20603015075376885,0.01675041876046901,1.018448489027124,0.2477986647540307,0.20603015075376885
mlp,50,620,-0.23943049729576238,13.425045602542456,13.140234090596309,0.29193548387096774,0.2661290322580645,0.9617618711816198,0.19337668529713212,0.29193548387096774
mlp,57,610,1.427620885670505,4.104340357818353,3.8270871796477026,0.2442622950819672,0.01639344262295082,1.024611662620911,0.21883468638772313,0.2442622950819672
mlp,58,594,-3.442029563031473,4.1985243933987295,4.072190633948151,0.3552188552188552,0.03198653198653199,1.0203228830118647,0.18341250040181767,0.3552188552188552
mlp,60,640,-0.8859514344792623,4.125157379528729,3.9053010593418254,0.2046875,0.0046875,1.0226456350606279,0.15976598623690796,0.2046875
mlp,62,640,-1.3004634072975318,2.9914902874931153,3.12162444203072,0.0890625,0.003125,1.024684654162049,0.15353035940234294,0.0890625
mlp,64,640,-1.8475903678500543,3.599535913726946,3.569466547108679,0.1171875,0.0015625,1.0136426864127623,0.12095621608304426,0.1171875
mlp,65,585,-2.699933262959796,4.820996705678633,4.413254665842086,0.305982905982906,0.003418803418803419,1.0097292698612768,0.13612330700774977,0.305982905982906
ridge,42,597,1.5545068258886783,3.9364261131025113,3.792985213018912,0.23785594639865998,0.018425460636515914,1.0216601634338538,0.2477986647540307,0.23785594639865998
ridge,50,620,-0.4665194491250251,13.792333742593158,13.521754966589727,0.3193548387096774,0.267741935483871,0.9590524965292078,0.19337668529713212,0.3193548387096774
