run,run_group,sample_family,stave,n_pulses,amp_median_adc,amp_q01_adc,amp_q99_adc,sample_ii_train_q01_adc,sample_ii_train_q99_adc,frac_inside_sample_ii_1_99_support
48,sample_i_analysis,Sample I,B6,58,2545.75,1247.6,3964.455,1172.5,3802.81,0.9482758620689655
48,sample_i_analysis,Sample I,B8,58,3303.25,1015.4,5487.179999999999,1247.975,6273.905,0.9655172413793104
49,sample_i_analysis,Sample I,B4,56,2223.25,1082.2,4225.725000000001,1096.19,4221.6449999999995,0.9642857142857143
49,sample_i_analysis,Sample I,B6,56,2289.0,1408.125,3220.0750000000003,1172.5,3802.81,1.0
49,sample_i_analysis,Sample I,B8,56,3127.75,1405.05,5101.375,1247.975,6273.905,1.0
50,sample_i_analysis,Sample I,B4,60,2443.5,1138.435,3209.145,1096.19,4221.6449999999995,1.0
50,sample_i_analysis,Sample I,B6,60,2290.0,1382.005,3508.64,1172.5,3802.81,1.0
50,sample_i_analysis,Sample I,B8,60,3284.0,1113.97,6858.449999999994,1247.975,6273.905,0.95
51,sample_i_analysis,Sample I,B4,34,2237.25,1327.985,4989.430000000002,1096.19,4221.6449999999995,0.9705882352941176
51,sample_i_analysis,Sample I,B6,34,2400.75,1304.725,3715.9150000000004,1172.5,3802.81,0.9705882352941176
51,sample_i_analysis,Sample I,B8,34,3405.25,1797.945,5909.920000000001,1247.975,6273.905,1.0
52,sample_i_analysis,Sample I,B4,22,2171.0,1192.13,2810.625,1096.19,4221.6449999999995,1.0
52,sample_i_analysis,Sample I,B6,22,2568.75,1189.89,3025.68,1172.5,3802.81,1.0
52,sample_i_analysis,Sample I,B8,22,3299.25,1381.48,4385.82,1247.975,6273.905,0.9545454545454546
53,sample_i_analysis,Sample I,B4,59,2324.5,1145.07,3237.9400000000005,1096.19,4221.6449999999995,0.9830508474576272
53,sample_i_analysis,Sample I,B6,59,2380.0,1284.07,3143.54,1172.5,3802.81,1.0
53,sample_i_analysis,Sample I,B8,59,3321.5,1268.79,5993.870000000002,1247.975,6273.905,0.9661016949152542
54,sample_i_analysis,Sample I,B4,50,2266.25,1255.19,3300.8899999999994,1096.19,4221.6449999999995,1.0
54,sample_i_analysis,Sample I,B6,50,2475.0,1438.11,3796.204999999999,1172.5,3802.81,0.98
54,sample_i_analysis,Sample I,B8,50,3342.5,1362.345,5786.05,1247.975,6273.905,0.98
55,sample_i_analysis,Sample I,B4,44,2465.25,1604.665,3240.3,1096.19,4221.6449999999995,1.0
55,sample_i_analysis,Sample I,B6,44,2509.75,1728.06,3186.52,1172.5,3802.81,1.0
55,sample_i_analysis,Sample I,B8,44,3541.75,1301.13,6299.385,1247.975,6273.905,0.9545454545454546
56,sample_i_analysis,Sample I,B4,92,2363.75,1125.855,3168.32,1096.19,4221.6449999999995,0.9891304347826086
56,sample_i_analysis,Sample I,B6,92,2326.25,1205.21,3500.910000000001,1172.5,3802.81,0.9782608695652174
56,sample_i_analysis,Sample I,B8,92,3247.5,1502.4850000000001,6497.58,1247.975,6273.905,0.967391304347826
57,sample_i_analysis,Sample I,B4,64,2403.75,1291.635,3900.084999999996,1096.19,4221.6449999999995,0.984375
57,sample_i_analysis,Sample I,B6,64,2532.25,1272.145,4177.804999999999,1172.5,3802.81,0.96875
57,sample_i_analysis,Sample I,B8,64,3242.0,1579.835,6022.444999999999,1247.975,6273.905,0.96875
58,sample_ii_analysis,Sample II,B4,73,2365.0,1098.24,4997.920000000001,1096.19,4221.6449999999995,0.9452054794520548
58,sample_ii_analysis,Sample II,B6,73,2530.0,1164.08,3390.5,1172.5,3802.81,0.9726027397260274
58,sample_ii_analysis,Sample II,B8,73,3265.0,1207.44,6124.26,1247.975,6273.905,0.9726027397260274
59,sample_ii_analysis,Sample II,B4,763,2212.0,1063.77,3687.88,1096.19,4221.6449999999995,0.9764089121887287
59,sample_ii_analysis,Sample II,B6,763,2253.5,1136.51,3690.7599999999993,1172.5,3802.81,0.9777195281782438
59,sample_ii_analysis,Sample II,B8,763,3196.5,1279.4,6242.5,1247.975,6273.905,0.9842726081258192
60,sample_ii_analysis,Sample II,B4,808,2628.0,1140.07,4779.949999999999,1096.19,4221.6449999999995,0.9801980198019802
60,sample_ii_analysis,Sample II,B6,808,2704.25,1344.44,3948.914999999997,1172.5,3802.81,0.9839108910891089
60,sample_ii_analysis,Sample II,B8,808,3539.0,1255.53,6513.0199999999995,1247.975,6273.905,0.9752475247524752
61,sample_ii_analysis,Sample II,B4,933,2409.5,1122.74,3911.4199999999955,1096.19,4221.6449999999995,0.984994640943194
61,sample_ii_analysis,Sample II,B6,933,2580.5,1365.16,3863.1799999999957,1172.5,3802.81,0.9828510182207931
61,sample_ii_analysis,Sample II,B8,933,3388.0,1225.74,6240.499999999998,1247.975,6273.905,0.9785637727759914
62,sample_ii_analysis,Sample II,B4,807,2342.5,1112.56,3742.529999999978,1096.19,4221.6449999999995,0.9801734820322181
62,sample_ii_analysis,Sample II,B6,807,2414.0,1130.75,3669.2699999999913,1172.5,3802.81,0.9776951672862454
62,sample_ii_analysis,Sample II,B8,807,3313.5,1241.96,6186.159999999998,1247.975,6273.905,0.9814126394052045
63,sample_ii_analysis,Sample II,B4,370,2165.0,1099.575,3983.2550000000006,1096.19,4221.6449999999995,0.981081081081081
63,sample_ii_analysis,Sample II,B6,370,2242.0,1162.14,3329.905,1172.5,3802.81,0.9783783783783784
63,sample_ii_analysis,Sample II,B8,370,3249.5,1276.955,6218.25,1247.975,6273.905,0.9837837837837838
64,sample_ii_calib,Sample II,B4,210,2038.0,1025.59,3202.5399999999995,1096.19,4221.6449999999995,0.9666666666666667
64,sample_ii_calib,Sample II,B6,210,2058.25,1063.38,3301.005,1172.5,3802.81,0.9666666666666667
64,sample_ii_calib,Sample II,B8,210,2977.25,1165.155,5093.21,1247.975,6273.905,0.9714285714285714
65,sample_ii_analysis,Sample II,B4,66,1989.0,1042.7,3253.199999999998,1096.19,4221.6449999999995,0.9545454545454546
65,sample_ii_analysis,Sample II,B6,66,2181.25,1023.625,3710.749999999999,1172.5,3802.81,0.9545454545454546
65,sample_ii_analysis,Sample II,B8,66,3053.75,1110.075,5879.999999999996,1247.975,6273.905,0.9545454545454546
