method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,table,candidate,alpha,fold,n_features,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,analytic_candidate,analytic_alpha
template_phase,2.0,heldout,4410.0,-3.841229389086614,2.6368539999223835,3.1412874252984846,0.04671201814058957,1.0668652992450038,80.42699123288665,traditional_scan,,,,,,,,,
of_1_9,2.0,train,11460.0,-3.2499020764161415,3.424270263253394,3.8350873003862866,0.1587260034904014,166.8476049995894,14.863708816831128,traditional_scan,,,,,,,,,
of_1_9,2.0,heldout,4410.0,-2.4819060333564096,3.7805223730951205,3.693908174666723,0.18979591836734694,0.8803589109671154,13.695977520007478,traditional_scan,,,,,,,,,
of_2_10,2.0,train,11460.0,-3.395396697610469,3.469085214939804,3.881800441917048,0.1656195462478185,118.44214960586717,14.202610654544372,traditional_scan,,,,,,,,,
of_2_10,2.0,heldout,4410.0,-2.644501733267777,3.9392666835424412,3.8630713124917437,0.2056689342403628,2.5571691576015203,16.66150946442569,traditional_scan,,,,,,,,,
of_3_11,2.0,train,11460.0,-3.581079308626837,3.4534802172390275,3.8940441235069256,0.16457242582897033,8.346850059238669,14.784899610445116,traditional_scan,,,,,,,,,
of_3_11,2.0,heldout,4410.0,-3.673538073386087,3.449382923485674,3.556802100114943,0.17868480725623584,1.2259166450799779,13.128574818960065,traditional_scan,,,,,,,,,
of_4_12,2.0,train,11460.0,-3.6078775765891002,3.3819992743765437,4.036334765109028,0.16605584642233856,169.48488527589862,11.531609818512912,traditional_scan,,,,,,,,,
of_4_12,2.0,heldout,4410.0,-3.7048333389053667,2.9646206017405214,3.5373842851861546,0.1346938775510204,9.465921990868987,16.081294730032866,traditional_scan,,,,,,,,,
,,,3216.0,,2.015558558083873,,,,,analytic_cv,amp_only,0.0,0.0,6.0,,,,,
,,,3534.0,,1.3607300441538928,,,,,analytic_cv,amp_only,0.0,1.0,6.0,,,,,
,,,4710.0,,1.3650284092062412,,,,,analytic_cv,amp_only,0.0,2.0,6.0,,,,,
,,,0.0,,1.580439003814669,,,,,analytic_cv,amp_only,0.0,-1.0,6.0,,,,,
,,,3216.0,,2.0155053420923332,,,,,analytic_cv,amp_only,0.01,0.0,6.0,,,,,
,,,3534.0,,1.361588283092118,,,,,analytic_cv,amp_only,0.01,1.0,6.0,,,,,
,,,4710.0,,1.3643421231855517,,,,,analytic_cv,amp_only,0.01,2.0,6.0,,,,,
,,,0.0,,1.5804785827900012,,,,,analytic_cv,amp_only,0.01,-1.0,6.0,,,,,
,,,3216.0,,2.0220309932901244,,,,,analytic_cv,amp_only,0.1,0.0,6.0,,,,,
,,,3534.0,,1.3653836425249701,,,,,analytic_cv,amp_only,0.1,1.0,6.0,,,,,
,,,4710.0,,1.3645764357799048,,,,,analytic_cv,amp_only,0.1,2.0,6.0,,,,,
,,,0.0,,1.5839970238649999,,,,,analytic_cv,amp_only,0.1,-1.0,6.0,,,,,
,,,3216.0,,2.0279331683388397,,,,,analytic_cv,amp_only,1.0,0.0,6.0,,,,,
,,,3534.0,,1.3665002480946793,,,,,analytic_cv,amp_only,1.0,1.0,6.0,,,,,
,,,4710.0,,1.4127711628603812,,,,,analytic_cv,amp_only,1.0,2.0,6.0,,,,,
,,,0.0,,1.6024015264313,,,,,analytic_cv,amp_only,1.0,-1.0,6.0,,,,,
,,,3216.0,,2.0322751978685627,,,,,analytic_cv,amp_only,10.0,0.0,6.0,,,,,
,,,3534.0,,1.362254404112062,,,,,analytic_cv,amp_only,10.0,1.0,6.0,,,,,
,,,4710.0,,1.4249837388893334,,,,,analytic_cv,amp_only,10.0,2.0,6.0,,,,,
,,,0.0,,1.606504446956653,,,,,analytic_cv,amp_only,10.0,-1.0,6.0,,,,,
,,,3216.0,,2.0071101782118186,,,,,analytic_cv,amp_only,100.0,0.0,6.0,,,,,
,,,3534.0,,1.3032969744180285,,,,,analytic_cv,amp_only,100.0,1.0,6.0,,,,,
,,,4710.0,,1.3852123523309716,,,,,analytic_cv,amp_only,100.0,2.0,6.0,,,,,
,,,0.0,,1.5652065016536063,,,,,analytic_cv,amp_only,100.0,-1.0,6.0,,,,,
,,,3201.0,,2.043525917742837,,,,,analytic_cv,amp_rise_shape,0.0,0.0,14.0,,,,,
,,,3525.0,,1.38765578401091,,,,,analytic_cv,amp_rise_shape,0.0,1.0,14.0,,,,,
,,,4692.0,,1.4400561641737708,,,,,analytic_cv,amp_rise_shape,0.0,2.0,14.0,,,,,
,,,0.0,,1.6237459553091727,,,,,analytic_cv,amp_rise_shape,0.0,-1.0,14.0,,,,,
,,,3201.0,,2.0404962968994873,,,,,analytic_cv,amp_rise_shape,0.01,0.0,14.0,,,,,
,,,3525.0,,1.388358811718467,,,,,analytic_cv,amp_rise_shape,0.01,1.0,14.0,,,,,
,,,4692.0,,1.4426006474361455,,,,,analytic_cv,amp_rise_shape,0.01,2.0,14.0,,,,,
,,,0.0,,1.6238185853513665,,,,,analytic_cv,amp_rise_shape,0.01,-1.0,14.0,,,,,
,,,3201.0,,2.0345510319685935,,,,,analytic_cv,amp_rise_shape,0.1,0.0,14.0,,,,,
,,,3525.0,,1.3849643125428548,,,,,analytic_cv,amp_rise_shape,0.1,1.0,14.0,,,,,
,,,4692.0,,1.441259116560492,,,,,analytic_cv,amp_rise_shape,0.1,2.0,14.0,,,,,
,,,0.0,,1.6202581536906469,,,,,analytic_cv,amp_rise_shape,0.1,-1.0,14.0,,,,,
,,,3201.0,,2.0322080624728365,,,,,analytic_cv,amp_rise_shape,1.0,0.0,14.0,,,,,
,,,3525.0,,1.388268223339743,,,,,analytic_cv,amp_rise_shape,1.0,1.0,14.0,,,,,
,,,4692.0,,1.4553420064912301,,,,,analytic_cv,amp_rise_shape,1.0,2.0,14.0,,,,,
,,,0.0,,1.62527276410127,,,,,analytic_cv,amp_rise_shape,1.0,-1.0,14.0,,,,,
,,,3201.0,,2.0227444225671576,,,,,analytic_cv,amp_rise_shape,10.0,0.0,14.0,,,,,
,,,3525.0,,1.3944454307587415,,,,,analytic_cv,amp_rise_shape,10.0,1.0,14.0,,,,,
,,,4692.0,,1.4780089665731868,,,,,analytic_cv,amp_rise_shape,10.0,2.0,14.0,,,,,
,,,0.0,,1.631732939966362,,,,,analytic_cv,amp_rise_shape,10.0,-1.0,14.0,,,,,
,,,3201.0,,2.001952090793381,,,,,analytic_cv,amp_rise_shape,100.0,0.0,14.0,,,,,
,,,3525.0,,1.3685686657110219,,,,,analytic_cv,amp_rise_shape,100.0,1.0,14.0,,,,,
,,,4692.0,,1.4491045232531865,,,,,analytic_cv,amp_rise_shape,100.0,2.0,14.0,,,,,
,,,0.0,,1.6065417599191967,,,,,analytic_cv,amp_rise_shape,100.0,-1.0,14.0,,,,,
,,,3201.0,,2.1740605306443612,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,0.0,47.0,,,,,
,,,3525.0,,1.4687502790238522,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,1.0,47.0,,,,,
,,,4692.0,,1.5230008968962028,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,2.0,47.0,,,,,
,,,0.0,,1.721937235521472,,,,,analytic_cv,amp_rise_shape_by_stave,0.0,-1.0,47.0,,,,,
,,,3201.0,,2.182580324783732,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,0.0,47.0,,,,,
,,,3525.0,,1.466024432045401,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,1.0,47.0,,,,,
,,,4692.0,,1.5417716116270836,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,2.0,47.0,,,,,
,,,0.0,,1.7301254561520725,,,,,analytic_cv,amp_rise_shape_by_stave,0.01,-1.0,47.0,,,,,
,,,3201.0,,2.17556039661649,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,0.0,47.0,,,,,
,,,3525.0,,1.4711739290585175,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,1.0,47.0,,,,,
,,,4692.0,,1.5391422550004652,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,2.0,47.0,,,,,
,,,0.0,,1.7286255268918242,,,,,analytic_cv,amp_rise_shape_by_stave,0.1,-1.0,47.0,,,,,
,,,3201.0,,2.1744275037217697,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,0.0,47.0,,,,,
,,,3525.0,,1.4339753659407148,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,1.0,47.0,,,,,
,,,4692.0,,1.527244031109858,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,2.0,47.0,,,,,
,,,0.0,,1.7118823002574475,,,,,analytic_cv,amp_rise_shape_by_stave,1.0,-1.0,47.0,,,,,
,,,3201.0,,2.1328714087918392,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,0.0,47.0,,,,,
,,,3525.0,,1.42209817517035,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,1.0,47.0,,,,,
,,,4692.0,,1.5166109098033584,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,2.0,47.0,,,,,
,,,0.0,,1.6905268312551829,,,,,analytic_cv,amp_rise_shape_by_stave,10.0,-1.0,47.0,,,,,
,,,3201.0,,2.0959994790899223,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,0.0,47.0,,,,,
,,,3525.0,,1.4270769134975803,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,1.0,47.0,,,,,
,,,4692.0,,1.5338024157150811,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,2.0,47.0,,,,,
,,,0.0,,1.6856262694341944,,,,,analytic_cv,amp_rise_shape_by_stave,100.0,-1.0,47.0,,,,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B4,-4.214563920531932,-1.9867644853015094,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B6,2.4377944298399927,1.1491873149857579,,
,,,,,,,,,,analytic_coefficients,,,,,log_amp,-2.6963488363970227,-0.8855709002272847,,
,,,,,,,,,,analytic_coefficients,,,,,stave_B8,1.7767694906916724,0.8375771703156257,,
,,,,,,,,,,analytic_coefficients,,,,,inv_amp_1000,-4.9916834188637775,-0.6932623672312767,,
,,,,,,,,,,analytic_coefficients,,,,,inv_sqrt_amp_1000,-0.5572846839086943,-0.05822066384497174,,
,,,,,,,,,,analytic_choice,,,,,,,,amp_only,100.0
