run,run_group,sample_family,method,family,model_family,n_pair_residuals,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
37,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,249,0.9049423696356179,1.6300976283447994,1.2372393058991498,2.7978947860592918,0.012048192771084338,1.1539819656771642,1.3268009593430388,0.0,0.0,0.0
39,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,198,-0.6200365928385809,-0.7232346053489849,0.811573696678273,3.132165066465284,0.020202020202020204,0.675080713592459,1.1193363996851649,-0.4267511238580892,-0.5675647674538464,-0.1232794701476774
39,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,198,-0.42357097386420856,-0.5209244880178261,0.8566885256212493,1.605328645543624,0.020202020202020204,0.6888693332569058,1.2174128710689136,-0.38163629491511286,-0.5584310150858565,-0.062137591957532656
39,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,198,-0.6409292890867413,-0.6004106300054595,0.972634753282465,3.651451438263026,0.020202020202020204,0.7880787904422248,1.2054719549659398,-0.2656900672538972,-0.4652534572460116,-0.07041063957911854
39,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,198,-0.5356077432567355,-0.7749901282960394,1.0639687847286132,2.9623954114512467,0.010101010101010102,0.9233788288687009,1.265547177979274,-0.17435603580774894,-0.35123591289664363,0.009763596216787584
39,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,198,-0.7077775970852348,-0.7810851004434234,1.102462339080915,3.2719169390783973,0.020202020202020204,0.9544555513380684,1.2434203748040726,-0.13586248145544721,-0.3135863185374273,0.038845480800298086
39,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,198,1.3296739273151148,1.6553871323816054,1.2383248205363622,3.347769688349265,0.010101010101010102,1.1774233452459404,1.3643286626097304,0.0,0.0,0.0
40,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,210,-0.6115656302435059,-0.48551923958736865,0.8993731328451926,2.157891866175226,0.01904761904761905,0.73623328237026,1.160701298483131,-0.2946752545280693,-0.4537021551207434,-0.12318161802228088
40,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,210,-0.6735620426315528,-0.7072031919551414,0.9027729816995561,2.19021180344116,0.01904761904761905,0.7734637662066308,1.0010173089567747,-0.2912754056737058,-0.46306005547767715,-0.19903452792376788
40,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,210,-0.7293623851913671,-0.6179964709716828,1.0462100781232464,2.2731740363329536,0.01904761904761905,0.8794964556352903,1.2072175947879347,-0.1478383092500155,-0.3206013273687787,-0.010509991275634843
40,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,210,-0.6801691352469472,-0.6198142135942781,1.1092216009984246,2.2228591399921633,0.01904761904761905,0.9394033160247259,1.2522888634870561,-0.08482678637483732,-0.2744502357099883,0.001814579997821682
40,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,210,-0.7423508618683223,-0.8112598079408428,1.1750046918730954,2.2643674594069174,0.01904761904761905,1.002193109590046,1.3829438362290647,-0.01904369550016649,-0.2173173810260016,0.17607608724380622
40,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,210,1.2031715413608828,1.9028106427781353,1.194048387373262,2.5603453411146537,0.023809523809523808,1.1321964716661503,1.2933639744028815,0.0,0.0,0.0
41,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,207,-0.3738680993020342,-0.44432871935677554,0.9310877698675479,1.4143850278671408,0.00966183574879227,0.7988245589283844,1.0942283066620004,-0.22650934278638957,-0.4024332692872214,-0.037007513133082696
41,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,207,-0.4408435963331856,-0.6491589394830513,0.9407034654999311,1.9258702805995063,0.00966183574879227,0.8164061394620719,1.1348512716763257,-0.21689364715400639,-0.3691822675626998,-0.030401150211162582
41,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,207,-0.45392616812878256,-0.599784207481008,0.9925560217505749,1.876780883360402,0.00966183574879227,0.8495380059679843,1.245647856830383,-0.1650410909033626,-0.30814550050730694,0.11278400233429356
41,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,207,-0.43760377053334026,-0.7882992522031742,1.134094447105351,1.9296031679025465,0.00966183574879227,1.006155312741765,1.3005874208567845,-0.0235026655485866,-0.16442332353980085,0.16326729308666468
41,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,207,1.442578824607352,1.7530694645185179,1.1575971126539375,2.285416560753464,0.00966183574879227,1.10544731297843,1.2432995361726622,0.0,0.0,0.0
41,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,207,-0.5279596587043807,-0.8556276243142023,1.1941276515587917,1.8490330576143894,0.00966183574879227,1.034119547758599,1.3246944476706366,0.03653053890485425,-0.1464134389416898,0.18836587830736873
42,sample_i_calib,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,204,-0.5810991283507412,-0.7051533264740755,0.9166843386645105,3.903235411298669,0.00980392156862745,0.7924769600200589,1.0713463662762606,-0.26899532752233735,-0.5048127032347427,-0.14588720851080828
42,sample_i_calib,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,204,-0.25925128982095513,-0.4230433692254927,0.9603620897801041,2.9979288859024953,0.00980392156862745,0.7831703320868278,1.1531526100263718,-0.22531757640674377,-0.446936351192547,-0.06440006545457772
