method,stratum,target,accepted_fraction,risk_threshold_abs_frac,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_median_frac_ci95,res68_abs_frac_ci95,full_rms_frac_ci95,within_10pct_ci95,within_25pct_ci95
strong_traditional_huber,dynamic_only,duplicate,1.0,9.391189640570778,3715,-0.2818047404339992,0.6959729745708327,1.3351697980970207,0.0990578734858681,0.25625841184387615,"[-0.5830238135103839, -0.22878643858809458]","[0.6391196136688301, 0.8722858707320174]","[0.765551446997926, 1.5340588570902118]","[0.04496931920447835, 0.11256795415514878]","[0.13777105083292013, 0.28583030641205553]"
strong_traditional_huber,dynamic_only,duplicate,0.7499327052489906,0.8169361266360592,2786,-0.32355033167580266,0.5191223188349791,0.4454845840641031,0.13208901651112706,0.3417085427135678,"[-0.40577981831123194, -0.29352272754280445]","[0.501566485330448, 0.607247233528269]","[0.43031291211597283, 0.515329624396621]","[0.0756890402075227, 0.14551766997633853]","[0.2266291614625953, 0.3705915005308097]"
strong_traditional_huber,dynamic_only,duplicate,0.5001345895020188,0.5083679451472382,1858,-0.20810952493337778,0.35467641921667353,0.29663475662284616,0.19806243272335844,0.5123789020452099,"[-0.24813890426899085, -0.1864595669749004]","[0.33831977302229005, 0.3877854825992445]","[0.2897293864986376, 0.31621941932535175]","[0.13741416080187674, 0.21608942642477555]","[0.42635138571065345, 0.5408128494903528]"
strong_traditional_huber,dynamic_only,duplicate,0.2500672947510094,0.24428218032605295,929,-0.09676756813753547,0.16694089850336083,0.1433364776522112,0.3961248654467169,1.0,"[-0.10891143855312652, -0.01913743205062788]","[0.15965450779091905, 0.18389630826545447]","[0.13910550448134146, 0.151052110888692]","[0.3290727136686733, 0.4410464525707142]","[1.0, 1.0]"
ridge_target_stave_excluded_train_median_selector,dynamic_only,duplicate,1.0,4803614.796136538,3715,0.18309359363096253,2.595584017412237,788.3904922369219,0.10471063257065949,0.23283983849259757,"[-0.08482431420734408, 0.6099554580463626]","[0.5671082795380888, 6.588573282107694]","[433.15423533790755, 825.6575717603249]","[0.08960686001722293, 0.1516072123473257]","[0.20805692932496778, 0.31683407001150815]"
ridge_target_stave_excluded_train_median_selector,dynamic_only,duplicate,0.7499327052489906,8.764785087532468,2786,-0.07286978103100994,0.5888158837374882,1.755935786959746,0.13962670495333812,0.31048097631012206,"[-0.20063321039677864, 0.01279145655594586]","[0.4797518399062627, 0.6629778360514085]","[1.1444214110246327, 1.9793082079527213]","[0.12431358970793457, 0.1842927131522749]","[0.2881105132146581, 0.37574841425920286]"
ridge_target_stave_excluded_train_median_selector,dynamic_only,duplicate,0.5001345895020188,0.5763559843490248,1858,-0.168964309370232,0.37453897320048146,0.3220973792011761,0.2093649085037675,0.4655543595263724,"[-0.25413536535356096, -0.1424590917282129]","[0.35207543548034503, 0.42457545523697676]","[0.31146330695342306, 0.34165665187982286]","[0.18730843276635356, 0.2392812712512907]","[0.4111526605428666, 0.49310524314894494]"
ridge_target_stave_excluded_train_median_selector,dynamic_only,duplicate,0.2500672947510094,0.2658610946655863,929,-0.024353459468994355,0.17354448252089424,0.14984468302423012,0.418729817007535,0.9311087190527448,"[-0.06452222764389406, -0.01109217929436595]","[0.1568881042907836, 0.18561371244803068]","[0.13638186037824965, 0.1559311603410907]","[0.3840985076733183, 0.4836036866799813]","[0.9111380842779293, 0.9641822439179267]"
gradient_boosted_trees_train_median_selector,dynamic_only,duplicate,1.0,7.897882248229721,3715,0.41018443512022573,0.8348303768279532,1.310028061558367,0.17335127860026917,0.351278600269179,"[0.28570236214167805, 0.5097676804121801]","[0.734140781833233, 1.0335932062808766]","[1.2363516273423791, 1.4059472840761147]","[0.14700885554028176, 0.22160590097329289]","[0.31902897795151275, 0.41265178431181887]"
gradient_boosted_trees_train_median_selector,dynamic_only,duplicate,0.7499327052489906,1.1319735947911227,2786,0.2430988847590226,0.44222573415453825,0.4567007056468736,0.23115577889447236,0.46841349605168703,"[0.1679805123668119, 0.2704086603822127]","[0.3656595403916804, 0.48224677246702347]","[0.4234806886843374, 0.4868406518117753]","[0.20394082404410713, 0.2890186924217792]","[0.43237361613243946, 0.5432742423167364]"
gradient_boosted_trees_train_median_selector,dynamic_only,duplicate,0.5001345895020188,0.4243408958138817,1858,0.11008785236570506,0.23862054340338767,0.21185084142560331,0.34660925726587727,0.7023681377825619,"[0.0676863730882671, 0.14347924853919206]","[0.21684909090671797, 0.25328571045079196]","[0.19492068536683316, 0.220439053961689]","[0.31122373342945253, 0.40867785029906867]","[0.6720080592413187, 0.7625866188769415]"
gradient_boosted_trees_train_median_selector,dynamic_only,duplicate,0.2500672947510094,0.16196695125009333,929,0.031206791716556638,0.09803429426399336,0.08722656697849274,0.6932185145317545,1.0,"[0.014505803778841857, 0.04300276783984539]","[0.08806106953512373, 0.10249839998077002]","[0.08031465827393355, 0.09070651680920323]","[0.6561113763289307, 0.7460263175037457]","[1.0, 1.0]"
mlp_train_median_selector,dynamic_only,duplicate,1.0,2.7522255466257857,3715,-0.4368841621411735,0.7076420198188286,0.6215128352590553,0.14831763122476446,0.3001345895020188,"[-0.5319086509666088, -0.2628993790196147]","[0.524430891807911, 0.8033629068985447]","[0.5385350156063728, 0.6597724356266086]","[0.12154424991722448, 0.21416928657799275]","[0.2613107346089707, 0.40240899360014765]"
mlp_train_median_selector,dynamic_only,duplicate,0.7499327052489906,0.8303948556136617,2786,-0.2838888766749359,0.4941670916212833,0.4286652403279832,0.1977745872218234,0.4002153625269203,"[-0.3362134035090737, -0.16631381781247556]","[0.39945607203492667, 0.5346267473170951]","[0.36759863325963993, 0.4491056995543552]","[0.16126975789001105, 0.26209949446526626]","[0.3600533948146308, 0.4885554173512216]"
mlp_train_median_selector,dynamic_only,duplicate,0.5001345895020188,0.4809189373821781,1858,-0.12541458053543347,0.2969154941825385,0.2572369176741989,0.2965554359526372,0.6001076426264801,"[-0.23103079277691757, -0.09480944666026721]","[0.27545450683726763, 0.351698612914958]","[0.2461805098290452, 0.289502562303336]","[0.20955407114411798, 0.3380890663390663]","[0.49052559179650146, 0.63468775447448]"
mlp_train_median_selector,dynamic_only,duplicate,0.2500672947510094,0.19197929693962507,929,-0.02803525040958057,0.11863970670800268,0.10257680615152762,0.5931108719052745,1.0,"[-0.042141759215836204, -0.0154350079129683]","[0.1080383588248943, 0.12712400478879338]","[0.09579096098863173, 0.10901980892926982]","[0.5383781810596578, 0.6426256183040588]","[1.0, 1.0]"
1d_cnn_train_median_selector,dynamic_only,duplicate,1.0,4293496.304511419,3715,0.37890496835112697,1.2803461713236655,448.1403152621701,0.08963660834454913,0.2489905787348587,"[-0.02797570724532343, 0.6345656153917002]","[0.5920999011121031, 1.8978563741566499]","[229.92280495355163, 482.93699866478704]","[0.07459816581772963, 0.10135482530426677]","[0.21362044883310116, 0.2723736495640611]"
1d_cnn_train_median_selector,dynamic_only,duplicate,0.7499327052489906,2.06832492376384,2786,0.026525786220078618,0.52182084385473,0.6837278972457577,0.1195262024407753,0.33201722900215364,"[-0.24610496386563868, 0.1039465209965917]","[0.46695914120563925, 0.5644506105116514]","[0.5678989885565539, 0.7269355337626324]","[0.07560713405171789, 0.1355151660600864]","[0.2533230387580151, 0.36242596246800796]"
1d_cnn_train_median_selector,dynamic_only,duplicate,0.5001345895020188,0.5032728790352915,1858,-0.16002655564873192,0.34231199731686174,0.29070920478564555,0.17922497308934338,0.49784714747039827,"[-0.2865108626057256, -0.12020143744211649]","[0.31147177567559614, 0.40570457209114685]","[0.27401298857923007, 0.3309909886418452]","[0.11566200939204134, 0.20474347081143]","[0.3538833583655028, 0.5560326598085374]"
