method,method_label,threshold_policy,threshold_calibration_runs,deployment_runs,abstention_budget,sigma_hat_threshold_ns,calibration_abstain_fraction,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high,coverage68_budget0,coverage95_budget0,calibration_loss_budget0,tail_frac_abs_gt5ns_budget0,coverage68_minus_budget0,coverage95_minus_budget0,calibration_loss_minus_budget0,tail_frac_abs_gt5ns_minus_budget0
cnn1d,1D-CNN residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.05,3.1522156596183772,0.050081103000811034,0.07552083333333337,6035,4,1.4520097662052205,1.643732297766588,0.004308202154101077,1.0764042511935235,0.43363711681855843,0.9312344656172328,0.15409950994588195,0.12458041771015355,1.4117216365240581,600,0.3288271830471319,0.5313396149119214,0.9097552064303982,0.9512646514497224,0.07153662111278182,0.21380680676383612,1.30834962163463,1.6359222607110733,0.0029985007496251873,0.005845816587504567,0.05275229357798161,0.08675342008675346,0.43213848039215685,0.9336703431372549,0.11446814552458309,0.020373774509803922,0.0014986364264015783,-0.002435877520022167,0.010112272185570453,-0.016065572355702846
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,calibration_frozen,"58,59,60","61,62,63,65",0.05,3.3738951317635215,0.050081103000811034,0.0902267156862745,5939,4,1.459662776667503,1.664890098963308,0.004882976932143459,0.948844402674698,0.6179491496884998,0.9611045630577538,0.055786469731464484,0.045696743140755135,1.6513012891531553,600,0.5433774066341917,0.7188755020080321,0.9505638604773144,0.9719566602931804,0.03914664324981257,0.07032274608948527,1.3487591712805707,1.5758699408666257,0.0018254837531945967,0.006947124662292551,0.07568807339449546,0.09542876209542872,0.6248468137254902,0.9618566176470589,0.051487133636407084,0.017310049019607844,-0.006897664036990436,-0.0007520545893050512,-0.0057903904956519495,-0.012427072087464386
traditional,S02/S03/S04 atom robust-width baseline,calibration_frozen,"58,59,60","61,62,63,65",0.1,1.768049776412135,0.09772911597729117,0.08838848039215685,5951,4,1.7002997043109325,2.7714383990183094,0.04469837002184507,3.023304016057718,0.34011090573012936,0.5679717694505125,0.362303408478179,0.7775535603730638,1.0105871984203167,600,0.2605183845690175,0.41807432432432434,0.4694394213381555,0.6554986204178164,0.6885715800086514,0.8483824339702692,1.3766558580503945,2.0395739827363286,0.013826940231935772,0.07836045810729356,0.034904013961605584,0.1439480717831233,0.3552389705882353,0.5946691176470589,0.6989616660383744,0.04442401960784314,-0.015128064858105916,-0.026697348196546344,0.07859189433468938,0.00027435041400192955
ridge,Ridge residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.1,2.119503378868103,0.10016220600162207,0.21706495098039214,5111,4,1.7060776580404322,2.0736123541143083,0.02563099197808648,1.2061402363362925,0.439053022891802,0.8368225396204265,0.17840696481238572,0.18534028269336242,1.3951944123215227,600,0.3271402550091075,0.5712630359212051,0.7639344262295082,0.9315628192032687,0.06569081981579908,0.26975783616672033,1.4023949960729805,2.0124520650998683,0.0010214504596527069,0.04408014571948998,0.08408408408408408,0.3375334096983581,0.4774816176470588,0.8575367647058824,0.11763051403113867,0.03462009803921569,-0.03842859475525684,-0.02071422508545584,0.06770976866222375,-0.00898910606112921
gradient_boosted_trees,HistGradientBoosting residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.1,2.1870994145276357,0.10016220600162207,0.2193627450980392,5096,4,1.6837184405340428,1.852715700358605,0.015306122448979591,1.2760823570726236,0.45643642072213503,0.8202511773940345,0.18091499724589405,0.203249812084837,1.359969362973789,600,0.3451228592702904,0.5938494167550371,0.746090841399851,0.9098621420996819,0.05569394832893017,0.30929112005849824,1.3625825600978136,1.9094309785687955,0.003181336161187699,0.025688756515264335,0.10377043710377043,0.3260786559755632,0.4856004901960784,0.8498774509803921,0.13789177810026831,0.023743872549019607,-0.0291640694739434,-0.02962627358635761,0.06535803398456869,-0.008437750100040015
mlp,MLP residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.1,2.5141900539398194,0.10016220600162207,0.14016544117647056,5613,4,1.717414582273236,1.833499409098302,0.016034206306787813,1.1889368969131406,0.47746303224657044,0.8597897737395332,0.15023036873017823,0.15865098794855378,1.4906235350690464,600,0.3926873857404022,0.5592497868712702,0.8069469835466179,0.9195509822263798,0.061855894525078864,0.23419476915409246,1.5167571826944175,1.8808627288635393,0.006563525550867323,0.02486288848263254,0.08742075408742078,0.18556701030927836,0.5133272058823529,0.8727022058823529,0.11403929738289288,0.025122549019607844,-0.03586417363578248,-0.012912432142819674,0.0446116905656609,-0.009088342712820031
cnn1d,1D-CNN residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.1,2.6355033874511746,0.10016220600162207,0.13403799019607843,5653,4,1.3999615047805773,1.5952991803677175,0.0035379444542720678,1.1054327375201276,0.4372899345480276,0.9269414470192818,0.15161805227759254,0.13137722509185268,1.312820746943779,600,0.33817753338570306,0.5293795370497192,0.9033778476040848,0.9483675018982536,0.06497427163143278,0.22208324230933257,1.2785411174837478,1.5425708285466797,0.002277904328018223,0.004438416964615954,0.09097859327217128,0.15048381715048387,0.43213848039215685,0.9336703431372549,0.11446814552458309,0.020373774509803922,0.0051514541558707605,-0.0067288961179731155,0.016909079567269586,-0.016835830055531853
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,calibration_frozen,"58,59,60","61,62,63,65",0.1,2.844056004073581,0.10016220600162207,0.16773897058823528,5433,4,1.4020399959503858,1.4500498738880578,0.0034971470642370696,0.9810522935472169,0.6140254003313087,0.958770476716363,0.05796150197480907,0.03858594423741162,1.5176690583507113,600,0.547329754167844,0.7065317387304508,0.9472703825763004,0.9714489650249821,0.030405209739916644,0.060468450798647946,1.308861775042618,1.5077747098104126,0.0009199632014719411,0.005216324025774778,0.14296636085626913,0.17584250917584254,0.6248468137254902,0.9618566176470589,0.051487133636407084,0.017310049019607844,-0.010821413394181523,-0.003086140930695924,-0.012901189398995462,-0.013812901955370775
traditional,S02/S03/S04 atom robust-width baseline,calibration_frozen,"58,59,60","61,62,63,65",0.2,1.5522812576435616,0.19302514193025144,0.1781556372549019,5365,4,1.6840635952537262,2.727871664497307,0.04678471575023299,3.318961400283859,0.3271202236719478,0.5371854613233924,0.38419190357082994,0.8678842777490872,0.9423387122156782,600,0.2520476545048399,0.4066390041493776,0.44973938942665675,0.6268316268255973,0.7971518211162167,0.9000083615052906,1.3484103272652104,2.012505738013031,0.012448132780082987,0.0781831720029784,0.10377043710377043,0.26384116074837727,0.3552389705882353,0.5946691176470589,0.6989616660383744,0.04442401960784314,-0.028118746916287463,-0.05748365632366648,0.16892261171071277,0.0023606961423898523
ridge,Ridge residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.2,1.9508439540863038,0.20012165450121655,0.344515931372549,4279,4,1.6675495970694572,2.0790012153950768,0.021734050011684974,1.2782653855221942,0.4356157980836644,0.8317363870063099,0.18266865352351283,0.20656783652318314,1.2719783681760632,600,0.3443177017321504,0.550519357884797,0.7727080692860161,0.9230406043437205,0.09426247952993394,0.2898864087904147,1.4219003917721054,1.9405192740253945,0.0012376237623762376,0.03506548373468526,0.21021021021021025,0.47139615430550574,0.4774816176470588,0.8575367647058824,0.11763051403113867,0.03462009803921569,-0.04186581956339441,-0.02580037769957244,0.08893732249204447,-0.012886048027530714
gradient_boosted_trees,HistGradientBoosting residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.2,2.0036278640654155,0.20012165450121655,0.3472732843137255,4261,4,1.7848492560569462,1.9299406493359028,0.016662755221778926,1.4227010431422342,0.44496597042947666,0.7908941563013377,0.19914843081174782,0.2546697098400419,1.2156717963820518,600,0.34542387178405737,0.5838668373879642,0.7182623365668495,0.8962868117797695,0.08053580921557295,0.34802578417224544,1.3415655265818462,2.0123806350268296,0.0012804097311139564,0.027836355967946015,0.2088755422088755,0.48186330660557464,0.4856004901960784,0.8498774509803921,0.13789177810026831,0.023743872549019607,-0.04063451976660176,-0.05898329467905439,0.11677793173977358,-0.00708111732724068
mlp,MLP residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.2,2.1893333435058597,0.20012165450121655,0.2719056372549019,4753,4,1.7372916011940331,1.8477558331646946,0.015569114243635598,1.3142400471406617,0.45823690300862613,0.8405217757205975,0.16696540670388818,0.20378406681308156,1.3366775972615437,600,0.38480594549958713,0.5472127417519909,0.7906688687035508,0.9078498293515358,0.10130800497269818,0.2680007781566058,1.4544905439874811,1.8913551853393855,0.0043821209465381246,0.023534269199009084,0.19185852519185853,0.34555173730431465,0.5133272058823529,0.8727022058823529,0.11403929738289288,0.025122549019607844,-0.05509030287372679,-0.032180430161755424,0.08974476943018868,-0.009553434775972246
cnn1d,1D-CNN residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.2,2.180856513977051,0.20012165450121655,0.23161764705882348,5016,4,1.362249952380497,1.4997231183219932,0.003189792663476874,1.1595014723810408,0.43759968102073366,0.9186602870813397,0.15317688322958453,0.147276969911388,1.1783803693082724,600,0.33584550164861043,0.5304846274101094,0.8880514994504631,0.9424151267726687,0.07272771330564973,0.24632546746500794,1.2394862945150107,1.5080287042752798,0.0019792182088075212,0.004239284032030146,0.17737003058103973,0.25898778359511343,0.43213848039215685,0.9336703431372549,0.11446814552458309,0.020373774509803922,0.005461200628576801,-0.01501005605591521,0.03280882438680491,-0.017183981846327048
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,calibration_frozen,"58,59,60","61,62,63,65",0.2,2.4470327687852045,0.20012165450121655,0.2827818627450981,4682,4,1.3676439684147108,1.3991255048883529,0.0032037590773173856,1.03527465704398,0.5976078598889364,0.9530115335326783,0.06005469908003356,0.04585563047618887,1.3427857081606642,600,0.5421561338289963,0.678093197643278,0.9389616851882567,0.9659442724458205,0.021856886727442012,0.07166785917117147,1.2699037837979494,1.4645279920393335,0.0010712372790573112,0.005071664829106946,0.2417840375586855,0.299632966299633,0.6248468137254902,0.9618566176470589,0.051487133636407084,0.017310049019607844,-0.027238953836553836,-0.008845084114380564,-0.005631503160218217,-0.014106289942290458
