method,method_label,threshold_policy,abstention_budget,sigma_hat_threshold_ns,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high
cnn1d,1D-CNN residual scale model,deployment_pooled_retrospective,0.05,3.521793246269226,0.05009191176470584,6201,4,1.4890035334380656,1.7223085140499408,0.004999193678438961,1.06272174561279,0.4326721496532817,0.9329140461215933,0.15403221583144147,0.12096431445158909,1.462924885549885,600,0.3252582828642679,0.5319064605628221,0.9116494478090488,0.9521502119927316,0.07385278909241456,0.2122276715046976,1.3062964413574607,1.6799441567555995,0.0029463759575721863,0.007481296758104738,0.031103286384976503,0.06363731986956978
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,deployment_pooled_retrospective,0.05,3.910747579697791,0.05009191176470584,6201,4,1.5020523383201052,1.783951548602223,0.00612804386389292,0.9304194033090023,0.6199000161264312,0.9621028866311885,0.05415568681899591,0.04965716153793774,1.733931023019925,600,0.538328814394873,0.7246492985971944,0.9520830726886025,0.9731081926203877,0.042733237885825275,0.07799035022294293,1.3824063255370618,1.6579720965520508,0.0028056112224448897,0.009243283214197684,0.044723329118485144,0.05747126436781613
traditional,S02/S03/S04 atom robust-width baseline,deployment_pooled_retrospective,0.1,1.7370473704055396,0.09681372549019607,5896,4,1.6949837942796655,2.7511117515298755,0.04460651289009498,3.0624757526455495,0.34006105834464045,0.5659769335142469,0.3633257501390563,0.7881132507656796,1.003715176644191,600,0.2677329624478442,0.4184277261200338,0.47600834492350486,0.6539379474940334,0.6930287186542379,0.8491649860339695,1.3749272507043977,2.025553945778917,0.01366742596810934,0.07510431154381085,0.040373707040373685,0.16198134077270532
ridge,Ridge residual scale model,deployment_pooled_retrospective,0.1,2.3875318288803102,0.10003063725490191,5875,4,1.6892020158750507,2.074776676765097,0.025191489361702128,1.0745739337312554,0.45906382978723403,0.8529361702127659,0.16183410777062765,0.1392743834097208,1.5066531925150688,600,0.3222168324035896,0.587809293904647,0.7615813727868057,0.9398814563928873,0.06343275574649382,0.26982006617816595,1.4290287281268412,2.015655727718106,0.002540220152413209,0.04802328401649285,0.039706373039706366,0.16579546977616944
gradient_boosted_trees,HistGradientBoosting residual scale model,deployment_pooled_retrospective,0.1,2.3862281974385446,0.10003063725490191,5875,4,1.6282012355729485,1.8211871616630089,0.014808510638297872,1.1631020257908733,0.47608510638297874,0.8408510638297872,0.1637404907493511,0.16064895961611458,1.4812081035381615,600,0.34776487152411123,0.6036745406824147,0.7574797606476593,0.9230096237970253,0.06334590732517568,0.2918732049968983,1.3765488568189284,1.875524656240298,0.004374453193350831,0.024639211545230553,0.0520520520520521,0.14814814814814814
mlp,MLP residual scale model,deployment_pooled_retrospective,0.1,2.6689922332763674,0.10003063725490191,5875,4,1.7128856300484354,1.9247352979355912,0.01668085106382979,1.147930671200626,0.488,0.8646808510638297,0.14319580989828726,0.1427837805430209,1.5393486024927585,600,0.400354609929078,0.5689034369885434,0.8117021276595745,0.9204647006255585,0.060471536342078476,0.22213006201735136,1.5057371111071107,1.8610483364753243,0.007029876977152899,0.02517730496453901,0.05905905905905906,0.14449541284403666
cnn1d,1D-CNN residual scale model,deployment_pooled_retrospective,0.1,2.9111244678497323,0.10003063725490191,5875,4,1.4275909801375801,1.6191762266484702,0.00374468085106383,1.0896269457371135,0.43472340425531913,0.9297021276595745,0.15334049074935108,0.12780784917714272,1.3677343981519658,600,0.3286502100840336,0.5313200580245285,0.9051995798319328,0.9500947567909034,0.06781005388029383,0.22261792961250987,1.292335766084065,1.5944926412396057,0.0021897810218978104,0.005120798319327731,0.07262996941896027,0.11390343222803956
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,deployment_pooled_retrospective,0.1,3.2924780089729846,0.10003063725490191,5875,4,1.4516292894576077,1.6581175678928468,0.004595744680851064,0.9526587742735189,0.6177021276595744,0.9606808510638298,0.05498405037002205,0.044498372909439664,1.6330484406363799,600,0.5434301341320484,0.7170131523122614,0.9500575388957234,0.9717041800643087,0.03822135735939425,0.07021960533270213,1.341063812672701,1.573202908783402,0.0021213406873143827,0.0062535531552018195,0.08486238532110091,0.10657358929610239
traditional,S02/S03/S04 atom robust-width baseline,deployment_pooled_retrospective,0.2,1.540287901287272,0.1966911764705882,5244,4,1.6895431364007325,2.7484603728156687,0.04767353165522502,3.3800519564772116,0.31998474446987035,0.528604118993135,0.3920503143369974,0.889050724872051,0.9283618792309375,600,0.2503731343283582,0.3969548667754214,0.44850746268656716,0.6143122676579925,0.8240897764376444,0.9322047932430436,1.3372937822665314,2.013143675006085,0.012506797172376292,0.07835820895522388,0.10577243910577239,0.297823596792669
ridge,Ridge residual scale model,deployment_pooled_retrospective,0.2,2.1550046443939213,0.20006127450980393,5222,4,1.7027512379770564,2.1073578855856234,0.02546916890080429,1.1843442139427065,0.4429337418613558,0.8389505936422826,0.17540257831668077,0.1776379872231872,1.4109855020459425,600,0.32865875584322185,0.577045177045177,0.765551959726717,0.9322033898305084,0.0563804633299003,0.26649460555903576,1.4013604068019276,2.006703709913979,0.0009905339332555842,0.04386911183027688,0.07207207207207211,0.322942792308611
gradient_boosted_trees,HistGradientBoosting residual scale model,deployment_pooled_retrospective,0.2,2.210315371809437,0.20006127450980393,5222,4,1.6720559391971777,1.8426759129314771,0.015128303332056683,1.2555607267795146,0.4576790501723478,0.8238222903102259,0.1790984802699554,0.19646183967597408,1.3801902746047374,600,0.34446074834922963,0.5940390544707091,0.7487160674981658,0.9126413155190134,0.05618120825210727,0.3055266303644333,1.3689709861578974,1.8974698710428937,0.003083247687564234,0.025311812179016874,0.09042375709042372,0.302405498281787
mlp,MLP residual scale model,deployment_pooled_retrospective,0.2,2.351953220367432,0.20006127450980393,5222,4,1.7268244104070627,1.8565565337499192,0.0160857908847185,1.2529661885711418,0.46572194561470703,0.8510149368058215,0.15797630485823574,0.18172377578646226,1.4204336953991814,600,0.3812806575633037,0.5497435897435897,0.7982235184939679,0.9117948717948718,0.08277962129828081,0.2536433238796429,1.4820448335642347,1.8963322940961487,0.006294256490952006,0.025056343629855496,0.12239674229203024,0.2630775105001909
cnn1d,1D-CNN residual scale model,deployment_pooled_retrospective,0.2,2.2831413269042975,0.20006127450980393,5222,4,1.3683414709851434,1.5065055272963188,0.003063960168517809,1.1424756191518393,0.4371888165453849,0.9216775181922635,0.1527867223228087,0.14227137471849988,1.2197426737199475,600,0.3404987102321582,0.5255162241887905,0.8950988822012038,0.94467382328654,0.07031478434228045,0.23348156530780337,1.2584087971259628,1.5078117540971405,0.0019029495718363464,0.004025764895330112,0.14831804281345562,0.2238905572238905
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,deployment_pooled_retrospective,0.2,2.6819388371725723,0.20006127450980393,5222,4,1.3947451717350008,1.426657782786492,0.003063960168517809,0.9933831621198583,0.6122175411719648,0.9576790501723478,0.05962390379246382,0.036097935702497135,1.4677046404105505,600,0.5507502206531333,0.7013256006628004,0.9464114832535885,0.9714603409933283,0.027507115651310227,0.06081166420838802,1.299360479626369,1.4842649729542394,0.0008285004142502071,0.004827031375703942,0.172782874617737,0.208356442965428
