axis,cell,method,n_events,n_accepted,coverage,consensus_prevalence,accepted_precision,recoverable_recall,false_accept_rate,f1,roc_auc,average_precision,brier,calibration_ece
delay_cell,delay_fit_unavailable,consensus_abstention_ensemble,99,5,0.050505050505050504,0.42424242424242425,0.0,0.0,1.0,,0.42021720969089393,0.3594095979539424,0.35282832411263493,0.3370457797175328
delay_cell,delay_fit_unavailable,gradient_boosted_trees,99,57,0.5757575757575758,0.42424242424242425,0.543859649122807,0.7380952380952381,0.45614035087719296,0.6262626262626264,0.4444444444444445,0.3732182444634168,0.3478462542725787,0.3260046782311386
delay_cell,delay_fit_unavailable,mlp,99,61,0.6161616161616161,0.42424242424242425,0.36065573770491804,0.5238095238095238,0.639344262295082,0.42718446601941745,0.39849624060150374,0.35280218242519235,0.4887658247106795,0.49508802515410427
delay_cell,delay_fit_unavailable,ridge_linear,99,4,0.04040404040404041,0.42424242424242425,0.0,0.0,1.0,,0.3951545530492899,0.3516823775973328,0.4112773432879137,0.408979144070545
delay_cell,delay_fit_unavailable,traditional_template_fit,99,0,0.0,0.42424242424242425,,0.0,,,,0.42424242424242425,0.42424242424242425,0.42424242424242425
secondary_amplitude_sideband,sec_high_ge0p70,mlp,7,3,0.42857142857142855,0.14285714285714285,0.0,0.0,1.0,,0.33333333333333337,0.2,0.5413298572487663,0.5556797711215097
secondary_amplitude_sideband,sec_high_ge0p70,ridge_linear,2,2,1.0,0.0,0.0,0.0,1.0,,,,0.9634525448645472,0.9814312465643716
secondary_amplitude_sideband,sec_low_0p12_0p35,cnn_1d_dual_head,28,0,0.0,0.39285714285714285,,0.0,,,0.2727272727272727,0.30122544122544126,0.2697282113969289,0.13195421120950157
secondary_amplitude_sideband,sec_low_0p12_0p35,consensus_abstention_ensemble,10,3,0.3,0.1,0.0,0.0,1.0,,0.2222222222222222,0.125,0.21948009444402464,0.2719074486832754
secondary_amplitude_sideband,sec_low_0p12_0p35,gradient_boosted_trees,15,9,0.6,0.4,0.6666666666666666,1.0,0.3333333333333333,0.8,0.14814814814814814,0.29466690716690713,0.3465543519629328,0.405824275841097
secondary_amplitude_sideband,sec_low_0p12_0p35,mlp,15,11,0.7333333333333333,0.4,0.36363636363636365,0.6666666666666666,0.6363636363636364,0.4705882352941177,0.1851851851851852,0.30214970214970216,0.5459443058380112,0.5599370549793754
secondary_amplitude_sideband,sec_low_0p12_0p35,ridge_linear,40,2,0.05,0.375,0.0,0.0,1.0,,0.43466666666666665,0.3350785019079714,0.38095579166437676,0.3856575472567172
secondary_amplitude_sideband,sec_mid_0p35_0p70,consensus_abstention_ensemble,1,0,0.0,0.0,,0.0,,,,,0.3904294670935511,0.6248435540945838
secondary_amplitude_sideband,sec_mid_0p35_0p70,gradient_boosted_trees,1,1,1.0,0.0,0.0,0.0,1.0,,,,0.6242314188054512,0.7900831720809216
secondary_amplitude_sideband,sec_mid_0p35_0p70,mlp,3,2,0.6666666666666666,0.0,0.0,0.0,1.0,,,,0.6656169938959083,0.6661416801416712
secondary_amplitude_sideband,sec_mid_0p35_0p70,ridge_linear,5,0,0.0,0.0,,0.0,,,,,0.5264019590700253,0.7142559263864856
secondary_amplitude_sideband,sec_tiny_lt0p12,cnn_1d_dual_head,71,0,0.0,0.43661971830985913,,0.0,,,0.6895161290322582,0.6503390386609291,0.3176303437408563,0.29899984590289463
secondary_amplitude_sideband,sec_tiny_lt0p12,consensus_abstention_ensemble,88,2,0.022727272727272728,0.4659090909090909,0.0,0.0,1.0,,0.4665282823040996,0.4312469515350515,0.36755424631383027,0.3455430064159245
secondary_amplitude_sideband,sec_tiny_lt0p12,gradient_boosted_trees,83,47,0.5662650602409639,0.43373493975903615,0.5319148936170213,0.6944444444444444,0.46808510638297873,0.6024096385542169,0.4722222222222222,0.39850576954634864,0.34474978885223906,0.33981982111402564
secondary_amplitude_sideband,sec_tiny_lt0p12,mlp,74,45,0.6081081081081081,0.47297297297297297,0.4,0.5142857142857142,0.6,0.45,0.46593406593406594,0.45017707989122413,0.46503367670754053,0.46927671264584925
secondary_amplitude_sideband,sec_tiny_lt0p12,ridge_linear,52,0,0.0,0.5192307692307693,,0.0,,,0.48592592592592593,0.5192289398435852,0.4022944314201763,0.3770466421394346
secondary_amplitude_sideband,sec_tiny_lt0p12,traditional_template_fit,99,0,0.0,0.42424242424242425,,0.0,,,,0.42424242424242425,0.42424242424242425,0.42424242424242425
