method,run,n_events,n_accepted,coverage,consensus_prevalence,accepted_precision,recoverable_recall,false_accept_rate,f1,roc_auc,average_precision,brier,calibration_ece
gradient_boosted_trees,50,6,6,1.0,0.5,0.5,1.0,0.5,0.6666666666666666,0.33333333333333337,0.5,0.4170981267947216,0.47124298303118
gradient_boosted_trees,51,9,9,1.0,0.7777777777777778,0.7777777777777778,1.0,0.2222222222222222,0.8750000000000001,0.21428571428571427,0.6933106575963719,0.6358432065636174,0.7334536097087612
gradient_boosted_trees,52,9,9,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.8,0.5,0.7746031746031746,0.48196161960843664,0.5090169594440286
gradient_boosted_trees,53,4,0,0.0,0.75,,0.0,,,0.6666666666666666,0.8333333333333333,0.5849738276185353,0.6334204088593411
gradient_boosted_trees,54,12,0,0.0,0.25,,0.0,,,0.4444444444444445,0.2777777777777778,0.22002288638621006,0.2547380374260192
gradient_boosted_trees,55,14,14,1.0,0.5714285714285714,0.5714285714285714,1.0,0.42857142857142855,0.7272727272727273,0.53125,0.6944083694083694,0.4164661102273187,0.42800526061786287
gradient_boosted_trees,56,6,6,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.8,0.75,0.8875,0.40987381166237585,0.47991534078289044
gradient_boosted_trees,57,9,0,0.0,0.1111111111111111,,0.0,,,0.1875,0.125,0.11594876772654396,0.15383372803060796
mlp,44,4,4,1.0,0.25,0.25,1.0,0.75,0.4,0.6666666666666667,0.5,0.40253413484788414,0.44294419714997496
mlp,45,5,2,0.4,0.6,0.5,0.3333333333333333,0.5,0.4,0.5,0.6388888888888888,0.5999746462654356,0.5999422808175293
mlp,46,2,2,1.0,0.0,0.0,0.0,1.0,,,,0.33562478032417414,0.4096728105248247
mlp,47,2,2,1.0,0.0,0.0,0.0,1.0,,,,2.5611173307040498e-05,0.0036804666487338
mlp,48,7,7,1.0,0.2857142857142857,0.2857142857142857,1.0,0.7142857142857143,0.4444444444444445,0.19999999999999996,0.26666666666666666,0.30411792416178457,0.35895636737371317
mlp,49,10,0,0.0,0.1,,0.0,,,0.11111111111111116,0.1111111111111111,0.20012804886520552,0.19343014113126167
mlp,50,6,0,0.0,0.5,,0.0,,,0.7777777777777779,0.8055555555555556,0.4944933764611026,0.49480049139535326
mlp,51,9,0,0.0,0.7777777777777778,,0.0,,,0.07142857142857142,0.6441043083900226,0.8462762075194931,0.8654391377227914
mlp,52,9,5,0.5555555555555556,0.6666666666666666,0.6,0.5,0.4,0.5454545454545454,0.6666666666666667,0.8551587301587301,0.5637873806020046,0.5858904860934817
mlp,53,4,4,1.0,0.75,0.75,1.0,0.25,0.8571428571428571,1.0,1.0,0.7442151507040273,0.7470904169865785
mlp,54,12,12,1.0,0.25,0.25,1.0,0.75,0.4,0.4444444444444444,0.2777777777777778,0.2532641411270172,0.26084810583584045
mlp,55,14,14,1.0,0.5714285714285714,0.5714285714285714,1.0,0.42857142857142855,0.7272727272727273,0.4583333333333333,0.5643127705627705,0.6492836627232607,0.6718380020696199
mlp,56,6,0,0.0,0.6666666666666666,,0.0,,,1.0,1.0,0.6663399348616661,0.6665030603783
mlp,57,9,9,1.0,0.1111111111111111,0.1111111111111111,1.0,0.8888888888888888,0.19999999999999998,0.25,0.14285714285714285,0.46831404437366486,0.4957115244783331
ridge_linear,44,4,1,0.25,0.25,0.0,0.0,1.0,,0.0,0.25,0.5861208594675664,0.7008319634276324
ridge_linear,45,5,0,0.0,0.6,,0.0,,,0.3333333333333333,0.5888888888888889,0.44865771330949633,0.591666947101412
ridge_linear,46,2,0,0.0,0.0,,0.0,,,,,0.3432717744297432,0.44866021514386695
ridge_linear,47,2,0,0.0,0.0,,0.0,,,,,0.3102532753182244,0.49754659470542556
ridge_linear,48,7,0,0.0,0.2857142857142857,,0.0,,,0.7,0.5,0.35609507193415507,0.36670821575861023
ridge_linear,49,10,1,0.1,0.1,0.0,0.0,1.0,,0.33333333333333337,0.14285714285714285,0.43209288463585194,0.5088084815761185
ridge_linear,50,6,0,0.0,0.5,,0.0,,,0.3333333333333333,0.6333333333333333,0.3876431510489444,0.4392033779065376
ridge_linear,51,9,0,0.0,0.7777777777777778,,0.0,,,0.5,0.8121315192743763,0.4297943215954034,0.5796871638318226
ridge_linear,52,9,0,0.0,0.6666666666666666,,0.0,,,0.5555555555555556,0.7662698412698412,0.49933737875805917,0.5132955649224172
ridge_linear,53,4,0,0.0,0.75,,0.0,,,1.0,1.0,0.15779687698542566,0.37051328303014885
ridge_linear,54,12,0,0.0,0.25,,0.0,,,0.14814814814814817,0.19761904761904764,0.3269343008422619,0.2996733071718632
ridge_linear,55,14,1,0.07142857142857142,0.5714285714285714,0.0,0.0,1.0,,0.6041666666666667,0.6135281385281385,0.44431030595901844,0.5423285198917628
ridge_linear,56,6,0,0.0,0.6666666666666666,,0.0,,,0.5,0.7708333333333333,0.4779246760511562,0.584957228316257
ridge_linear,57,9,1,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,,0.125,0.125,0.408633873826144,0.5416726783518242
traditional_template_fit,44,4,0,0.0,0.25,,0.0,,,,0.25,0.25,0.25
traditional_template_fit,45,5,0,0.0,0.6,,0.0,,,,0.6,0.6,0.6
traditional_template_fit,46,2,0,0.0,0.0,,0.0,,,,,0.0,0.0
traditional_template_fit,47,2,0,0.0,0.0,,0.0,,,,,0.0,0.0
traditional_template_fit,48,7,0,0.0,0.2857142857142857,,0.0,,,,0.2857142857142857,0.2857142857142857,0.2857142857142857
traditional_template_fit,49,10,0,0.0,0.1,,0.0,,,,0.1,0.1,0.1
traditional_template_fit,50,6,0,0.0,0.5,,0.0,,,,0.5,0.5,0.5
traditional_template_fit,51,9,0,0.0,0.7777777777777778,,0.0,,,,0.7777777777777778,0.7777777777777778,0.7777777777777778
traditional_template_fit,52,9,0,0.0,0.6666666666666666,,0.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666
traditional_template_fit,53,4,0,0.0,0.75,,0.0,,,,0.75,0.75,0.75
traditional_template_fit,54,12,0,0.0,0.25,,0.0,,,,0.25,0.25,0.25
traditional_template_fit,55,14,0,0.0,0.5714285714285714,,0.0,,,,0.5714285714285714,0.5714285714285714,0.5714285714285714
traditional_template_fit,56,6,0,0.0,0.6666666666666666,,0.0,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666
traditional_template_fit,57,9,0,0.0,0.1111111111111111,,0.0,,,,0.1111111111111111,0.1111111111111111,0.1111111111111111
