block,threshold_MeV,stave,hit_events,edep_sum_MeV,edep_mean_MeV
2,40.0,B2,631,64569.05350460939,53.16250576273826
2,40.0,B4,193,27896.64477362553,52.109714256118636
2,40.0,B6,10,16753.535787770597,58.8838923714405
2,40.0,B8,90,15884.93824185295,44.253124353485234
3,40.0,B2,636,66691.14111442755,52.84551580459751
3,40.0,B4,212,30169.57361182809,51.47248802503344
3,40.0,B6,14,17495.05609199994,55.061081794731415
3,40.0,B8,81,16016.526318986509,44.88743758595475
2,50.0,B2,382,64569.05350460939,58.73396931991545
2,50.0,B4,88,27896.64477362553,61.562818873618724
2,50.0,B6,4,16753.535787770597,79.55691594814917
2,50.0,B8,3,15884.93824185295,56.20870337689826
3,50.0,B2,364,66691.14111442755,59.000134023931416
3,50.0,B4,92,30169.57361182809,60.30377519134857
3,50.0,B6,7,17495.05609199994,66.9056495259104
3,50.0,B8,4,16016.526318986509,58.040975194295974
4,0.0,B2,2383,66927.99972953528,28.085606265016903
4,0.0,B4,1296,28715.826586079565,22.157273600370036
4,0.0,B6,891,17584.012231803903,19.73514279663738
4,0.0,B8,638,16572.85004674572,25.97625399176445
5,0.0,B2,2367,66402.54662877385,28.053462876541552
5,0.0,B4,1304,29048.770231551243,22.27666428799942
5,0.0,B6,881,17050.132674316104,19.353158540653922
5,0.0,B8,616,15704.195967165037,25.49382462202116
4,1.0,B2,2379,66927.99972953528,28.131910108973294
4,1.0,B4,1290,28715.826586079565,22.258795588105997
4,1.0,B6,885,17584.012231803903,19.86802041119563
4,1.0,B8,631,16572.85004674572,26.261171230415837
5,1.0,B2,2363,66402.54662877385,28.10027736635642
5,1.0,B4,1290,29048.770231551243,22.514339958425015
5,1.0,B6,869,17050.132674316104,19.616265579504766
5,1.0,B8,610,15704.195967165037,25.741619106363185
4,2.0,B2,2377,66927.99972953528,28.154501862038
4,2.0,B4,1283,28715.826586079565,22.372186865236294
4,2.0,B6,885,17584.012231803903,19.86802041119563
4,2.0,B8,626,16572.85004674572,26.45803232625471
5,2.0,B2,2359,66402.54662877385,28.145832052255937
5,2.0,B4,1285,29048.770231551243,22.596662902634716
5,2.0,B6,869,17050.132674316104,19.616265579504766
5,2.0,B8,606,15704.195967165037,25.901616819332727
4,5.0,B2,2367,66927.99972953528,28.258336311274498
4,5.0,B4,1273,28715.826586079565,22.51967394980151
4,5.0,B6,880,17584.012231803903,19.96068429332554
4,5.0,B8,619,16572.85004674572,26.717515510783766
5,5.0,B2,2351,66402.54662877385,28.22989733885027
5,5.0,B4,1272,29048.770231551243,22.793696709663976
5,5.0,B6,863,17050.132674316104,19.729819437101025
5,5.0,B8,602,15704.195967165037,26.055295660523797
4,10.0,B2,2334,66927.99972953528,28.537395263360718
4,10.0,B4,1263,28715.826586079565,22.641540167100864
4,10.0,B6,873,17584.012231803903,20.04961821172434
4,10.0,B8,607,16572.85004674572,27.08960361565293
5,10.0,B2,2326,66402.54662877385,28.437399569832966
5,10.0,B4,1263,29048.770231551243,22.89646089252234
5,10.0,B6,852,17050.132674316104,19.89505427039315
5,10.0,B8,592,15704.195967165037,26.356119145945136
4,15.0,B2,1357,66927.99972953528,40.39112144257813
4,15.0,B4,652,28715.826586079565,31.421722234907307
4,15.0,B6,651,17584.012231803903,22.072759501700567
4,15.0,B8,580,16572.85004674572,27.769911644003525
5,15.0,B2,1347,66402.54662877385,40.314987346001686
5,15.0,B4,664,29048.770231551243,31.6168714284118
5,15.0,B6,625,17050.132674316104,21.99733463246971
5,15.0,B8,565,15704.195967165037,26.993213480717383
4,20.0,B2,1347,66927.99972953528,40.56308588388802
4,20.0,B4,349,28715.826586079565,44.87020279488291
4,20.0,B6,372,17584.012231803903,25.232315213628613
4,20.0,B8,377,16572.85004674572,32.80835759730555
5,20.0,B2,1334,66402.54662877385,40.54267095376328
5,20.0,B4,347,29048.770231551243,45.98687190683316
5,20.0,B6,377,17050.132674316104,24.61504906271751
5,20.0,B8,331,15704.195967165037,33.12042540599373
4,25.0,B2,1002,66927.99972953528,46.63879957424551
4,25.0,B4,341,28715.826586079565,45.39560346120569
4,25.0,B6,111,17584.012231803903,32.71522164401357
4,25.0,B8,306,16572.85004674572,35.354889123861106
5,25.0,B2,984,66402.54662877385,46.7694196875954
5,25.0,B4,336,29048.770231551243,46.7581394187784
5,25.0,B6,89,17050.132674316104,32.839365512980265
5,25.0,B8,272,15704.195967165037,35.58082338539946
4,30.0,B2,972,66927.99972953528,47.24613458567116
4,30.0,B4,333,28715.826586079565,45.81485227054835
4,30.0,B6,35,17584.012231803903,46.56488949629445
4,30.0,B8,229,16572.85004674572,37.888417055951
5,30.0,B2,969,66402.54662877385,47.07739108214926
5,30.0,B4,330,29048.770231551243,47.0986916100518
5,30.0,B6,30,17050.132674316104,44.952156046023354
5,30.0,B8,199,15704.195967165037,38.502892950209684
4,40.0,B2,643,66927.99972953528,53.05769523580244
4,40.0,B4,203,28715.826586079565,51.49759534571013
4,40.0,B6,19,17584.012231803903,56.13368397900742
4,40.0,B8,81,16572.85004674572,44.83519018587992
5,40.0,B2,647,66402.54662877385,52.831340037429776
5,40.0,B4,217,29048.770231551243,52.36530779971549
5,40.0,B6,18,17050.132674316104,52.20552261537592
5,40.0,B8,78,15704.195967165037,44.5751839124137
4,50.0,B2,383,66927.99972953528,58.881633831237906
4,50.0,B4,88,28715.826586079565,60.542134834955625
4,50.0,B6,11,17584.012231803903,63.25753748754153
4,50.0,B8,4,16572.85004674572,51.737962156624974
5,50.0,B2,374,66402.54662877385,58.7468697308732
5,50.0,B4,104,29048.770231551243,60.85041043096497
5,50.0,B6,12,17050.132674316104,56.877795045014686
5,50.0,B8,1,15704.195967165037,51.22584157366883
6,0.0,B2,2361,68216.74226034695,28.893156399977528
6,0.0,B4,1252,29522.126743260196,23.579973437108784
6,0.0,B6,826,16289.46336247542,19.720899954570726
6,0.0,B8,566,14050.511816454857,24.82422582412519
7,0.0,B2,2357,65557.1191249736,27.813796828584472
7,0.0,B4,1308,30451.523810537594,23.280981506527215
7,0.0,B6,865,16648.811535715507,19.247180966145095
7,0.0,B8,599,15260.76984415075,25.477078203924457
6,1.0,B2,2357,68216.74226034695,28.941478836178568
6,1.0,B4,1233,29522.126743260196,23.940159986975534
6,1.0,B6,809,16289.46336247542,20.12831075179965
6,1.0,B8,557,14050.511816454857,25.220684386607708
7,1.0,B2,2354,65557.1191249736,27.848525787477453
7,1.0,B4,1303,30451.523810537594,23.368763605137634
7,1.0,B6,856,16648.811535715507,19.44651428781618
7,1.0,B8,588,15260.76984415075,25.949452721906926
6,2.0,B2,2351,68216.74226034695,29.011619670723462
6,2.0,B4,1229,29522.126743260196,24.013956709669817
6,2.0,B6,807,16289.46336247542,20.17349147958254
6,2.0,B8,556,14050.511816454857,25.26403686491028
7,2.0,B2,2353,65557.1191249736,27.859684804909747
7,2.0,B4,1296,30451.523810537594,23.48719623230119
7,2.0,B6,851,16648.811535715507,19.55204215045286
7,2.0,B8,585,15260.76984415075,26.07402069594209
6,5.0,B2,2340,68216.74226034695,29.13214956847538
6,5.0,B4,1223,29522.126743260196,24.114603351773095
6,5.0,B6,801,16289.46336247542,20.3022334093575
6,5.0,B8,549,14050.511816454857,25.542069421260877
7,5.0,B2,2342,65557.1191249736,27.974583534836082
7,5.0,B4,1286,30451.523810537594,23.644547663767373
7,5.0,B6,847,16648.811535715507,19.62816902114192
7,5.0,B8,575,15260.76984415075,26.457707066094386
6,10.0,B2,2319,68216.74226034695,29.325827713305454
6,10.0,B4,1215,29522.126743260196,24.227688285964977
6,10.0,B6,793,16289.46336247542,20.42777509666718
6,10.0,B8,532,14050.511816454857,26.098285287225874
7,10.0,B2,2312,65557.1191249736,28.234085726898506
7,10.0,B4,1274,30451.523810537594,23.794570902359137
7,10.0,B6,834,16648.811535715507,19.81424669369318
7,10.0,B8,560,15260.76984415075,26.952129726345248
6,15.0,B2,1415,68216.74226034695,40.28982769248363
6,15.0,B4,690,29522.126743260196,32.54469793819237
6,15.0,B6,601,16289.46336247542,22.475284788954255
6,15.0,B8,509,14050.511816454857,26.708598073030313
7,15.0,B2,1365,65557.1191249736,39.479339665817506
7,15.0,B4,692,30451.523810537594,32.68062312278724
7,15.0,B6,621,16648.811535715507,21.80957908897594
7,15.0,B8,536,15260.76984415075,27.59114111309032
6,20.0,B2,1403,68216.74226034695,40.491414908251336
6,20.0,B4,376,29522.126743260196,46.376650436107795
6,20.0,B6,377,16289.46336247542,25.126244914808566
6,20.0,B8,308,14050.511816454857,32.17752587341946
7,20.0,B2,1353,65557.1191249736,39.67244101137472
7,20.0,B4,393,30451.523810537594,45.46992654914479
7,20.0,B6,362,16648.811535715507,24.560437641328434
7,20.0,B8,334,15260.76984415075,33.166392805961415
6,25.0,B2,1054,68216.74226034695,46.257417028294704
6,25.0,B4,368,29522.126743260196,46.89199179840722
6,25.0,B6,111,16289.46336247542,32.522140238984065
6,25.0,B8,249,14050.511816454857,34.56281842260644
7,25.0,B2,964,65557.1191249736,46.372231451986174
7,25.0,B4,380,30451.523810537594,46.27754763929487
7,25.0,B6,90,16648.811535715507,31.78818299469785
7,25.0,B8,281,15260.76984415075,35.37080464957943
6,30.0,B2,1022,68216.74226034695,46.87592379205462
6,30.0,B4,359,29522.126743260196,47.40507067303394
6,30.0,B6,40,16289.46336247542,43.45309318590711
6,30.0,B8,180,14050.511816454857,37.1508498020836
7,30.0,B2,938,65557.1191249736,46.9213902413016
7,30.0,B4,371,30451.523810537594,46.747749633749216
7,30.0,B6,28,16648.811535715507,43.354013352918855
7,30.0,B8,205,15260.76984415075,38.14899312542839
6,40.0,B2,661,68216.74226034695,52.951197207792084
6,40.0,B4,251,29522.126743260196,51.98175907767399
6,40.0,B6,23,16289.46336247542,50.31565000608411
6,40.0,B8,56,14050.511816454857,43.98245493871212
7,40.0,B2,616,65557.1191249736,52.79469953372212
7,40.0,B4,246,30451.523810537594,51.87196734021701
7,40.0,B6,13,16648.811535715507,52.41879191545893
7,40.0,B8,72,15260.76984415075,44.74916092085131
6,50.0,B2,383,68216.74226034695,59.03393409168834
6,50.0,B4,115,29522.126743260196,61.09595338552018
6,50.0,B6,8,16289.46336247542,60.53650394990966
6,50.0,B8,1,14050.511816454857,58.34301337667193
7,50.0,B2,348,65557.1191249736,58.98478990196444
7,50.0,B4,121,30451.523810537594,59.30617685904437
7,50.0,B6,7,16648.811535715507,57.81744403794613
7,50.0,B8,1,15260.76984415075,59.455925770793165
8,0.0,B2,2376,67584.22949132624,28.444541031702972
8,0.0,B4,1278,27876.728015480887,21.812776224945917
8,0.0,B6,889,17257.55314724057,19.412320750551828
8,0.0,B8,653,16792.49119557088,25.715913010062604
9,0.0,B2,2283,64032.29180850183,28.047433994087534
9,0.0,B4,1242,27719.698149169148,22.31859754361445
9,0.0,B6,832,16183.702891322833,19.451565975147638
9,0.0,B8,573,14202.011131918463,24.785359741568
8,1.0,B2,2373,67584.22949132624,28.479834894643485
8,1.0,B4,1267,27876.728015480887,22.00040900869507
8,1.0,B6,879,17257.55314724057,19.628802115004753
8,1.0,B8,651,16792.49119557088,25.794546657316893
9,1.0,B2,2274,64032.29180850183,28.156685876878367
9,1.0,B4,1230,27719.698149169148,22.53296566933061
9,1.0,B6,823,16183.702891322833,19.662091624736338
9,1.0,B8,564,14202.011131918463,25.177444932819668
8,2.0,B2,2372,67584.22949132624,28.491004440441156
8,2.0,B4,1263,27876.728015480887,22.065802014439974
8,2.0,B6,876,17257.55314724057,19.69059913223761
8,2.0,B8,646,16792.49119557088,25.983310946639527
9,2.0,B2,2268,64032.29180850183,28.227344257608294
9,2.0,B4,1227,27719.698149169148,22.584107326857858
9,2.0,B6,819,16183.702891322833,19.751068988614797
9,2.0,B8,562,14202.011131918463,25.261816772157033
8,5.0,B2,2365,67584.22949132624,28.56464519476161
8,5.0,B4,1255,27876.728015480887,22.18639303664114
8,5.0,B6,867,17257.55314724057,19.856384660129056
8,5.0,B8,636,16792.49119557088,26.33307095917187
9,5.0,B2,2257,64032.29180850183,28.35013704932286
9,5.0,B4,1218,27719.698149169148,22.7236604813061
9,5.0,B6,808,16183.702891322833,19.981512581858933
9,5.0,B8,554,14202.011131918463,25.577647586486233
8,10.0,B2,2338,67584.22949132624,28.79162084379204
8,10.0,B4,1248,27876.728015480887,22.273008880293155
8,10.0,B6,860,17257.55314724057,19.960813878224926
8,10.0,B8,616,16792.49119557088,26.940950049281316
9,10.0,B2,2234,64032.29180850183,28.5534919459833
9,10.0,B4,1199,27719.698149169148,22.959477915842342
9,10.0,B6,803,16183.702891322833,20.058139478674555
9,10.0,B8,533,14202.011131918463,26.278795476929094
8,15.0,B2,1377,67584.22949132624,40.46215808288163
8,15.0,B4,641,27876.728015480887,30.814779394342565
8,15.0,B6,652,17257.55314724057,21.82097845565987
8,15.0,B8,591,16792.49119557088,27.55910247359645
9,15.0,B2,1321,64032.29180850183,39.95530395126955
9,15.0,B4,661,27719.698149169148,30.919587654121337
9,15.0,B6,592,16183.702891322833,22.193953463795612
9,15.0,B8,510,14202.011131918463,26.906551720209308
8,20.0,B2,1363,67584.22949132624,40.69703002136483
8,20.0,B4,331,27876.728015480887,44.736557200548766
8,20.0,B6,369,17257.55314724057,24.776741603325398
8,20.0,B8,372,16792.49119557088,33.01365819858475
9,20.0,B2,1308,64032.29180850183,40.18128364567275
9,20.0,B4,339,27719.698149169148,45.146668710331326
9,20.0,B6,381,16183.702891322833,24.691010751774137
9,20.0,B8,305,14202.011131918463,32.60643449732662
8,25.0,B2,1026,67584.22949132624,46.53432449774799
8,25.0,B4,321,27876.728015480887,45.439893810206435
8,25.0,B6,94,17257.55314724057,32.83215259041946
8,25.0,B8,310,16792.49119557088,35.13741660551181
9,25.0,B2,960,64032.29180850183,46.38894552968141
9,25.0,B4,335,27719.698149169148,45.422232473257026
9,25.0,B6,111,16183.702891322833,31.122067872303216
9,25.0,B8,235,14202.011131918463,35.80004715922241
8,30.0,B2,1002,67584.22949132624,47.01029733399335
8,30.0,B4,317,27876.728015480887,45.67379493129461
8,30.0,B6,32,17257.55314724057,44.947051000238915
8,30.0,B8,235,16792.49119557088,37.47940168729662
9,30.0,B2,940,64032.29180850183,46.789762464328575
9,30.0,B4,327,27719.698149169148,45.863968527459676
9,30.0,B6,26,16183.702891322833,46.82665026350378
9,30.0,B8,182,14202.011131918463,38.16530235451355
8,40.0,B2,644,67584.22949132624,53.186063382816336
8,40.0,B4,194,27876.728015480887,51.42740662075825
8,40.0,B6,18,17257.55314724057,52.64248901937409
8,40.0,B8,66,16792.49119557088,44.971791580943396
9,40.0,B2,611,64032.29180850183,52.912518359529564
9,40.0,B4,206,27719.698149169148,51.32154920599517
9,40.0,B6,15,16183.702891322833,55.20437885367963
9,40.0,B8,68,14202.011131918463,44.56851625577135
8,50.0,B2,382,67584.22949132624,59.33633706257724
8,50.0,B4,87,27876.728015480887,60.424552132337524
8,50.0,B6,7,17257.55314724057,65.36690794775424
8,50.0,B8,2,16792.49119557088,67.09088660869239
9,50.0,B2,348,64032.29180850183,59.247445596348506
9,50.0,B4,94,27719.698149169148,59.28778040784587
9,50.0,B6,7,16183.702891322833,67.16870776995268
9,50.0,B8,4,14202.011131918463,53.72365463653385
10,0.0,B2,2341,66677.73988521962,28.48258858830398
10,0.0,B4,1254,27646.563530894502,22.04670138029865
10,0.0,B6,836,16220.790585579376,19.40285955212844
10,0.0,B8,568,14714.764630328682,25.906275757620918
11,0.0,B2,2429,67216.29932755436,27.672416355518468
11,0.0,B4,1376,31455.692504814022,22.860241645940423
11,0.0,B6,923,18187.73658173248,19.7050233821587
11,0.0,B8,647,16676.316363483238,25.774832091937004
10,1.0,B2,2337,66677.73988521962,28.530386540870193
10,1.0,B4,1238,27646.563530894502,22.327815904201113
10,1.0,B6,830,16220.790585579376,19.540532780647766
10,1.0,B8,564,14714.764630328682,26.088692927880718
11,1.0,B2,2425,67216.29932755436,27.717087187615796
11,1.0,B4,1366,31455.692504814022,23.02515029230697
11,1.0,B6,916,18187.73658173248,19.854018688449436
11,1.0,B8,638,16676.316363483238,26.13212641378816
10,2.0,B2,2336,66677.73988521962,28.541962244420922
10,2.0,B4,1234,27646.563530894502,22.395475344191134
10,2.0,B6,828,16220.790585579376,19.583808382042445
10,2.0,B8,560,14714.764630328682,26.26602417652341
11,2.0,B2,2423,67216.29932755436,27.738580709528822
11,2.0,B4,1362,31455.692504814022,23.088657784848074
11,2.0,B6,914,18187.73658173248,19.89397942870846
11,2.0,B8,633,16676.316363483238,26.32647862010244
10,5.0,B2,2325,66677.73988521962,28.657923829725966
10,5.0,B4,1226,27646.563530894502,22.520349736725656
10,5.0,B6,820,16220.790585579376,19.73716815094016
10,5.0,B8,553,14714.764630328682,26.553412764947335
11,5.0,B2,2416,67216.29932755436,27.808238769581283
11,5.0,B4,1356,31455.692504814022,23.1780701313409
11,5.0,B6,910,18187.73658173248,19.964899579926282
11,5.0,B8,627,16676.316363483238,26.538720982848073
10,10.0,B2,2296,66677.73988521962,28.916540781359814
10,10.0,B4,1213,27646.563530894502,22.689818697082895
10,10.0,B6,807,16220.790585579376,19.93431154002529
10,10.0,B8,536,14714.764630328682,27.137201755323495
11,10.0,B2,2387,67216.29932755436,28.043960746554355
11,10.0,B4,1346,31455.692504814022,23.293354555399446
11,10.0,B6,900,18187.73658173248,20.103771380574678
11,10.0,B8,608,16676.316363483238,27.131511220819604
10,15.0,B2,1357,66677.73988521962,40.60595668463617
10,15.0,B4,645,27646.563530894502,31.139364911057157
10,15.0,B6,582,16220.790585579376,22.22612430549281
10,15.0,B8,515,14714.764630328682,27.71364193610738
11,15.0,B2,1377,67216.29932755436,39.72576976884979
11,15.0,B4,728,31455.692504814022,31.77652114346359
11,15.0,B6,677,18187.73658173248,22.10025265673758
11,15.0,B8,580,16676.316363483238,27.820333631987623
10,20.0,B2,1342,66677.73988521962,40.86607906042379
10,20.0,B4,340,27646.563530894502,44.742070143845346
10,20.0,B6,331,16220.790585579376,25.497209511149254
10,20.0,B8,309,14714.764630328682,33.929656584599925
11,20.0,B2,1367,67216.29932755436,39.88669537386021
11,20.0,B4,394,31455.692504814022,45.16343498208276
11,20.0,B6,400,18187.73658173248,24.91800853428992
11,20.0,B8,372,16676.316363483238,33.10651040528121
10,25.0,B2,1006,66677.73988521962,46.848077998986746
10,25.0,B4,332,27646.563530894502,45.30050533056781
10,25.0,B6,102,16220.790585579376,32.75466994654283
10,25.0,B8,268,14714.764630328682,35.8067738534132
11,25.0,B2,970,67216.29932755436,46.78793861580061
11,25.0,B4,384,31455.692504814022,45.755182227589074
11,25.0,B6,106,18187.73658173248,32.66266756125784
11,25.0,B8,303,16676.316363483238,35.703686451121065
10,30.0,B2,989,66677.73988521962,47.179003079266735
10,30.0,B4,325,27646.563530894502,45.68558598172542
10,30.0,B6,28,16220.790585579376,49.45968669486029
10,30.0,B8,209,14714.764630328682,38.0193785772645
11,30.0,B2,950,67216.29932755436,47.20842623130599
11,30.0,B4,373,31455.692504814022,46.30722208301671
