block,threshold_MeV,events,selected_events,B2,B4,B6,B8
17,1.0,10000,2389,1111,418,280,580
16,2.0,10000,2460,1122,424,288,626
17,2.0,10000,2388,1115,417,279,577
16,5.0,10000,2448,1120,417,293,618
17,5.0,10000,2378,1117,416,276,569
16,10.0,10000,2428,1110,412,311,595
17,10.0,10000,2358,1117,402,293,546
16,15.0,10000,2340,1072,386,316,566
17,15.0,10000,2247,1059,375,293,520
16,20.0,10000,2103,1065,358,332,348
17,20.0,10000,2018,1051,338,296,333
16,25.0,10000,1763,1019,347,113,284
17,25.0,10000,1702,990,327,106,279
16,30.0,10000,1592,1009,340,33,210
17,30.0,10000,1533,977,318,35,203
16,40.0,10000,945,651,213,19,62
17,40.0,10000,915,627,205,18,65
16,50.0,10000,486,373,95,16,2
17,50.0,10000,471,360,99,11,1
18,0.0,10000,2375,1080,402,263,630
19,0.0,10000,2402,1065,419,290,628
18,1.0,10000,2366,1085,400,258,623
19,1.0,10000,2394,1072,415,285,622
18,2.0,10000,2359,1084,394,259,622
19,2.0,10000,2392,1082,411,285,614
18,5.0,10000,2348,1081,387,261,619
19,5.0,10000,2385,1080,411,286,608
18,10.0,10000,2331,1071,383,273,604
19,10.0,10000,2372,1080,402,304,586
18,15.0,10000,2263,1040,362,286,575
19,15.0,10000,2277,1035,376,301,565
18,20.0,10000,2036,1035,337,291,373
19,20.0,10000,2016,1027,350,300,339
18,25.0,10000,1728,994,325,108,301
19,25.0,10000,1712,992,342,109,269
18,30.0,10000,1562,982,320,31,229
19,30.0,10000,1556,985,335,31,205
18,40.0,10000,966,677,194,17,78
19,40.0,10000,918,635,198,18,67
18,50.0,10000,501,408,85,6,2
19,50.0,10000,439,349,81,8,1
20,0.0,10000,2365,1025,433,248,659
21,0.0,10000,2399,1086,429,262,622
20,1.0,10000,2360,1037,424,249,650
21,1.0,10000,2397,1105,414,258,620
20,2.0,10000,2357,1040,424,247,646
21,2.0,10000,2395,1111,408,258,618
20,5.0,10000,2350,1043,423,247,637
21,5.0,10000,2386,1106,408,264,608
20,10.0,10000,2338,1041,424,255,618
21,10.0,10000,2377,1105,404,278,590
20,15.0,10000,2233,990,390,266,587
21,15.0,10000,2274,1065,364,282,563
20,20.0,10000,1986,989,361,287,349
21,20.0,10000,2053,1054,346,295,358
20,25.0,10000,1671,936,352,89,294
21,25.0,10000,1768,1014,340,111,303
20,30.0,10000,1508,925,342,23,218
21,30.0,10000,1615,1003,335,41,236
20,40.0,10000,915,618,211,14,72
21,40.0,10000,982,666,213,20,83
20,50.0,10000,458,359,90,8,1
21,50.0,10000,462,358,96,7,1
22,0.0,10000,2415,1075,432,268,640
23,0.0,10000,2412,1119,396,257,640
22,1.0,10000,2407,1080,428,264,635
23,1.0,10000,2411,1132,395,254,630
22,2.0,10000,2404,1082,425,264,633
23,2.0,10000,2408,1144,386,251,627
22,5.0,10000,2395,1089,417,263,626
23,5.0,10000,2397,1143,380,251,623
22,10.0,10000,2380,1093,411,271,605
23,10.0,10000,2385,1144,375,259,607
22,15.0,10000,2271,1031,387,275,578
23,15.0,10000,2274,1092,340,257,585
22,20.0,10000,2025,1024,355,282,364
23,20.0,10000,2051,1084,313,277,377
22,25.0,10000,1733,991,348,98,296
23,25.0,10000,1751,1035,304,97,315
22,30.0,10000,1584,977,343,32,232
23,30.0,10000,1604,1027,299,33,245
22,40.0,10000,949,628,215,18,88
23,40.0,10000,971,673,189,21,88
22,50.0,10000,478,362,103,9,4
23,50.0,10000,487,396,74,11,6
24,0.0,10000,2426,1097,479,267,583
25,0.0,10000,2330,1001,432,262,635
24,1.0,10000,2423,1112,472,261,578
25,1.0,10000,2327,1014,426,256,631
24,2.0,10000,2419,1115,469,259,576
25,2.0,10000,2323,1016,424,255,628
24,5.0,10000,2414,1125,458,265,566
25,5.0,10000,2311,1019,415,261,616
24,10.0,10000,2397,1122,450,274,551
25,10.0,10000,2294,1018,410,280,586
24,15.0,10000,2302,1086,415,262,539
25,15.0,10000,2208,984,379,295,550
24,20.0,10000,2054,1079,381,274,320
25,20.0,10000,1968,974,353,308,333
24,25.0,10000,1741,1024,375,90,252
25,25.0,10000,1654,935,343,102,274
24,30.0,10000,1594,1014,369,22,189
25,30.0,10000,1495,920,338,40,197
24,40.0,10000,950,650,234,11,55
25,40.0,10000,908,610,224,18,56
24,50.0,10000,481,366,111,3,1
25,50.0,10000,471,359,98,7,7
26,0.0,10000,2421,1111,437,264,609
27,0.0,10000,2386,1050,379,298,659
26,1.0,10000,2416,1124,429,257,606
27,1.0,10000,2379,1056,384,289,650
26,2.0,10000,2410,1125,425,256,604
27,2.0,10000,2376,1058,382,287,649
26,5.0,10000,2404,1126,424,259,595
27,5.0,10000,2370,1060,386,285,639
26,10.0,10000,2383,1116,423,268,576
27,10.0,10000,2357,1052,390,288,627
26,15.0,10000,2263,1047,391,267,558
27,15.0,10000,2248,1007,352,295,594
26,20.0,10000,2053,1043,363,285,362
27,20.0,10000,1979,1008,319,320,332
26,25.0,10000,1759,995,360,105,299
27,25.0,10000,1649,968,310,104,267
26,30.0,10000,1597,982,351,27,237
27,30.0,10000,1496,961,303,30,202
26,40.0,10000,978,667,213,15,83
27,40.0,10000,924,628,204,20,72
26,50.0,10000,486,385,92,6,3
27,50.0,10000,449,359,75,12,3
28,0.0,10000,2400,1060,418,287,635
29,0.0,10000,2361,1013,464,238,646
28,1.0,10000,2396,1077,412,279,628
29,1.0,10000,2354,1014,462,235,643
28,2.0,10000,2393,1078,410,281,624
29,2.0,10000,2351,1016,458,241,636
28,5.0,10000,2382,1077,409,278,618
29,5.0,10000,2347,1024,455,242,626
28,10.0,10000,2363,1073,398,295,597
29,10.0,10000,2331,1021,450,245,615
28,15.0,10000,2273,1036,370,296,571
29,15.0,10000,2247,982,425,247,593
28,20.0,10000,2041,1025,344,310,362
29,20.0,10000,2011,981,399,251,380
28,25.0,10000,1731,991,333,110,297
29,25.0,10000,1711,923,391,89,308
28,30.0,10000,1566,977,330,40,219
29,30.0,10000,1559,911,386,26,236
28,40.0,10000,941,631,203,22,85
29,40.0,10000,932,602,239,13,78
28,50.0,10000,458,353,87,11,7
29,50.0,10000,458,342,104,5,7
30,0.0,10000,2430,1097,442,273,618
31,0.0,10000,2321,1039,424,248,610
30,1.0,10000,2424,1106,436,270,612
31,1.0,10000,2314,1047,419,241,607
30,2.0,10000,2424,1111,434,268,611
31,2.0,10000,2312,1052,416,240,604
30,5.0,10000,2416,1112,435,269,600
31,5.0,10000,2305,1047,417,247,594
30,10.0,10000,2399,1101,439,275,584
31,10.0,10000,2294,1049,411,262,572
30,15.0,10000,2297,1053,406,291,547
31,15.0,10000,2203,1006,387,258,552
30,20.0,10000,2078,1045,380,299,354
31,20.0,10000,1965,1000,360,262,343
30,25.0,10000,1766,1011,373,95,287
31,25.0,10000,1670,950,355,84,281
30,30.0,10000,1629,1005,365,36,223
31,30.0,10000,1528,937,349,23,219
30,40.0,10000,1004,674,224,25,81
31,40.0,10000,911,615,210,13,73
30,50.0,10000,536,414,112,9,1
31,50.0,10000,442,350,79,9,4
32,0.0,10000,2336,1017,432,274,613
33,0.0,10000,2353,1061,411,257,624
32,1.0,10000,2335,1034,422,273,606
33,1.0,10000,2351,1072,406,256,617
32,2.0,10000,2330,1037,420,271,602
33,2.0,10000,2350,1074,409,254,613
32,5.0,10000,2323,1036,416,271,600
33,5.0,10000,2337,1076,404,254,603
32,10.0,10000,2305,1024,422,278,581
33,10.0,10000,2319,1066,407,260,586
32,15.0,10000,2218,988,392,288,550
33,15.0,10000,2207,1006,376,267,558
32,20.0,10000,1987,982,364,298,343
33,20.0,10000,1993,1000,352,287,354
32,25.0,10000,1677,939,354,100,284
33,25.0,10000,1702,969,346,99,288
32,30.0,10000,1531,934,338,41,218
33,30.0,10000,1526,956,335,24,211
32,40.0,10000,963,647,213,22,81
33,40.0,10000,927,608,226,9,84
32,50.0,10000,488,379,99,8,2
33,50.0,10000,451,351,90,5,5
34,0.0,10000,2426,1082,432,291,621
35,0.0,10000,2348,1035,439,233,641
34,1.0,10000,2418,1086,426,288,618
35,1.0,10000,2345,1045,441,226,633
34,2.0,10000,2417,1089,427,286,615
35,2.0,10000,2340,1045,437,226,632
34,5.0,10000,2411,1090,423,292,606
35,5.0,10000,2327,1037,441,226,623
34,10.0,10000,2393,1088,417,302,586
35,10.0,10000,2310,1030,434,244,602
34,15.0,10000,2286,1044,377,303,562
35,15.0,10000,2215,990,407,235,583
34,20.0,10000,2057,1041,354,313,349
35,20.0,10000,1987,990,386,244,367
34,25.0,10000,1742,996,353,111,282
35,25.0,10000,1714,945,381,82,306
34,30.0,10000,1560,982,341,33,204
35,30.0,10000,1571,938,375,26,232
34,40.0,10000,943,647,205,20,71
35,40.0,10000,943,619,237,17,70
34,50.0,10000,463,359,92,10,2
35,50.0,10000,464,355,102,6,1
36,0.0,10000,2288,1064,401,222,601
37,0.0,10000,2427,1092,469,261,605
36,1.0,10000,2284,1072,396,219,597
37,1.0,10000,2424,1101,466,259,598
36,2.0,10000,2280,1078,387,224,591
37,2.0,10000,2421,1107,459,258,597
36,5.0,10000,2268,1071,389,223,585
37,5.0,10000,2410,1109,454,259,588
36,10.0,10000,2259,1071,395,223,570
37,10.0,10000,2390,1104,448,267,571
36,15.0,10000,2174,1028,367,232,547
37,15.0,10000,2275,1049,413,270,543
36,20.0,10000,1945,1014,341,246,344
37,20.0,10000,2062,1047,372,281,362
36,25.0,10000,1653,971,334,66,282
37,25.0,10000,1773,1003,365,100,305
36,30.0,10000,1542,964,324,23,231
37,30.0,10000,1607,994,356,26,231
36,40.0,10000,922,631,200,14,77
37,40.0,10000,938,634,221,12,71
36,50.0,10000,460,366,86,6,2
37,50.0,10000,467,355,101,7,4
38,0.0,10000,2403,1078,461,261,603
39,0.0,10000,2308,1022,397,255,634
38,1.0,10000,2399,1088,456,263,592
39,1.0,10000,2307,1036,393,245,633
38,2.0,10000,2396,1091,452,264,589
39,2.0,10000,2304,1041,389,245,629
38,5.0,10000,2387,1088,456,258,585
39,5.0,10000,2291,1033,392,242,624
38,10.0,10000,2371,1088,450,274,559
39,10.0,10000,2278,1032,386,259,601
38,15.0,10000,2266,1045,410,281,530
39,15.0,10000,2185,983,366,259,577
38,20.0,10000,2041,1047,371,296,327
39,20.0,10000,1923,975,335,272,341
38,25.0,10000,1730,997,367,98,268
39,25.0,10000,1651,938,331,99,283
38,30.0,10000,1584,984,359,37,204
39,30.0,10000,1498,932,322,27,217
38,40.0,10000,957,640,229,21,67
39,40.0,10000,906,597,216,13,80
38,50.0,10000,473,359,103,8,3
39,50.0,10000,466,356,99,8,3
40,0.0,10000,2334,1069,391,245,629
41,0.0,10000,2334,1045,457,259,573
40,1.0,10000,2330,1077,392,241,620
41,1.0,10000,2328,1051,456,254,567
40,2.0,10000,2328,1077,396,238,617
41,2.0,10000,2328,1056,454,255,563
40,5.0,10000,2322,1079,396,239,608
41,5.0,10000,2315,1056,449,256,554
40,10.0,10000,2308,1074,394,255,585
41,10.0,10000,2299,1049,451,270,529
40,15.0,10000,2202,1023,367,257,555
41,15.0,10000,2208,1010,425,267,506
40,20.0,10000,1974,1019,339,265,351
41,20.0,10000,1990,1006,390,271,323
40,25.0,10000,1679,985,326,100,268
41,25.0,10000,1692,964,383,84,261
40,30.0,10000,1519,971,317,32,199
41,30.0,10000,1549,948,372,31,198
40,40.0,10000,882,616,191,14,61
41,40.0,10000,936,617,233,18,68
40,50.0,10000,448,348,90,9,1
41,50.0,10000,471,358,100,11,2
42,0.0,10000,2347,1027,446,255,619
43,0.0,10000,2413,1085,464,273,591
42,1.0,10000,2339,1032,447,252,608
43,1.0,10000,2410,1095,455,274,586
42,2.0,10000,2336,1031,447,252,606
43,2.0,10000,2407,1097,452,274,584
42,5.0,10000,2327,1030,443,256,598
43,5.0,10000,2398,1098,451,274,575
42,10.0,10000,2311,1027,434,270,580
43,10.0,10000,2385,1095,450,286,554
42,15.0,10000,2223,985,405,282,551
43,15.0,10000,2264,1046,413,271,534
42,20.0,10000,1989,977,383,291,338
43,20.0,10000,2065,1041,389,287,348
42,25.0,10000,1697,930,375,108,284
43,25.0,10000,1772,1001,380,103,288
42,30.0,10000,1535,925,364,36,210
43,30.0,10000,1611,993,370,30,218
42,40.0,10000,910,594,220,24,72
43,40.0,10000,994,656,242,17,79
42,50.0,10000,446,342,93,7,4
43,50.0,10000,470,357,102,9,2
44,0.0,10000,2348,1038,424,285,601
45,0.0,10000,2374,1097,408,252,617
44,1.0,10000,2343,1049,416,283,595
45,1.0,10000,2367,1102,408,243,614
44,2.0,10000,2339,1052,413,280,594
45,2.0,10000,2365,1104,406,245,610
44,5.0,10000,2332,1057,409,276,590
45,5.0,10000,2349,1097,406,253,593
44,10.0,10000,2318,1062,395,289,572
45,10.0,10000,2335,1094,405,258,578
44,15.0,10000,2216,1005,370,294,547
45,15.0,10000,2244,1055,369,267,553
44,20.0,10000,1981,1005,329,309,338
45,20.0,10000,2036,1044,348,290,354
44,25.0,10000,1686,979,327,100,280
45,25.0,10000,1720,994,345,92,289
44,30.0,10000,1524,972,321,30,201
45,30.0,10000,1572,985,339,27,221
44,40.0,10000,915,644,192,16,63
45,40.0,10000,967,637,231,15,84
44,50.0,10000,484,388,82,8,6
45,50.0,10000,486,358,112,10,6
46,0.0,10000,2380,1045,429,280,626
47,0.0,10000,2316,1050,388,246,632
46,1.0,10000,2379,1059,428,276,616
47,1.0,10000,2314,1062,380,241,631
46,2.0,10000,2373,1059,429,273,612
47,2.0,10000,2311,1063,379,240,629
46,5.0,10000,2367,1060,431,276,600
47,5.0,10000,2301,1061,377,242,621
46,10.0,10000,2348,1052,430,275,591
47,10.0,10000,2284,1054,383,247,600
46,15.0,10000,2249,1017,394,272,566
47,15.0,10000,2180,1003,347,257,573
46,20.0,10000,2013,1012,373,282,346
47,20.0,10000,1962,1004,318,268,372
46,25.0,10000,1720,971,365,103,281
47,25.0,10000,1666,963,311,84,308
46,30.0,10000,1555,960,357,27,211
47,30.0,10000,1503,956,301,20,226
46,40.0,10000,948,619,233,18,78
47,40.0,10000,873,613,176,10,74
46,50.0,10000,475,356,109,7,3
47,50.0,10000,440,349,82,6,3
48,0.0,10000,2385,1028,438,298,621
49,0.0,10000,2309,1021,399,277,612
48,1.0,10000,2379,1036,443,291,609
49,1.0,10000,2303,1028,394,272,609
48,2.0,10000,2377,1037,443,290,607
49,2.0,10000,2301,1033,390,274,604
48,5.0,10000,2371,1040,439,294,598
49,5.0,10000,2297,1035,390,275,597
48,10.0,10000,2354,1032,438,305,579
49,10.0,10000,2282,1035,381,283,583
48,15.0,10000,2249,988,405,306,550
49,15.0,10000,2195,994,359,293,549
48,20.0,10000,2016,979,378,321,338
49,20.0,10000,1979,993,326,305,355
48,25.0,10000,1701,945,371,104,281
49,25.0,10000,1691,956,317,117,301
48,30.0,10000,1528,934,363,27,204
49,30.0,10000,1509,944,310,30,225
48,40.0,10000,947,619,235,17,76
49,40.0,10000,908,606,212,16,74
48,50.0,10000,492,368,112,10,2
49,50.0,10000,492,383,95,10,4
50,0.0,10000,2376,1079,410,278,609
51,0.0,10000,2402,1072,446,253,631
50,1.0,10000,2374,1092,405,273,604
51,1.0,10000,2396,1089,442,244,621
50,2.0,10000,2365,1089,401,273,602
51,2.0,10000,2395,1091,446,242,616
50,5.0,10000,2362,1094,402,274,592
51,5.0,10000,2379,1085,445,244,605
50,10.0,10000,2350,1094,404,276,576
51,10.0,10000,2357,1074,439,262,582
50,15.0,10000,2230,1036,372,273,549
51,15.0,10000,2259,1038,405,256,560
50,20.0,10000,2010,1029,346,277,358
51,20.0,10000,2043,1038,384,273,348
50,25.0,10000,1725,987,343,98,297
51,25.0,10000,1714,983,372,71,288
50,30.0,10000,1556,982,333,24,217
51,30.0,10000,1585,976,365,23,221
50,40.0,10000,914,605,223,17,69
51,40.0,10000,932,634,222,9,67
50,50.0,10000,444,344,86,12,2
51,50.0,10000,471,371,97,1,2
52,0.0,10000,2383,1040,415,296,632
53,0.0,10000,2348,1017,441,273,617
52,1.0,10000,2375,1044,418,286,627
53,1.0,10000,2341,1030,436,263,612
52,2.0,10000,2374,1047,418,286,623
53,2.0,10000,2339,1031,436,262,610
52,5.0,10000,2366,1045,419,281,621
53,5.0,10000,2333,1034,432,265,602
52,10.0,10000,2352,1042,415,295,600
53,10.0,10000,2323,1035,425,279,584
52,15.0,10000,2266,1001,389,304,572
53,15.0,10000,2237,991,402,277,567
52,20.0,10000,2034,1000,357,308,369
53,20.0,10000,1993,989,388,283,333
52,25.0,10000,1730,954,352,114,310
53,25.0,10000,1723,944,382,108,289
52,30.0,10000,1544,943,342,36,223
53,30.0,10000,1553,933,368,31,221
52,40.0,10000,931,622,218,16,75
53,40.0,10000,970,637,235,20,78
52,50.0,10000,451,339,100,8,4
53,50.0,10000,470,354,97,14,5
54,0.0,10000,2357,1094,402,248,613
55,0.0,10000,2422,1074,451,291,606
54,1.0,10000,2353,1101,402,244,606
55,1.0,10000,2417,1086,446,290,595
54,2.0,10000,2349,1101,404,244,600
55,2.0,10000,2415,1089,447,287,592
54,5.0,10000,2342,1107,399,247,589
55,5.0,10000,2408,1092,445,284,587
54,10.0,10000,2331,1108,393,252,578
55,10.0,10000,2389,1096,429,295,569
54,15.0,10000,2242,1075,365,249,553
55,15.0,10000,2280,1044,393,295,548
54,20.0,10000,2001,1074,339,265,323
55,20.0,10000,2061,1044,366,313,338
54,25.0,10000,1729,1026,335,102,266
55,25.0,10000,1747,989,359,120,279
54,30.0,10000,1580,1016,328,39,197
55,30.0,10000,1579,978,351,32,218
54,40.0,10000,985,685,213,22,65
55,40.0,10000,963,637,222,17,87
54,50.0,10000,513,399,101,11,2
55,50.0,10000,491,371,101,10,9
56,0.0,10000,2429,1100,402,265,662
57,0.0,10000,2457,1087,464,269,637
56,1.0,10000,2424,1116,399,258,651
57,1.0,10000,2452,1100,456,266,630
56,2.0,10000,2423,1121,398,259,645
57,2.0,10000,2449,1107,451,267,624
56,5.0,10000,2415,1119,396,260,640
57,5.0,10000,2438,1110,446,269,613
56,10.0,10000,2395,1111,388,275,621
57,10.0,10000,2426,1113,438,279,596
56,15.0,10000,2302,1068,363,273,598
57,15.0,10000,2317,1071,404,274,568
56,20.0,10000,2061,1067,336,287,371
57,20.0,10000,2070,1066,374,288,342
56,25.0,10000,1753,1017,330,99,307
57,25.0,10000,1762,1021,368,90,283
56,30.0,10000,1602,1010,324,32,236
57,30.0,10000,1635,1018,362,34,221
56,40.0,10000,948,652,197,16,83
57,40.0,10000,1009,682,239,16,72
56,50.0,10000,502,387,98,11,6
57,50.0,10000,513,394,107,8,4
58,0.0,10000,2456,1122,419,272,643
59,0.0,10000,2371,1037,473,279,582
58,1.0,10000,2452,1137,413,267,635
59,1.0,10000,2368,1043,471,277,577
58,2.0,10000,2443,1130,412,269,632
59,2.0,10000,2363,1046,468,274,575
58,5.0,10000,2434,1134,410,267,623
59,5.0,10000,2350,1042,466,271,571
58,10.0,10000,2418,1134,401,286,597
59,10.0,10000,2333,1043,455,282,553
58,15.0,10000,2322,1100,367,280,575
59,15.0,10000,2233,1005,414,292,522
58,20.0,10000,2073,1094,337,294,348
59,20.0,10000,2024,1000,385,295,344
58,25.0,10000,1751,1044,330,95,282
59,25.0,10000,1724,955,376,97,296
58,30.0,10000,1595,1037,326,24,208
59,30.0,10000,1567,946,363,24,234
58,40.0,10000,967,694,195,11,67
59,40.0,10000,943,629,218,17,79
58,50.0,10000,496,404,84,5,3
59,50.0,10000,463,353,102,6,2
60,0.0,10000,2363,1090,413,272,588
61,0.0,10000,2440,1070,446,272,652
60,1.0,10000,2358,1102,406,269,581
61,1.0,10000,2430,1074,447,263,646
60,2.0,10000,2357,1106,408,265,578
61,2.0,10000,2427,1074,446,267,640
60,5.0,10000,2346,1104,403,266,573
61,5.0,10000,2422,1082,436,272,632
60,10.0,10000,2330,1102,398,275,555
61,10.0,10000,2414,1085,436,278,615
60,15.0,10000,2227,1047,374,283,523
61,15.0,10000,2309,1034,406,286,583
60,20.0,10000,2014,1042,346,297,329
61,20.0,10000,2071,1028,382,297,364
60,25.0,10000,1720,1006,338,107,269
61,25.0,10000,1769,988,375,106,300
60,30.0,10000,1550,994,328,32,196
61,30.0,10000,1612,980,369,32,231
60,40.0,10000,931,638,205,19,69
61,40.0,10000,950,626,231,20,73
60,50.0,10000,484,372,99,10,3
