definition_id,fold,test_runs,train_n,test_n,test_clean,test_violating,qonly_selected_columns,traditional_selected_columns
cfd15_ds2_app_a_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,1378,1695,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_app_a_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,1452,1615,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_app_a_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,1540,1532,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_app_a_qnone_ambas_violating,5,"37,42,45,49,51,54,63,64",12281,3073,1296,1777,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_app_a_qtight_ambexclude,1,"34,36,40,44,53,61",4037,1011,762,249,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qtight_ambexclude,2,"31,32,33,54,59",4043,1005,587,418,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qtight_ambexclude,3,"35,37,41,48,57,62",4031,1017,723,294,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qtight_ambexclude,4,"42,49,50,52,55,56,60",4042,1006,628,378,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qtight_ambexclude,5,"39,45,47,51,58,63,64,65",4039,1009,606,403,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qtight_ambas_violating,1,"31,49,51,57,59",7010,1740,647,1093,q_all_max,active_downstream_span_ns
cfd15_ds2_app_a_qtight_ambas_violating,2,"32,48,50,52,53,62",7003,1747,603,1144,q_all_max,active_downstream_span_ns
cfd15_ds2_app_a_qtight_ambas_violating,3,"34,40,46,47,56,58,61",7010,1740,797,943,q_all_max,active_downstream_span_ns
cfd15_ds2_app_a_qtight_ambas_violating,4,"39,41,44,45,55,60,65",7009,1741,708,1033,q_all_max,active_downstream_span_ns
cfd15_ds2_app_a_qtight_ambas_violating,5,"33,35,36,37,42,54,63,64",6968,1782,551,1231,q_all_max,active_downstream_span_ns
cfd15_ds2_loose_qnone_ambexclude,1,"44,54,55,58,61",9593,2409,2135,274,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambexclude,2,"32,33,40,47,50,52,59",9596,2406,1849,557,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambexclude,3,"34,42,51,53,62,65",9593,2409,1970,439,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambexclude,4,"31,35,39,41,56,60",9613,2389,2035,354,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambexclude,5,"36,37,45,48,49,57,63,64",9613,2389,1827,562,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,2220,849,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,1874,1199,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,1940,1127,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,2039,1033,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qnone_ambas_violating,5,"37,42,45,49,51,54,63,64",12281,3073,1743,1330,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambexclude,1,"39,48,51,57,61",5211,1290,1112,178,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambexclude,2,"31,33,36,47,53,59",5207,1294,905,389,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambexclude,3,"35,37,40,54,55,62",5174,1327,1007,320,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambexclude,4,"34,42,44,56,58,60,65",5208,1293,976,317,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambexclude,5,"32,41,45,49,50,52,63,64",5204,1297,863,434,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_loose_qtight_ambas_violating,1,"31,49,51,57,59",7010,1740,966,774,q_all_max,active_downstream_span_ns
cfd15_ds2_loose_qtight_ambas_violating,2,"32,48,50,52,53,62",7003,1747,922,825,q_all_max,active_downstream_span_ns
cfd15_ds2_loose_qtight_ambas_violating,3,"34,40,46,47,56,58,61",7010,1740,1118,622,q_all_max,active_downstream_span_ns
cfd15_ds2_loose_qtight_ambas_violating,4,"39,41,44,45,55,60,65",7009,1741,1026,715,q_all_max,active_downstream_span_ns
cfd15_ds2_loose_qtight_ambas_violating,5,"33,35,36,37,42,54,63,64",6968,1782,831,951,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qnone_ambexclude,1,"44,57,61,65",1887,469,382,87,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qnone_ambexclude,2,"31,34,40,41,53,59",1886,470,236,234,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qnone_ambexclude,3,"37,39,51,54,55,62",1883,473,278,195,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qnone_ambexclude,4,"42,45,47,48,50,52,60",1884,472,308,164,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qnone_ambexclude,5,"32,33,35,36,49,56,58,63,64",1884,472,214,258,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qnone_ambas_violating,1,"31,33,52,61",4229,1061,372,689,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_strict_qnone_ambas_violating,2,"39,41,44,47,49,55,60",4231,1059,303,756,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_strict_qnone_ambas_violating,3,"32,36,40,48,57,62",4229,1061,287,774,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_strict_qnone_ambas_violating,4,"34,37,51,53,59,65",4235,1055,231,824,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_strict_qnone_ambas_violating,5,"35,42,45,46,50,54,56,58,63,64",4236,1054,225,829,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambexclude,1,"31,40,42,47,58,61",890,222,142,80,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambexclude,2,"33,35,51,55,59,65",889,223,55,168,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambexclude,3,"34,37,48,52,57,62",888,224,81,143,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambexclude,4,"41,44,45,49,53,54,60",891,221,91,130,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambexclude,5,"32,36,39,50,56,63,64",890,222,60,162,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_strict_qtight_ambas_violating,1,"32,33,39,50,61",2400,599,135,464,q_all_mean,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambas_violating,2,"41,42,47,51,55,62",2397,602,81,521,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambas_violating,3,"34,40,49,52,57,59",2400,599,67,532,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambas_violating,4,"31,36,37,44,58,60,65",2397,602,84,518,q_all_max,active_downstream_span_ns
cfd15_ds3_strict_qtight_ambas_violating,5,"35,45,46,48,53,54,56,63,64",2402,597,62,535,q_all_max,active_downstream_span_ns
cfd15_ds3_app_a_qnone_ambexclude,1,"32,35,44,47,61",2440,612,554,58,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qnone_ambexclude,2,"34,40,48,50,55,59",2442,610,406,204,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qnone_ambexclude,3,"33,39,49,51,53,60",2444,608,467,141,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qnone_ambexclude,4,"36,41,45,52,54,62,65",2438,614,463,151,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qnone_ambexclude,5,"31,37,42,56,57,58,63,64",2444,608,368,240,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qnone_ambas_violating,1,"31,33,52,61",4229,1061,548,513,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_app_a_qnone_ambas_violating,2,"39,41,44,47,49,55,60",4231,1059,476,583,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_app_a_qnone_ambas_violating,3,"32,36,40,48,57,62",4229,1061,449,612,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_app_a_qnone_ambas_violating,4,"34,37,51,53,59,65",4235,1055,411,644,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_app_a_qnone_ambas_violating,5,"35,42,45,46,50,54,56,58,63,64",4236,1054,374,680,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_app_a_qtight_ambexclude,1,"34,36,49,55,61",1254,312,249,63,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qtight_ambexclude,2,"35,39,50,51,57,59",1249,317,186,131,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qtight_ambexclude,3,"37,44,48,52,54,58,62",1254,312,193,119,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qtight_ambexclude,4,"32,33,40,41,45,47,60",1252,314,204,110,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qtight_ambexclude,5,"31,42,53,56,63,64,65",1255,311,141,170,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_app_a_qtight_ambas_violating,1,"32,33,39,50,61",2400,599,250,349,q_all_max,active_downstream_span_ns
cfd15_ds3_app_a_qtight_ambas_violating,2,"41,42,47,51,55,62",2397,602,179,423,q_all_max,active_downstream_span_ns
cfd15_ds3_app_a_qtight_ambas_violating,3,"34,40,49,52,57,59",2400,599,187,412,q_all_max,active_downstream_span_ns
cfd15_ds3_app_a_qtight_ambas_violating,4,"31,36,37,44,58,60,65",2397,602,205,397,q_all_max,active_downstream_span_ns
cfd15_ds3_app_a_qtight_ambas_violating,5,"35,45,46,48,53,54,56,63,64",2402,597,152,445,q_all_max,active_downstream_span_ns
cfd15_ds3_loose_qnone_ambexclude,1,"31,36,61",3109,780,736,44,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambexclude,2,"32,34,40,42,55,60",3111,778,652,126,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambexclude,3,"33,41,47,52,54,57,62",3110,779,629,150,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambexclude,4,"35,39,44,50,58,59,65",3113,776,615,161,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambexclude,5,"37,45,48,49,51,53,56,63,64",3113,776,521,255,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambas_violating,1,"31,33,52,61",4229,1061,741,320,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambas_violating,2,"39,41,44,47,49,55,60",4231,1059,670,389,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambas_violating,3,"32,36,40,48,57,62",4229,1061,645,416,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambas_violating,4,"34,37,51,53,59,65",4235,1055,585,470,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qnone_ambas_violating,5,"35,42,45,46,50,54,56,58,63,64",4236,1054,512,542,q_downstream_mean,active_downstream_span_ns
cfd15_ds3_loose_qtight_ambexclude,1,"35,39,52,57,61",1672,420,370,50,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qtight_ambexclude,2,"33,42,49,54,59",1677,415,278,137,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qtight_ambexclude,3,"31,36,37,40,58,62",1671,421,330,91,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qtight_ambexclude,4,"41,44,48,50,51,53,60",1675,417,320,97,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qtight_ambexclude,5,"32,34,45,47,55,56,63,64,65",1673,419,240,179,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds3_loose_qtight_ambas_violating,1,"32,33,39,50,61",2400,599,368,231,q_all_max,active_downstream_span_ns
cfd15_ds3_loose_qtight_ambas_violating,2,"41,42,47,51,55,62",2397,602,305,297,q_all_max,active_downstream_span_ns
cfd15_ds3_loose_qtight_ambas_violating,3,"34,40,49,52,57,59",2400,599,295,304,q_all_max,active_downstream_span_ns
cfd15_ds3_loose_qtight_ambas_violating,4,"31,36,37,44,58,60,65",2397,602,331,271,q_all_max,active_downstream_span_ns
cfd15_ds3_loose_qtight_ambas_violating,5,"35,45,46,48,53,54,56,63,64",2402,597,239,358,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qnone_ambexclude,1,"47,49,51,57,61",6005,1501,1232,269,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_strict_qnone_ambexclude,2,"32,35,50,54,58,59",5998,1508,872,636,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_strict_qnone_ambexclude,3,"39,45,48,52,53,62",6017,1489,977,512,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_strict_qnone_ambexclude,4,"33,37,41,42,44,55,60",6006,1500,998,502,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_strict_qnone_ambexclude,5,"31,34,36,40,56,63,64,65",5998,1508,775,733,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_strict_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,1238,1831,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_strict_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,876,2197,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_strict_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,961,2106,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_strict_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,994,2078,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_strict_qnone_ambas_violating,5,"37,42,45,49,51,54,63,64",12281,3073,785,2288,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambexclude,1,"35,40,53,55,61",2950,733,490,243,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambexclude,2,"31,45,51,59,65",2946,737,337,400,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambexclude,3,"32,37,48,54,57,62",2945,738,348,390,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambexclude,4,"33,34,39,44,52,56,58,60",2949,734,308,426,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambexclude,5,"36,41,42,47,49,50,63,64",2942,741,269,472,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambas_violating,1,"31,49,51,57,59",7010,1740,312,1428,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambas_violating,2,"32,48,50,52,53,62",7003,1747,305,1442,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambas_violating,3,"34,40,46,47,56,58,61",7010,1740,499,1241,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambas_violating,4,"39,41,44,45,55,60,65",7009,1741,358,1383,q_all_max,active_downstream_span_ns
cfd20_ds2_strict_qtight_ambas_violating,5,"33,35,36,37,42,54,63,64",6968,1782,278,1504,q_all_max,active_downstream_span_ns
cfd20_ds2_app_a_qnone_ambexclude,1,"31,44,52,58,61",7920,1977,1751,226,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qnone_ambexclude,2,"32,35,49,50,53,59",7914,1983,1425,558,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qnone_ambexclude,3,"34,39,42,47,51,62,65",7910,1987,1551,436,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qnone_ambexclude,4,"36,40,41,45,54,60",7922,1975,1603,372,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qnone_ambexclude,5,"33,37,48,55,56,57,63,64",7922,1975,1253,722,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,1835,1234,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_app_a_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,1398,1675,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_app_a_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,1489,1578,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_app_a_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,1572,1500,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_app_a_qnone_ambas_violating,5,"37,42,45,49,51,54,63,64",12281,3073,1289,1784,q_downstream_mean,active_downstream_span_ns
cfd20_ds2_app_a_qtight_ambexclude,1,"35,41,53,58,61",4127,1050,844,206,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qtight_ambexclude,2,"31,40,44,51,59,65",4155,1022,698,324,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qtight_ambexclude,3,"37,39,48,52,57,62",4150,1027,736,291,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qtight_ambexclude,4,"34,36,42,50,55,56,60",4129,1048,648,400,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qtight_ambexclude,5,"32,33,45,47,49,54,63,64",4147,1030,545,485,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_app_a_qtight_ambas_violating,1,"31,49,51,57,59",7010,1740,677,1063,q_all_max,active_downstream_span_ns
cfd20_ds2_app_a_qtight_ambas_violating,2,"32,48,50,52,53,62",7003,1747,647,1100,q_all_max,active_downstream_span_ns
cfd20_ds2_app_a_qtight_ambas_violating,3,"34,40,46,47,56,58,61",7010,1740,857,883,q_all_max,active_downstream_span_ns
cfd20_ds2_app_a_qtight_ambas_violating,4,"39,41,44,45,55,60,65",7009,1741,734,1007,q_all_max,active_downstream_span_ns
cfd20_ds2_app_a_qtight_ambas_violating,5,"33,35,36,37,42,54,63,64",6968,1782,556,1226,q_all_max,active_downstream_span_ns
cfd20_ds2_loose_qnone_ambexclude,1,"35,54,58,61",9841,2466,2232,234,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambexclude,2,"32,40,50,52,53,59",9867,2440,1911,529,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambexclude,3,"31,33,49,51,62,65",9830,2477,2081,396,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambexclude,4,"34,36,39,56,57,60",9828,2479,2097,382,q_all_max,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambexclude,5,"37,41,42,44,45,47,48,55,63,64",9862,2445,1832,613,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,2315,754,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,1932,1141,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,2013,1054,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd20_ds2_loose_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,2141,931,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
