species,sample,ke_setting_MeV,n,edep_raw_median,edep_raw_p16,edep_raw_p84,edep_vis_median,birks_ratio_median,dedx_median,path_mm_median,n_scint_median,arrival_median,pe_median,pe_p16,pe_p84,pe_per_MeV_median,adc_median,stopped_frac
deuteron,B,44.0,1000,43.99815899797349,43.99659114993889,43.99886120180535,25.903793483377733,0.5887647335056183,4.53734633609581,9.6832461431254,258986.0,1013.0,304.0,286.84000000000003,323.0,6.909556970523489,3895.0,1.0
deuteron,B,48.0,1000,47.99828543081098,47.99667195551389,47.998942922296926,28.965376898932,0.603498749411746,4.226862508764752,11.330873669753185,289616.0,1133.0,341.0,321.84000000000003,360.0,7.125200892914187,3895.0,1.0
deuteron,B,56.0,1000,55.998481234292605,55.996935247748624,55.99911200162499,35.24034729826449,0.6293336551079665,3.729114109837673,14.982618770529296,352375.5,1379.0,415.0,392.0,438.0,7.428698043336971,3895.0,1.0
deuteron,B,62.0,1000,61.99862348697573,61.99710098335499,61.999217815950175,40.03213134475603,0.6457560232043535,3.4367829087664212,17.994122103583187,400284.0,1566.5,471.0,445.84000000000003,495.15999999999997,7.613050035967312,3895.0,1.0
deuteron,B,75.0,1000,43.04249987586924,42.323031595284135,43.91290374328205,33.61744916364505,0.7815578015546334,2.1469541004447223,20.003653817156206,336125.0,1312.0,396.0,374.0,418.0,9.156545652228385,3895.0,0.084
deuteron,B,90.0,1000,33.2084737062618,32.63263955684819,33.840266476531404,27.40124047760074,0.825772199932873,1.6533707909724353,20.002287499817285,274046.0,1075.0,324.0,305.0,346.0,9.71088393136036,3895.0,0.062
deuteron,B,120.0,1000,24.362631344542784,23.83408047340594,25.019337542364685,21.157444031705356,0.8694526954301479,1.1917657040768497,20.001177505197298,211558.0,830.0,251.0,235.0,270.0,10.2176861792178,3895.0,0.068
deuteron,B,160.0,1000,18.83325180748551,18.30278343494211,19.43159577984808,16.91015106275175,0.8983960155967383,0.9021509148225124,20.000590562891134,169158.0,661.0,200.0,185.0,217.0,10.530628294178959,3895.0,0.062
deuteron,B,220.0,1000,14.442622350020155,14.004982449491445,14.999334083693332,13.299000179296474,0.9212945471932996,0.6790127396208281,20.000319395168844,132996.5,522.0,157.0,145.0,173.0,10.826408357119156,3895.0,0.053
mu-,A,20.0,4000,13.783854362683346,12.945803147890311,14.778324778483501,12.698098639828363,0.9205196435881129,0.646732447748017,20.19109656059372,126983.5,501.0,151.0,118.0,196.0,10.965728118148718,3895.0,0.00225
mu-,A,50.0,4000,6.052449961984625,5.61306838103222,6.667531616246763,5.833642774094487,0.9641881425430656,0.27182082811208086,20.147029460994563,58342.5,233.0,70.0,53.0,92.0,11.506349347857096,3536.0,0.0
mu-,A,100.0,4000,4.541657849550708,4.157805156071632,5.2221157946899455,4.411535575234104,0.9715276284411785,0.20245077159991015,20.14237994053871,44133.0,179.0,54.0,40.0,72.0,11.665922549339541,2757.5,0.0
mu-,A,200.0,4000,3.9018589936655346,3.5409592153435323,4.650037365373893,3.8012374327551335,0.9744974319134212,0.17298378002862946,20.142079545929597,37995.5,155.0,47.0,35.0,65.0,11.741091650002069,2410.0,0.0
mu-,A,500.0,4000,3.6954703550775685,3.326900574786975,4.53398379764068,3.6017990072168073,0.9755292507449418,0.16258005575036005,20.141851865175962,36013.0,147.0,45.0,33.0,62.0,11.808860418328862,2310.0,0.0
mu-,A,1000.0,4000,3.670796889998347,3.32322916225902,4.585836172160157,3.579540149155057,0.9756142653654343,0.1626316694981908,20.141005644440355,35834.5,148.0,45.0,33.0,63.0,11.777989879201218,2307.0,0.0
mu-,B,20.0,1000,13.694637797697737,12.96375784859385,14.604672478309949,12.608178051343986,0.9207487642775352,0.6453555914467859,20.059530437875445,126277.5,493.5,150.0,136.0,164.0,10.861168420382405,3895.0,0.0
mu-,B,50.0,1000,6.030459007193738,5.627260423692063,6.589475992631082,5.813097720011475,0.9642745352502324,0.27223360456612833,20.007090190879467,58098.5,228.0,69.0,60.0,80.0,11.385810593245113,3460.0,0.0
mu-,B,100.0,1000,4.525622813231663,4.181809205615908,5.150715532875838,4.390755164017035,0.9713504970061062,0.20200749161922793,20.00209909527876,43869.5,175.0,53.0,45.0,63.0,11.529228396645136,2687.5,0.0
mu-,B,200.0,1000,3.892152424911303,3.5596522359524343,4.623044910577121,3.7904373001217673,0.9745672700768597,0.17339169617849176,20.00068605140271,37940.5,151.0,46.0,38.0,56.0,11.496924709139225,2348.5,0.0
mu-,B,500.0,1000,3.6850574260974556,3.3405039611907257,4.445038036791915,3.595530363150777,0.9755732636668928,0.1628751420691949,20.000133739177954,35896.5,144.0,44.0,36.0,54.0,11.487835063069824,2254.5,0.0
mu-,B,1000.0,1000,3.6470846100416643,3.31650270648973,4.419238421636723,3.558434015102403,0.9755457391836279,0.16221347546469359,20.00004005596194,35639.5,141.5,43.5,35.0,55.0,11.594329984501599,2229.0,0.0
pi+,A,30.0,4000,10.937273060172494,10.34046836175944,11.579758105037739,10.269229478485155,0.9390950810355856,0.5052777970709741,20.154624119254965,102671.5,406.0,122.0,96.0,161.0,11.089576658751398,3895.0,0.01125
