method,stratum,value,n,tp,fp,tn,fn,pid_efficiency,pid_purity,pid_specificity,pid_balanced_accuracy
gradient_boosted_trees,pedestal_hysteresis,falling,111,49,12,45,5,0.9074074074074074,0.8032786885245902,0.7894736842105263,0.8484405458089669
gradient_boosted_trees,pedestal_hysteresis,flat,442,191,47,183,21,0.9009433962264151,0.8025210084033614,0.7956521739130434,0.8482977850697293
gradient_boosted_trees,pedestal_hysteresis,rising,107,55,11,34,7,0.8870967741935484,0.8333333333333334,0.7555555555555555,0.821326164874552
gradient_boosted_trees,pileup_bin,clean,330,151,32,135,12,0.9263803680981595,0.825136612021858,0.8083832335329342,0.8673818008155468
gradient_boosted_trees,pileup_bin,overlap,330,144,38,127,21,0.8727272727272727,0.7912087912087912,0.7696969696969697,0.8212121212121212
gradient_boosted_trees,saturation_bin,saturated,240,111,32,90,7,0.940677966101695,0.7762237762237763,0.7377049180327869,0.839191442067241
gradient_boosted_trees,saturation_bin,unsaturated,420,184,38,172,26,0.8761904761904762,0.8288288288288288,0.819047619047619,0.8476190476190476
gradient_boosted_trees,late_tail_bin,core,660,295,70,262,33,0.899390243902439,0.8082191780821918,0.7891566265060241,0.8442734352042316
joint_sequence_transformer,pedestal_bin,"(-4320.819, -170.068]",220,48,45,69,58,0.4528301886792453,0.5161290322580645,0.6052631578947368,0.5290466732869911
joint_sequence_transformer,pedestal_bin,"(-170.068, -8.932]",220,46,51,61,62,0.42592592592592593,0.4742268041237113,0.5446428571428571,0.4852843915343915
joint_sequence_transformer,pedestal_bin,"(-8.932, 609.332]",220,51,41,65,63,0.4473684210526316,0.5543478260869565,0.6132075471698113,0.5302879841112215
joint_sequence_transformer,pedestal_hysteresis,falling,111,22,24,33,32,0.4074074074074074,0.4782608695652174,0.5789473684210527,0.49317738791423005
joint_sequence_transformer,pedestal_hysteresis,flat,442,95,100,130,117,0.4481132075471698,0.48717948717948717,0.5652173913043478,0.5066652994257588
joint_sequence_transformer,pedestal_hysteresis,rising,107,28,13,32,34,0.45161290322580644,0.6829268292682927,0.7111111111111111,0.5813620071684588
joint_sequence_transformer,pileup_bin,clean,330,110,103,64,53,0.6748466257668712,0.5164319248826291,0.38323353293413176,0.5290400793505015
joint_sequence_transformer,pileup_bin,overlap,330,35,34,131,130,0.21212121212121213,0.5072463768115942,0.793939393939394,0.503030303030303
joint_sequence_transformer,saturation_bin,saturated,240,42,39,83,76,0.3559322033898305,0.5185185185185185,0.680327868852459,0.5181300361211447
joint_sequence_transformer,saturation_bin,unsaturated,420,103,98,112,107,0.49047619047619045,0.5124378109452736,0.5333333333333333,0.5119047619047619
joint_sequence_transformer,late_tail_bin,core,660,145,137,195,183,0.4420731707317073,0.5141843971631206,0.5873493975903614,0.5147112841610344
mlp,pedestal_bin,"(-4320.819, -170.068]",220,70,26,88,36,0.660377358490566,0.7291666666666666,0.7719298245614035,0.7161535915259847
