window,method,timing_tail_frac_abs_gt5ns,timing_tail_frac_abs_gt5ns_ci95,timing_tail_delta_vs_observed,timing_tail_delta_vs_observed_ci95,q_template_shift_vs_observed,q_template_shift_vs_observed_ci95,amp_ratio_median,amp_ratio_median_ci95
s6,traditional_template,0.693562931062931,"[0.5776798089298089, 0.8310877326502325]",-0.004418704418704416,"[-0.019047619047619074, 0.003861003861003885]",0.0002830798907881452,"[0.0, 0.0008318872568051797]",1.0,"[1.0, 1.0]"
s7,gbr_masked,0.7167850542850543,"[0.6244431244431244, 0.8287705115830115]",0.0188034188034188,"[-0.009523809523809537, 0.06593406593406594]",0.0126252007514127,"[0.007749702152825089, 0.0173742132383139]",1.1928820683901151,"[1.1767558043841335, 1.211812664479244]"
s7,mlp_masked,0.7075966075966076,"[0.598289072039072, 0.8370297082797082]",0.009614972114972118,"[-0.006349206349206359, 0.030663878163878156]",0.005671537674951536,"[0.0021873857771908373, 0.010235023593053344]",1.0969100583768883,"[1.0404484866017947, 1.1438967306564658]"
s7,traditional_template,0.6979816354816355,"[0.5938391000891, 0.8249657624657624]",0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]"
w2_4,gbr_masked,0.7156630531630531,"[0.6029391685641686, 0.8355297949047948]",0.0176814176814177,"[-0.004427284427284424, 0.04283404283404287]",0.02342189152373239,"[0.0157125498883805, 0.030352256137118748]",1.2848605723999196,"[1.2780184821973277, 1.2899318897945373]"
w2_4,mlp_masked,0.6959320977178122,"[0.5921469939327082, 0.8120035262892406]",-0.0020495377638234708,"[-0.0391156462585034, 0.032967032967032996]",0.003287743161005568,"[-0.0018499041088171353, 0.009946625290543354]",1.0784863700670357,"[1.018909151057741, 1.1551089652095172]"
w2_4,traditional_template,0.5733317373870369,"[0.3520574740159993, 0.7590651744568793]",-0.12464989809459857,"[-0.257965801319776, -0.04281507471023607]",0.13389617039866425,"[0.09361010170750826, 0.1742480176434971]",1.400342098017317,"[1.0577940169147217, 1.9173257750157835]"
w2_8,gbr_masked,0.709169059169059,"[0.6046935121935122, 0.8214590964590964]",0.011187423687423679,"[-0.013492063492063524, 0.04479548229548231]",0.0038576317657987185,"[0.000232354392386137, 0.007725319951829461]",1.1189164288369506,"[1.1085796730566035, 1.1296180572278096]"
w2_8,mlp_masked,0.7082423878642367,"[0.6101887345847431, 0.8223289315726291]",0.010260752382601141,"[-0.05326581902212151, 0.09065934065934067]",-0.0010359419031330014,"[-0.011115464998298434, 0.006896916479405786]",1.05993233280814,"[1.0108228180920815, 1.1117935112351587]"
w2_8,traditional_template,0.6979816354816355,"[0.5862866300366301, 0.8170407014157014]",0.0,"[0.0, 0.0]",8.676207779627948e-06,"[0.0, 2.6028623338883845e-05]",1.0,"[1.0, 1.0]"
w3_5,gbr_masked,0.6936553311553312,"[0.5824950396825397, 0.8085765023265022]",-0.00432630432630432,"[-0.034362934362934396, 0.023479853479853457]",0.014570568432661437,"[0.00753779258749442, 0.022640466219447507]",1.2155582736456783,"[1.1964995428457195, 1.2370668872150297]"
w3_5,mlp_masked,0.6931030455736913,"[0.5936377114948543, 0.8032289366835599]",-0.004878589907944113,"[-0.04194469840262405, 0.030157468682419763]",0.0007217245043078484,"[-0.0009887126270257118, 0.0023841725191345387]",1.0406895770938465,"[1.0, 1.0848311860410438]"
w3_5,traditional_template,0.6639284455337157,"[0.5891795215738878, 0.7303095537997634]",-0.034053189947919886,"[-0.10601334251572571, 0.032792597581329984]",0.13599171185389197,"[0.1216682285054487, 0.15027911414567982]",2.012982744942975,"[1.8991890658098207, 2.143631947350802]"
w3_7,gbr_masked,0.7037207537207537,"[0.5967687605187605, 0.8110022522522521]",0.005739118239118245,"[-0.025995817245817246, 0.037778540903540915]",0.008734692185005995,"[0.0029503249017007013, 0.014206874729980471]",1.149270270304408,"[1.129313406129737, 1.170326978228309]"
w3_7,mlp_masked,0.690286139022094,"[0.573847358555926, 0.823490447208846]",-0.007695496459541405,"[-0.015417504181549111, 0.0]",0.006647798233469666,"[-1.0817565669380652e-05, 0.019491460555921086]",1.036373282601275,"[1.0, 1.0997305761241454]"
w3_7,traditional_template,0.6870850245850246,"[0.5774941321816321, 0.8110172672672672]",-0.010896610896610901,"[-0.026340626340626346, 0.0]",0.006497991771888506,"[-0.0007746064864570665, 0.017482736496292957]",1.0211360201140915,"[1.0093887875624674, 1.032623367385178]"
w4_6,gbr_masked,0.7057585057585057,"[0.590674561924562, 0.8266422466422467]",0.007776870276870288,"[-0.020614543114543075, 0.03983516483516485]",0.014866508656498214,"[0.00834659244283321, 0.02289816170426741]",1.189259201975623,"[1.176411214948049, 1.2027543620125636]"
w4_6,mlp_masked,0.7063427175786726,"[0.5946146170865273, 0.8206778206778207]",0.008361082097037151,"[-0.02316602316602317, 0.04104172854172856]",0.00683561968461716,"[0.002041056138652907, 0.012680461625356151]",1.1343168094855616,"[1.0268013805662455, 1.279139595183135]"
w4_6,traditional_template,0.7066045441045441,"[0.6161918993168993, 0.8114333976833975]",0.008622908622908614,"[-0.020657443157443195, 0.04287430287430285]",0.13342003271402972,"[0.12007728737408113, 0.14690365744248202]",1.4209835859848052,"[1.256065369377312, 1.5605414742923749]"
w5_7,gbr_masked,0.7178992178992178,"[0.6083485958485958, 0.8266382453882454]",0.019917582417582427,"[0.0, 0.0439732142857143]",0.010469506478088716,"[0.005321057066000388, 0.015762879582311828]",1.1697198233074697,"[1.1554585095342031, 1.185107004508236]"
w5_7,mlp_masked,0.7242335742335743,"[0.6323486535986536, 0.8360038610038608]",0.026251938751938746,"[-0.012483912483912483, 0.07408882783882781]",0.0029631077086018326,"[0.00032045530561037553, 0.006586691406534927]",1.0909490632968875,"[1.0039056318115585, 1.2289249667383664]"
w5_7,traditional_template,0.6870850245850246,"[0.5774594099594099, 0.8032545870045869]",-0.010896610896610901,"[-0.026385671385671387, 0.0]",0.006349857177790503,"[-0.0006163710963465536, 0.017187550004246592]",1.0197099179346434,"[1.0074336577374643, 1.0311789245073326]"
