window,method,res68_abs_frac,res68_abs_frac_ci95,bias_median_frac,bias_median_frac_ci95,frac_within10,frac_within10_ci95
s5,observed_ceiling,0.2672980067152556,"[0.25877222330065686, 0.27611369634138444]",-0.20748288924500793,"[-0.21849139622849184, -0.1978256599421265]",0.1701976729187975,"[0.15592450201054892, 0.18549582566133713]"
s5,traditional_template,0.36819600795169016,"[0.3389884335803812, 0.4080012362153037]",-0.08779560881533995,"[-0.11912780851495285, -0.05027659701783542]",0.15257528148572413,"[0.14431457857959096, 0.16043815632701844]"
s6,gbr_masked,0.13189591119493962,"[0.1296182605336108, 0.13396412961462822]",0.014936651607565197,"[0.005512832321902832, 0.022802213110426836]",0.5180833266379217,"[0.5097081960201578, 0.5266926146489497]"
s6,mlp_masked,0.13705586947483003,"[0.13198006731238393, 0.14358959828257728]",0.010511026865661603,"[-0.002739935611643657, 0.022390164258177227]",0.5190145054788865,"[0.4992203625056566, 0.5373096616085434]"
s6,observed_ceiling,0.2672980067152556,"[0.2584611754761666, 0.2768663507061564]",-0.20748288924500793,"[-0.21975774421775535, -0.19647732532830928]",0.1701976729187975,"[0.15196603272586304, 0.18549811751617715]"
s6,traditional_template,0.26386857862336366,"[0.25305609072725566, 0.2748510694591163]",-0.20119675188294442,"[-0.2143303525581175, -0.1890049631669784]",0.20786916154370652,"[0.19048694526550153, 0.22647652441076171]"
s7,gbr_masked,0.14100037237310797,"[0.13864038701618153, 0.14384087937095336]",0.013475994330284674,"[-0.0004524752445629545, 0.024074047904687212]",0.4901219044591204,"[0.4772637750867765, 0.5043882407220825]"
s7,mlp_masked,0.1442678319968864,"[0.14144778023528878, 0.14691498385944224]",0.007942394672919547,"[-0.008732687325032908, 0.024452969557681434]",0.4820168560121851,"[0.46742203587520764, 0.49833968245189464]"
s7,observed_ceiling,0.2672980067152556,"[0.2582778055797346, 0.27722176040352703]",-0.20748288924500793,"[-0.218719787980885, -0.19760417512317102]",0.1701976729187975,"[0.15343061958889273, 0.18485895848647227]"
s7,traditional_template,0.2671867272392912,"[0.2578735305998991, 0.27723813824670523]",-0.2074363314612164,"[-0.21873674198683907, -0.19812179011415298]",0.1708127776642678,"[0.15315122212270185, 0.18780499989496668]"
w2_4,gbr_masked,0.1439210659098498,"[0.1412809417127404, 0.1456944609135679]",0.026994932567004564,"[0.01218959257082884, 0.04144214586239538]",0.4793983708742672,"[0.47065720923927884, 0.4895349289107288]"
w2_4,mlp_masked,0.14741833835742044,"[0.14257625464108342, 0.15263275431994913]",0.028987819452602103,"[0.008273412191883668, 0.05256300569169697]",0.46693675366435927,"[0.45130610545454336, 0.4833658931188421]"
w2_4,observed_ceiling,0.2672980067152556,"[0.25915545655926525, 0.27719601872162464]",-0.20748288924500793,"[-0.21839465159607913, -0.19701478841054826]",0.1701976729187975,"[0.15426867405038244, 0.1878959793274721]"
w2_4,traditional_template,3.0858761171763383,"[2.0839608136813306, 4.186864918751211]",0.30603825718261163,"[0.0062156221885021875, 0.7097739350947783]",0.10771103469808543,"[0.09891374953780493, 0.1164941369766473]"
w2_8,gbr_masked,0.08142854693675028,"[0.07907366552149397, 0.08413707848049133]",0.028761577610479743,"[0.02382146792230321, 0.03348509849064275]",0.779103235910212,"[0.7624803917947616, 0.7921097574000916]"
w2_8,mlp_masked,0.10808399773878877,"[0.08945123115891876, 0.1385236982764985]",0.011223628918667948,"[-0.016069658382629845, 0.05220569068490989]",0.669572112511899,"[0.5886856314818096, 0.7271740840665382]"
w2_8,observed_ceiling,0.2672980067152556,"[0.25876762842434503, 0.2768136375875398]",-0.20748288924500793,"[-0.21937506066776352, -0.1966506225291694]",0.1701976729187975,"[0.15112049584901463, 0.18433426786601886]"
w2_8,traditional_template,0.27511258117516973,"[0.256992506898616, 0.2907393401467324]",-0.07638723073624355,"[-0.09472840720946062, -0.05980913488638075]",0.3431045786390328,"[0.33019328338113696, 0.3584545758679641]"
w3_5,gbr_masked,0.10720219696963772,"[0.10079506033212289, 0.11347844880383526]",0.02918798789326577,"[0.02180501655999885, 0.03644093832810562]",0.6446543803650359,"[0.6130754672884898, 0.6781025548607624]"
w3_5,mlp_masked,0.12286772117103457,"[0.10989753271851653, 0.1332586476436319]",0.008401426841059564,"[-0.0008312402908147372, 0.018461474634388367]",0.6015640777059198,"[0.5662323454820837, 0.6422628023705821]"
w3_5,observed_ceiling,0.2672980067152556,"[0.258461804595812, 0.2773974246967215]",-0.20748288924500793,"[-0.21859136524962366, -0.1968536525695885]",0.1701976729187975,"[0.15094276204344023, 0.18571631293950588]"
w3_5,traditional_template,0.9744397499417892,"[0.8328998298952932, 1.1088295875443066]",0.23248985400195582,"[0.08009184935474156, 0.3724299324777957]",0.13576713735890758,"[0.12554741850419057, 0.14390804285002384]"
w3_7,gbr_masked,0.09639238079192339,"[0.09462219992819904, 0.09818938930794903]",0.033287120606891915,"[0.02424857382264156, 0.04223592445426698]",0.7025020122747222,"[0.6910463480279402, 0.7128668316451762]"
w3_7,mlp_masked,0.12502921360924774,"[0.09816149635457294, 0.1691588995310842]",0.03762287835688087,"[0.006294167589168076, 0.08749728335554635]",0.6057736203914625,"[0.4918384085283965, 0.6855318846136772]"
w3_7,observed_ceiling,0.2672980067152556,"[0.2596613760007653, 0.27664168764734565]",-0.20748288924500793,"[-0.2185063007453125, -0.19701844689932838]",0.1701976729187975,"[0.15214021306551928, 0.1849856611901781]"
w3_7,traditional_template,0.5767691788927092,"[0.44779411160000343, 0.699715412211532]",0.03236853252854453,"[-0.037351721326575285, 0.1061123150075476]",0.1929363687830083,"[0.18053316312706721, 0.20585522034128084]"
w4_6,gbr_masked,0.09707785593404103,"[0.09393111573189411, 0.09984853023874189]",0.030197375559974145,"[0.022900612832842983, 0.037897914794396755]",0.6980994188618983,"[0.680933824372649, 0.7180881216446482]"
w4_6,mlp_masked,0.15221963386693638,"[0.11800251644417367, 0.21031659410321457]",0.0680681976681704,"[0.02896775317730327, 0.12845582983345674]",0.5127481439580043,"[0.3907860250552433, 0.6057242182421837]"
w4_6,observed_ceiling,0.2672980067152556,"[0.2579014075080873, 0.27718040877761396]",-0.20748288924500793,"[-0.21790308095105868, -0.19680202814565398]",0.1701976729187975,"[0.15403772759177464, 0.185193405116281]"
w4_6,traditional_template,0.6236500734797292,"[0.4915427487780062, 0.7628399683621971]",0.06404594550866939,"[-0.017849368282765735, 0.12618686021097794]",0.17837918864025445,"[0.16659187364285383, 0.18990911104308125]"
w5_7,gbr_masked,0.11274017286446038,"[0.11061827453992623, 0.11454268190877208]",0.029275721878713128,"[0.017337720368975407, 0.03897486528819289]",0.6183610844532348,"[0.6082893168460832, 0.6292876423323513]"
w5_7,mlp_masked,0.15680313173013105,"[0.12528050206579883, 0.2107378815225932]",0.05323386803601588,"[0.008459093121804144, 0.1205526589174948]",0.49424343709054647,"[0.3746863866594787, 0.5626972630999854]"
w5_7,observed_ceiling,0.2672980067152556,"[0.2583315510796021, 0.2775367029640267]",-0.20748288924500793,"[-0.2181719173499764, -0.19746083019500096]",0.1701976729187975,"[0.15258394575214254, 0.18527455846682722]"
w5_7,traditional_template,0.34799316787281215,"[0.3183033616293394, 0.38165671745207563]",-0.07874547125893706,"[-0.11318970188780947, -0.027829571232108538]",0.19466196094420893,"[0.18275340002627405, 0.20812513859606765]"
