window,method,feature,permuted_res68_abs_frac,permuted_res68_abs_frac_ci95,delta_res68_abs_frac,delta_res68_abs_frac_ci95
w2_8,gbr_masked,sample_4_over_obs,0.08304925263435267,"[0.08059791908425747, 0.08533887006730699]",0.0016207056976023887,"[6.50284656583506e-05, 0.003205471480995298]"
w2_8,gbr_masked,sample_5_over_obs,0.09182456337266805,"[0.08662939454043604, 0.09706887267453877]",0.010396016435917753,"[0.006583296577624359, 0.013735872825258857]"
w2_8,gbr_masked,sample_6_over_obs,0.0906480698860116,"[0.086030714864464, 0.09478814548108806]",0.009219522949261306,"[0.007167849852005507, 0.011334932451031988]"
w2_8,gbr_masked,sample_7_over_obs,0.08175075680766829,"[0.07870161196189206, 0.08515300092535309]",0.00032220987091800227,"[-0.0002708787252305379, 0.0009220102789438114]"
w2_8,gbr_masked,sample_8_over_obs,0.09457935629996649,"[0.09009500117085287, 0.09796514560193684]",0.013150809363216193,"[0.010455769415615553, 0.016362777357695937]"
w2_8,gbr_masked,window_charge_over_obs,0.08620846414634366,"[0.0841587173940111, 0.08846033920628811]",0.004779917209593381,"[0.003610957397398106, 0.006046235715767095]"
w2_8,mlp_masked,diff_2_3,0.12975441404384241,"[0.1081638004767601, 0.15684569778833565]",0.021670416305053612,"[0.011027738090680006, 0.03315594801251214]"
w2_8,mlp_masked,diff_3_4,0.17166919069876957,"[0.14938131024993453, 0.19340372346911713]",0.06358519295998079,"[0.03413773743629277, 0.08838044682323208]"
w2_8,mlp_masked,diff_4_5,0.22124462939526848,"[0.18498905935160306, 0.25575189413464]",0.11316063165647969,"[0.0671709367892309, 0.15973160258413835]"
w2_8,mlp_masked,diff_5_6,0.2258439604690032,"[0.18907683973130568, 0.2715513821504158]",0.11775996273021441,"[0.06187545473696256, 0.18080405008338069]"
w2_8,mlp_masked,diff_6_7,0.13029671550166147,"[0.10116010695558886, 0.16106032933529246]",0.022212717762872675,"[0.0055642791865054666, 0.05258735415083155]"
w2_8,mlp_masked,diff_7_8,0.11216044911792249,"[0.09541201651759619, 0.1403126235845452]",0.004076451379133693,"[0.00018546203166795025, 0.008291504125935278]"
w2_8,mlp_masked,log_observed_amp,0.10808399773878877,"[0.0888390694894786, 0.1390677470005852]",0.0,"[0.0, 0.0]"
w2_8,mlp_masked,plateau_sample_2,0.10808399773878877,"[0.08863859705275655, 0.13849156439027793]",0.0,"[0.0, 0.0]"
w2_8,mlp_masked,plateau_sample_3,0.11086062171535087,"[0.09175956740868148, 0.14068537437055978]",0.0027766239765620693,"[0.0018316784544245553, 0.0035816433002803603]"
w2_8,mlp_masked,plateau_sample_4,0.12054617499257915,"[0.1015238369051636, 0.1466214637967462]",0.012462177253790355,"[0.007083643741330776, 0.01751780176047845]"
w2_8,mlp_masked,plateau_sample_5,0.14780075918871413,"[0.12006734717810788, 0.17584814852051547]",0.03971676144992538,"[0.013902489237493211, 0.07140133576583586]"
w2_8,mlp_masked,plateau_sample_6,0.14101516727128866,"[0.11999816276499137, 0.1615699760240953]",0.03293116953249988,"[0.017402981742928186, 0.04775743221287245]"
w2_8,mlp_masked,plateau_sample_7,0.12314704653757082,"[0.10302125489442242, 0.1529858765094306]",0.015063048798782033,"[0.008842901613103459, 0.021052731817580068]"
w2_8,mlp_masked,plateau_sample_8,0.1331592519759175,"[0.10881998458476275, 0.17244037463933468]",0.02507525423712869,"[0.01743165035366114, 0.035198037493278864]"
w2_8,mlp_masked,sample_2_over_obs,0.11103327746836375,"[0.09189323136129893, 0.14077612137355802]",0.002949279729574965,"[0.0010725534179069401, 0.004704423131755158]"
w2_8,mlp_masked,sample_3_over_obs,0.12924625529139122,"[0.10729369261679166, 0.15465918572195925]",0.021162257552602433,"[0.00978606612369019, 0.03350626187802727]"
w2_8,mlp_masked,sample_4_over_obs,0.1492623432482904,"[0.12729928110103886, 0.1720668591999585]",0.04117834550950162,"[0.021441915099542144, 0.05716846629842906]"
w2_8,mlp_masked,sample_5_over_obs,0.1768621923173544,"[0.13624762412252994, 0.22516823717819387]",0.06877819457856563,"[0.02800845339064362, 0.12556106540374024]"
w2_8,mlp_masked,sample_6_over_obs,0.12212600242725613,"[0.09955939365951559, 0.15050278251988422]",0.014042004688467325,"[0.004839098580491023, 0.02607410776274533]"
w2_8,mlp_masked,sample_7_over_obs,0.1111011821372222,"[0.090854889142218, 0.14157671285839132]",0.0030171843984334035,"[0.0008858828624186668, 0.006098226361672245]"
w2_8,mlp_masked,sample_8_over_obs,0.11326493707499562,"[0.09377434153896462, 0.14577416882956398]",0.005180939336206826,"[0.002678932324460738, 0.007418286163405376]"
w2_8,mlp_masked,window_charge_over_obs,0.20552553398807127,"[0.18178899718386168, 0.22761750655655755]",0.09744153624928246,"[0.05892593431994521, 0.1290053169241063]"
