run,current_family,method,n_saturated,saturated_energy_res68,saturated_charge_res68
50,high_20nA,observed_even_charge,19492,0.4041294863701604,2.737247620722618e+298
50,high_20nA,traditional_template_corrected,19492,0.4041294863701604,1.7785942941868117e+273
50,high_20nA,p07_p04_corrected,19492,0.02592708769089101,0.5472185773335742
50,high_20nA,ridge,19492,0.05000233140984033,0.053352191959223125
50,high_20nA,gradient_boosted_trees,19492,0.017480153160802123,0.056246420056468606
50,high_20nA,mlp,19492,0.04029632285512637,0.13081418632874
50,high_20nA,1d_cnn,19492,0.15375018763518639,0.28095453128524656
50,high_20nA,template_residual_mlp,19492,0.4041294863701604,0.9656062581073864
51,high_20nA,observed_even_charge,7248,0.4023090623541975,2.7488982809265835e+298
51,high_20nA,traditional_template_corrected,7248,0.4023090623541975,1.7862758400754049e+273
51,high_20nA,p07_p04_corrected,7248,0.027126843619799824,0.5457925800181985
51,high_20nA,ridge,7248,0.05090552393800949,0.053918461820575754
51,high_20nA,gradient_boosted_trees,7248,0.018050075699629544,0.054356492528736755
51,high_20nA,mlp,7248,0.042046238297065365,0.13097553382927601
51,high_20nA,1d_cnn,7248,0.15439927566968842,0.2800793237185903
51,high_20nA,template_residual_mlp,7248,0.4023090623541975,0.9740954873374066
52,high_20nA,observed_even_charge,3625,0.40161686906141764,2.7503069706774966e+298
52,high_20nA,traditional_template_corrected,3625,0.40161686906141764,1.787349235211307e+273
52,high_20nA,p07_p04_corrected,3625,0.02683313980856345,0.5451605349799764
52,high_20nA,ridge,3625,0.05017311438973593,0.05314193072397319
52,high_20nA,gradient_boosted_trees,3625,0.018549159281126975,0.05387081054639309
52,high_20nA,mlp,3625,0.04474855274568076,0.12958441943855117
52,high_20nA,1d_cnn,3625,0.15383418342198898,0.28019997227225135
52,high_20nA,template_residual_mlp,3625,0.40161686906141764,0.9752817456108347
53,high_20nA,observed_even_charge,13961,0.38746472362675005,2.7885868394227587e+298
53,high_20nA,traditional_template_corrected,13961,0.38746472362675005,1.8119532204150396e+273
53,high_20nA,p07_p04_corrected,13961,0.02585119666649486,0.5358997451947272
53,high_20nA,ridge,13961,0.052735201315808077,0.05092648575421407
53,high_20nA,gradient_boosted_trees,13961,0.015282559666173739,0.0395959218623359
53,high_20nA,mlp,13961,0.0507276071050896,0.12459240321512
53,high_20nA,1d_cnn,13961,0.1362032863219393,0.26394424973254016
53,high_20nA,template_residual_mlp,13961,0.38746472362675005,1.0024727398971118
54,high_20nA,observed_even_charge,13282,0.38732402065545585,2.7918839964889365e+298
54,high_20nA,traditional_template_corrected,13282,0.38732402065545585,1.8141225589377358e+273
54,high_20nA,p07_p04_corrected,13282,0.025524649942530356,0.5357903285924156
54,high_20nA,ridge,13282,0.05191977689883222,0.05018026928975664
54,high_20nA,gradient_boosted_trees,13282,0.015147172943729621,0.039627157332388405
54,high_20nA,mlp,13282,0.04981097358378494,0.12305017526281653
54,high_20nA,1d_cnn,13282,0.13644359992090954,0.2641751554518585
54,high_20nA,template_residual_mlp,13282,0.38732402065545585,1.0048701755518317
55,high_20nA,observed_even_charge,8330,0.39832266029707775,2.7617007346544516e+298
55,high_20nA,traditional_template_corrected,8330,0.39832266029707775,1.7944833093365546e+273
55,high_20nA,p07_p04_corrected,8330,0.026728243368979287,0.5428101365332029
55,high_20nA,ridge,8330,0.051368993498619314,0.05352392188896469
55,high_20nA,gradient_boosted_trees,8330,0.017479709916495292,0.04952763554468401
55,high_20nA,mlp,8330,0.044840114240486624,0.1281166098153579
55,high_20nA,1d_cnn,8330,0.14480805763287313,0.27524747609432065
55,high_20nA,template_residual_mlp,8330,0.39832266029707775,0.9831659386458743
56,high_20nA,observed_even_charge,21645,0.40289682066224114,2.7419756136020853e+298
56,high_20nA,traditional_template_corrected,21645,0.40289682066224114,1.7816923995216018e+273
56,high_20nA,p07_p04_corrected,21645,0.027247981957722215,0.5459802698354755
56,high_20nA,ridge,21645,0.04990060453826761,0.05423702709990219
56,high_20nA,gradient_boosted_trees,21645,0.018533069057178296,0.05476991144473637
56,high_20nA,mlp,21645,0.0422564271413939,0.12797085668086758
56,high_20nA,1d_cnn,21645,0.14898777971363594,0.27854499019875795
56,high_20nA,template_residual_mlp,21645,0.40289682066224114,0.9690301166310773
57,high_20nA,observed_even_charge,1843,0.3953472267954694,2.8139115106929044e+298
57,high_20nA,traditional_template_corrected,1843,0.3953472267954694,1.8303350054341993e+273
57,high_20nA,p07_p04_corrected,1843,0.03311096086928017,0.5476737690358474
57,high_20nA,ridge,1843,0.06056232021258436,0.07123336865331585
57,high_20nA,gradient_boosted_trees,1843,0.026928419938049376,0.07151336622576812
57,high_20nA,mlp,1843,0.05394571659523333,0.15692134813898886
57,high_20nA,1d_cnn,1843,0.18357963309228184,0.30074882986090773
57,high_20nA,template_residual_mlp,1843,0.3953472267954694,1.0227872949291037
58,high_20nA,observed_even_charge,1618,0.37687679628083104,2.8518635354768286e+298
58,high_20nA,traditional_template_corrected,1618,0.37687679628083104,1.853857132509515e+273
58,high_20nA,p07_p04_corrected,1618,0.029469234086739005,0.5334640777979305
58,high_20nA,ridge,1618,0.10375885204438412,0.12963048330237417
58,high_20nA,gradient_boosted_trees,1618,0.022864116859867157,0.043912101764170944
58,high_20nA,mlp,1618,0.051746838823656986,0.15366211408907446
58,high_20nA,1d_cnn,1618,0.14992077003089915,0.23813768948910696
58,high_20nA,template_residual_mlp,1618,0.37687679628083104,1.0487826781001586
59,high_20nA,observed_even_charge,809,0.36694369606981686,2.8313217634241143e+298
59,high_20nA,traditional_template_corrected,809,0.36694369606981686,1.844141347810426e+273
59,high_20nA,p07_p04_corrected,809,0.041334394644537864,0.5945629220747012
59,high_20nA,ridge,809,0.08435936767154277,0.15771375346949174
59,high_20nA,gradient_boosted_trees,809,0.03570916791968317,0.17414320440808248
59,high_20nA,mlp,809,0.059107311325068336,0.24623964566652073
59,high_20nA,1d_cnn,809,0.20897102670130852,0.458758747669065
59,high_20nA,template_residual_mlp,809,0.36694369606981686,1.0380453181134701
60,high_20nA,observed_even_charge,382,0.3517834138499607,2.8929006307082057e+298
60,high_20nA,traditional_template_corrected,382,0.3517834138499607,1.8908946030944873e+273
60,high_20nA,p07_p04_corrected,382,0.04409947812367826,0.5410926289635039
60,high_20nA,ridge,382,0.15566832898450314,0.27139302265001386
60,high_20nA,gradient_boosted_trees,382,0.033702243614979886,0.08225986895663837
60,high_20nA,mlp,382,0.0897650176930284,0.22598259029643414
60,high_20nA,1d_cnn,382,0.16710217133895133,0.2905480465482219
60,high_20nA,template_residual_mlp,382,0.3517834138499607,1.0897144882404666
61,high_20nA,observed_even_charge,420,0.3608640819439143,2.8981802071825105e+298
61,high_20nA,traditional_template_corrected,420,0.3608640819439143,1.8869720544275978e+273
61,high_20nA,p07_p04_corrected,420,0.039836228156668096,0.5390037258767677
61,high_20nA,ridge,420,0.15638399263239097,0.24056020049993423
61,high_20nA,gradient_boosted_trees,420,0.032386107571147814,0.0733268354211195
61,high_20nA,mlp,420,0.0747664070924052,0.19096907720624723
61,high_20nA,1d_cnn,420,0.1948693283471924,0.30654289117079275
61,high_20nA,template_residual_mlp,420,0.3608640819439143,1.085379499517873
62,high_20nA,observed_even_charge,513,0.36755575170327254,2.8678207032958823e+298
62,high_20nA,traditional_template_corrected,513,0.36755575170327254,1.8673870980579268e+273
62,high_20nA,p07_p04_corrected,513,0.04308028904656395,0.5592301908139687
62,high_20nA,ridge,513,0.1034466907973951,0.21050537471248376
62,high_20nA,gradient_boosted_trees,513,0.035869275907548084,0.14668043446399107
62,high_20nA,mlp,513,0.06905664316635343,0.21989261651082118
62,high_20nA,1d_cnn,513,0.18428411830953265,0.40219348362782115
62,high_20nA,template_residual_mlp,513,0.36755575170327254,1.063735264556135
63,high_20nA,observed_even_charge,1232,0.37176940524690805,2.826254939894793e+298
63,high_20nA,traditional_template_corrected,1232,0.37176940524690805,1.8373689952955153e+273
63,high_20nA,p07_p04_corrected,1232,0.032765057978087285,0.556871421545678
63,high_20nA,ridge,1232,0.08936789226032538,0.13566223480101838
63,high_20nA,gradient_boosted_trees,1232,0.025961880513899062,0.1116631606506429
63,high_20nA,mlp,1232,0.05101400813959725,0.1977397803003688
63,high_20nA,1d_cnn,1232,0.17448844073494488,0.32028780645126287
63,high_20nA,template_residual_mlp,1232,0.37176940524690805,1.0305608802464836
65,high_20nA,observed_even_charge,454,0.36358027526316794,2.9009264412664057e+298
65,high_20nA,traditional_template_corrected,454,0.36358027526316794,1.8899677240929275e+273
65,high_20nA,p07_p04_corrected,454,0.03681464616607247,0.5352982341438662
65,high_20nA,ridge,454,0.13624053817484466,0.20274275137486641
65,high_20nA,gradient_boosted_trees,454,0.03301385392804209,0.06923445828646956
65,high_20nA,mlp,454,0.059606002927444376,0.2037388478078127
65,high_20nA,1d_cnn,454,0.1591958760762381,0.299272169351151
65,high_20nA,template_residual_mlp,454,0.36358027526316794,1.0886901516776377
