stratum,n,bias_frac,res68_frac,mae_mev,family,value
late_pulse_shape,3893,-0.39022592218076135,0.45203411951410477,27.62640770939852,light_yield_scale,1.3
pedestal_drift_proxy_high,1731,-0.3941155862651919,0.4603644786940835,28.330730257800106,light_yield_scale,1.3
pileup_or_multihit,6690,-0.4941118284196855,0.6150612348731581,37.877626630534685,light_yield_scale,1.3
adc_saturation_onset,10742,-0.5269897749144103,0.6558425385271183,34.19213228593257,shaping_tau_samples,1.45
late_pulse_shape,3893,-0.26142061818600615,0.32606503893479444,19.440316034165622,shaping_tau_samples,1.45
pedestal_drift_proxy_high,1731,-0.2896958899784532,0.3621503330283057,22.04887724776684,shaping_tau_samples,1.45
pileup_or_multihit,6690,-0.37485587820421784,0.511737032479995,30.29630793349091,shaping_tau_samples,1.45
adc_saturation_onset,10727,-0.5059274461084068,0.6476431371882133,33.332363336519904,shaping_tau_samples,1.8
late_pulse_shape,3893,-0.2247539211919595,0.3024084585992527,17.526570918349965,shaping_tau_samples,1.8
pedestal_drift_proxy_high,1731,-0.24740870758756642,0.32585342770370657,18.736507742477936,shaping_tau_samples,1.8
pileup_or_multihit,6690,-0.35079820347736407,0.49314421636354505,28.930073388796217,shaping_tau_samples,1.8
adc_saturation_onset,10711,-0.5133291472851039,0.6600333693883177,33.820338135150266,shaping_tau_samples,2.15
late_pulse_shape,3893,-0.21965008584894113,0.30277472443363873,17.49185680038605,shaping_tau_samples,2.15
pedestal_drift_proxy_high,1731,-0.22705816619891087,0.31799935649393957,17.710104108201087,shaping_tau_samples,2.15
pileup_or_multihit,6690,-0.3499075281958234,0.4988405720506239,29.20600139226525,shaping_tau_samples,2.15
adc_saturation_onset,10695,-0.5295460971348536,0.6732019119079108,34.6758675955121,shaping_tau_samples,2.6
late_pulse_shape,3893,-0.23242208768498138,0.3142433993558053,18.22734441054134,shaping_tau_samples,2.6
pedestal_drift_proxy_high,1731,-0.23277239858408957,0.32150630553672044,17.59783896375157,shaping_tau_samples,2.6
pileup_or_multihit,6690,-0.36154331051189453,0.512041298445683,30.05998615470613,shaping_tau_samples,2.6
adc_saturation_onset,10678,-0.547512731181933,0.6860990282690546,35.838316367525,shaping_tau_samples,3.1
late_pulse_shape,3893,-0.2614651024414301,0.3358076794616708,19.89500145553287,shaping_tau_samples,3.1
pedestal_drift_proxy_high,1731,-0.23856064835196422,0.3403104210342233,18.205256989620658,shaping_tau_samples,3.1
pileup_or_multihit,6690,-0.3832970879649712,0.5310727838925366,31.451766013061164,shaping_tau_samples,3.1
adc_saturation_onset,10711,-0.5131919168920304,0.6600407291464884,33.76080268019889,pedestal_run_drift_adc,0.0
late_pulse_shape,3893,-0.2190979846644424,0.3005434971326042,17.403987851695295,pedestal_run_drift_adc,0.0
pedestal_drift_proxy_high,1731,-0.2235863734922911,0.31672481627712845,17.27843030183595,pedestal_run_drift_adc,0.0
pileup_or_multihit,6690,-0.3494055910171283,0.49881770601519276,29.14406126370077,pedestal_run_drift_adc,0.0
adc_saturation_onset,10712,-0.5139801690293062,0.6599782482758554,33.781845003344216,pedestal_run_drift_adc,6.0
late_pulse_shape,3893,-0.22045564745697824,0.3019608521537801,17.437150399114735,pedestal_run_drift_adc,6.0
pedestal_drift_proxy_high,1731,-0.23245503443054205,0.31668359516520955,17.686601216224215,pedestal_run_drift_adc,6.0
pileup_or_multihit,6690,-0.35147112205509834,0.49761839530142604,29.161376943475997,pedestal_run_drift_adc,6.0
adc_saturation_onset,10712,-0.5117619950472199,0.6600152913518292,33.71989875706921,pedestal_run_drift_adc,12.0
late_pulse_shape,3893,-0.21673439121592722,0.30145122366472066,17.351702486553137,pedestal_run_drift_adc,12.0
pedestal_drift_proxy_high,1731,-0.22182007664327505,0.3152752120405347,17.385993269948447,pedestal_run_drift_adc,12.0
pileup_or_multihit,6690,-0.34926866639916276,0.4951071297120636,29.094663845294438,pedestal_run_drift_adc,12.0
adc_saturation_onset,10711,-0.5107716463925258,0.6586730727909315,33.62559016947764,pedestal_run_drift_adc,24.0
late_pulse_shape,3893,-0.2149182069624959,0.29945843785121107,17.212593919600675,pedestal_run_drift_adc,24.0
pedestal_drift_proxy_high,1731,-0.22267945787033974,0.3114525538637856,17.27904754949401,pedestal_run_drift_adc,24.0
pileup_or_multihit,6690,-0.3467910673542965,0.49455669966051696,28.96947771297442,pedestal_run_drift_adc,24.0
adc_saturation_onset,10712,-0.517539164161725,0.6617514909206127,33.98892398972045,pedestal_run_drift_adc,36.0
late_pulse_shape,3893,-0.22258905371944793,0.3078800491975116,17.726871843237575,pedestal_run_drift_adc,36.0
pedestal_drift_proxy_high,1731,-0.22511283888746347,0.3174593331493028,17.657767621441977,pedestal_run_drift_adc,36.0
pileup_or_multihit,6690,-0.35264927342254226,0.503334871335052,29.425998493512292,pedestal_run_drift_adc,36.0
adc_saturation_onset,10758,-0.7782280123769065,0.8486788265969507,50.15060990664303,saturation_adc,2048.0
late_pulse_shape,3893,-0.6266375330339004,0.6664223220352408,42.56826046001259,saturation_adc,2048.0
pedestal_drift_proxy_high,1731,-0.6159997686672724,0.6689624282778168,43.20906846486096,saturation_adc,2048.0
pileup_or_multihit,6690,-0.6935064881679224,0.7717951424139365,50.46782838985079,saturation_adc,2048.0
adc_saturation_onset,10739,-0.6443547875283959,0.7542764938345585,41.58961519048094,saturation_adc,3072.0
late_pulse_shape,3893,-0.4175846563787479,0.47687378472732767,29.258154797792862,saturation_adc,3072.0
pedestal_drift_proxy_high,1731,-0.41712514146399393,0.484636081465386,29.738105857117475,saturation_adc,3072.0
pileup_or_multihit,6690,-0.514882991814221,0.632077553482069,39.250711195712135,saturation_adc,3072.0
adc_saturation_onset,10726,-0.5788962338664096,0.7067581040040678,37.53930312320632,saturation_adc,3584.0
late_pulse_shape,3893,-0.31593962132449177,0.3866507003124013,23.04578221294404,saturation_adc,3584.0
pedestal_drift_proxy_high,1731,-0.3117106330964773,0.3971982213845041,23.388377468135577,saturation_adc,3584.0
pileup_or_multihit,6690,-0.43014670410528444,0.5639734889223423,33.98522905432501,saturation_adc,3584.0
adc_saturation_onset,10712,-0.5115480132397594,0.6583102517678184,33.69665984438817,saturation_adc,4095.0
late_pulse_shape,3893,-0.21830698868153786,0.2999001391003501,17.31830223783135,saturation_adc,4095.0
pedestal_drift_proxy_high,1731,-0.23261689405555644,0.31298738417234945,17.63690542885501,saturation_adc,4095.0
pileup_or_multihit,6690,-0.34812117171113555,0.49713723653882275,29.057593222784355,saturation_adc,4095.0
