method,n,positives,roc_auc,auc_ci_low,auc_ci_high,average_precision,role,family
traditional_scalar__positive_area,11845,5048,0.6972236457913402,0.6540008199556531,0.7471067451562505,0.6237741047614286,traditional_scalar,traditional_scalar
traditional_scalar__time_skewness,11845,5048,0.6957112995222327,0.6463231901285381,0.7493892786034781,0.7256184434521246,traditional_scalar,mean_time_moments
traditional_scalar__middle_5_9_over_total,11845,5048,0.6916794156413277,0.641980090628682,0.7404343637007216,0.6826925538974539,traditional_scalar,charge_comparison_psd
traditional_exponential_ar_gatti_waveform,11845,5048,0.6912715320010436,0.6507688316561455,0.737625055406532,0.6889470232193452,traditional_multivariate,exponential_tail_ar_gatti
traditional_scalar__area_over_peak,11845,5048,0.6885328243303014,0.6448348910038648,0.7320259639267812,0.5691763281576597,traditional_scalar,traditional_scalar
traditional_scalar__matched_template_delta_chi2,11845,5048,0.6865149296778876,0.6425580263191337,0.7327750741400552,0.7124078499231387,traditional_scalar,matched_filter_template_chi2
traditional_scalar__max_fall_step,11845,5048,0.6845821528655203,0.6322179897983347,0.7406257246140326,0.6910298982526865,traditional_scalar,zero_crossing_derivative
traditional_scalar__time_kurtosis,11845,5048,0.6815264792405151,0.6253056083605386,0.7413312296757296,0.6694591735487994,traditional_scalar,mean_time_moments
traditional_scalar__tail_12_17_over_total,11845,5048,0.6812295358700946,0.6303402020120176,0.730507085570084,0.729725228603282,traditional_scalar,charge_comparison_psd
traditional_scalar__width50,11845,5048,0.6621530992628192,0.6231414127348442,0.6961730769535212,0.5640140649383972,traditional_scalar,rise_time_width
traditional_scalar__haar_l1_d01,11845,5048,0.6592988172744245,0.6219486446776011,0.7044147011460052,0.512737601807342,traditional_scalar,wavelet_haar
traditional_scalar__cf_ratio_s6_s8,11845,5048,0.6586909992452623,0.6154716996154536,0.7026574618016123,0.6061890754370447,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__tail_14_17_over_total,11845,5048,0.6555951784452309,0.6125188405740395,0.708439894188349,0.7029349603627212,traditional_scalar,charge_comparison_psd
traditional_scalar__haar_l2_d01,11845,5048,0.6466347224362756,0.6037703513176604,0.696972277003197,0.6909355278869884,traditional_scalar,wavelet_haar
traditional_scalar__haar_l1_d02,11845,5048,0.6450765748709403,0.6118412866072291,0.6825471919645328,0.6459920849771005,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d04,11845,5048,0.6334064832835032,0.6123611376321602,0.6550201937372089,0.5808590746571163,traditional_scalar,wavelet_haar
traditional_scalar__final_sample,11845,5048,0.6270356147848392,0.5871267549191147,0.6723773105853451,0.6668772587718703,traditional_scalar,traditional_scalar
traditional_scalar__early_0_4_over_total,11845,5048,0.6149820193116802,0.573165380607885,0.684411850301549,0.515276237120486,traditional_scalar,charge_comparison_psd
traditional_scalar__exp_tail_log_slope,11845,5048,0.6139683869340138,0.5698975826339777,0.6599750890787655,0.6669387826014013,traditional_scalar,exponential_tail_ar_residual
traditional_scalar__haar_l1_d03,11845,5048,0.6132578183672437,0.5704643921832944,0.6528281547176371,0.6317522370982673,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d05,11845,5048,0.611324036053941,0.5753915606719375,0.6595351388639821,0.612313149944915,traditional_scalar,wavelet_haar
traditional_scalar__zero_crossings_derivative,11845,5048,0.6112449220745519,0.585136284072675,0.6383859187312159,0.5669626394593774,traditional_scalar,zero_crossing_derivative
traditional_scalar__haar_l0_d06,11845,5048,0.6104684713378024,0.5673121478259955,0.6542418633052247,0.6359496712999931,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s5_s7,11845,5048,0.6086861116363679,0.5815493199403903,0.6436049133122637,0.5767456049680224,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__rise_10_50,11845,5048,0.5944042240831988,0.5694208920439877,0.6300103322088219,0.5044692590255999,traditional_scalar,rise_time_width
traditional_scalar__rise_20_80,11845,5048,0.5840720024938755,0.5637925379096137,0.6178588406889243,0.49383406032434873,traditional_scalar,rise_time_width
traditional_scalar__max_rise_step,11845,5048,0.5652321792009013,0.5435736325446285,0.5966068408211872,0.46190572712851125,traditional_scalar,zero_crossing_derivative
traditional_scalar__haar_l0_d07,11845,5048,0.5646745050662092,0.5398356521205694,0.5912387507090339,0.5621268677157748,traditional_scalar,wavelet_haar
traditional_scalar__haar_l3_d00,11845,5048,0.5642684429855905,0.5444829804442076,0.5915764669206057,0.5411283467395942,traditional_scalar,wavelet_haar
traditional_scalar__le_ratio_s4_s7,11845,5048,0.5636400486184474,0.5488108735299884,0.583313006084355,0.5484159287937478,traditional_scalar,constant_fraction_shape_ratios
traditional_scalar__fft_k2_fraction,11845,5048,0.5607680027801955,0.5331233257930946,0.6036994162523617,0.4883136639010888,traditional_scalar,frequency_domain_fft
traditional_scalar__fft_high_over_low,11845,5048,0.5510175727755346,0.530967679470896,0.5744092349591415,0.5253983664169467,traditional_scalar,frequency_domain_fft
traditional_scalar__haar_l1_d00,11845,5048,0.5385481808069049,0.5154089436371436,0.5688985187647316,0.4475741249350239,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d01,11845,5048,0.5374592815838627,0.5071061148054817,0.5753867787030986,0.4448044550594405,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d03,11845,5048,0.5272465105911599,0.48980609107182876,0.5871993295665449,0.426412910145602,traditional_scalar,wavelet_haar
traditional_scalar__haar_l0_d00,11845,5048,0.49979808375420587,0.4916956295354801,0.5080672201766152,0.4245767608646359,traditional_scalar,wavelet_haar
traditional_scalar__fft_k1_fraction,11845,5048,0.48466651876573685,0.45680581625025307,0.5085807288997284,0.4221124635334508,traditional_scalar,frequency_domain_fft
