feature,coefficient,heldout_run,variant,alpha
B8_inv_amp,-2.1041027302119715,58,S02h ML shuffled-bin,0.1
B8_peak_sample,-0.6689878589607081,58,S02h ML shuffled-bin,0.1
B8_area_over_amp,-1.4355063287742926,58,S02h ML shuffled-bin,0.1
B8_template_sse,0.17241179337966261,58,S02h ML shuffled-bin,0.1
bin_0,-0.005484928107388149,58,S02h ML shuffled-bin,0.1
bin_1,0.003956966805004873,58,S02h ML shuffled-bin,0.1
bin_2,-0.030596406172175575,58,S02h ML shuffled-bin,0.1
bin_3,0.0321168625803675,58,S02h ML shuffled-bin,0.1
bin_missing,0.0,58,S02h ML shuffled-bin,0.1
intercept,0.0,58,S02h ML shuffled-target,1.0
B4_intercept,0.8630371470360167,58,S02h ML shuffled-target,1.0
B4_log_amp,0.26696486543714953,58,S02h ML shuffled-target,1.0
B4_log_amp2,-0.4063115008716607,58,S02h ML shuffled-target,1.0
B4_inv_amp,-0.19334151106371822,58,S02h ML shuffled-target,1.0
B4_peak_sample,0.11072055708353484,58,S02h ML shuffled-target,1.0
B4_area_over_amp,-0.09500336202783725,58,S02h ML shuffled-target,1.0
B4_template_sse,0.001364647364489355,58,S02h ML shuffled-target,1.0
B6_intercept,0.005662755200495521,58,S02h ML shuffled-target,1.0
B6_log_amp,0.05728235338192798,58,S02h ML shuffled-target,1.0
B6_log_amp2,0.4096423193478673,58,S02h ML shuffled-target,1.0
B6_inv_amp,-0.14164408141293452,58,S02h ML shuffled-target,1.0
B6_peak_sample,0.17336728391306666,58,S02h ML shuffled-target,1.0
B6_area_over_amp,0.0014168455230463345,58,S02h ML shuffled-target,1.0
B6_template_sse,0.13411828509841914,58,S02h ML shuffled-target,1.0
B8_intercept,-0.8686999022416588,58,S02h ML shuffled-target,1.0
B8_log_amp,0.07445454653262465,58,S02h ML shuffled-target,1.0
B8_log_amp2,0.9008863346947934,58,S02h ML shuffled-target,1.0
B8_inv_amp,0.33545097158693016,58,S02h ML shuffled-target,1.0
B8_peak_sample,0.008525921841745413,58,S02h ML shuffled-target,1.0
B8_area_over_amp,0.13464140235356772,58,S02h ML shuffled-target,1.0
B8_template_sse,0.022823232112738696,58,S02h ML shuffled-target,1.0
bin_0,0.019715499980365238,58,S02h ML shuffled-target,1.0
bin_1,0.015249336015892623,58,S02h ML shuffled-target,1.0
bin_2,0.03910050321261417,58,S02h ML shuffled-target,1.0
bin_3,-0.07403768666420232,58,S02h ML shuffled-target,1.0
bin_missing,0.0,58,S02h ML shuffled-target,1.0
intercept,0.0,58,S02h ML bin+current/rate,100.0
B4_intercept,-0.9928663804097451,58,S02h ML bin+current/rate,100.0
B4_log_amp,-0.5882674954760141,58,S02h ML bin+current/rate,100.0
B4_log_amp2,-0.1846401562118166,58,S02h ML bin+current/rate,100.0
B4_inv_amp,-3.639420824594452,58,S02h ML bin+current/rate,100.0
B4_peak_sample,0.6172741434531581,58,S02h ML bin+current/rate,100.0
B4_area_over_amp,2.0040880855682577,58,S02h ML bin+current/rate,100.0
B4_template_sse,0.28964185956205374,58,S02h ML bin+current/rate,100.0
B6_intercept,0.27298186896260385,58,S02h ML bin+current/rate,100.0
B6_log_amp,0.14636883873056453,58,S02h ML bin+current/rate,100.0
B6_log_amp2,0.03363854804438127,58,S02h ML bin+current/rate,100.0
B6_inv_amp,1.4768507053888913,58,S02h ML bin+current/rate,100.0
B6_peak_sample,-0.6883194910990299,58,S02h ML bin+current/rate,100.0
B6_area_over_amp,0.04587357075377558,58,S02h ML bin+current/rate,100.0
B6_template_sse,0.48863514303769084,58,S02h ML bin+current/rate,100.0
B8_intercept,0.7198845114483023,58,S02h ML bin+current/rate,100.0
B8_log_amp,0.4515619242471198,58,S02h ML bin+current/rate,100.0
B8_log_amp2,0.148982267106242,58,S02h ML bin+current/rate,100.0
B8_inv_amp,0.9513531684284967,58,S02h ML bin+current/rate,100.0
B8_peak_sample,-0.5951353209605675,58,S02h ML bin+current/rate,100.0
B8_area_over_amp,-0.91817771857864,58,S02h ML bin+current/rate,100.0
B8_template_sse,0.30643487963190874,58,S02h ML bin+current/rate,100.0
bin_0,-0.192523846509547,58,S02h ML bin+current/rate,100.0
bin_1,0.4459357707236048,58,S02h ML bin+current/rate,100.0
bin_2,0.0949965217720875,58,S02h ML bin+current/rate,100.0
bin_3,-0.34821286538393004,58,S02h ML bin+current/rate,100.0
bin_missing,0.0,58,S02h ML bin+current/rate,100.0
B4_current_nA_z,0.0,58,S02h ML bin+current/rate,100.0
B4_trigger_entry_density_z,-0.07033923436724107,58,S02h ML bin+current/rate,100.0
B4_entries_per_eventno_z,-0.07033923436724127,58,S02h ML bin+current/rate,100.0
B4_selected_multiplicity_per_event_z,-0.07587637156868329,58,S02h ML bin+current/rate,100.0
B4_downstream_allhit_fraction_z,0.035611004454105505,58,S02h ML bin+current/rate,100.0
B6_current_nA_z,0.0,58,S02h ML bin+current/rate,100.0
B6_trigger_entry_density_z,0.03262349874182978,58,S02h ML bin+current/rate,100.0
B6_entries_per_eventno_z,0.03262349874182909,58,S02h ML bin+current/rate,100.0
B6_selected_multiplicity_per_event_z,-0.005497089953411985,58,S02h ML bin+current/rate,100.0
B6_downstream_allhit_fraction_z,0.009028975941422613,58,S02h ML bin+current/rate,100.0
B8_current_nA_z,0.0,58,S02h ML bin+current/rate,100.0
B8_trigger_entry_density_z,0.035654589089153435,58,S02h ML bin+current/rate,100.0
B8_entries_per_eventno_z,0.035654589089154864,58,S02h ML bin+current/rate,100.0
B8_selected_multiplicity_per_event_z,0.09522168923475456,58,S02h ML bin+current/rate,100.0
B8_downstream_allhit_fraction_z,-0.09915649254992899,58,S02h ML bin+current/rate,100.0
intercept,0.0,59,S02h ML binned residual,10.0
B4_intercept,-2.285492105559015,59,S02h ML binned residual,10.0
B4_log_amp,-1.3187331323478912,59,S02h ML binned residual,10.0
B4_log_amp2,-0.3020510204657886,59,S02h ML binned residual,10.0
B4_inv_amp,-4.646767870300993,59,S02h ML binned residual,10.0
B4_peak_sample,0.3197089589897308,59,S02h ML binned residual,10.0
B4_area_over_amp,3.261753629620225,59,S02h ML binned residual,10.0
B4_template_sse,0.7973542557969324,59,S02h ML binned residual,10.0
B6_intercept,-0.543405248352348,59,S02h ML binned residual,10.0
B6_log_amp,-0.624313820291816,59,S02h ML binned residual,10.0
B6_log_amp2,-0.5926085001842424,59,S02h ML binned residual,10.0
B6_inv_amp,1.88569536978593,59,S02h ML binned residual,10.0
B6_peak_sample,-0.8864103898024092,59,S02h ML binned residual,10.0
B6_area_over_amp,0.23829118653872483,59,S02h ML binned residual,10.0
B6_template_sse,0.6027605973303262,59,S02h ML binned residual,10.0
B8_intercept,2.828897353912894,59,S02h ML binned residual,10.0
B8_log_amp,0.9838879927594346,59,S02h ML binned residual,10.0
B8_log_amp2,-1.2033353026405655,59,S02h ML binned residual,10.0
B8_inv_amp,0.6060358296381697,59,S02h ML binned residual,10.0
B8_peak_sample,-1.1648123003044004,59,S02h ML binned residual,10.0
B8_area_over_amp,-3.0972956443488444,59,S02h ML binned residual,10.0
B8_template_sse,-0.0720796141414427,59,S02h ML binned residual,10.0
bin_0,-0.3272576610488174,59,S02h ML binned residual,10.0
bin_1,0.5379781439971155,59,S02h ML binned residual,10.0
bin_2,0.16579518715269306,59,S02h ML binned residual,10.0
bin_3,-0.3764703703110789,59,S02h ML binned residual,10.0
bin_missing,0.0,59,S02h ML binned residual,10.0
intercept,0.0,59,S02h ML bin-dropout,0.1
B4_intercept,-5.62631932736624,59,S02h ML bin-dropout,0.1
B4_log_amp,-2.5885833291025455,59,S02h ML bin-dropout,0.1
B4_log_amp2,-9.14796937898501,59,S02h ML bin-dropout,0.1
B4_inv_amp,-7.18135039211656,59,S02h ML bin-dropout,0.1
B4_peak_sample,0.2781537400731015,59,S02h ML bin-dropout,0.1
B4_area_over_amp,3.325657194134519,59,S02h ML bin-dropout,0.1
B4_template_sse,0.861227796586757,59,S02h ML bin-dropout,0.1
B6_intercept,0.4118506096905646,59,S02h ML bin-dropout,0.1
B6_log_amp,-5.248910155425778,59,S02h ML bin-dropout,0.1
B6_log_amp2,-9.197374018952402,59,S02h ML bin-dropout,0.1
B6_inv_amp,-0.9512706817520182,59,S02h ML bin-dropout,0.1
B6_peak_sample,-0.863815575211392,59,S02h ML bin-dropout,0.1
B6_area_over_amp,-0.5566487840379347,59,S02h ML bin-dropout,0.1
B6_template_sse,0.3820643972391317,59,S02h ML bin-dropout,0.1
B8_intercept,5.214468721327696,59,S02h ML bin-dropout,0.1
B8_log_amp,-3.4977747063778204,59,S02h ML bin-dropout,0.1
B8_log_amp2,-13.217504705237243,59,S02h ML bin-dropout,0.1
B8_inv_amp,-2.4911475782329497,59,S02h ML bin-dropout,0.1
B8_peak_sample,-0.9387890517757768,59,S02h ML bin-dropout,0.1
B8_area_over_amp,-2.2436385794913685,59,S02h ML bin-dropout,0.1
B8_template_sse,0.08727009433047567,59,S02h ML bin-dropout,0.1
intercept,0.0,59,S02h ML shuffled-bin,1.0
B4_intercept,-3.6782058267765017,59,S02h ML shuffled-bin,1.0
B4_log_amp,-4.544353555999692,59,S02h ML shuffled-bin,1.0
B4_log_amp2,-6.777014791219947,59,S02h ML shuffled-bin,1.0
B4_inv_amp,-6.845494248946307,59,S02h ML shuffled-bin,1.0
B4_peak_sample,0.2911005372432898,59,S02h ML shuffled-bin,1.0
B4_area_over_amp,3.250576213987725,59,S02h ML shuffled-bin,1.0
B4_template_sse,0.8193781029574936,59,S02h ML shuffled-bin,1.0
B6_intercept,-1.010478506563132,59,S02h ML shuffled-bin,1.0
B6_log_amp,-3.830095001454174,59,S02h ML shuffled-bin,1.0
B6_log_amp2,-6.953859482073373,59,S02h ML shuffled-bin,1.0
B6_inv_amp,-0.29815765672748934,59,S02h ML shuffled-bin,1.0
B6_peak_sample,-0.8810087783273808,59,S02h ML shuffled-bin,1.0
B6_area_over_amp,-0.7790003329648898,59,S02h ML shuffled-bin,1.0
B6_template_sse,0.3284520231151835,59,S02h ML shuffled-bin,1.0
B8_intercept,4.68868433365776,59,S02h ML shuffled-bin,1.0
B8_log_amp,-2.6630804620145763,59,S02h ML shuffled-bin,1.0
B8_log_amp2,-11.491211301435577,59,S02h ML shuffled-bin,1.0
B8_inv_amp,-2.004570458393842,59,S02h ML shuffled-bin,1.0
B8_peak_sample,-0.9069941912985132,59,S02h ML shuffled-bin,1.0
B8_area_over_amp,-2.140213316256354,59,S02h ML shuffled-bin,1.0
B8_template_sse,0.11038160658015259,59,S02h ML shuffled-bin,1.0
bin_0,0.003993272363390816,59,S02h ML shuffled-bin,1.0
bin_1,-0.018492572595124643,59,S02h ML shuffled-bin,1.0
bin_2,-0.007368976414586098,59,S02h ML shuffled-bin,1.0
bin_3,0.02185942399098414,59,S02h ML shuffled-bin,1.0
bin_missing,0.0,59,S02h ML shuffled-bin,1.0
intercept,0.0,59,S02h ML shuffled-target,100.0
B4_intercept,0.02875846741280677,59,S02h ML shuffled-target,100.0
B4_log_amp,-0.06292174297043386,59,S02h ML shuffled-target,100.0
B4_log_amp2,-0.17231886930952728,59,S02h ML shuffled-target,100.0
B4_inv_amp,0.23636232513618596,59,S02h ML shuffled-target,100.0
B4_peak_sample,0.08301780264410136,59,S02h ML shuffled-target,100.0
B4_area_over_amp,-0.3178305339945079,59,S02h ML shuffled-target,100.0
B4_template_sse,-0.17761493009495155,59,S02h ML shuffled-target,100.0
B6_intercept,-0.0630350473089217,59,S02h ML shuffled-target,100.0
B6_log_amp,-0.15738821469757738,59,S02h ML shuffled-target,100.0
B6_log_amp2,-0.26357378646488877,59,S02h ML shuffled-target,100.0
B6_inv_amp,0.32432431507582143,59,S02h ML shuffled-target,100.0
B6_peak_sample,-0.16596001982520142,59,S02h ML shuffled-target,100.0
B6_area_over_amp,0.1367648794754689,59,S02h ML shuffled-target,100.0
B6_template_sse,-0.006183319355381369,59,S02h ML shuffled-target,100.0
B8_intercept,0.034276579896103054,59,S02h ML shuffled-target,100.0
B8_log_amp,0.17098415102085954,59,S02h ML shuffled-target,100.0
B8_log_amp2,0.33070250549799146,59,S02h ML shuffled-target,100.0
B8_inv_amp,-0.11014280605599541,59,S02h ML shuffled-target,100.0
B8_peak_sample,0.08701880205440023,59,S02h ML shuffled-target,100.0
B8_area_over_amp,-0.8040919264958869,59,S02h ML shuffled-target,100.0
B8_template_sse,-0.0929461245519733,59,S02h ML shuffled-target,100.0
bin_0,-0.0620848596136211,59,S02h ML shuffled-target,100.0
bin_1,-0.04998956458512408,59,S02h ML shuffled-target,100.0
bin_2,0.045686467027885556,59,S02h ML shuffled-target,100.0
bin_3,0.06633859898624322,59,S02h ML shuffled-target,100.0
bin_missing,0.0,59,S02h ML shuffled-target,100.0
intercept,0.0,59,S02h ML bin+current/rate,100.0
B4_intercept,-1.0455400701676831,59,S02h ML bin+current/rate,100.0
B4_log_amp,-0.5390078795203005,59,S02h ML bin+current/rate,100.0
B4_log_amp2,-0.03426793604399115,59,S02h ML bin+current/rate,100.0
B4_inv_amp,-4.34939323190747,59,S02h ML bin+current/rate,100.0
B4_peak_sample,0.46008741415762655,59,S02h ML bin+current/rate,100.0
B4_area_over_amp,2.192047868106276,59,S02h ML bin+current/rate,100.0
B4_template_sse,0.32771623216654266,59,S02h ML bin+current/rate,100.0
B6_intercept,0.21699529256938693,59,S02h ML bin+current/rate,100.0
B6_log_amp,0.031162096765799483,59,S02h ML bin+current/rate,100.0
B6_log_amp2,-0.1403394854667466,59,S02h ML bin+current/rate,100.0
B6_inv_amp,1.8416775262164011,59,S02h ML bin+current/rate,100.0
B6_peak_sample,-0.8270063987316554,59,S02h ML bin+current/rate,100.0
B6_area_over_amp,0.012321150770813867,59,S02h ML bin+current/rate,100.0
B6_template_sse,0.5543552059930993,59,S02h ML bin+current/rate,100.0
B8_intercept,0.8285447775979784,59,S02h ML bin+current/rate,100.0
B8_log_amp,0.5415554772972714,59,S02h ML bin+current/rate,100.0
B8_log_amp2,0.21815891781818994,59,S02h ML bin+current/rate,100.0
B8_inv_amp,1.0753904301627222,59,S02h ML bin+current/rate,100.0
B8_peak_sample,-0.7720109749120535,59,S02h ML bin+current/rate,100.0
B8_area_over_amp,-1.2677781008389215,59,S02h ML bin+current/rate,100.0
B8_template_sse,0.3278052372154644,59,S02h ML bin+current/rate,100.0
bin_0,-0.31163488873622724,59,S02h ML bin+current/rate,100.0
bin_1,0.5211203835283051,59,S02h ML bin+current/rate,100.0
bin_2,0.13739091481610866,59,S02h ML bin+current/rate,100.0
bin_3,-0.3468413304636929,59,S02h ML bin+current/rate,100.0
bin_missing,0.0,59,S02h ML bin+current/rate,100.0
B4_current_nA_z,0.0,59,S02h ML bin+current/rate,100.0
B4_trigger_entry_density_z,0.017204570159258577,59,S02h ML bin+current/rate,100.0
B4_entries_per_eventno_z,0.017204570159258737,59,S02h ML bin+current/rate,100.0
B4_selected_multiplicity_per_event_z,-0.02688479247971658,59,S02h ML bin+current/rate,100.0
B4_downstream_allhit_fraction_z,0.06375519916218503,59,S02h ML bin+current/rate,100.0
B6_current_nA_z,0.0,59,S02h ML bin+current/rate,100.0
B6_trigger_entry_density_z,0.008330473624994898,59,S02h ML bin+current/rate,100.0
B6_entries_per_eventno_z,0.008330473624995362,59,S02h ML bin+current/rate,100.0
B6_selected_multiplicity_per_event_z,-0.011435346813584074,59,S02h ML bin+current/rate,100.0
B6_downstream_allhit_fraction_z,-0.041048954769095765,59,S02h ML bin+current/rate,100.0
B8_current_nA_z,0.0,59,S02h ML bin+current/rate,100.0
B8_trigger_entry_density_z,0.027661827148246707,59,S02h ML bin+current/rate,100.0
B8_entries_per_eventno_z,0.027661827148245926,59,S02h ML bin+current/rate,100.0
B8_selected_multiplicity_per_event_z,0.07733409019969718,59,S02h ML bin+current/rate,100.0
B8_downstream_allhit_fraction_z,-0.1775594354491491,59,S02h ML bin+current/rate,100.0
intercept,0.0,60,S02h ML binned residual,10.0
B4_intercept,-1.9378583895693735,60,S02h ML binned residual,10.0
B4_log_amp,-1.2407443799235505,60,S02h ML binned residual,10.0
B4_log_amp2,-0.4040830874301961,60,S02h ML binned residual,10.0
B4_inv_amp,-2.742140617030434,60,S02h ML binned residual,10.0
B4_peak_sample,0.6817981936843182,60,S02h ML binned residual,10.0
B4_area_over_amp,2.713176124488886,60,S02h ML binned residual,10.0
B4_template_sse,0.6273452366758476,60,S02h ML binned residual,10.0
B6_intercept,0.12297526985309404,60,S02h ML binned residual,10.0
B6_log_amp,0.2275563335171232,60,S02h ML binned residual,10.0
B6_log_amp2,0.38848373384165075,60,S02h ML binned residual,10.0
B6_inv_amp,0.6127679467642704,60,S02h ML binned residual,10.0
B6_peak_sample,-0.4057770810759077,60,S02h ML binned residual,10.0
B6_area_over_amp,-0.43040688335275074,60,S02h ML binned residual,10.0
B6_template_sse,0.1742458756198201,60,S02h ML binned residual,10.0
B8_intercept,1.8148831197112436,60,S02h ML binned residual,10.0
B8_log_amp,0.45822803627426734,60,S02h ML binned residual,10.0
B8_log_amp2,-1.1656376997950009,60,S02h ML binned residual,10.0
B8_inv_amp,0.36207981374662623,60,S02h ML binned residual,10.0
B8_peak_sample,-0.4670849338875635,60,S02h ML binned residual,10.0
B8_area_over_amp,-1.0611017250227692,60,S02h ML binned residual,10.0
B8_template_sse,0.12219683332269486,60,S02h ML binned residual,10.0
bin_0,0.06156172812866176,60,S02h ML binned residual,10.0
bin_1,0.30068085373410075,60,S02h ML binned residual,10.0
bin_2,-0.007411194051236469,60,S02h ML binned residual,10.0
bin_3,-0.3548666559598138,60,S02h ML binned residual,10.0
bin_missing,0.0,60,S02h ML binned residual,10.0
intercept,0.0,60,S02h ML bin-dropout,0.1
B4_intercept,-5.896487725667456,60,S02h ML bin-dropout,0.1
B4_log_amp,-5.578701209733837,60,S02h ML bin-dropout,0.1
B4_log_amp2,-3.5206365488677,60,S02h ML bin-dropout,0.1
B4_inv_amp,-3.5293999943563428,60,S02h ML bin-dropout,0.1
B4_peak_sample,0.6809953588855947,60,S02h ML bin-dropout,0.1
B4_area_over_amp,2.8755893618477772,60,S02h ML bin-dropout,0.1
B4_template_sse,0.660214942269524,60,S02h ML bin-dropout,0.1
B6_intercept,0.6042217874833247,60,S02h ML bin-dropout,0.1
B6_log_amp,-3.4177990450441147,60,S02h ML bin-dropout,0.1
B6_log_amp2,-6.431259027421325,60,S02h ML bin-dropout,0.1
B6_inv_amp,-1.046150706355508,60,S02h ML bin-dropout,0.1
B6_peak_sample,-0.4388443939893499,60,S02h ML bin-dropout,0.1
B6_area_over_amp,-0.8236903013735006,60,S02h ML bin-dropout,0.1
B6_template_sse,0.06949999223197323,60,S02h ML bin-dropout,0.1
B8_intercept,5.292265932971117,60,S02h ML bin-dropout,0.1
B8_log_amp,-3.125916161014532,60,S02h ML bin-dropout,0.1
B8_log_amp2,-11.036143663023568,60,S02h ML bin-dropout,0.1
B8_inv_amp,-1.8851645568093776,60,S02h ML bin-dropout,0.1
B8_peak_sample,-0.43133457742745174,60,S02h ML bin-dropout,0.1
B8_area_over_amp,-1.0975166586723752,60,S02h ML bin-dropout,0.1
B8_template_sse,0.10216215900745258,60,S02h ML bin-dropout,0.1
intercept,0.0,60,S02h ML shuffled-bin,1.0
B4_intercept,-4.325077422200051,60,S02h ML shuffled-bin,1.0
B4_log_amp,-4.280187934602327,60,S02h ML shuffled-bin,1.0
B4_log_amp2,-4.040897041213439,60,S02h ML shuffled-bin,1.0
B4_inv_amp,-3.509602026610974,60,S02h ML shuffled-bin,1.0
B4_peak_sample,0.680636449482504,60,S02h ML shuffled-bin,1.0
B4_area_over_amp,2.8256831588229625,60,S02h ML shuffled-bin,1.0
B4_template_sse,0.6420644147163003,60,S02h ML shuffled-bin,1.0
B6_intercept,-0.19341065425437165,60,S02h ML shuffled-bin,1.0
B6_log_amp,-2.312549511941504,60,S02h ML shuffled-bin,1.0
B6_log_amp2,-4.72707191427282,60,S02h ML shuffled-bin,1.0
B6_inv_amp,-0.5277669467980983,60,S02h ML shuffled-bin,1.0
B6_peak_sample,-0.45177751417905027,60,S02h ML shuffled-bin,1.0
B6_area_over_amp,-0.9833353993615931,60,S02h ML shuffled-bin,1.0
B6_template_sse,0.031564893380460736,60,S02h ML shuffled-bin,1.0
B8_intercept,4.518488076024474,60,S02h ML shuffled-bin,1.0
B8_log_amp,-1.9637910541554477,60,S02h ML shuffled-bin,1.0
B8_log_amp2,-9.620805570141451,60,S02h ML shuffled-bin,1.0
B8_inv_amp,-1.4277404977774792,60,S02h ML shuffled-bin,1.0
B8_peak_sample,-0.40716706921231394,60,S02h ML shuffled-bin,1.0
B8_area_over_amp,-1.0168086657703872,60,S02h ML shuffled-bin,1.0
B8_template_sse,0.11824737232563712,60,S02h ML shuffled-bin,1.0
bin_0,-0.01655485596357316,60,S02h ML shuffled-bin,1.0
bin_1,0.005067883197716937,60,S02h ML shuffled-bin,1.0
bin_2,0.01051661203080103,60,S02h ML shuffled-bin,1.0
bin_3,0.0009671696163138153,60,S02h ML shuffled-bin,1.0
bin_missing,0.0,60,S02h ML shuffled-bin,1.0
intercept,0.0,60,S02h ML shuffled-target,0.01
B4_intercept,1.5406273776747264,60,S02h ML shuffled-target,0.01
B4_log_amp,-3.52927228596832,60,S02h ML shuffled-target,0.01
B4_log_amp2,-0.06678186247329769,60,S02h ML shuffled-target,0.01
B4_inv_amp,-0.6871679011236296,60,S02h ML shuffled-target,0.01
B4_peak_sample,-0.08029582403206285,60,S02h ML shuffled-target,0.01
B4_area_over_amp,0.1367965718404992,60,S02h ML shuffled-target,0.01
B4_template_sse,0.03435826784743628,60,S02h ML shuffled-target,0.01
B6_intercept,-0.11135086966693006,60,S02h ML shuffled-target,0.01
B6_log_amp,-4.0693857752502405,60,S02h ML shuffled-target,0.01
B6_log_amp2,1.2689950089382933,60,S02h ML shuffled-target,0.01
B6_inv_amp,0.031640199090164786,60,S02h ML shuffled-target,0.01
B6_peak_sample,-0.037521227827791055,60,S02h ML shuffled-target,0.01
B6_area_over_amp,0.27119288844091316,60,S02h ML shuffled-target,0.01
B6_template_sse,0.029532269204781834,60,S02h ML shuffled-target,0.01
B8_intercept,-1.4292765126367044,60,S02h ML shuffled-target,0.01
B8_log_amp,-1.437439096939904,60,S02h ML shuffled-target,0.01
B8_log_amp2,0.5826285943589187,60,S02h ML shuffled-target,0.01
B8_inv_amp,-0.0033012323364048682,60,S02h ML shuffled-target,0.01
B8_peak_sample,-0.060222068679277624,60,S02h ML shuffled-target,0.01
B8_area_over_amp,-0.27061399791094615,60,S02h ML shuffled-target,0.01
B8_template_sse,-0.07904494905391918,60,S02h ML shuffled-target,0.01
bin_0,0.028808456948974617,60,S02h ML shuffled-target,0.01
bin_1,-0.07043247603643682,60,S02h ML shuffled-target,0.01
bin_2,0.013750530460008159,60,S02h ML shuffled-target,0.01
bin_3,0.02788813066591758,60,S02h ML shuffled-target,0.01
bin_missing,0.0,60,S02h ML shuffled-target,0.01
intercept,0.0,60,S02h ML bin+current/rate,100.0
B4_intercept,-0.8881489183086956,60,S02h ML bin+current/rate,100.0
