heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
59,hgb_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.6578462092306894,2.502590071569233,3.2701997249413646,0.047619047619047616,1.611781113710803,1.704254326181427,0.06108588192532616,0.024604307788601905,0.08883380740982952
59,mlp_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.6864798121866196,2.513673936502604,3.3879793737875734,0.05242463958060288,1.643953902569352,1.7365775987313143,0.08971948488125636,0.07462235588681894,0.11337500337131873
59,extra_trees_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.6941279331832717,2.5452447090018975,3.4940733324144255,0.06072520751419834,1.6422780669024957,1.7617451263103068,0.09736760587790849,0.05964364803419002,0.1457145546829225
59,early_late_gated_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.6993692483196299,2.5391239895882,3.4047198453462264,0.05548274355613805,1.6520938521573485,1.757172495887146,0.10260892101426666,0.08212743668883393,0.12236947029493783
59,extra_trees_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.738768262305134,2.5693451563414333,3.536766357085347,0.06290956749672345,1.6778381009267316,1.814160688898848,0.1420079349997707,0.09985544194384147,0.19905409381279043
59,extra_trees_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,763,2289,1.835555044991919,2.5687679605258733,3.3803511183233743,0.0563564875491481,1.742281669205636,1.8965891198098277,0.2387947176865557,0.16679307553663006,0.27674557348897455
60,extra_trees_full,ml,s02b_global_template_timewalk,808,2424,1.1266944770462362,1.977900324709896,2.7531534850782795,0.03712871287128713,1.070917560189375,1.2088777336072882,-0.3452025504514087,-0.4155263923179896,-0.2570254008769002
60,extra_trees_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.136022471384426,1.9747376235113043,2.7366292767452483,0.037541254125412545,1.0783807976829627,1.198707931265574,-0.3358745561132188,-0.40957082814779394,-0.26532763156690164
60,cnn1d_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.1546415349465682,2.084131942895387,2.715129921916742,0.033003300330033,1.0908754077844782,1.2015896022757289,-0.31725549255107666,-0.37055125374330716,-0.2728024311726716
60,hgb_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.1626795512589403,2.0103705900153646,2.8288892873029474,0.036303630363036306,1.111148366580257,1.2517954835790985,-0.30921747623870455,-0.3770694731493244,-0.22030630251635874
60,hgb_full,ml,s02b_global_template_timewalk,808,2424,1.181222239585066,1.9971862502541375,2.771444064302415,0.03547854785478548,1.1255184583900546,1.253991148340667,-0.29067478791257884,-0.3637954359342509,-0.20942873818828744
60,extra_trees_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.187090618247883,2.0308557665234908,2.79231980734706,0.03712871287128713,1.1127710312938808,1.2553752001506762,-0.28480640924976175,-0.37066361812872534,-0.2153507959491559
60,early_late_gated_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.2184803543517568,2.1377486688551617,2.7771647717854098,0.03382838283828383,1.171260839938641,1.281378266075742,-0.253416673145888,-0.2977023330331676,-0.20762520104198506
60,hgb_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.2318691469856007,2.0237134392553715,2.786242423959392,0.034653465346534656,1.1728876217020245,1.2985942310325425,-0.24002788051204416,-0.31110218018105606,-0.1724192314505161
60,cnn1d_full,ml,s02b_global_template_timewalk,808,2424,1.2580213780907443,2.1764653667974376,2.7706039719957127,0.03424092409240924,1.2154502790172395,1.3166652118360167,-0.21387564940690051,-0.2532695148940386,-0.16800534860112787
60,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,808,2424,1.2807738377758302,2.076268531162938,2.8452211613363207,0.039603960396039604,1.1962814474260999,1.3576990144372183,-0.19112318972181463,-0.272428166753998,-0.11988267491590412
60,mlp_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.2917861768480752,2.1859373229688877,2.811754787647177,0.037541254125412545,1.25402274454063,1.3427111375154022,-0.18011085064956966,-0.21568770541287355,-0.1480242448070754
60,early_late_gated_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.3119882258206208,2.164866703883136,2.8304508582580326,0.037953795379537955,1.2596093379854143,1.3519419289396468,-0.15990880167702404,-0.2045484994126046,-0.12406346984508061
60,early_late_gated_full,ml,s02b_global_template_timewalk,808,2424,1.317935450170297,2.2034916915780913,2.8255948170767193,0.040016501650165015,1.2759309504938678,1.3819049813164748,-0.15396157732734794,-0.18506275972346775,-0.11317443350430133
60,cnn1d_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.3384725769241903,2.19177659706397,2.8392841995364537,0.038778877887788776,1.2979324982045124,1.4039636948625862,-0.13342445057345453,-0.1599177495288274,-0.09724547637663039
60,mlp_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.3763110817341198,2.2288201703579937,2.9385879328846474,0.04661716171617162,1.3443531699968292,1.4241350084296853,-0.09558594576352508,-0.10559747249703083,-0.06724790805618593
60,cnn1d_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.383294583982385,2.2547932041360492,2.9696780985869795,0.04785478547854786,1.3435087048070604,1.439799222732871,-0.08860244351525992,-0.10158583532562822,-0.05721554710484586
60,early_late_gated_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.3856963772988327,2.227827040442723,2.928149679803955,0.04661716171617162,1.3532347313501967,1.4252084131569265,-0.08620065019881218,-0.10535402674472293,-0.06126562526984849
60,mlp_full,ml,s02b_global_template_timewalk,808,2424,1.3899163950809827,2.1988971613689534,2.834387681897031,0.04084158415841584,1.3484727368846705,1.435309054610928,-0.08198063241666209,-0.1091054305431281,-0.0553289064648955
60,mlp_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.3932389858361152,2.2260058560532823,2.980984620241286,0.04702970297029703,1.3541321359876695,1.4379094732993356,-0.07865804166152968,-0.09429666090354111,-0.05574862336206731
60,ridge_only_sample6,ml,s02b_global_template_timewalk,808,2424,1.4019501381019674,2.2236109809363698,3.0617185124956485,0.05156765676567657,1.3253376193653534,1.459123797931068,-0.06994688939567739,-0.15464152588550648,-0.00848580334194274
60,ridge_run_family_control,run_family_control,s02b_global_template_timewalk,808,2424,1.4050320273548635,2.2311897276218784,3.1401686446937567,0.056518151815181515,1.3444497107474904,1.4870199850141876,-0.0668650001427813,-0.1509229189611491,0.01333836518108789
60,cnn1d_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4052593629882422,2.238236074006869,2.9628988519868438,0.04867986798679868,1.367855999158817,1.449584873450135,-0.06663766450940267,-0.08061101959107497,-0.04176890247568073
60,ridge_no_sample6,ml,s02b_global_template_timewalk,808,2424,1.4218374393090452,2.2329208544207124,2.9958198398288944,0.04950495049504951,1.3526230433362714,1.50143384588126,-0.05005958818859968,-0.13643761364073453,0.028860025566491674
60,ridge_full,ml,s02b_global_template_timewalk,808,2424,1.422004184494897,2.232945562140431,2.9958087250527603,0.04950495049504951,1.3526515022891752,1.5014165745115642,-0.04989284300274788,-0.13636086115688983,0.028849220525893768
60,mlp_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4560194598992269,2.279771362460914,3.0806235543594136,0.054042904290429045,1.403501743017281,1.5015975780710575,-0.015877567598417963,-0.0382517241890487,0.007458869921666402
60,ridge_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4643074926880748,2.280844017869605,3.0230904318979346,0.050742574257425746,1.4224964891306906,1.50896079530546,-0.007589534809570031,-0.022687862714622288,0.012408680017143067
60,s02b_global_template_timewalk,traditional,s02b_global_template_timewalk,808,2424,1.4718970274976448,2.27149402288583,3.0155965173436994,0.05033003300330033,1.4298492726637044,1.5131648579806722,0.0,0.0,0.0
60,cnn1d_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.474465420621241,2.2931983946736625,3.082532115832026,0.054042904290429045,1.4325809896188817,1.527906399150116,0.0025683931235962465,-0.014600138442873773,0.024794670411439988
60,ridge_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4751587058831839,2.2636125601447095,3.0361526322113246,0.05115511551155116,1.4411460621268717,1.5165947284075596,0.0032616783855390352,-0.013410182326674607,0.021415722616479744
60,hgb_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4863673219837334,2.2800158283296854,2.9974965215855014,0.04909240924092409,1.443084518181712,1.5326744614594834,0.014470294486088608,-0.00975244418968177,0.04015073696966997
60,ridge_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.4952972571390513,2.2635962121741255,3.021276002740302,0.05033003300330033,1.4514120687966978,1.5336861469132783,0.023400229641406423,-0.003506665921108187,0.044421749829258124
60,hgb_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.5131304917715789,2.311480434323476,3.090842894414795,0.056105610561056105,1.4661009640896738,1.5743763667532522,0.04123346427393404,0.011933462329920796,0.08221153819680295
60,early_late_gated_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.5168335708839233,2.3287214988968383,3.129841778198189,0.055693069306930694,1.479379755503938,1.5652725990222824,0.044936543386278505,0.036484547614194604,0.06826862359844137
60,early_late_gated_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.520790892999909,2.3077117761513355,3.15760301554141,0.05858085808580858,1.4726629156021513,1.5755801897098807,0.048893865502264156,0.029012841356122664,0.07577728178591125
60,hgb_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.5351563856653199,2.306182490318315,3.1393178011738976,0.056518151815181515,1.4922002594603272,1.5861413081888183,0.06325935816767503,0.039406448970577414,0.09323627670809653
60,extra_trees_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.549840157584858,2.3329885449124337,3.1933082669795443,0.06476897689768978,1.5083257677328419,1.6101348215461904,0.0779431300872131,0.043831053801656486,0.12751288029652635
60,mlp_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.5546513077535244,2.302125376824038,3.103892385504158,0.056105610561056105,1.5108506257915308,1.6000620175600173,0.08275428025587961,0.06650501681232479,0.10431704158165617
60,extra_trees_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.5789559903577024,2.36810593557139,3.2186493643556138,0.06518151815181518,1.540473828807044,1.6413207909511403,0.10705896286005756,0.07481069543856654,0.15821009051923957
60,extra_trees_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,808,2424,1.6148523177149157,2.3334487530198085,3.2512310418435995,0.06476897689768978,1.5634337683065602,1.6738347190106582,0.14295529021727083,0.10656750253235411,0.188060398492244
61,extra_trees_full,ml,s02b_global_template_timewalk,933,2799,1.0968213543590744,2.2666315234267147,2.59549461409078,0.020721686316541622,1.0555537345972408,1.1576183097692538,-1.0915963730495895,-1.1515396332613004,-0.9936911353649763
61,extra_trees_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.0974159476575163,2.274678485448732,2.669983613630973,0.019649874955341193,1.0525993647247858,1.1548108542179598,-1.0910017797511475,-1.1515186768149095,-0.9903419491531682
61,extra_trees_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.1590332706905813,2.32865104617675,2.7439656464433284,0.01822079314040729,1.108534137142791,1.198949251060162,-1.0293844567180825,-1.095628193441383,-0.9440080816995062
