method,heldout_run,timing_rmse_ns,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,energy_fractional_bias,energy_fractional_sigma68,pileup_auc,pileup_average_precision,pileup_miss_rate,false_split_rate,n_events,n_positive
phase_residual_fusion_new,62,8.629168616757134,0.7944824969656583,7.256435987413192,0.09433962264150944,-0.008595326016036103,0.06693851226321296,0.8358410493827161,0.8800180231480799,0.2638888888888889,0.19444444444444445,144,72
phase_residual_fusion_new,64,9.430765667968487,0.8881562092542383,7.1103022245160385,0.10638297872340426,-0.016665202410628105,0.07919942402687258,0.8535879629629629,0.8766214665777294,0.3472222222222222,0.1527777777777778,144,72
phase_residual_fusion_new,65,9.03514097656902,-0.5825121447652926,7.108220646117948,0.10784313725490197,-0.016197484342602816,0.07011073676508306,0.8194444444444445,0.8468333000815118,0.2916666666666667,0.19444444444444445,144,72
ridge,58,10.704446584072844,0.018268708149644652,9.002560951289762,0.14423076923076922,0.004790352125097307,0.05625934042541521,0.7658179012345679,0.7024915964386258,0.2777777777777778,0.2916666666666667,144,72
ridge,60,9.997266784522086,1.5763158757005646,9.49529496785472,0.15384615384615385,0.012575072734685843,0.07761431540171823,0.8036265432098766,0.8166401803618433,0.2777777777777778,0.3055555555555556,144,72
ridge,62,9.021041816964,-0.11446981221976404,8.558957672323013,0.08490566037735849,-0.01893973373838526,0.06782347722681237,0.8065200617283951,0.7620272974913906,0.2638888888888889,0.20833333333333334,144,72
ridge,64,11.326695425062692,-1.2910027824940062,10.265742199469962,0.16304347826086957,-0.019578548133606058,0.06747301093234782,0.8366126543209876,0.8653812148216572,0.3611111111111111,0.1111111111111111,144,72
ridge,65,10.69257010041024,-0.7243585525955032,10.008556624878253,0.14705882352941177,-0.00021079026659077816,0.08610121414907937,0.8074845679012346,0.746043542925931,0.2916666666666667,0.2222222222222222,144,72
tiny_sequence_transformer,58,16.670898642653526,-6.842333064321924,13.098373853832761,0.36585365853658536,-0.015985622708121938,0.07978933645398362,0.6720679012345679,0.6054430062329748,0.4305555555555556,0.3055555555555556,144,72
tiny_sequence_transformer,60,18.17087915876236,-6.3742996720539224,14.136493652414112,0.3,-0.0030260506175477228,0.1221562189486409,0.7945601851851851,0.8074821149277553,0.375,0.16666666666666666,144,72
tiny_sequence_transformer,62,16.939858342089874,-6.520983788576569,15.3691420391554,0.40476190476190477,-0.02389677537358575,0.10245267872875373,0.7731481481481483,0.8008348049645284,0.4166666666666667,0.2361111111111111,144,72
tiny_sequence_transformer,64,18.501541470562273,-6.837518736010626,15.360259970361266,0.3372093023255814,-0.039113473746139174,0.12767024800472873,0.8130787037037037,0.8211803383761969,0.4027777777777778,0.09722222222222222,144,72
tiny_sequence_transformer,65,19.028089056061482,-8.60684720540688,16.381546272283416,0.3953488372093023,-0.0017896651209295643,0.10399249161268806,0.7955246913580247,0.7988687524767263,0.4027777777777778,0.20833333333333334,144,72
wiener_template_cfd_traditional,58,16.904287756169893,1.7613994658454724,10.426609269976835,0.2,0.018744133292106353,0.0911542883702697,0.5269097222222223,0.6168795417055716,0.6527777777777778,0.3194444444444444,144,72
wiener_template_cfd_traditional,60,10.969798657763173,0.6013130040497972,7.862169332710438,0.15151515151515152,0.05547684301032773,0.05791036051527872,0.6558641975308641,0.711043175714716,0.5416666666666666,0.1527777777777778,144,72
wiener_template_cfd_traditional,62,14.697217675124364,0.5943275912642143,9.176934072663288,0.125,0.03391911144661415,0.10478158005069077,0.5924961419753086,0.6590783614803462,0.6111111111111112,0.16666666666666666,144,72
wiener_template_cfd_traditional,64,11.931067189839611,0.33271318442017694,9.704997753928673,0.17567567567567569,0.010569504803448843,0.06112827036547056,0.6639660493827161,0.7278215941714241,0.4861111111111111,0.2638888888888889,144,72
wiener_template_cfd_traditional,65,11.50372100843941,0.3060317035189142,8.548669999967949,0.15384615384615385,-0.00436332604220026,0.07043280072032096,0.6338734567901234,0.6777590035221078,0.6388888888888888,0.125,144,72
