method,run,stave,n,ks,wasserstein,median_frac_error,p90_frac_error
gp_bo_surrogate_response,60,B6,2189,0.48652352672453175,0.23975923905831004,0.13063095735666666,-0.18575133425847595
gp_bo_surrogate_response,60,B8,927,0.44660194174757284,0.23784986793685758,0.09627101308904293,-0.20282180806044778
gp_bo_surrogate_response,61,B2,11015,0.42941443486155245,0.3196858677489746,0.06913324117417766,-0.33414307860273773
gp_bo_surrogate_response,61,B4,4401,0.3176550783912747,0.21678988089762505,-0.022512866381066136,-0.2954658057298317
gp_bo_surrogate_response,61,B6,2490,0.5389558232931727,0.2548194903795582,0.17439497388331945,-0.12327021264679452
gp_bo_surrogate_response,61,B8,1059,0.48914069877242683,0.2389832856220957,0.14082735601677812,-0.17133038351134017
gp_bo_surrogate_response,62,B2,11635,0.4547486033519553,0.3507795084307402,0.08681624813468251,-0.3480968530479366
gp_bo_surrogate_response,62,B4,4183,0.32201769065264163,0.22228426865009385,-0.03620575903735785,-0.2972994792310383
gp_bo_surrogate_response,62,B6,2342,0.6114432109308283,0.2891223577862144,0.24621984163111665,-0.07361473557943835
gp_bo_surrogate_response,62,B8,929,0.5328310010764262,0.25280466660405393,0.17028769858365442,-0.14863811348969735
gp_bo_surrogate_response,63,B2,14566,0.4261293423039956,0.4031304376862511,0.04362167421889419,-0.4495882196348787
gp_bo_surrogate_response,63,B4,2645,0.3587901701323251,0.24413704590444388,-0.0003323225461298602,-0.28959863568769706
gp_bo_surrogate_response,63,B6,1153,0.6843018213356461,0.34876353647075964,0.3338205063651266,-0.002774572334483231
gp_bo_surrogate_response,63,B8,453,0.5739514348785872,0.27886066933796666,0.21107637884659883,-0.09565032423702406
gp_bo_surrogate_response,65,B2,11768,0.5082426920462271,0.42491170307498743,0.14356122325437787,-0.3700853934561798
gp_bo_surrogate_response,65,B4,842,0.3752969121140142,0.22774835708980232,0.00906554512282029,-0.21628672620782086
gp_bo_surrogate_response,65,B6,323,0.6873065015479877,0.3820431665362613,0.3242123088712834,0.06448207495958919
gp_bo_surrogate_response,65,B8,105,0.6857142857142857,0.4149949920093303,0.3712712048946347,0.060789765875446565
ridge,44,B2,1884,0.35721868365180465,0.3071061573570605,0.17452734557102362,-0.26970353711351497
ridge,44,B4,93,0.22580645161290322,0.12194197435839989,0.02707196213104754,-0.13289103330063134
ridge,44,B6,44,0.3181818181818182,0.22002291649594954,0.2596183616665293,-0.12333975301343064
ridge,44,B8,17,0.23529411764705882,0.2468927907276103,-0.06939779552155942,-0.3704101956980194
ridge,45,B2,22786,0.35258492056525936,0.30443341372916555,0.10846605745939213,-0.31333059141012176
ridge,45,B4,969,0.17131062951496387,0.09939241642770807,0.02550161191419252,-0.11413540372123868
ridge,45,B6,401,0.1396508728179551,0.07527403760051533,0.0358433013960843,-0.14173607071841082
ridge,45,B8,177,0.23163841807909605,0.1382526738048045,-0.09659806389562679,-0.1893509494320186
ridge,46,B2,675,0.44296296296296295,0.3556078313958675,0.17603163393900406,-0.29000619230854824
ridge,46,B4,7,0.2857142857142857,0.29230839750006316,0.49380717196277935,-0.055356723725597724
ridge,46,B6,3,0.6666666666666666,0.11577429738063824,0.0942095628745058,-0.04635894411033827
ridge,46,B8,2,1.0,0.17591152853859024,0.17591152853859024,0.20223536736227005
ridge,47,B2,5116,0.4065676309616888,0.3467017166497923,0.11215817253955153,-0.31026924985059134
ridge,47,B4,85,0.32941176470588235,0.19448246374767125,0.2632692733839944,-0.013627603279720426
ridge,47,B6,50,0.38,0.25587379797780024,0.34739091752947787,-0.09068307299515041
ridge,47,B8,25,0.4,0.41016940371909943,0.459925891497394,-0.08238460839429687
ridge,48,B2,13044,0.4232597362772156,0.33775451279163815,0.19433331752156743,-0.25314436230963333
ridge,48,B4,599,0.16193656093489148,0.09741531391522287,0.05209822634429147,-0.10224355508905887
ridge,48,B6,245,0.12244897959183673,0.07738963846288589,0.029566884038040087,-0.13290729203624785
ridge,48,B8,112,0.17857142857142858,0.11999733582097599,-0.0646459600078377,-0.21836492509726096
ridge,49,B2,13779,0.4024239785180347,0.3282313399320992,0.1744282199642454,-0.2581572765368526
ridge,49,B4,640,0.1421875,0.07819021142274202,0.058176837993000226,-0.09348572012097325
ridge,49,B6,281,0.17437722419928825,0.09021295515667141,0.033336156769867835,-0.15946144011750638
ridge,49,B8,115,0.22608695652173913,0.14410059551613674,0.14871700018786907,-0.08302270105517658
ridge,50,B2,34088,0.7660467026519596,0.2643385059473692,-0.2744757762304626,-0.34919887598552335
ridge,50,B4,659,0.18512898330804248,0.15508750834431898,-0.10034536988098464,-0.17285583844400074
ridge,50,B6,330,0.24848484848484848,0.12096014298360931,-0.049193685594535304,-0.18412523983175608
ridge,50,B8,140,0.15,0.1089237656768141,-0.05123894655516894,-0.1355972503452737
ridge,51,B2,14200,0.7046478873239437,0.25949511120834756,-0.24773354464072747,-0.344739584074909
ridge,51,B4,303,0.132013201320132,0.11011224460526811,-0.019643837278190066,-0.12692161614876696
ridge,51,B6,177,0.20903954802259886,0.08381040322077088,0.002738629986402754,-0.16534454297824738
ridge,51,B8,60,0.26666666666666666,0.19302281172496397,-0.16013855659771972,-0.26036923269760814
ridge,52,B2,6893,0.7092702741912085,0.2585112009412564,-0.2549093126173041,-0.3435372673066774
ridge,52,B4,148,0.14864864864864866,0.11792912696925821,-0.02534641881850691,-0.19207829588794925
ridge,52,B6,76,0.19736842105263158,0.09737424284953901,0.05969046938524023,-0.16539331533324292
ridge,52,B8,35,0.22857142857142856,0.09863806978917168,-0.14099941594296267,-0.08665546039997128
ridge,53,B2,31225,0.7230104083266613,0.23054715434663806,-0.2207658635477372,-0.3117416407060651
ridge,53,B4,559,0.18246869409660108,0.13955671469019157,-0.16566783171005775,-0.15547837014264962
ridge,53,B6,296,0.24324324324324326,0.10879232890706568,0.0017288322156572397,-0.19506215325624682
ridge,53,B8,120,0.20833333333333334,0.11173295174573529,-0.02718947182297111,-0.14797563361908067
ridge,54,B2,29493,0.7229851151120605,0.23189570863706704,-0.220651379725442,-0.3121900407362652
ridge,54,B4,536,0.1455223880597015,0.12894140947288538,-0.0928151087571614,-0.15476701929468598
ridge,54,B6,298,0.2516778523489933,0.09545720214804274,-0.03997997635754154,-0.1771378702583752
ridge,54,B8,113,0.22123893805309736,0.15463720437346606,-0.012692484181764144,-0.2414802798557874
ridge,55,B2,16735,0.6979982073498656,0.2525615460065121,-0.23966507402806753,-0.3351088223205883
ridge,55,B4,372,0.1424731182795699,0.11639228709070057,-0.012175500725868432,-0.1443332373960718
ridge,55,B6,199,0.23618090452261306,0.12525925052379455,-0.06031182933158541,-0.17030010700615344
ridge,55,B8,81,0.19753086419753085,0.16775439530428427,-0.14935880990459013,-0.24838271974308665
ridge,56,B2,38730,0.7501678285566744,0.26068364359476565,-0.2683214525439442,-0.34686991045102333
ridge,56,B4,825,0.14666666666666667,0.11828827871799333,-0.10687392275680155,-0.15294741210551305
ridge,56,B6,421,0.2327790973871734,0.09852541224792662,-0.02348261645422966,-0.1900318762373848
ridge,56,B8,172,0.1686046511627907,0.12421191168458973,-0.07209739836872382,-0.17927874456901388
ridge,57,B2,12774,0.4215594175669328,0.33347642620774,0.19627720187657385,-0.24604567202232278
ridge,57,B4,656,0.1524390243902439,0.106120629239815,0.06861486840816994,-0.13832690309011236
ridge,57,B6,273,0.14652014652014653,0.07367903439518216,0.02048041676236605,-0.15540015874197063
ridge,57,B8,130,0.16923076923076924,0.1211476225578283,-0.01531841757488123,-0.18432304985694367
ridge,58,B2,15791,0.485276423279083,0.3289353258420464,0.19102682214739414,-0.24297811471195144
ridge,58,B4,591,0.20304568527918782,0.134213712836118,-0.03430660382306236,-0.22847017664525773
ridge,58,B6,285,0.15087719298245614,0.09818852770508445,0.06206590175575919,-0.14508074940884091
ridge,58,B8,114,0.2807017543859649,0.19687351365276934,-0.17520014740448955,-0.24864854879308818
ridge,59,B2,13565,0.5444894950239587,0.43339856114972003,0.48229061666538875,-0.12263677164347879
ridge,59,B4,4527,0.3688977247625359,0.1965997466472462,0.1478537001085491,-0.0892781924651013
ridge,59,B6,2366,0.3816568047337278,0.17023791497303867,0.10357387663531248,-0.07635311210000835
ridge,59,B8,919,0.18607181719260066,0.1499630772083308,-0.019936780897979046,-0.19492572693604954
ridge,60,B2,9873,0.6148080623923833,0.42639775242400657,0.47648971275753355,-0.04222689531462226
ridge,60,B4,4040,0.24777227722772277,0.15171617452326033,0.11478507364451075,-0.18329462007102332
ridge,60,B6,2189,0.20191868433074464,0.14098718052268822,-0.02369339023505064,-0.20020749989211234
ridge,60,B8,927,0.30528586839266453,0.16847595020598316,-0.10611575207213995,-0.24993527163671894
ridge,61,B2,11015,0.5979119382660009,0.42137155526605213,0.4816011456716799,-0.044205411325853254
ridge,61,B4,4401,0.23290161326971143,0.14317762686873134,0.09732297699487036,-0.13142585923044323
ridge,61,B6,2490,0.2465863453815261,0.13404485011382752,0.00877701686350323,-0.1462543878487391
ridge,61,B8,1059,0.25684608120868746,0.15175384862054891,-0.07512636008392966,-0.2395445659592075
ridge,62,B2,11635,0.5911474000859476,0.44728232630138337,0.5022611049112171,-0.06481476997165866
ridge,62,B4,4183,0.30408797513746116,0.15910191719997724,0.0959917453652403,-0.12580324714146976
ridge,62,B6,2342,0.3142613151152861,0.1392374546600484,0.06531855445077235,-0.11200241608498498
ridge,62,B8,929,0.22927879440258342,0.14674863387631779,-0.05547698700644524,-0.21811612256299184
ridge,63,B2,14566,0.542221611973088,0.4305477517762079,0.44775629864520594,-0.2058808778666234
ridge,63,B4,2645,0.32930056710775046,0.19133978695047546,0.1338410973022148,-0.12065703211545821
ridge,63,B6,1153,0.38508239375542064,0.15880659708640446,0.1359757080571256,-0.050343663335809405
ridge,63,B8,453,0.1986754966887417,0.13761849154345326,-0.01842134721218846,-0.19971841493649922
ridge,65,B2,11768,0.6170972127804215,0.5135922439521553,0.5774437201563151,-0.09275727240681693
ridge,65,B4,842,0.2589073634204275,0.13267533267419865,0.13434533819861816,-0.11224943122656661
