method,birks_kb_cm_mev,material_scale,geometry_scale,light_yield_scale,adc_gain_scale,smear_frac,train_score
traditional_response_grid,0.008,1.0,1.0,1.04,1.0,0.08,2.178437418441961
traditional_response_grid,0.012,0.92,1.0,1.04,1.0,0.08,2.180022385005998
traditional_response_grid,0.0,1.08,1.0,1.04,1.0,0.18,2.182495341355504
traditional_response_grid,0.004,1.0,1.0,1.04,1.0,0.18,2.1834126083558183
traditional_response_grid,0.008,0.92,1.0,1.04,1.0,0.18,2.184925883008306
traditional_response_grid,0.0,0.92,1.0,1.04,1.0,0.32,2.1980570666903603
traditional_response_grid,0.0,1.08,1.0,1.04,1.0,0.08,2.1992533945469703
traditional_response_grid,0.004,1.0,1.0,1.04,1.0,0.08,2.2009455177388237
traditional_response_grid,0.008,0.92,1.0,1.04,1.0,0.08,2.202032467745797
traditional_response_grid,0.0,1.0,1.0,1.04,1.0,0.18,2.2057131039269855
traditional_response_grid,0.004,0.92,1.0,1.04,1.0,0.18,2.207107064337698
traditional_response_grid,0.0,1.0,1.0,1.04,1.0,0.08,2.2233174364403667
traditional_response_grid,0.004,0.92,1.0,1.04,1.0,0.08,2.2243379530476095
traditional_response_grid,0.0,0.92,1.0,1.04,1.0,0.18,2.229862098823196
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.05,0.12,2.2440389469876876
traditional_response_grid,0.0,0.92,1.0,1.04,1.0,0.08,2.2462893884450157
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.1,0.12,2.3734650414542267
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.15,0.12,2.502934808084332
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.2000000000000002,0.12,2.6384342954903333
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.25,0.12,2.779074302916514
traditional_1d_gain_scan,0.0,1.0,1.0,1.0,1.3,0.12,2.9209379491190783
