stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
baseline_excursion,shuffled_residual_mlp,4763,5.883713634668641,8.284073080179802,424465971.2888371,0.9617887885786269,0.01217719924417384,"[5.365708836579957, 6.416646519398269]","[7.664035266359571, 9.174881838658674]","[530.8074270071398, 763900191.9498515]","[0.9558925274328142, 0.9682215160863784]"
novel_early_pretrigger,peak_charge_calibrated,17232,5.459913913753359,8.103371040946387,9.60552720112,0.9973885793871866,0.001160631383472609,"[5.37208376298436, 5.520956656442461]","[7.955201091556847, 8.324576588334411]","[9.117287463423, 10.121928722307246]","[0.9964885779729573, 0.9980982938960853]"
novel_early_pretrigger,integral_calibrated,17232,2.322389922316539,4.532556272994641,5.238653950323967,0.8422701949860725,0.06905756731662024,"[1.0304225577805979, 3.1718358351830975]","[3.854968067730017, 5.058416383802842]","[4.801598658447157, 5.619730304526854]","[0.8195761519700384, 0.8632213337530196]"
novel_early_pretrigger,robust_pretrigger_charge,17232,2.3224075170936693,4.532540163825969,5.238654561953972,0.8422701949860725,0.06905756731662024,"[1.0408589955524266, 3.166798772498514]","[3.9214874184870316, 5.016474280822628]","[4.831866728281912, 5.608837538596185]","[0.821328780605039, 0.862395756310164]"
novel_early_pretrigger,template_fit_calibrated,17232,-0.15948030315318046,2.956595790241337,9.001731279894361,0.8676880222841226,0.050429433611884865,"[-0.2728489860124605, 0.005959086423460536]","[0.8620576253750424, 5.936872311903144]","[8.388619905156492, 9.693277176688564]","[0.8598907537563437, 0.8748501897766285]"
novel_early_pretrigger,p04_frozen_mlp,17232,4.390344314668447,22.954032882208537,1747464363.1129427,0.9189879294336118,0.031395078922934076,"[2.9389934979186387, 7.094879005131659]","[10.101273474788236, 81.59178633353866]","[100268.70103431246, 3044265507.128308]","[0.9060876015877808, 0.9308004941581585]"
novel_early_pretrigger,p04f_residual_mlp,17232,-0.01574799870693127,0.37402268326317073,0.5179974450975172,0.518047818012999,0.20148560817084493,"[-0.03338319754863423, 0.001509530075638098]","[0.3552504638377107, 0.3956058377169596]","[0.4865433153627564, 0.5646629482668936]","[0.49228227894136745, 0.5432154508725727]"
novel_early_pretrigger,shuffled_residual_mlp,17232,1.8550409202375442,4.927811478831478,108.96841207496945,0.8632776230269267,0.052982822655524606,"[0.9999248744911545, 2.918568229824177]","[3.926687558925836, 5.7883132856571935]","[6.688970264603532, 189.70691854586855]","[0.8346620123027136, 0.8872021486178816]"
matched_normal_for_baseline_excursion,peak_charge_calibrated,4762,-0.20254469962609933,0.24694055684238575,0.49858781446879785,0.2977740445191096,0.15770684586308273,"[-0.2074230662656209, -0.19916709012436185]","[0.24485591271302606, 0.2487803591105467]","[0.4476802019166946, 0.5344431635038965]","[0.2837657767806124, 0.3145460474471153]"
matched_normal_for_baseline_excursion,integral_calibrated,4762,-0.07718477853456607,0.15018560647474952,0.4532229086331489,0.10877782444351113,0.49055018899622005,"[-0.08343122794330485, -0.07243728632596383]","[0.14482282769999333, 0.1549805484539701]","[0.40768113247280363, 0.4996419356997033]","[0.09383544479357164, 0.12229127401256959]"
matched_normal_for_baseline_excursion,robust_pretrigger_charge,4762,-0.07718175559666812,0.15018380417795824,0.4532228599485735,0.10877782444351113,0.49055018899622005,"[-0.08446356195976316, -0.07289723572007534]","[0.14552638620347888, 0.15668585458509177]","[0.40410527372449306, 0.49666338927999365]","[0.09487713711763024, 0.12454455432985617]"
matched_normal_for_baseline_excursion,template_fit_calibrated,4762,0.06615961263076915,0.42057708757087064,0.911711762930851,0.4166316673666527,0.19823603527929443,"[0.03939164048409316, 0.09914302985843954]","[0.400926705737399, 0.43991075918796557]","[0.8457028291103051, 0.9641933666009065]","[0.39852487675883264, 0.4331756960902138]"
matched_normal_for_baseline_excursion,p04_frozen_mlp,4762,-0.8055048387932509,0.9743523664139315,4780.752714802057,0.9076018479630408,0.035489290214195716,"[-0.8411418917779254, -0.7501160079633103]","[0.9678798887354368, 0.9790484135024934]","[234.71907478842937, 8365.984182382046]","[0.8934333854470847, 0.918643109363237]"
matched_normal_for_baseline_excursion,p04f_residual_mlp,4762,0.0008996148054519577,0.05795099845712719,0.11189982182784884,0.03128937421251575,0.8462830743385132,"[-0.0018432943184535603, 0.0041950797983969085]","[0.05221146705886259, 0.06453734515739111]","[0.1009539788602814, 0.12153407466389543]","[0.023954871121168685, 0.03792674953226266]"
matched_normal_for_baseline_excursion,shuffled_residual_mlp,4762,-0.07490747476850021,0.1929530875808365,0.5018427178315735,0.21671566568668627,0.40508189836203273,"[-0.09200847085784543, -0.06294616836986228]","[0.16906521890687634, 0.21605026992147355]","[0.4301950283930761, 0.5650153985831398]","[0.16723442899906213, 0.26746868696706605]"
matched_normal_for_novel_early_pretrigger,peak_charge_calibrated,17232,-0.30206428501231386,0.3926754686975403,0.8503356579367396,0.7743732590529248,0.030060352831940574,"[-0.30504021594351477, -0.2987936250174987]","[0.38609472439518844, 0.40102039329053407]","[0.7933845965838392, 0.9040872717078968]","[0.7648477888796568, 0.7851806102720978]"
matched_normal_for_novel_early_pretrigger,integral_calibrated,17232,-0.20634294275724077,0.25345151640936386,0.7418913677425931,0.33623491179201487,0.07114670380687094,"[-0.2098585289123097, -0.20162295887512877]","[0.2507083058873131, 0.2567605087911228]","[0.6605817887591003, 0.8368300984192499]","[0.324054197133839, 0.3500218307898184]"
