blind_id,event_index,run,heldout_run,eventno,ref_stave,ref_amp_adc,adaptive_lowering_adc,p02_topology,p05c_acceptance_stratum,accepted,pred_secondary_fraction,pred_overlap_probability,one_sse_norm,resid_late_max_frac,bad_proxy,method,recoverable_votes,mean_review_score,mean_confidence,consensus_recoverable,split_reviewer_vote
BLD-0026,40701,48,48,88860,B2,7788.0,6627.18,p02_broad_late,rejected,0,0.0,0.0,0.3389835033307607,0.6282742681047766,1,traditional_template_fit,1,1.9653925030908839,0.5754454255352301,0,1
BLD-0027,55220,49,49,122624,B2,6693.0,220.6049999999996,p02_broad_late,accepted,1,0.4961991444941881,1.0,0.0310753464851805,0.1738339719591915,1,traditional_template_fit,2,2.6892875872355155,0.8479155274134291,1,0
BLD-0028,184839,55,55,296547,B2,8967.5,6679.9875,p02_broad_late,rejected,0,0.0,0.0,0.3905145901755161,0.8698633955952049,1,traditional_template_fit,1,2.1197820309651156,0.5402480951222415,0,1
BLD-0029,94520,51,51,177165,B2,7616.0,6795.76,p02_broad_late,rejected,0,0.0,0.0,0.3435242711131634,0.5993960084033614,1,traditional_template_fit,1,1.9282522931999146,0.5849692685452695,0,1
BLD-0030,110122,52,52,199789,B2,7231.0,6642.535,p02_broad_late,rejected,0,0.0,0.0,0.3553598364919498,0.7221684414327202,1,traditional_template_fit,1,1.9220299963905052,0.575862651539756,0,1
BLD-0031,156958,54,54,259436,B2,7125.5,1289.6175000000003,p02_broad_late,accepted,1,0.1166336253453199,0.464661416180379,0.0374422918169468,0.3092570983973274,1,traditional_template_fit,2,2.6253849463967835,0.9261588325742256,1,0
BLD-0032,81617,50,50,160192,B2,7158.0,6640.63,p02_broad_late,rejected,0,0.0,0.0,0.3836438344265154,0.6552109527801062,1,traditional_template_fit,1,1.8734147820820521,0.5931770877708926,0,1
BLD-0033,191090,55,55,305576,B2,7168.5,6642.9725,p02_broad_late,rejected,0,0.0,0.0,0.3778753581332004,0.6459510357815442,1,traditional_template_fit,1,1.8737795144350937,0.5931977036826057,0,1
BLD-0034,96953,51,51,180763,B2,8138.0,210.9300000000003,p02_broad_late,accepted,1,0.5965417102970053,1.0,0.031754942484266,0.2891314299815934,1,traditional_template_fit,2,3.136560586176072,1.0,1,0
BLD-0035,1121,44,44,2526,B2,7247.5,1892.7875000000004,p02_broad_late,accepted,1,0.6116714977040212,0.2322743571269683,0.2006354061851813,0.1810701185590356,1,traditional_template_fit,2,2.853008874137676,0.9301072077235961,1,0
BLD-0036,239675,57,57,380889,B2,7090.0,6640.65,p02_broad_late,rejected,0,0.0,0.0,0.4182569031519658,0.7458392101551481,1,traditional_template_fit,1,1.8783150338576275,0.5897327272970271,0,1
BLD-0037,76254,50,50,153167,B2,6440.5,1508.8925,p02_broad_late,accepted,1,0.5536466608612461,0.4449668060957977,0.2309686200474354,0.2044663349617316,0,traditional_template_fit,2,2.9200037196731152,1.0,1,0
BLD-0038,192128,56,56,307004,B2,5668.0,1668.9799999999996,p02_broad_late,accepted,1,0.1050377886845581,0.2260856995964676,0.0511530848062508,0.2522349346047843,0,traditional_template_fit,2,2.031625137094744,0.6210834247298295,1,0
BLD-0039,170506,54,54,276494,B2,6682.0,345.77000000000044,p02_broad_late,accepted,1,0.5315345807465366,1.0,0.0375067367000953,0.3191553480954068,1,traditional_template_fit,2,3.042389395818163,1.0,1,0
BLD-0040,150466,54,54,251243,B2,5960.5,281.09250000000065,p02_broad_late,accepted,1,0.1847658273488527,0.4080893370757487,0.0579252529255347,0.1547267887814666,0,traditional_template_fit,2,1.8639097998597058,0.5092731999064706,1,0
BLD-0041,183465,55,55,294545,B2,8818.5,6627.2225,p02_broad_late,accepted,1,0.4721393115137148,0.4001138908286674,0.0929570756513377,0.8125196228418929,0,traditional_template_fit,2,3.8046040971701744,1.0,1,0
BLD-0042,106663,52,52,194691,B2,7454.0,6618.19,p02_broad_late,rejected,0,0.0,0.0,0.3580135838919053,0.713710759323853,1,traditional_template_fit,1,1.9484926082156553,0.5729932303442549,0,1
BLD-0043,236218,57,57,372242,B2,7692.5,6641.1125,p02_broad_late,rejected,0,0.0,0.0,0.3423805428949785,0.680727981800455,1,traditional_template_fit,1,1.9745003605668408,0.5695213320705761,0,1
BLD-0044,34688,48,48,74984,B2,7053.0,6667.205,p02_broad_late,rejected,0,0.0,0.0,0.3822302142118989,0.6611371047781086,1,traditional_template_fit,1,1.8609822067468935,0.5941920918721328,0,1
BLD-0045,38567,48,48,84439,B2,8976.5,6626.8525,p02_broad_late,accepted,1,0.5485464991820825,0.7505072079500937,0.2061626389793183,0.5463434502925921,0,traditional_template_fit,2,3.8800325743912647,1.0,1,0
BLD-0046,49003,49,49,107578,B2,7234.0,1444.4899999999998,p02_broad_late,accepted,1,0.1231951455002332,0.3998752831360966,0.0465769947007236,0.269609958795407,1,traditional_template_fit,2,2.566348208908672,0.8819835803159704,1,0
BLD-0047,36929,48,48,80683,B2,4658.0,285.1300000000001,p02_broad_late,accepted,1,0.515574387925059,1.0,0.034534110099757,0.1417590719988565,1,traditional_template_fit,2,2.237846677536687,0.6183358282709748,1,0
BLD-0048,99686,51,51,184589,B2,6797.5,327.5375000000004,p02_broad_late,accepted,1,0.1968214041115092,0.872196155671029,0.0379992595966208,0.2905147522894447,1,traditional_template_fit,2,2.5567715688969104,0.8622740973218928,1,0
BLD-0049,188451,55,55,301748,B2,5240.0,231.39999999999964,p02_broad_late,accepted,1,0.3821072594964703,1.0,0.0370229897010781,0.1377090931682429,1,traditional_template_fit,2,2.2298842701834305,0.6336862662099018,1,0
BLD-0050,241890,57,57,386199,B2,7175.5,6665.8675,p02_broad_late,rejected,0,0.0,0.0,0.380949835350128,0.6503379555431678,1,traditional_template_fit,1,1.875197810360727,0.5930026607634713,0,1
BLD-0051,135347,53,53,232212,B2,7343.5,499.3474999999999,p02_broad_late,accepted,1,0.4649180691833562,1.0,0.037259501085929,0.2831407085584116,1,traditional_template_fit,2,3.138368619706096,1.0,1,0
BLD-0052,71089,50,50,146536,B2,7071.0,6658.935,p02_broad_late,rejected,0,0.0,0.0,0.3727191698647891,0.7140432753500212,1,traditional_template_fit,1,1.887645363758561,0.5841393294640747,0,1
BLD-0053,31220,48,48,66117,B2,4959.0,428.6149999999998,p02_broad_late,rejected,0,0.0,0.0,0.3584432678676988,0.6932849364791288,1,traditional_template_fit,1,1.0568851444982887,0.2494492113077772,0,1
BLD-0054,112808,52,52,203590,B2,6866.0,1056.0100000000002,p02_broad_late,accepted,1,0.1496720018319558,0.7636978424212152,0.0342282477653708,0.3229903738310589,1,traditional_template_fit,2,2.7960705797514436,1.0,1,0
BLD-0055,120212,53,53,213100,B2,7340.0,6730.9,p02_broad_late,rejected,0,0.0,0.0,0.3558536692759699,0.6262942779291553,1,traditional_template_fit,1,1.8997225950822383,0.5881476792972875,0,1
BLD-0056,230401,57,57,358115,B2,7451.0,6635.235,p02_broad_late,rejected,0,0.0,0.0,0.3511243999176242,0.6976244799355791,1,traditional_template_fit,1,1.9460009707823773,0.5736903439690947,0,1
BLD-0057,39301,48,48,85759,B2,7180.0,7610.3,p02_broad_late,rejected,0,0.0,0.0,0.3605039338614691,0.5264623955431755,1,traditional_template_fit,1,1.8169568517333257,0.6134193685777197,0,1
BLD-0058,241712,57,57,385823,B2,7229.5,6703.0575,p02_broad_late,rejected,0,0.0,0.0,0.3629398193102989,0.649215021785739,1,traditional_template_fit,1,1.8911794990668573,0.5880938952103126,0,1
BLD-0059,242454,57,57,387498,B2,7460.5,6729.5925,p02_broad_late,rejected,0,0.0,0.0,0.3491353817818007,0.6311239193083573,1,traditional_template_fit,1,1.9213736757469253,0.5833979081138825,0,1
BLD-0060,106405,51,51,194314,B2,7882.5,6782.2625,p02_broad_late,rejected,0,0.0,0.0,0.3317638021822549,0.5992388201712655,1,traditional_template_fit,1,1.9652572017314331,0.5775111257709468,0,1
BLD-0061,5086,45,45,10944,B2,6221.5,1157.1774999999998,p02_broad_late,accepted,1,0.2754563962616171,1.0,0.0411316610922661,0.3393279474743964,1,traditional_template_fit,2,3.070749297572749,1.0,1,0
BLD-0062,9403,45,45,20434,B2,6779.5,6681.8075,p02_broad_late,rejected,0,0.0,0.0,0.4049575090860727,0.676672320967623,1,traditional_template_fit,1,1.8130846331180357,0.6029257178061603,0,1
BLD-0063,116060,53,53,207819,B2,6211.5,1137.3275000000003,p02_broad_late,accepted,1,0.2347030443312667,1.0,0.040802091803411,0.3342602158479316,1,traditional_template_fit,2,2.9754602848896594,1.0,1,0
BLD-0064,19694,45,45,41673,B2,6650.5,782.7425000000003,p02_broad_late,accepted,1,0.6126767500921232,0.4596778794771239,0.2128916888360244,0.1269154483102167,0,traditional_template_fit,2,2.6477462842309842,0.9982191506346656,1,0
BLD-0065,46845,49,49,102650,B2,7394.5,737.5825000000004,p02_broad_late,accepted,1,0.598700643832065,0.8639226199415166,0.1752883385684212,0.1640080433659462,0,traditional_template_fit,2,3.0060796819575226,1.0,1,0
BLD-0066,36466,48,48,79364,B2,8004.0,6651.94,p02_broad_late,rejected,0,0.0,0.0,0.3362910007945108,0.6855322338830585,1,traditional_template_fit,1,2.0145249497061473,0.5619244198107863,0,1
BLD-0067,103671,51,51,190313,B2,7250.0,6633.25,p02_broad_late,rejected,0,0.0,0.0,0.3722045216012683,0.6464827586206896,1,traditional_template_fit,1,1.8884158639449984,0.5901515411609766,0,1
BLD-0068,188169,55,55,301349,B2,7944.0,802.8400000000001,p02_broad_late,accepted,1,0.2029449216578762,1.0,0.0340045575730947,0.3135180698239582,1,traditional_template_fit,2,3.0278054946423256,1.0,1,0
BLD-0069,102557,51,51,188736,B2,7206.5,1978.4025,p02_broad_late,accepted,1,0.5426342695529662,0.2846513325230121,0.2121954531586506,0.1799922008955395,1,traditional_template_fit,2,2.8822032397429647,0.9600930514326036,1,0
BLD-0070,143675,53,53,242627,B2,7152.5,485.2124999999997,p02_broad_late,accepted,1,0.6370100402423622,0.4521173460071189,0.2176314988911721,0.4394870305182138,0,traditional_template_fit,2,3.097771244373596,1.0,1,0
BLD-0071,99517,51,51,184348,B2,6065.0,1863.025,p02_broad_late,accepted,1,0.6270719550935591,0.4600017847189724,0.2536834793738418,0.1755127118509652,0,traditional_template_fit,2,2.8421396372513485,1.0,1,0
BLD-0072,45341,49,49,99521,B2,7508.0,6663.38,p02_broad_late,rejected,0,0.0,0.0,0.362989997472575,0.6225359616409164,1,traditional_template_fit,1,1.9167707551024333,0.5870377001103899,0,1
