method,sample,phase,n_rows,noise_sigma_adc,mae_adc,median_bias_adc
mlp,17,tail,1120,198.81988146972654,251.49436950683594,34.103668212890625
one_dimensional_cnn,0,pretrigger,1120,326.9395875549316,610.3866577148438,-525.7816162109375
one_dimensional_cnn,1,pretrigger,1120,270.99418466033933,477.5167541503906,-410.61444091796875
one_dimensional_cnn,2,pretrigger,1120,454.27756690979004,804.8636474609375,-701.4984130859375
one_dimensional_cnn,3,pretrigger,1120,471.38314132690425,805.0972290039062,-600.0447998046875
one_dimensional_cnn,4,rising_edge,1120,535.1126579864501,757.3690795898438,-426.70648193359375
one_dimensional_cnn,5,rising_edge,1120,897.181219152832,843.36376953125,-418.7904968261719
one_dimensional_cnn,6,rising_edge,1120,924.4265278930663,777.05908203125,360.58929443359375
one_dimensional_cnn,7,rising_edge,1120,485.42236973876953,846.5772705078125,710.8047485351562
one_dimensional_cnn,8,peak,1120,403.4861875488281,862.2471923828125,851.29931640625
one_dimensional_cnn,9,peak,1120,356.73614648437496,727.5259399414062,741.9395751953125
one_dimensional_cnn,10,peak,1120,441.85805456542965,621.6459350585938,602.8372802734375
one_dimensional_cnn,11,tail,1120,514.3463718749999,504.1026306152344,357.6709289550781
one_dimensional_cnn,12,tail,1120,490.11974315185546,422.26812744140625,143.9105224609375
one_dimensional_cnn,13,tail,1120,528.254705456543,439.5371398925781,130.92742919921875
one_dimensional_cnn,14,tail,1120,520.4124174682617,421.1580505371094,-6.39215087890625
one_dimensional_cnn,15,tail,1120,410.8318172058105,442.6519775390625,-87.3323974609375
one_dimensional_cnn,16,tail,1120,316.5544876373291,521.7086791992188,-329.6676025390625
one_dimensional_cnn,17,tail,1120,235.30379529418943,540.2827758789062,-320.4085693359375
ridge,0,pretrigger,1120,60.31436568031311,59.498390197753906,23.55104637145996
ridge,1,pretrigger,1120,62.67154296169281,63.28667068481445,14.331319808959961
ridge,2,pretrigger,1120,57.65886169509887,57.74515914916992,-22.290302276611328
ridge,3,pretrigger,1120,73.22989160957336,65.8267822265625,3.3821702003479004
ridge,4,rising_edge,1120,61.08843746109009,56.1879997253418,24.760623931884766
ridge,5,rising_edge,1120,79.09164308509827,71.24515533447266,-1.085784912109375
ridge,6,rising_edge,1120,58.95977329101562,62.10719299316406,-4.11529541015625
ridge,7,rising_edge,1120,49.55965145730972,52.0815315246582,-11.113367080688477
ridge,8,peak,1120,65.37375571289063,74.0067138671875,43.2493896484375
ridge,9,peak,1120,49.70890671386719,53.018558502197266,25.7109375
ridge,10,peak,1120,48.639939807128904,50.10731887817383,-0.2564697265625
ridge,11,tail,1120,55.74400447998047,47.54304885864258,-0.03375244140625
ridge,12,tail,1120,55.751515209960935,49.75807571411133,13.815673828125
ridge,13,tail,1120,60.355864160156244,57.198883056640625,15.90643310546875
ridge,14,tail,1120,51.86145477905273,52.47381591796875,3.7660064697265625
ridge,15,tail,1120,47.763062081909176,45.33699035644531,8.167587280273438
ridge,16,tail,1120,48.792179136657715,49.51490783691406,4.266624450683594
ridge,17,tail,1120,73.61151078186035,76.28073120117188,-4.675294876098633
traditional_template_smoother,0,pretrigger,1120,10.643304943799972,89.2171630859375,-0.15402889251708984
traditional_template_smoother,1,pretrigger,1120,6.639985476064681,50.04970169067383,-0.5219703316688538
traditional_template_smoother,2,pretrigger,1120,7.28706687144041,58.166446685791016,-0.4253520369529724
traditional_template_smoother,3,pretrigger,1120,17.372165034770966,143.8745880126953,-2.543717384338379
traditional_template_smoother,4,rising_edge,1120,142.27907224273682,238.2525634765625,-43.68512725830078
traditional_template_smoother,5,rising_edge,1120,307.6515805114746,360.02691650390625,-129.96701049804688
traditional_template_smoother,6,rising_edge,1120,285.33299392089845,355.5997619628906,25.26531982421875
traditional_template_smoother,7,rising_edge,1120,238.46017391281126,314.45361328125,155.80615234375
traditional_template_smoother,8,peak,1120,153.10908110961913,191.79287719726562,78.9107666015625
traditional_template_smoother,9,peak,1120,117.10874970703124,144.64259338378906,4.2608642578125
traditional_template_smoother,10,peak,1120,67.72825644836425,101.62630462646484,14.06292724609375
traditional_template_smoother,11,tail,1120,68.96913310546874,92.37040710449219,12.71539306640625
traditional_template_smoother,12,tail,1120,83.73667609863281,93.36885833740234,9.47796630859375
traditional_template_smoother,13,tail,1120,59.05415511474609,82.7847671508789,-8.58587646484375
traditional_template_smoother,14,tail,1120,53.19361395263672,87.43827056884766,-13.836669921875
traditional_template_smoother,15,tail,1120,57.080099999999995,93.98482513427734,-33.0
traditional_template_smoother,16,tail,1120,56.33884524536133,97.3986587524414,-33.5
traditional_template_smoother,17,tail,1120,100.84035021057129,215.99978637695312,-133.544921875
