dimension,stratum,method,method_label,calibration_loss,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,traditional_calibration_loss,traditional_sigma68_ns,traditional_full_rms_ns,traditional_tail_frac_abs_gt5ns,traditional_pull_width68,traditional_coverage68,traditional_coverage95,ml_minus_traditional_calibration_loss,ml_minus_traditional_sigma68_ns,ml_minus_traditional_full_rms_ns,ml_minus_traditional_tail_frac_abs_gt5ns,ml_minus_traditional_pull_width68,ml_minus_traditional_coverage68,ml_minus_traditional_coverage95
amplitude_bin,"amp_adc[4000,7000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.07077742144012417,1.5495574340691631,1.4483145233601746,0.0,1.0953151901562523,0.5736434108527132,0.9612403100775194,0.3109325885659339,1.6858490842020117,1.6994736404010657,0.007751937984496124,1.131905418383817,0.2868217054263566,0.6046511627906976,-0.24015516712580975,-0.1362916501328486,-0.2511591170408911,-0.007751937984496124,-0.03659022822756475,0.2868217054263566,0.3565891472868218
amplitude_bin,"amp_adc[4000,7000)",ridge,Ridge residual scale model,0.14024299151904845,1.7683790610391936,1.814218121972027,0.015503875968992248,0.9601552953851201,0.43410852713178294,0.8527131782945736,0.3109325885659339,1.6858490842020117,1.6994736404010657,0.007751937984496124,1.131905418383817,0.2868217054263566,0.6046511627906976,-0.17068959704688547,0.08252997683718188,0.11474448157096129,0.007751937984496124,-0.17175012299869696,0.14728682170542634,0.24806201550387597
amplitude_bin,"amp_adc[4000,7000)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.19848003236553602,1.4618642564492776,1.4205701948991876,0.0,1.3565137982333884,0.5038759689922481,0.8372093023255814,0.3109325885659339,1.6858490842020117,1.6994736404010657,0.007751937984496124,1.131905418383817,0.2868217054263566,0.6046511627906976,-0.1124525562003979,-0.2239848277527341,-0.2789034455018782,-0.007751937984496124,0.22460837984957127,0.21705426356589147,0.2325581395348838
amplitude_bin,"amp_adc[4000,7000)",mlp,MLP residual scale model,0.2093322899280003,1.481353741258726,1.4287731421090144,0.0,1.4243408656581447,0.4806201550387597,0.8914728682170543,0.3109325885659339,1.6858490842020117,1.6994736404010657,0.007751937984496124,1.131905418383817,0.2868217054263566,0.6046511627906976,-0.10160029863793363,-0.20449534294328564,-0.27070049829205134,-0.007751937984496124,0.2924354472743276,0.1937984496124031,0.28682170542635665
amplitude_bin,"amp_adc[4000,7000)",cnn1d,1D-CNN residual scale model,0.20948173520677313,1.4818576999126705,1.4324687607822266,0.0,1.3997454157998872,0.4728682170542636,0.875968992248062,0.3109325885659339,1.6858490842020117,1.6994736404010657,0.007751937984496124,1.131905418383817,0.2868217054263566,0.6046511627906976,-0.10145085335916079,-0.20399138428934127,-0.2670048796188391,-0.007751937984496124,0.2678399974160701,0.18604651162790697,0.2713178294573644
charge_bin,"charge[14000,24000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.12354673745731418,1.5447945264668799,1.5260253432800068,0.0026219192448872575,0.6513143119754389,0.6245411641321448,0.9727320398531725,0.21470435186619435,1.8416309400488762,1.8888655993316332,0.0068169900367068695,1.2794737827883806,0.46670162558993183,0.7797587834294704,-0.09115761440888018,-0.2968364135819963,-0.3628402560516264,-0.004195070791819612,-0.6281594708129418,0.15783953854221294,0.1929732564237021
charge_bin,"charge[14000,24000)",ridge,Ridge residual scale model,0.12403916730614645,1.7852814846018972,1.7815810494067872,0.004195070791819612,0.9943563314350307,0.4625065547981122,0.8474042999475616,0.21470435186619435,1.8416309400488762,1.8888655993316332,0.0068169900367068695,1.2794737827883806,0.46670162558993183,0.7797587834294704,-0.0906651845600479,-0.056349455446979,-0.10728454992484604,-0.0026219192448872575,-0.28511745135335,-0.004195070791819633,0.06764551651809125
charge_bin,"charge[14000,24000)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.12921323469457746,1.5969821054379132,1.5927820785878701,0.0026219192448872575,0.9571419706385168,0.4635553224960671,0.8563188253801783,0.21470435186619435,1.8416309400488762,1.8888655993316332,0.0068169900367068695,1.2794737827883806,0.46670162558993183,0.7797587834294704,-0.08549111717161689,-0.24464883461096298,-0.2960835207437631,-0.004195070791819612,-0.32233181214986384,-0.0031463030938647107,0.07656004195070798
charge_bin,"charge[14000,24000)",mlp,MLP residual scale model,0.13184643924264905,1.6154046066954117,1.6122185983174364,0.0026219192448872575,0.8839452824934251,0.4792868379653907,0.8841111693759832,0.21470435186619435,1.8416309400488762,1.8888655993316332,0.0068169900367068695,1.2794737827883806,0.46670162558993183,0.7797587834294704,-0.0828579126235453,-0.22622633335346443,-0.2766470010141968,-0.004195070791819612,-0.39552850029495557,0.012585212375458843,0.10435238594651286
charge_bin,"charge[14000,24000)",cnn1d,1D-CNN residual scale model,0.15393656994465343,1.629787440375106,1.6035625460484515,0.0026219192448872575,0.7848873291662675,0.43733613004719457,0.945464079706345,0.21470435186619435,1.8416309400488762,1.8888655993316332,0.0068169900367068695,1.2794737827883806,0.46670162558993183,0.7797587834294704,-0.06076778192154092,-0.21184349967377014,-0.28530305328318173,-0.004195070791819612,-0.4945864536221132,-0.029365495542737263,0.1657052962768747
