stratum,method,alpha,fold,sigma68_ns,n_pair_residuals,n_bins
all3_b2_not_selected,waveform_ridge,10.0,1,4.3389481987957605,54,
all3_b2_not_selected,waveform_ridge,10.0,2,5.194353192636817,54,
all3_b2_not_selected,waveform_ridge,10.0,-1,4.428414091223339,0,
all3_b2_not_selected,waveform_ridge,100.0,0,1.2814039093883465,54,
all3_b2_not_selected,waveform_ridge,100.0,1,2.7328639311138936,54,
all3_b2_not_selected,waveform_ridge,100.0,2,4.672181591981687,54,
all3_b2_not_selected,waveform_ridge,100.0,-1,2.895483144161309,0,
exactly2_downstream,analytic_amp_only,0.0,0,0.8207500073908045,995,
exactly2_downstream,analytic_amp_only,0.0,1,1.0512395932760972,997,
exactly2_downstream,analytic_amp_only,0.0,2,1.0563416350818882,994,
exactly2_downstream,analytic_amp_only,0.0,-1,0.9761104119162632,0,
exactly2_downstream,analytic_amp_only,0.01,0,0.8165606212192476,995,
exactly2_downstream,analytic_amp_only,0.01,1,1.0541929261648877,997,
exactly2_downstream,analytic_amp_only,0.01,2,1.056435696619834,994,
exactly2_downstream,analytic_amp_only,0.01,-1,0.9757297480013231,0,
exactly2_downstream,analytic_amp_only,0.1,0,0.8029827215705121,995,
exactly2_downstream,analytic_amp_only,0.1,1,1.009022147415076,997,
exactly2_downstream,analytic_amp_only,0.1,2,1.0553418554929042,994,
exactly2_downstream,analytic_amp_only,0.1,-1,0.9557822414928308,0,
exactly2_downstream,analytic_amp_only,1.0,0,0.7882321883020298,995,
exactly2_downstream,analytic_amp_only,1.0,1,0.9282346480480601,997,
exactly2_downstream,analytic_amp_only,1.0,2,1.0573195580229704,994,
exactly2_downstream,analytic_amp_only,1.0,-1,0.9245954647910201,0,
exactly2_downstream,analytic_amp_only,10.0,0,0.7857340628888427,995,
exactly2_downstream,analytic_amp_only,10.0,1,0.9069978925501101,997,
exactly2_downstream,analytic_amp_only,10.0,2,1.0573148234025889,994,
exactly2_downstream,analytic_amp_only,10.0,-1,0.9166822596138472,0,
exactly2_downstream,analytic_amp_only,100.0,0,0.7952584880272311,995,
exactly2_downstream,analytic_amp_only,100.0,1,0.907379274735471,997,
exactly2_downstream,analytic_amp_only,100.0,2,1.0546463090442393,994,
exactly2_downstream,analytic_amp_only,100.0,-1,0.9190946906023137,0,
exactly2_downstream,monotonic_binned_timewalk,,0,0.75,995,4.0
exactly2_downstream,monotonic_binned_timewalk,,1,0.7500000000000071,997,4.0
exactly2_downstream,monotonic_binned_timewalk,,2,1.0,994,4.0
exactly2_downstream,monotonic_binned_timewalk,,-1,0.8333333333333357,0,4.0
exactly2_downstream,monotonic_binned_timewalk,,0,0.75,995,6.0
exactly2_downstream,monotonic_binned_timewalk,,1,1.0,997,6.0
exactly2_downstream,monotonic_binned_timewalk,,2,1.0,994,6.0
exactly2_downstream,monotonic_binned_timewalk,,-1,0.9166666666666666,0,6.0
exactly2_downstream,monotonic_binned_timewalk,,0,0.75,995,8.0
exactly2_downstream,monotonic_binned_timewalk,,1,0.7500000000000071,997,8.0
exactly2_downstream,monotonic_binned_timewalk,,2,1.0,994,8.0
exactly2_downstream,monotonic_binned_timewalk,,-1,0.8333333333333357,0,8.0
exactly2_downstream,monotonic_binned_timewalk,,0,0.75,995,10.0
exactly2_downstream,monotonic_binned_timewalk,,1,0.7500000000000071,997,10.0
exactly2_downstream,monotonic_binned_timewalk,,2,1.0,994,10.0
exactly2_downstream,monotonic_binned_timewalk,,-1,0.8333333333333357,0,10.0
exactly2_downstream,monotonic_binned_timewalk,,0,0.75,995,12.0
exactly2_downstream,monotonic_binned_timewalk,,1,0.7500000000000071,997,12.0
exactly2_downstream,monotonic_binned_timewalk,,2,1.0,994,12.0
exactly2_downstream,monotonic_binned_timewalk,,-1,0.8333333333333357,0,12.0
exactly2_downstream,waveform_ridge,0.01,0,0.9785608045603269,995,
exactly2_downstream,waveform_ridge,0.01,1,1.2479013004109374,997,
exactly2_downstream,waveform_ridge,0.01,2,1.177296145228762,994,
exactly2_downstream,waveform_ridge,0.01,-1,1.1345860834000088,0,
exactly2_downstream,waveform_ridge,0.1,0,0.9780695226313543,995,
exactly2_downstream,waveform_ridge,0.1,1,1.2414326083028655,997,
exactly2_downstream,waveform_ridge,0.1,2,1.1754207372135759,994,
exactly2_downstream,waveform_ridge,0.1,-1,1.1316409560492653,0,
exactly2_downstream,waveform_ridge,1.0,0,0.9761262150388388,995,
exactly2_downstream,waveform_ridge,1.0,1,1.2273276309248915,997,
exactly2_downstream,waveform_ridge,1.0,2,1.1646813833516707,994,
exactly2_downstream,waveform_ridge,1.0,-1,1.1227117431051337,0,
exactly2_downstream,waveform_ridge,10.0,0,0.9098706214472416,995,
exactly2_downstream,waveform_ridge,10.0,1,1.070513275524186,997,
exactly2_downstream,waveform_ridge,10.0,2,1.1381132070137847,994,
exactly2_downstream,waveform_ridge,10.0,-1,1.0394990346617374,0,
exactly2_downstream,waveform_ridge,100.0,0,0.8058290535550938,995,
exactly2_downstream,waveform_ridge,100.0,1,0.9166337271132465,997,
exactly2_downstream,waveform_ridge,100.0,2,1.0570568895261763,994,
exactly2_downstream,waveform_ridge,100.0,-1,0.9265065567315055,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.0,0,2.9404757145402307,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.0,1,2.929864510396476,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.0,2,2.7642281052443414,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.0,-1,2.878189443393682,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.01,0,2.9404828368958795,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.01,1,2.931397276647253,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.01,2,2.765201449998245,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.01,-1,2.8790271878471265,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.1,0,2.940513225473904,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.1,1,2.9380058363872834,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.1,2,2.76701120610866,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,0.1,-1,2.8818434226566154,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,1.0,0,2.940448608215957,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,1.0,1,2.9635312054682643,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,1.0,2,2.7722560480022937,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,1.0,-1,2.892078620562172,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,10.0,0,2.9376576121415647,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,10.0,1,2.9587378745175696,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,10.0,2,2.7647063411950987,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,10.0,-1,2.887033942618078,0,
ge2_excluding_b2_terminal_like,analytic_amp_only,100.0,0,2.903470743996514,2224,
ge2_excluding_b2_terminal_like,analytic_amp_only,100.0,1,2.923149318751145,2279,
ge2_excluding_b2_terminal_like,analytic_amp_only,100.0,2,2.7373149942966775,2263,
ge2_excluding_b2_terminal_like,analytic_amp_only,100.0,-1,2.8546450190147787,0,
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,0,3.1279316208643912,2224,4.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,1,3.127931620864395,2279,4.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,2,3.127931620864395,2263,4.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,-1,3.1279316208643935,0,4.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,0,3.1279316208643912,2224,6.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,1,2.9696630374058195,2279,6.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,2,3.127931620864395,2263,6.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,-1,3.075175426378202,0,6.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,0,2.979144271700175,2224,8.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,1,2.908262791048923,2279,8.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,2,2.9793256955698126,2263,8.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,-1,2.9555775861063034,0,8.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,0,3.025667402986336,2224,10.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,1,2.9801828864307076,2279,10.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,2,3.081710347149052,2263,10.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,-1,3.029186878855365,0,10.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,0,3.024176964832826,2224,12.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,1,2.9121276796549687,2279,12.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,2,3.0068081532285014,2263,12.0
ge2_excluding_b2_terminal_like,monotonic_binned_timewalk,,-1,2.9810375992387654,0,12.0
ge2_excluding_b2_terminal_like,waveform_ridge,0.01,0,2.828360252177232,2224,
ge2_excluding_b2_terminal_like,waveform_ridge,0.01,1,2.9035447097858227,2279,
ge2_excluding_b2_terminal_like,waveform_ridge,0.01,2,2.6628764753014416,2263,
ge2_excluding_b2_terminal_like,waveform_ridge,0.01,-1,2.7982604790881656,0,
ge2_excluding_b2_terminal_like,waveform_ridge,0.1,0,2.827629113967188,2224,
ge2_excluding_b2_terminal_like,waveform_ridge,0.1,1,2.903922783209392,2279,
ge2_excluding_b2_terminal_like,waveform_ridge,0.1,2,2.663394514248548,2263,
ge2_excluding_b2_terminal_like,waveform_ridge,0.1,-1,2.7983154704750426,0,
ge2_excluding_b2_terminal_like,waveform_ridge,1.0,0,2.8270856334976755,2224,
ge2_excluding_b2_terminal_like,waveform_ridge,1.0,1,2.906004102178633,2279,
ge2_excluding_b2_terminal_like,waveform_ridge,1.0,2,2.664249718035583,2263,
ge2_excluding_b2_terminal_like,waveform_ridge,1.0,-1,2.799113151237297,0,
ge2_excluding_b2_terminal_like,waveform_ridge,10.0,0,2.8357371811046184,2224,
ge2_excluding_b2_terminal_like,waveform_ridge,10.0,1,2.904172593419129,2279,
ge2_excluding_b2_terminal_like,waveform_ridge,10.0,2,2.6736520255480603,2263,
ge2_excluding_b2_terminal_like,waveform_ridge,10.0,-1,2.804520600023936,0,
ge2_excluding_b2_terminal_like,waveform_ridge,100.0,0,2.8019835536018283,2224,
ge2_excluding_b2_terminal_like,waveform_ridge,100.0,1,2.8716043339126234,2279,
ge2_excluding_b2_terminal_like,waveform_ridge,100.0,2,2.6692289615765343,2263,
ge2_excluding_b2_terminal_like,waveform_ridge,100.0,-1,2.7809389496969956,0,
b2_penetrating_ge2,analytic_amp_only,0.0,0,3.2821426355249104,2056,
b2_penetrating_ge2,analytic_amp_only,0.0,1,3.3915669759489186,2138,
b2_penetrating_ge2,analytic_amp_only,0.0,2,3.292807500459,2105,
b2_penetrating_ge2,analytic_amp_only,0.0,-1,3.3221723706442763,0,
b2_penetrating_ge2,analytic_amp_only,0.01,0,3.2830600619959305,2056,
b2_penetrating_ge2,analytic_amp_only,0.01,1,3.390516577569895,2138,
b2_penetrating_ge2,analytic_amp_only,0.01,2,3.294832138812476,2105,
b2_penetrating_ge2,analytic_amp_only,0.01,-1,3.3228029261261,0,
b2_penetrating_ge2,analytic_amp_only,0.1,0,3.286021215416413,2056,
b2_penetrating_ge2,analytic_amp_only,0.1,1,3.3933234204166114,2138,
b2_penetrating_ge2,analytic_amp_only,0.1,2,3.3024397104535583,2105,
b2_penetrating_ge2,analytic_amp_only,0.1,-1,3.327261448762194,0,
b2_penetrating_ge2,analytic_amp_only,1.0,0,3.298582958320955,2056,
b2_penetrating_ge2,analytic_amp_only,1.0,1,3.36498794117077,2138,
b2_penetrating_ge2,analytic_amp_only,1.0,2,3.2976256369699923,2105,
b2_penetrating_ge2,analytic_amp_only,1.0,-1,3.320398845487239,0,
b2_penetrating_ge2,analytic_amp_only,10.0,0,3.294134517111665,2056,
b2_penetrating_ge2,analytic_amp_only,10.0,1,3.3490526833535057,2138,
b2_penetrating_ge2,analytic_amp_only,10.0,2,3.2863302917789126,2105,
b2_penetrating_ge2,analytic_amp_only,10.0,-1,3.3098391640813616,0,
b2_penetrating_ge2,analytic_amp_only,100.0,0,3.2528092569005347,2056,
b2_penetrating_ge2,analytic_amp_only,100.0,1,3.3281482437334375,2138,
b2_penetrating_ge2,analytic_amp_only,100.0,2,3.256452232675584,2105,
b2_penetrating_ge2,analytic_amp_only,100.0,-1,3.2791365777698522,0,
b2_penetrating_ge2,monotonic_binned_timewalk,,0,3.609113793076279,2056,4.0
b2_penetrating_ge2,monotonic_binned_timewalk,,1,4.046615668288105,2138,4.0
b2_penetrating_ge2,monotonic_binned_timewalk,,2,3.6678166644269794,2105,4.0
b2_penetrating_ge2,monotonic_binned_timewalk,,-1,3.7745153752637877,0,4.0
b2_penetrating_ge2,monotonic_binned_timewalk,,0,3.445584736110726,2056,6.0
b2_penetrating_ge2,monotonic_binned_timewalk,,1,4.048024146109639,2138,6.0
b2_penetrating_ge2,monotonic_binned_timewalk,,2,3.5004272981884768,2105,6.0
b2_penetrating_ge2,monotonic_binned_timewalk,,-1,3.664678726802947,0,6.0
b2_penetrating_ge2,monotonic_binned_timewalk,,0,3.403866220961209,2056,8.0
b2_penetrating_ge2,monotonic_binned_timewalk,,1,3.8572770866839186,2138,8.0
b2_penetrating_ge2,monotonic_binned_timewalk,,2,3.498094790424883,2105,8.0
b2_penetrating_ge2,monotonic_binned_timewalk,,-1,3.58641269935667,0,8.0
b2_penetrating_ge2,monotonic_binned_timewalk,,0,3.1959700193288256,2056,10.0
