method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
raw_pair_median,59,B4-B6,B6-B8,-0.9584042013065002,False,False
raw_pair_median,59,B4-B8,B6-B8,13.243267609774911,False,False
raw_pair_median,60,B2-B4,B2-B6,81.6386318548122,True,True
raw_pair_median,60,B2-B4,B2-B8,70.27447896448045,True,True
raw_pair_median,60,B2-B4,B4-B6,-3.5055230233763304,True,False
raw_pair_median,60,B2-B4,B4-B8,-2.109173587438881,True,False
raw_pair_median,60,B2-B4,B6-B8,0.10147606108227271,True,False
raw_pair_median,60,B2-B6,B2-B8,109.96374005414452,True,True
raw_pair_median,60,B2-B6,B4-B6,36.720093801790526,True,False
raw_pair_median,60,B2-B6,B4-B8,40.0077937846225,True,False
raw_pair_median,60,B2-B6,B6-B8,-0.5214036208195242,True,False
raw_pair_median,60,B2-B8,B4-B6,39.848689123621675,True,False
raw_pair_median,60,B2-B8,B4-B8,81.5350459419649,True,False
raw_pair_median,60,B2-B8,B6-B8,28.74109906809352,True,False
raw_pair_median,60,B4-B6,B4-B8,41.590312219143584,False,False
raw_pair_median,60,B4-B6,B6-B8,-0.6247918110395094,False,False
raw_pair_median,60,B4-B8,B6-B8,29.118951287908747,False,False
raw_pair_median,61,B2-B4,B2-B6,65.38635418615347,True,True
raw_pair_median,61,B2-B4,B2-B8,30.020057897830466,True,True
raw_pair_median,61,B2-B4,B4-B6,-3.5859573735925108,True,False
raw_pair_median,61,B2-B4,B4-B8,0.21281381518978418,True,False
raw_pair_median,61,B2-B4,B6-B8,-0.8619682201922565,True,False
raw_pair_median,61,B2-B6,B2-B8,61.72837588048607,True,True
raw_pair_median,61,B2-B6,B4-B6,39.33606150520912,True,False
raw_pair_median,61,B2-B6,B4-B8,30.887618446480822,True,False
raw_pair_median,61,B2-B6,B6-B8,-1.1160010918647914,True,False
raw_pair_median,61,B2-B8,B4-B6,31.54991851897671,True,False
raw_pair_median,61,B2-B8,B4-B8,98.34964752257007,True,False
raw_pair_median,61,B2-B8,B6-B8,22.158204316542015,True,False
raw_pair_median,61,B4-B6,B4-B8,30.152618341233374,False,False
raw_pair_median,61,B4-B6,B6-B8,-0.43383481605925395,False,False
raw_pair_median,61,B4-B8,B6-B8,23.24319775265437,False,False
