n_pairs,n_events,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,full_rms_before_ns,full_rms_after_ns,charge_support_tvd,current_proxy_tvd,topology_support_tvd,saturation_fraction_delta,late_peak_fraction_delta,support_drift_max,method,threshold_quantile,heldout_run
219,73,0.0821917808219178,0.9178082191780822,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4605334167446955,4.245584726803905,1.5515454071590828,0.028760308048797135,0.019287126013766795,0.009950248756218888,0.0,0.007633067539017241,0.028760308048797135,ridge,0.9,58
2289,763,0.08781127129750983,0.9121887287024901,0.6111111111111112,0.015727391874180863,0.006704980842911878,-0.009022411031268985,1.6083042242117618,1.4945212940260149,5.355791269302135,1.8032177729878491,0.019034688640825886,0.00592350722847404,0.0033524904214559392,0.0,0.0020701204661976585,0.019034688640825886,ridge,0.9,59
2424,808,0.11674917491749175,0.8832508250825083,0.358974358974359,0.01608910891089109,0.011676786548341896,-0.0044123223625491936,1.6585190010528037,1.5467366880308746,6.872022451994516,5.97410235189067,0.029606819859940247,0.006305464736104646,0.01743733457885721,0.0,0.005329701582956051,0.029606819859940247,ridge,0.9,60
2799,933,0.10289389067524116,0.8971061093247589,0.47368421052631576,0.020364415862808145,0.011947431302270013,-0.008416984560538132,1.6969451470464478,1.5482193225200658,6.264312275363575,4.537527703477217,0.03537233599813552,0.007106992896848699,0.00796495420151333,0.0,0.0028261501483504703,0.03537233599813552,ridge,0.9,61
2421,807,0.1020239570425444,0.8979760429574556,0.5652173913043478,0.00950020652622883,0.004599816007359705,-0.004900390518869125,1.685448011531863,1.5566163473677832,4.387585259011599,1.757647071415933,0.03564581910734313,0.006139357895324854,0.006593069610548924,0.0,0.0039137385351343534,0.03564581910734313,ridge,0.9,62
1110,370,0.0981981981981982,0.9018018018018018,0.4117647058823529,0.015315315315315315,0.00999000999000999,-0.005325305325305325,1.8190125506653212,1.6219665008116877,6.186312428191332,5.121854304394057,0.02508482508482509,0.018481518481518494,0.007326007326007328,0.0,0.0049671049671049655,0.02508482508482509,ridge,0.9,63
198,66,0.030303030303030304,0.9696969696969697,0.0,0.0,0.0,0.0,1.5639898548543092,1.555103269751549,1.6496900544024526,1.6304432551221624,0.010258838383838342,0.018465909090909102,0.010416666666666685,0.0,0.004419191919191934,0.018465909090909102,ridge,0.9,65
219,73,0.0365296803652968,0.9634703196347032,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.5475692649843795,4.245584726803905,1.6102028356707863,0.019022268389274833,0.009738362656625338,0.006319115323854652,0.0,0.007444437230842482,0.019022268389274833,ridge,0.95,58
2289,763,0.04281345565749235,0.9571865443425076,0.4166666666666667,0.015727391874180863,0.009584664536741214,-0.00614272733743965,1.6083042242117618,1.5357635503188665,5.355791269302135,2.8829924451427766,0.007869278965799762,0.003864851624033258,0.007606876616461283,0.0,0.0004940980407756521,0.007869278965799762,ridge,0.95,59
2424,808,0.04950495049504951,0.9504950495049505,0.28205128205128205,0.01608910891089109,0.012152777777777778,-0.0039363311331133116,1.6585190010528037,1.5899051126093329,6.872022451994516,6.280116225854367,0.019062843784378492,0.0030381944444444614,0.008680555555555552,0.0,0.0019681655665566566,0.019062843784378492,ridge,0.95,60
2799,933,0.05501964987495534,0.9449803501250447,0.3684210526315789,0.020364415862808145,0.013610586011342156,-0.006753829851465989,1.6969451470464478,1.5895065032123197,6.264312275363575,5.191707296674884,0.025357422411866004,0.005844512386613904,0.0081915563957152,0.0,0.002093645381046838,0.025357422411866004,ridge,0.95,61
2421,807,0.06030565881866997,0.93969434118133,0.4782608695652174,0.00950020652622883,0.005274725274725275,-0.0042254812515035555,1.685448011531863,1.5930955971797927,4.387585259011599,1.813877685437863,0.027018169769099157,0.005514386480929237,0.008498168498168507,0.0,0.0018512012564057198,0.027018169769099157,ridge,0.95,62
1110,370,0.05045045045045045,0.9495495495495495,0.29411764705882354,0.015315315315315315,0.011385199240986717,-0.003930116074328598,1.8190125506653212,1.6687236111012147,6.186312428191332,6.253388851256139,0.018332564063114308,0.009415867480383602,0.005376344086021501,0.0,0.0024496982751252144,0.018332564063114308,ridge,0.95,63
198,66,0.010101010101010102,0.98989898989899,0.0,0.0,0.0,0.0,1.5639898548543092,1.5454633501905013,1.6496900544024526,1.6278690823049131,0.00845186559472269,0.007730364873222026,0.003401360544217691,0.0,0.0014430014430014404,0.00845186559472269,ridge,0.95,65
219,73,0.3515981735159817,0.6484018264840183,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.5060949330103819,4.245584726803905,1.4290543992942133,0.008553604733423375,0.0350183291530002,0.016431924882629095,0.0,0.014920573670332504,0.0350183291530002,gradient_boosted_trees,0.7,58
2289,763,0.29707295762341634,0.7029270423765837,0.7222222222222222,0.015727391874180863,0.006215040397762586,-0.009512351476418279,1.6083042242117618,1.5300285048511355,5.355791269302135,1.8174250507764773,0.009625845879487928,0.010910124651065792,0.06442925212347211,0.0,0.0010010857993250598,0.06442925212347211,gradient_boosted_trees,0.7,59
2424,808,0.341996699669967,0.658003300330033,0.717948717948718,0.01608910891089109,0.006896551724137931,-0.009192557186753159,1.6585190010528037,1.5406247232278898,6.872022451994516,4.747499829860386,0.023240427491024958,0.009717868338557978,0.06353187042842215,0.0,0.0017908687420466196,0.06353187042842215,gradient_boosted_trees,0.7,60
2799,933,0.2965344765987853,0.7034655234012147,0.6842105263157895,0.020364415862808145,0.009141696292534281,-0.011222719570273864,1.6969451470464478,1.579909251008117,6.264312275363575,3.844252410404964,0.026133181497926695,0.010891214685067652,0.05112578296935835,0.0,0.0012060826338072192,0.05112578296935835,gradient_boosted_trees,0.7,61
2421,807,0.3151590251961999,0.6848409748038,0.6956521739130435,0.00950020652622883,0.004221954161640531,-0.005278252364588299,1.685448011531863,1.5970382111463688,4.387585259011599,1.862272281151953,0.024855394270778108,0.00664272058570739,0.07438681141938078,0.0,0.0009279978315991574,0.07438681141938078,gradient_boosted_trees,0.7,62
