veto_ladder,charge_proxy,n_heldout,n_kept,veto_acceptance,veto_induced_acceptance_loss,median_charge_proxy_shift_log,unsaturated_control_res68_frac,energy_proxy_res68_frac,depth_ordering_violation_fraction,energy_res68_ci95,unsat_res68_ci95,depth_violation_ci95,acceptance_ci95,charge_shift_ci95
no_veto,traditional_adaptive_template,332852,332852,1.0,0.0,0.0,0.2413312544657659,0.031366787479864086,0.0,"[0.02926879219755289, 0.03462638236081417]","[0.2020951314544016, 0.30602884720090207]","[0.0, 0.0]","[1.0, 1.0]","[-0.2754761407646179, 0.12231372541113544]"
p09,traditional_adaptive_template,332852,316214,0.9500138199560165,0.049986180043983475,0.02413206634125764,0.21550605447958915,0.04783231392116084,0.0,"[0.04218903049525741, 0.05276385107545089]","[0.1519166026914738, 0.25450949391622846]","[0.0, 0.0]","[0.9286358569250593, 0.964050128012723]","[-0.21277735571799364, 0.13040530557653984]"
p09_s10,traditional_adaptive_template,332852,275497,0.8276861788422482,0.17231382115775185,0.08040458914208948,0.239355539628208,0.05619024603313942,0.0,"[0.054228271951076726, 0.05821884498917934]","[0.20035898277123076, 0.29944294417366896]","[0.0, 0.0]","[0.7758568405179587, 0.8632125379877648]","[-0.1620139919174722, 0.16520154338517662]"
p09_s10_s16,traditional_adaptive_template,332852,274380,0.8243303330008532,0.17566966699914677,0.07910491619751525,0.2389359999034338,0.0554920345811229,0.0,"[0.05357751649323342, 0.05742790452005251]","[0.18365801264082635, 0.28597983413999345]","[0.0, 0.0]","[0.7769124488965888, 0.8631595412828734]","[-0.13270957626488444, 0.1777999033226565]"
p09_s10_s16_p07,traditional_adaptive_template,332852,159074,0.47791210507973514,0.5220878949202649,-0.21813295888629547,0.2348584558713663,0.12065685669256715,0.0,"[0.08814269362586583, 0.13918889574846532]","[0.1940525950950045, 0.2956089794103152]","[0.0, 0.0]","[0.42805528709473395, 0.537776987394859]","[-0.6014603055094156, -0.1138132634488786]"
no_veto,traditional_saturation_corrected,332852,332852,1.0,0.0,0.0,0.2413312544657659,0.04305632833660402,0.0,"[0.040290599466704526, 0.045324594953255734]","[0.19742803608195622, 0.2922137853901242]","[0.0, 0.0]","[1.0, 1.0]","[-0.24159867802721494, 0.1123504940393233]"
p09,traditional_saturation_corrected,332852,316214,0.9500138199560165,0.049986180043983475,0.02413206634125764,0.21550605447958915,0.05734695133205895,0.0,"[0.05619869464919278, 0.058178517329523616]","[0.15651486218889962, 0.244860211694947]","[0.0, 0.0]","[0.932992964469078, 0.9646357307971317]","[-0.17683172939601502, 0.1327819373600583]"
p09_s10,traditional_saturation_corrected,332852,275497,0.8276861788422482,0.17231382115775185,0.08040458914208948,0.239355539628208,0.07526283140403042,0.0,"[0.0659525903184894, 0.07904123170908088]","[0.19574671846357025, 0.29150347309427743]","[0.0, 0.0]","[0.7670618324578895, 0.8598447193117664]","[-0.1318432622231461, 0.16065016396109308]"
p09_s10_s16,traditional_saturation_corrected,332852,274380,0.8243303330008532,0.17566966699914677,0.07910491619751525,0.2389359999034338,0.07447748970675229,0.0,"[0.06263529918913062, 0.07910354657399735]","[0.17327409439394315, 0.3156664675009713]","[0.0, 0.0]","[0.7618805614182397, 0.8617844991807585]","[-0.1864029078732748, 0.15834428399007816]"
p09_s10_s16_p07,traditional_saturation_corrected,332852,159074,0.47791210507973514,0.5220878949202649,-0.21813295888629547,0.2348584558713663,0.12065685669256715,0.0,"[0.09283929330547826, 0.14232161743632657]","[0.17310095290747426, 0.27283376775142676]","[0.0, 0.0]","[0.43337002145630654, 0.5249918891215485]","[-0.5042531702072406, -0.09468524403480447]"
no_veto,ml_score_adjusted_monotonic,332852,332852,1.0,0.0,0.0,0.03020370671716191,0.008681726953994868,0.0,"[0.008401265079421247, 0.00893747933543489]","[0.02545175751827287, 0.03702975320212914]","[0.0, 0.0]","[1.0, 1.0]","[-0.22303520579234926, 0.0869525923643728]"
p09,ml_score_adjusted_monotonic,332852,316214,0.9500138199560165,0.049986180043983475,0.02092250937365847,0.027167966913186688,0.027443764113263602,0.0,"[0.022523124228468847, 0.0314370871016416]","[0.022434376942825848, 0.032774938406234605]","[0.0, 0.0]","[0.9314413220630418, 0.9638403774615446]","[-0.140762314372976, 0.09149421785833421]"
p09_s10,ml_score_adjusted_monotonic,332852,275497,0.8276861788422482,0.17231382115775185,0.05460575583514249,0.025876484233293612,0.04005519462801146,0.0,"[0.03654024007262368, 0.04294058667005656]","[0.021419962441211353, 0.03168350709666907]","[0.0, 0.0]","[0.7751553840134039, 0.866112275972342]","[-0.10373352974907535, 0.1128139255222934]"
p09_s10_s16,ml_score_adjusted_monotonic,332852,274380,0.8243303330008532,0.17566966699914677,0.05460575583514249,0.025804396915468708,0.039192756796841116,0.0,"[0.03623766760737729, 0.04189170576022232]","[0.021151578396479943, 0.03151792181020508]","[0.0, 0.0]","[0.7721359238360048, 0.8575024526424943]","[-0.06764328296623297, 0.1057723020946586]"
p09_s10_s16_p07,ml_score_adjusted_monotonic,332852,159074,0.47791210507973514,0.5220878949202649,-0.16941233721112425,0.024940854520134437,0.11902323983560577,0.0,"[0.10211332998371457, 0.13857960824048374]","[0.02066013054985804, 0.03204243637172742]","[0.0, 0.0]","[0.4232064744052939, 0.5363412734882681]","[-0.5818236726550057, -0.04421943693451702]"
