method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,heldout_run
s02d_binned_timewalk_drift2,s02b_template,2,1,58 60 65,2.73223217194003,2841,59
s02d_binned_timewalk_drift2,s02b_template,2,2,62 63,3.278503328739039,3531,59
s02d_global_timewalk_drift0,template_phase,0,0,61,2.1733432773420076,2799,59
s02d_global_timewalk_drift0,template_phase,0,1,58 60 65,1.549232619809651,2841,59
s02d_global_timewalk_drift0,template_phase,0,2,62 63,1.5567295670693553,3531,59
s02d_global_timewalk_drift1,template_phase,1,0,61,2.1915349002882976,2799,59
s02d_global_timewalk_drift1,template_phase,1,1,58 60 65,1.2912827107719236,2841,59
s02d_global_timewalk_drift1,template_phase,1,2,62 63,1.4198423844863703,3531,59
s02d_global_timewalk_drift2,template_phase,2,0,61,2.168972346041274,2799,59
s02d_global_timewalk_drift2,template_phase,2,1,58 60 65,1.5687649989610093,2841,59
s02d_global_timewalk_drift2,template_phase,2,2,62 63,1.3525844652266854,3531,59
s02d_binned_timewalk_drift0,s02b_template,0,0,61,2.5974945267322473,2799,60
s02d_binned_timewalk_drift0,s02b_template,0,1,58 62 65,2.5201326453277324,2838,60
s02d_binned_timewalk_drift0,s02b_template,0,2,59 63,2.5561614691970775,3399,60
s02d_binned_timewalk_drift1,s02b_template,1,0,61,2.599063601221042,2799,60
s02d_binned_timewalk_drift1,s02b_template,1,1,58 62 65,2.485330315450982,2838,60
s02d_binned_timewalk_drift1,s02b_template,1,2,59 63,2.550693493404908,3399,60
s02d_binned_timewalk_drift2,s02b_template,2,0,61,2.634876657575879,2799,60
s02d_binned_timewalk_drift2,s02b_template,2,1,58 62 65,2.5807939302241,2838,60
s02d_binned_timewalk_drift2,s02b_template,2,2,59 63,2.5508555521124094,3399,60
s02d_global_timewalk_drift0,template_phase,0,0,61,2.1340041308986883,2799,60
s02d_global_timewalk_drift0,template_phase,0,1,58 62 65,1.5760326037972803,2838,60
s02d_global_timewalk_drift0,template_phase,0,2,59 63,1.491698646169502,3399,60
s02d_global_timewalk_drift1,template_phase,1,0,61,2.134325481478506,2799,60
s02d_global_timewalk_drift1,template_phase,1,1,58 62 65,1.5476902496468965,2838,60
s02d_global_timewalk_drift1,template_phase,1,2,59 63,1.509594810877776,3399,60
s02d_global_timewalk_drift2,template_phase,2,0,61,2.1072397449598155,2799,60
s02d_global_timewalk_drift2,template_phase,2,1,58 62 65,1.6357613576017016,2838,60
s02d_global_timewalk_drift2,template_phase,2,2,59 63,1.5492645111204493,3399,60
s02d_binned_timewalk_drift0,s02b_template,0,0,60 65,2.554751093412143,2622,61
s02d_binned_timewalk_drift0,s02b_template,0,1,58 62,3.066963364656707,2640,61
s02d_binned_timewalk_drift0,s02b_template,0,2,59 63,3.1952712553696565,3399,61
s02d_binned_timewalk_drift1,s02b_template,1,0,60 65,2.5430460387685327,2622,61
s02d_binned_timewalk_drift1,s02b_template,1,1,58 62,3.065293831048973,2640,61
s02d_binned_timewalk_drift1,s02b_template,1,2,59 63,3.2630666122136023,3399,61
s02d_binned_timewalk_drift2,s02b_template,2,0,60 65,2.555153499224813,2622,61
s02d_binned_timewalk_drift2,s02b_template,2,1,58 62,3.1766200277553254,2640,61
s02d_binned_timewalk_drift2,s02b_template,2,2,59 63,3.2506313873212163,3399,61
s02d_global_timewalk_drift0,template_phase,0,0,60 65,1.629935599714853,2622,61
s02d_global_timewalk_drift0,template_phase,0,1,58 62,1.7454933797191943,2640,61
s02d_global_timewalk_drift0,template_phase,0,2,59 63,1.6856971126483604,3399,61
s02d_global_timewalk_drift1,template_phase,1,0,60 65,1.633904760430372,2622,61
s02d_global_timewalk_drift1,template_phase,1,1,58 62,1.7436692399043583,2640,61
s02d_global_timewalk_drift1,template_phase,1,2,59 63,1.7391060616341238,3399,61
s02d_global_timewalk_drift2,template_phase,2,0,60 65,1.6254959488289,2622,61
s02d_global_timewalk_drift2,template_phase,2,1,58 62,1.7905887700880037,2640,61
s02d_global_timewalk_drift2,template_phase,2,2,59 63,1.7668189910869665,3399,61
s02d_binned_timewalk_drift0,s02b_template,0,0,61,3.0400514006219668,2799,62
s02d_binned_timewalk_drift0,s02b_template,0,1,58 60 65,2.6256903728320182,2841,62
s02d_binned_timewalk_drift0,s02b_template,0,2,59 63,3.015546131692646,3399,62
s02d_binned_timewalk_drift1,s02b_template,1,0,61,3.0237514434986155,2799,62
s02d_binned_timewalk_drift1,s02b_template,1,1,58 60 65,2.6179706048345848,2841,62
s02d_binned_timewalk_drift1,s02b_template,1,2,59 63,3.156763993884076,3399,62
s02d_binned_timewalk_drift2,s02b_template,2,0,61,3.1225064506942357,2799,62
s02d_binned_timewalk_drift2,s02b_template,2,1,58 60 65,2.682221590995437,2841,62
s02d_binned_timewalk_drift2,s02b_template,2,2,59 63,3.2354055361477982,3399,62
s02d_global_timewalk_drift0,template_phase,0,0,61,2.1824845032803486,2799,62
s02d_global_timewalk_drift0,template_phase,0,1,58 60 65,1.486307405519341,2841,62
s02d_global_timewalk_drift0,template_phase,0,2,59 63,1.520125549496024,3399,62
s02d_global_timewalk_drift1,template_phase,1,0,61,2.1763415711623724,2799,62
s02d_global_timewalk_drift1,template_phase,1,1,58 60 65,1.5132059655049082,2841,62
s02d_global_timewalk_drift1,template_phase,1,2,59 63,1.6637181641786398,3399,62
s02d_global_timewalk_drift2,template_phase,2,0,61,2.2002766422303393,2799,62
s02d_global_timewalk_drift2,template_phase,2,1,58 60 65,1.56478782618028,2841,62
s02d_global_timewalk_drift2,template_phase,2,2,59 63,1.9346946229329574,3399,62
s02d_binned_timewalk_drift0,s02b_template,0,0,61,3.059964313829758,2799,63
s02d_binned_timewalk_drift0,s02b_template,0,1,58 60 65,2.6519772843619105,2841,63
s02d_binned_timewalk_drift0,s02b_template,0,2,59 62,2.984689809268179,4710,63
s02d_binned_timewalk_drift1,s02b_template,1,0,61,3.045467912424991,2799,63
s02d_binned_timewalk_drift1,s02b_template,1,1,58 60 65,2.655865658930113,2841,63
s02d_binned_timewalk_drift1,s02b_template,1,2,59 62,3.066193009593599,4710,63
s02d_binned_timewalk_drift2,s02b_template,2,0,61,3.0740863734300454,2799,63
s02d_binned_timewalk_drift2,s02b_template,2,1,58 60 65,2.7434732178287455,2841,63
s02d_binned_timewalk_drift2,s02b_template,2,2,59 62,3.0957378354627716,4710,63
s02d_global_timewalk_drift0,template_phase,0,0,61,2.1931134876812424,2799,63
s02d_global_timewalk_drift0,template_phase,0,1,58 60 65,1.5065238601233104,2841,63
s02d_global_timewalk_drift0,template_phase,0,2,59 62,1.5200048069192897,4710,63
s02d_global_timewalk_drift1,template_phase,1,0,61,2.17754981394306,2799,63
s02d_global_timewalk_drift1,template_phase,1,1,58 60 65,1.5446890570418552,2841,63
s02d_global_timewalk_drift1,template_phase,1,2,59 62,1.6052904690492351,4710,63
s02d_global_timewalk_drift2,template_phase,2,0,61,2.1716057306659504,2799,63
s02d_global_timewalk_drift2,template_phase,2,1,58 60 65,1.5000464544772645,2841,63
s02d_global_timewalk_drift2,template_phase,2,2,59 62,1.8206717900220601,4710,63
s02d_binned_timewalk_drift0,s02b_template,0,0,58 61,3.253623595719543,3018,65
s02d_binned_timewalk_drift0,s02b_template,0,1,60 63,2.8549264428838295,3534,65
s02d_binned_timewalk_drift0,s02b_template,0,2,59 62,3.1988633746328956,4710,65
s02d_binned_timewalk_drift1,s02b_template,1,0,58 61,3.2469463793768676,3018,65
s02d_binned_timewalk_drift1,s02b_template,1,1,60 63,2.84950569514719,3534,65
s02d_binned_timewalk_drift1,s02b_template,1,2,59 62,3.2266858827763922,4710,65
s02d_binned_timewalk_drift2,s02b_template,2,0,58 61,3.318391400681847,3018,65
s02d_binned_timewalk_drift2,s02b_template,2,1,60 63,3.002535506850264,3534,65
s02d_binned_timewalk_drift2,s02b_template,2,2,59 62,3.306755344236035,4710,65
s02d_global_timewalk_drift0,template_phase,0,0,58 61,2.136501171234445,3018,65
s02d_global_timewalk_drift0,template_phase,0,1,60 63,1.5224610797242768,3534,65
s02d_global_timewalk_drift0,template_phase,0,2,59 62,1.5806733458795863,4710,65
s02d_global_timewalk_drift1,template_phase,1,0,58 61,2.1352133978566785,3018,65
s02d_global_timewalk_drift1,template_phase,1,1,60 63,1.5322429564337887,3534,65
s02d_global_timewalk_drift1,template_phase,1,2,59 62,1.6123472319744143,4710,65
s02d_global_timewalk_drift2,template_phase,2,0,58 61,2.164978558787803,3018,65
s02d_global_timewalk_drift2,template_phase,2,1,60 63,1.9928086782519672,3534,65
s02d_global_timewalk_drift2,template_phase,2,2,59 62,1.7808268787244423,4710,65
