method,heldout_run,n,q_template_mse,tail_mse,live10_abs_error_ns,live20_abs_error_ns,tau_eff_abs_error_ns,timing_abs_error_ns,secondary_abs_error,timing_sigma68_ns
gradient_boosted_trees_tail_surrogate,54,598,0.14229152697687963,0.24606078513695193,32.02401372212693,35.60891938250429,13.90785244791374,0.685377068283043,0.062490232243208425,0.3798485401144464
gradient_boosted_trees_tail_surrogate,55,561,0.10239619345983796,0.19476326339414723,31.627056672760514,35.08226691042047,13.735456191821308,0.622690451962451,0.06674771222526639,0.43282879942154306
gradient_boosted_trees_tail_surrogate,56,613,0.12139690593860278,0.20584888887606756,32.53781512605042,36.63865546218487,14.130993562431856,0.7690036638198384,0.06704677191287739,0.45773116330485686
gradient_boosted_trees_tail_surrogate,57,601,0.14174606471177467,0.18961384867207368,31.384615384615383,34.99145299145299,13.630165278194363,0.7581519034937564,0.06395931761347291,0.29880521643791386
gradient_boosted_trees_tail_surrogate,58,598,0.09132422643844816,0.21328196675724864,32.560137457044675,36.8041237113402,14.140688027605878,0.6765380739424598,0.06550358295604318,0.48255591047395896
gradient_boosted_trees_tail_surrogate,59,666,0.05347356191098448,0.08077627454290649,21.102719033232628,25.709969788519636,9.164794429287655,0.6054204122681474,0.05307218225800458,0.30089794842042245
gradient_boosted_trees_tail_surrogate,60,710,0.07510962588123912,0.1096970006831998,21.806543385490755,24.879089615931722,9.470461461702488,0.5476347045125489,0.04249321594299777,0.24508264470213686
gradient_boosted_trees_tail_surrogate,61,675,0.05490350701381292,0.08335691307655495,20.885885885885887,23.64864864864865,9.070624989901248,0.5148055933762635,0.04395717074494735,0.29120075804950485
gradient_boosted_trees_tail_surrogate,62,670,0.06000307736780137,0.10037323063026059,19.90950226244344,23.63499245852187,8.646586970019493,0.5429603416657712,0.044742879353061586,0.2689447384952805
gradient_boosted_trees_tail_surrogate,63,648,0.04942784235255071,0.06691796616903302,20.88785046728972,25.46728971962617,9.071478196764184,0.490971970768063,0.04724793525707798,0.2215049414696769
gradient_boosted_trees_tail_surrogate,65,584,0.07765983372150131,0.11466610868035935,27.962003454231432,32.43523316062176,12.143743803132375,0.6661024420088881,0.056899444415862796,0.29365750168988736
mlp_tail_surrogate,44,374,0.09852137133934452,0.15384666084134094,21.87845303867403,25.414364640883978,9.501691427275563,0.8694783990554155,0.050545465400038125,0.7839632477362013
mlp_tail_surrogate,45,624,0.1397242491835905,0.2343787022710926,29.282218597063622,32.08809135399674,12.71710595458951,1.2319797993682697,0.0648880652756501,1.24230365013858
mlp_tail_surrogate,46,227,0.03729874781900388,0.04431799702988622,10.627802690582959,15.515695067264573,4.615596063276711,0.9899963502072024,0.03622201693193823,0.9089382322842283
mlp_tail_surrogate,47,379,0.10407333679370528,0.12838709443473506,17.573333333333334,16.346666666666668,7.632001695313144,2.2075872336968465,0.062039352748118524,2.588966885549779
mlp_tail_surrogate,48,594,0.13387068264226404,0.2461566152179705,27.910958904109588,30.068493150684933,12.121575436683226,0.9295717693107367,0.058827792067061645,0.8175027372563198
mlp_tail_surrogate,49,589,0.13891942002968105,0.23296104453541527,26.8760907504363,30.541012216404887,11.67213790804551,1.06183947330319,0.05771902571090746,1.1320315880453584
mlp_tail_surrogate,50,602,0.12457520785355411,0.24777424326321118,30.716723549488055,33.85665529010239,13.340103539690327,1.0800844133921184,0.07070351236759634,1.0827725705148983
mlp_tail_surrogate,51,527,0.12130115439860982,0.2248146502301745,29.649122807017545,31.71539961013645,12.87645042835957,0.8634923451024037,0.06269177294821215,0.7747073193709703
mlp_tail_surrogate,52,447,0.088613037327563,0.18875587660744356,24.746543778801843,27.258064516129032,10.747287409310886,0.9072507994544681,0.052862035452547994,1.141861398121781
mlp_tail_surrogate,53,594,0.1504964124848625,0.30444711954457354,33.03972366148532,35.88946459412781,14.348969669791376,1.221008278346537,0.0678914080638936,1.1789612363754252
mlp_tail_surrogate,54,598,0.13744496063648926,0.25545003769354513,31.423670668953687,33.499142367066895,13.647126772671651,0.9627209436379378,0.06536431825210162,0.9474022796773678
mlp_tail_surrogate,55,561,0.11996885000846344,0.241182122873437,30.219378427787934,32.925045703839125,13.124109297734464,0.8365402386808819,0.06678080168610713,0.9651485909057381
mlp_tail_surrogate,56,613,0.1488337001244648,0.2621037705556571,31.394957983193276,34.97478991596638,13.634657011685283,1.2672464896017788,0.06940967634355213,1.1981274953491239
mlp_tail_surrogate,57,601,0.13960320455882086,0.1912060407061661,31.213675213675213,33.00854700854701,13.555926905219449,1.0836390836501784,0.0671913649907344,1.0567598500352777
mlp_tail_surrogate,58,598,0.11651197220807075,0.28093790228662086,32.25085910652921,35.670103092783506,14.006370146604871,1.0278204293339976,0.07183617539690136,1.0173070884966975
mlp_tail_surrogate,59,666,0.04477568977557959,0.07379665346238744,17.719033232628398,20.709969788519636,7.695278357590851,0.8535349282533523,0.045659158048778195,0.9934875957377414
mlp_tail_surrogate,60,710,0.07825166652921424,0.1098379450527786,20.34139402560455,22.16216216216216,8.834155179539831,0.9381137170521391,0.040257008422514555,0.921673487810571
mlp_tail_surrogate,61,675,0.06797309448038848,0.09248755472496203,19.594594594594593,21.486486486486488,8.509824307563719,1.4332201458864444,0.04372990481111849,1.133372824202247
mlp_tail_surrogate,62,670,0.05163274204535004,0.096702961992686,17.677224736048267,20.844645550527904,7.6771211582294265,0.907270677137305,0.04308468138984212,0.96930304277559
mlp_tail_surrogate,63,648,0.04945759760772942,0.0660876480582543,19.12772585669782,22.6791277258567,8.307065790922014,0.849403162803026,0.041899937560704606,0.8998078110812233
mlp_tail_surrogate,65,584,0.0973155413378109,0.14726798773614608,27.322970639032814,30.984455958549223,11.866215377736516,1.0072291633448784,0.05641487200929813,0.9581095342113088
ridge_tail_surrogate,44,374,0.08711485009141524,0.13158720442019226,22.07182320441989,25.248618784530386,9.585671023223707,0.6619650023085066,0.04811470085509695,0.5996252981691387
ridge_tail_surrogate,45,624,0.11510968084937896,0.19388451999114198,29.265905383360522,32.33278955954323,12.710021215896145,0.7204043783651538,0.061976656786439516,0.7178722872675325
ridge_tail_surrogate,46,227,0.021838137800253513,0.031028730233210792,9.77578475336323,15.784753363228699,4.245569374659591,0.6463121421470802,0.03043221865197559,0.7354681558939398
ridge_tail_surrogate,47,379,0.05692054543329366,0.08703761830290833,17.253333333333334,20.426666666666666,7.493027461104104,0.5463236051089609,0.03863817564361353,0.5230525034512311
ridge_tail_surrogate,48,594,0.10953526788451036,0.19621384377982837,28.32191780821918,30.976027397260275,12.300052621027028,0.6133908402539621,0.05776245837425109,0.5329137418282576
ridge_tail_surrogate,49,589,0.11943385209277799,0.19388909849405056,26.387434554973822,29.703315881326354,11.45991721880832,0.6174654800831052,0.0518725780102361,0.548532727243773
ridge_tail_surrogate,50,602,0.10996588716582015,0.21450859733590508,30.75085324232082,33.87372013651877,13.354925876956651,0.6357750208930274,0.06785828310095436,0.538123232784184
ridge_tail_surrogate,51,527,0.10106499054347153,0.18447616993557805,29.8635477582846,32.787524366471736,12.969574001477225,0.6192446237251309,0.06157477053925544,0.5681044909185479
ridge_tail_surrogate,52,447,0.07551964940579903,0.1600324368724727,24.5852534562212,27.695852534562214,10.677239912229712,0.5932028538714785,0.05267704579919766,0.5747000760057348
ridge_tail_surrogate,53,594,0.13138090045476178,0.259037706155455,33.09153713298791,35.82037996545768,14.371471974553202,0.7945336363222211,0.06145862058813338,0.7000994460189228
