method,policy,heldout_run,n_features,feature_names_sha256,choice,seq_scaler_mean_sha256,tab_scaler_mean_sha256
gradient_boosted_trees,train_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.127211158173444, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
cnn,train_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
gated_label_fusion,train_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
ridge,heldout_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.127211158173444, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
cnn,heldout_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
gated_label_fusion,heldout_label_permutation,58,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,49a4f9dde67f059b05e6189d8b3ce26a707bffa154250a848ba7d023894807d8
ridge,no_stave,59,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,59,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.1294699500357106, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,59,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,b9769208f3be38265b7c1e2ec32e74177fe2be912462d8b3d821502f342a7d3d
cnn,no_stave,59,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,b9769208f3be38265b7c1e2ec32e74177fe2be912462d8b3d821502f342a7d3d
gated_label_fusion,no_stave,59,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,b9769208f3be38265b7c1e2ec32e74177fe2be912462d8b3d821502f342a7d3d
ridge,real_stave,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1294699500357106, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
cnn,real_stave,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
gated_label_fusion,real_stave,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
ridge,train_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,train_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1294699500357106, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
cnn,train_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
gated_label_fusion,train_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
ridge,heldout_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1294699500357106, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
cnn,heldout_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
gated_label_fusion,heldout_label_permutation,59,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,a6126d8f34f5c2e0fb0cc0512a9880805e0a4ade5d4b1794deee0277964c359a
ridge,no_stave,60,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,60,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.1380549601847123, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,60,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,a003ce8b1330c1b91900f6ee2d46e0c31304eb8e0e243079aa47285dcb0bdcda
cnn,no_stave,60,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,a003ce8b1330c1b91900f6ee2d46e0c31304eb8e0e243079aa47285dcb0bdcda
gated_label_fusion,no_stave,60,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,a003ce8b1330c1b91900f6ee2d46e0c31304eb8e0e243079aa47285dcb0bdcda
ridge,real_stave,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1380549601847123, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
cnn,real_stave,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
gated_label_fusion,real_stave,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
ridge,train_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,train_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1380549601847123, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
cnn,train_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
gated_label_fusion,train_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
ridge,heldout_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1380549601847123, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
cnn,heldout_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
gated_label_fusion,heldout_label_permutation,60,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab73f2a253c54d7099d79efc800e105fcf4a030606e2869f6a4eb8ce1b17aae6
ridge,no_stave,61,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,61,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.0822138259208478, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,61,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,487a1102b20020fdf516f1a8725af4476f62d04f6ced15c44a67873333b0fd8a
cnn,no_stave,61,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,487a1102b20020fdf516f1a8725af4476f62d04f6ced15c44a67873333b0fd8a
gated_label_fusion,no_stave,61,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,487a1102b20020fdf516f1a8725af4476f62d04f6ced15c44a67873333b0fd8a
ridge,real_stave,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.0822138259208478, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
cnn,real_stave,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
gated_label_fusion,real_stave,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
ridge,train_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,train_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.0822138259208478, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
cnn,train_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
gated_label_fusion,train_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
ridge,heldout_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.0822138259208478, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
cnn,heldout_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
gated_label_fusion,heldout_label_permutation,61,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,273d2c96e2c6d45d5a6b52a47bcf3f71897b6b7a1a3972c70f489c990b3e1838
ridge,no_stave,62,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,62,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.1473316537022047, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,62,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,cc32eb1156aa0ea3b0331a6c6b97cca337c18ace00db4a5a6cb859e965a34994
cnn,no_stave,62,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,cc32eb1156aa0ea3b0331a6c6b97cca337c18ace00db4a5a6cb859e965a34994
gated_label_fusion,no_stave,62,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,cc32eb1156aa0ea3b0331a6c6b97cca337c18ace00db4a5a6cb859e965a34994
ridge,real_stave,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1473316537022047, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
cnn,real_stave,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
gated_label_fusion,real_stave,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
ridge,train_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,train_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1473316537022047, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
cnn,train_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
gated_label_fusion,train_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
ridge,heldout_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1473316537022047, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
cnn,heldout_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
gated_label_fusion,heldout_label_permutation,62,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,9d275675e7551633b8e31f74e552c874469ca6a9c1431e1cdfd51fc946f7ce39
ridge,no_stave,63,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,63,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.1127538531125285, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,63,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,56162f0a279181a770bfa27f7c82cfed611d400123be0c4636e46873d6000e99
cnn,no_stave,63,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,56162f0a279181a770bfa27f7c82cfed611d400123be0c4636e46873d6000e99
gated_label_fusion,no_stave,63,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,56162f0a279181a770bfa27f7c82cfed611d400123be0c4636e46873d6000e99
ridge,real_stave,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1127538531125285, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
cnn,real_stave,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
gated_label_fusion,real_stave,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
ridge,train_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
