model,alpha,fold,sigma68_ns,n_pair_residuals,learning_rate,max_leaf_nodes,heldout_run,policy
ridge,0.01,1,1.4465969181372276,2841,,,59,real_stave
ridge,0.01,2,1.4507027983013194,3531,,,59,real_stave
ridge,0.01,-1,1.373621099779819,0,,,59,real_stave
ridge,0.1,0,1.2218553808861858,2799,,,59,real_stave
ridge,0.1,1,1.4469033344034712,2841,,,59,real_stave
ridge,0.1,2,1.4447915177852755,3531,,,59,real_stave
ridge,0.1,-1,1.3711834110249776,0,,,59,real_stave
ridge,1.0,0,1.2300701915253658,2799,,,59,real_stave
ridge,1.0,1,1.4333763685850534,2841,,,59,real_stave
ridge,1.0,2,1.4215721660399439,3531,,,59,real_stave
ridge,1.0,-1,1.3616729087167876,0,,,59,real_stave
ridge,10.0,0,1.2165378602508692,2799,,,59,real_stave
ridge,10.0,1,1.4303524145992588,2841,,,59,real_stave
ridge,10.0,2,1.4190187019410592,3531,,,59,real_stave
ridge,10.0,-1,1.355302992263729,0,,,59,real_stave
ridge,100.0,0,1.1932889118108956,2799,,,59,real_stave
ridge,100.0,1,1.3662120355668306,2841,,,59,real_stave
ridge,100.0,2,1.408090088858555,3531,,,59,real_stave
ridge,100.0,-1,1.3225303454120938,0,,,59,real_stave
gradient_boosted_trees,,0,1.0787570875201236,2799,0.03,15.0,59,real_stave
gradient_boosted_trees,,1,1.172811991494302,2841,0.03,15.0,59,real_stave
gradient_boosted_trees,,2,1.2209912770335951,3531,0.03,15.0,59,real_stave
gradient_boosted_trees,,-1,1.1575201186826736,0,0.03,15.0,59,real_stave
gradient_boosted_trees,,0,1.0601387142335605,2799,0.03,31.0,59,real_stave
gradient_boosted_trees,,1,1.1557989151581114,2841,0.03,31.0,59,real_stave
gradient_boosted_trees,,2,1.1724722207154599,3531,0.03,31.0,59,real_stave
gradient_boosted_trees,,-1,1.1294699500357106,0,0.03,31.0,59,real_stave
gradient_boosted_trees,,0,1.1011279579723419,2799,0.06,15.0,59,real_stave
gradient_boosted_trees,,1,1.1924456796492449,2841,0.06,15.0,59,real_stave
gradient_boosted_trees,,2,1.2602260201632145,3531,0.06,15.0,59,real_stave
gradient_boosted_trees,,-1,1.1845998859282671,0,0.06,15.0,59,real_stave
gradient_boosted_trees,,0,1.0534224395105227,2799,0.06,31.0,59,real_stave
gradient_boosted_trees,,1,1.2048611761275794,2841,0.06,31.0,59,real_stave
gradient_boosted_trees,,2,1.2530351356977703,3531,0.06,31.0,59,real_stave
gradient_boosted_trees,,-1,1.170439583778624,0,0.06,31.0,59,real_stave
ridge,0.01,0,1.240109420981034,2799,,,60,real_stave
ridge,0.01,1,1.3585574155013869,2838,,,60,real_stave
ridge,0.01,2,1.458903433095473,3399,,,60,real_stave
ridge,0.01,-1,1.3525234231926315,0,,,60,real_stave
ridge,0.1,0,1.234958784012514,2799,,,60,real_stave
ridge,0.1,1,1.3413450966368594,2838,,,60,real_stave
ridge,0.1,2,1.455612363860806,3399,,,60,real_stave
ridge,0.1,-1,1.343972081503393,0,,,60,real_stave
ridge,1.0,0,1.2456161404241168,2799,,,60,real_stave
ridge,1.0,1,1.3387792208884368,2838,,,60,real_stave
ridge,1.0,2,1.4563937248085839,3399,,,60,real_stave
ridge,1.0,-1,1.3469296953737127,0,,,60,real_stave
ridge,10.0,0,1.2288410830356873,2799,,,60,real_stave
ridge,10.0,1,1.3332675034178152,2838,,,60,real_stave
ridge,10.0,2,1.4536239058508624,3399,,,60,real_stave
ridge,10.0,-1,1.3385774974347884,0,,,60,real_stave
ridge,100.0,0,1.1969274196200514,2799,,,60,real_stave
ridge,100.0,1,1.2950410451591463,2838,,,60,real_stave
ridge,100.0,2,1.4221737181234915,3399,,,60,real_stave
ridge,100.0,-1,1.3047140609675631,0,,,60,real_stave
gradient_boosted_trees,,0,1.152754529177185,2799,0.03,15.0,60,real_stave
gradient_boosted_trees,,1,1.1562059590913751,2838,0.03,15.0,60,real_stave
gradient_boosted_trees,,2,1.211839851767271,3399,0.03,15.0,60,real_stave
gradient_boosted_trees,,-1,1.173600113345277,0,0.03,15.0,60,real_stave
gradient_boosted_trees,,0,1.1002685205055718,2799,0.03,31.0,60,real_stave
gradient_boosted_trees,,1,1.1306996995152858,2838,0.03,31.0,60,real_stave
gradient_boosted_trees,,2,1.1831966605332795,3399,0.03,31.0,60,real_stave
gradient_boosted_trees,,-1,1.1380549601847123,0,0.03,31.0,60,real_stave
gradient_boosted_trees,,0,1.1187520526207126,2799,0.06,15.0,60,real_stave
gradient_boosted_trees,,1,1.2103835850795817,2838,0.06,15.0,60,real_stave
gradient_boosted_trees,,2,1.2560981316128694,3399,0.06,15.0,60,real_stave
gradient_boosted_trees,,-1,1.195077923104388,0,0.06,15.0,60,real_stave
gradient_boosted_trees,,0,1.109456753419727,2799,0.06,31.0,60,real_stave
gradient_boosted_trees,,1,1.2076917864608114,2838,0.06,31.0,60,real_stave
gradient_boosted_trees,,2,1.2139381899248642,3399,0.06,31.0,60,real_stave
gradient_boosted_trees,,-1,1.1770289099351343,0,0.06,31.0,60,real_stave
ridge,0.01,0,1.3624047092348304,2622,,,61,real_stave
ridge,0.01,1,1.2812195592391589,2640,,,61,real_stave
ridge,0.01,2,1.3039179127067575,3399,,,61,real_stave
ridge,0.01,-1,1.3158473937269155,0,,,61,real_stave
ridge,0.1,0,1.3672756458783426,2622,,,61,real_stave
ridge,0.1,1,1.2783975423812928,2640,,,61,real_stave
ridge,0.1,2,1.3022862185105344,3399,,,61,real_stave
ridge,0.1,-1,1.3159864689233898,0,,,61,real_stave
ridge,1.0,0,1.3591455026788763,2622,,,61,real_stave
ridge,1.0,1,1.284018388670781,2640,,,61,real_stave
ridge,1.0,2,1.3026174719020858,3399,,,61,real_stave
ridge,1.0,-1,1.315260454417248,0,,,61,real_stave
ridge,10.0,0,1.3363138551393758,2622,,,61,real_stave
ridge,10.0,1,1.2714084765480853,2640,,,61,real_stave
ridge,10.0,2,1.2963684512372367,3399,,,61,real_stave
ridge,10.0,-1,1.3013635943082327,0,,,61,real_stave
ridge,100.0,0,1.302430981487629,2622,,,61,real_stave
ridge,100.0,1,1.2408660078049145,2640,,,61,real_stave
ridge,100.0,2,1.2744834453686182,3399,,,61,real_stave
ridge,100.0,-1,1.2725934782203874,0,,,61,real_stave
gradient_boosted_trees,,0,1.0937958082263879,2622,0.03,15.0,61,real_stave
gradient_boosted_trees,,1,1.0900528379344496,2640,0.03,15.0,61,real_stave
gradient_boosted_trees,,2,1.0945518953194242,3399,0.03,15.0,61,real_stave
gradient_boosted_trees,,-1,1.0928001804934206,0,0.03,15.0,61,real_stave
gradient_boosted_trees,,0,1.0803782010991578,2622,0.03,31.0,61,real_stave
gradient_boosted_trees,,1,1.1025764920969454,2640,0.03,31.0,61,real_stave
gradient_boosted_trees,,2,1.0636867845664404,3399,0.03,31.0,61,real_stave
gradient_boosted_trees,,-1,1.0822138259208478,0,0.03,31.0,61,real_stave
gradient_boosted_trees,,0,1.1587654988156886,2622,0.06,15.0,61,real_stave
gradient_boosted_trees,,1,1.1219753492917903,2640,0.06,15.0,61,real_stave
gradient_boosted_trees,,2,1.1199545335428434,3399,0.06,15.0,61,real_stave
gradient_boosted_trees,,-1,1.1335651272167742,0,0.06,15.0,61,real_stave
gradient_boosted_trees,,0,1.147737041417692,2622,0.06,31.0,61,real_stave
gradient_boosted_trees,,1,1.1549998699751267,2640,0.06,31.0,61,real_stave
gradient_boosted_trees,,2,1.1062902510079735,3399,0.06,31.0,61,real_stave
gradient_boosted_trees,,-1,1.1363423874669307,0,0.06,31.0,61,real_stave
ridge,0.01,0,1.2740359669579693,2799,,,62,real_stave
ridge,0.01,1,1.4793927490602619,2841,,,62,real_stave
ridge,0.01,2,1.4465442105680748,3399,,,62,real_stave
ridge,0.01,-1,1.3999909755287685,0,,,62,real_stave
ridge,0.1,0,1.2742994640976812,2799,,,62,real_stave
ridge,0.1,1,1.4725458414860677,2841,,,62,real_stave
ridge,0.1,2,1.4408800128192956,3399,,,62,real_stave
ridge,0.1,-1,1.3959084394676815,0,,,62,real_stave
ridge,1.0,0,1.2766821110832933,2799,,,62,real_stave
ridge,1.0,1,1.464940408068525,2841,,,62,real_stave
ridge,1.0,2,1.409678282747393,3399,,,62,real_stave
ridge,1.0,-1,1.3837669339664036,0,,,62,real_stave
ridge,10.0,0,1.2486700532529977,2799,,,62,real_stave
ridge,10.0,1,1.4483579731548515,2841,,,62,real_stave
ridge,10.0,2,1.4087950393604227,3399,,,62,real_stave
ridge,10.0,-1,1.3686076885894238,0,,,62,real_stave
ridge,100.0,0,1.2075987313367453,2799,,,62,real_stave
ridge,100.0,1,1.379662715722648,2841,,,62,real_stave
ridge,100.0,2,1.395830855789499,3399,,,62,real_stave
ridge,100.0,-1,1.3276974342829642,0,,,62,real_stave
gradient_boosted_trees,,0,1.093991263919626,2799,0.03,15.0,62,real_stave
gradient_boosted_trees,,1,1.2293327087380006,2841,0.03,15.0,62,real_stave
gradient_boosted_trees,,2,1.2147786565413026,3399,0.03,15.0,62,real_stave
gradient_boosted_trees,,-1,1.1793675430663098,0,0.03,15.0,62,real_stave
gradient_boosted_trees,,0,1.0585308333350671,2799,0.03,31.0,62,real_stave
gradient_boosted_trees,,1,1.2140823151875182,2841,0.03,31.0,62,real_stave
gradient_boosted_trees,,2,1.169381812584029,3399,0.03,31.0,62,real_stave
gradient_boosted_trees,,-1,1.1473316537022047,0,0.03,31.0,62,real_stave
gradient_boosted_trees,,0,1.0830992285138505,2799,0.06,15.0,62,real_stave
gradient_boosted_trees,,1,1.2787152082738487,2841,0.06,15.0,62,real_stave
gradient_boosted_trees,,2,1.251891139562218,3399,0.06,15.0,62,real_stave
gradient_boosted_trees,,-1,1.2045685254499725,0,0.06,15.0,62,real_stave
gradient_boosted_trees,,0,1.0574155905945326,2799,0.06,31.0,62,real_stave
gradient_boosted_trees,,1,1.2832638428100385,2841,0.06,31.0,62,real_stave
gradient_boosted_trees,,2,1.2062239615883406,3399,0.06,31.0,62,real_stave
gradient_boosted_trees,,-1,1.182301131664304,0,0.06,31.0,62,real_stave
ridge,0.01,0,1.2587849236565738,2799,,,63,real_stave
ridge,0.01,1,1.4368115303102764,2841,,,63,real_stave
ridge,0.01,2,1.4155945930882998,4710,,,63,real_stave
ridge,0.01,-1,1.37039701568505,0,,,63,real_stave
ridge,0.1,0,1.262662301646215,2799,,,63,real_stave
ridge,0.1,1,1.4324169429730083,2841,,,63,real_stave
ridge,0.1,2,1.4097988597056688,4710,,,63,real_stave
ridge,0.1,-1,1.3682927014416306,0,,,63,real_stave
ridge,1.0,0,1.2569805485329542,2799,,,63,real_stave
ridge,1.0,1,1.4366512516388092,2841,,,63,real_stave
ridge,1.0,2,1.3984369241985686,4710,,,63,real_stave
ridge,1.0,-1,1.364022908123444,0,,,63,real_stave
ridge,10.0,0,1.2589220618068886,2799,,,63,real_stave
ridge,10.0,1,1.42291755128485,2841,,,63,real_stave
ridge,10.0,2,1.3958398075192713,4710,,,63,real_stave
ridge,10.0,-1,1.3592264735370032,0,,,63,real_stave
ridge,100.0,0,1.2102748734766287,2799,,,63,real_stave
ridge,100.0,1,1.363267905429098,2841,,,63,real_stave
ridge,100.0,2,1.3741379700602814,4710,,,63,real_stave
ridge,100.0,-1,1.315893582988669,0,,,63,real_stave
gradient_boosted_trees,,0,1.0844547701847524,2799,0.03,15.0,63,real_stave
gradient_boosted_trees,,1,1.1649342833840632,2841,0.03,15.0,63,real_stave
gradient_boosted_trees,,2,1.1863047264089697,4710,0.03,15.0,63,real_stave
gradient_boosted_trees,,-1,1.1452312599925951,0,0.03,15.0,63,real_stave
gradient_boosted_trees,,0,1.0550972119744286,2799,0.03,31.0,63,real_stave
gradient_boosted_trees,,1,1.1511620039271262,2841,0.03,31.0,63,real_stave
gradient_boosted_trees,,2,1.1320023434360307,4710,0.03,31.0,63,real_stave
gradient_boosted_trees,,-1,1.1127538531125285,0,0.03,31.0,63,real_stave
gradient_boosted_trees,,0,1.0648636387096968,2799,0.06,15.0,63,real_stave
gradient_boosted_trees,,1,1.1903011189501824,2841,0.06,15.0,63,real_stave
gradient_boosted_trees,,2,1.203983136915559,4710,0.06,15.0,63,real_stave
gradient_boosted_trees,,-1,1.1530492981918128,0,0.06,15.0,63,real_stave
gradient_boosted_trees,,0,1.0653172400375932,2799,0.06,31.0,63,real_stave
gradient_boosted_trees,,1,1.237427782437691,2841,0.06,31.0,63,real_stave
gradient_boosted_trees,,2,1.180163785012741,4710,0.06,31.0,63,real_stave
gradient_boosted_trees,,-1,1.1609696024960083,0,0.06,31.0,63,real_stave
ridge,0.01,0,1.2349110037809599,3018,,,65,real_stave
ridge,0.01,1,1.4861223128811676,3534,,,65,real_stave
ridge,0.01,2,1.4036562991457906,4710,,,65,real_stave
ridge,0.01,-1,1.3748965386026395,0,,,65,real_stave
ridge,0.1,0,1.2348305752047057,3018,,,65,real_stave
ridge,0.1,1,1.477967086698378,3534,,,65,real_stave
ridge,0.1,2,1.3892133099958885,4710,,,65,real_stave
ridge,0.1,-1,1.3673369906329906,0,,,65,real_stave
ridge,1.0,0,1.2474787034241612,3018,,,65,real_stave
ridge,1.0,1,1.472755354531232,3534,,,65,real_stave
ridge,1.0,2,1.38034473809194,4710,,,65,real_stave
ridge,1.0,-1,1.3668595986824446,0,,,65,real_stave
ridge,10.0,0,1.246196516263121,3018,,,65,real_stave
ridge,10.0,1,1.4607247376310328,3534,,,65,real_stave
ridge,10.0,2,1.3739663102904036,4710,,,65,real_stave
ridge,10.0,-1,1.3602958547281858,0,,,65,real_stave
ridge,100.0,0,1.1983994796369273,3018,,,65,real_stave
ridge,100.0,1,1.423819082946119,3534,,,65,real_stave
ridge,100.0,2,1.3558200203936588,4710,,,65,real_stave
ridge,100.0,-1,1.326012860992235,0,,,65,real_stave
gradient_boosted_trees,,0,1.1107807910830747,3018,0.03,15.0,65,real_stave
gradient_boosted_trees,,1,1.1599994482960987,3534,0.03,15.0,65,real_stave
gradient_boosted_trees,,2,1.1245580049257264,4710,0.03,15.0,65,real_stave
gradient_boosted_trees,,-1,1.1317794147683,0,0.03,15.0,65,real_stave
gradient_boosted_trees,,0,1.096314244870678,3018,0.03,31.0,65,real_stave
gradient_boosted_trees,,1,1.1734172722948424,3534,0.03,31.0,65,real_stave
gradient_boosted_trees,,2,1.0952887457824194,4710,0.03,31.0,65,real_stave
gradient_boosted_trees,,-1,1.1216734209826467,0,0.03,31.0,65,real_stave
gradient_boosted_trees,,0,1.094946152561266,3018,0.06,15.0,65,real_stave
gradient_boosted_trees,,1,1.2139297787984493,3534,0.06,15.0,65,real_stave
gradient_boosted_trees,,2,1.170255661926894,4710,0.06,15.0,65,real_stave
gradient_boosted_trees,,-1,1.1597105310955362,0,0.06,15.0,65,real_stave
gradient_boosted_trees,,0,1.0821602065345874,3018,0.06,31.0,65,real_stave
gradient_boosted_trees,,1,1.2373662485930743,3534,0.06,31.0,65,real_stave
gradient_boosted_trees,,2,1.1404038112538217,4710,0.06,31.0,65,real_stave
gradient_boosted_trees,,-1,1.1533100887938277,0,0.06,31.0,65,real_stave
