run,method,method_label,abstention_budget,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns
59,ridge,Ridge residual scale model,0.1,0.021406727828746197,2240,1,1.4900148868560783,1.9311994826505923,0.008928571428571428,1.126623564499539,0.4517857142857143,0.8767857142857143,0.15205903178278574,0.14570016496197405,1.3413717900402844
59,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.13805155089558763,1973,1,1.416813112751416,2.574030579785035,0.019766852508869743,2.726089897514842,0.434363912823112,0.676634566649772,0.26084550633205805,0.6271566041277541,1.0559898478928946
60,cnn1d,1D-CNN residual scale model,0.1,0.09240924092409242,2200,1,1.2773870776254994,1.4846507876461357,0.0022727272727272726,0.9432407273421117,0.5513636363636364,0.9368181818181818,0.09407201879577273,0.07383474135221071,1.366925286210396
60,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.07590759075907594,2240,1,1.3621870495234571,1.5104617958427784,0.005803571428571429,0.9739609667730893,0.5495535714285714,0.9066964285714286,0.09223760321135716,0.07367903214381695,1.411305594087135
60,mlp,MLP residual scale model,0.1,0.08704620462046209,2213,1,1.5003996783719766,1.6701658672877502,0.0063262539539087215,1.0803935911082538,0.5119746949841844,0.877541798463624,0.12775459694965682,0.11283029668677558,1.4310549348390753
60,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.07219471947194722,2249,1,1.2636297783789128,1.4323483787444833,0.004446420631391729,0.8387622731543685,0.6389506447309915,0.9622054246331703,0.0690093784066543,0.07154784432286618,1.5029441301251893
60,ridge,Ridge residual scale model,0.1,0.08292079207920788,2223,1,1.382764602922691,1.7142835701620578,0.004048582995951417,0.9559100296318082,0.5177687809266757,0.9073324336482231,0.11033934795783874,0.09050439897203294,1.4261843451791876
60,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.08993399339933994,2206,1,1.3167045581733758,2.4624940234179524,0.019038984587488667,2.961921675054262,0.3866727107887579,0.6387126019945603,0.3036520896768409,0.7182194860211961,1.0052396846909684
61,cnn1d,1D-CNN residual scale model,0.1,0.12933190425151841,2437,1,1.5813485358052664,1.7226248538525686,0.004924086992203529,1.289289617920084,0.32868280672958555,0.9023389413212967,0.21720646129213567,0.22704095582458433,1.3679912736303845
61,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.05359056806002138,2649,1,1.9111473439734548,2.0366209503823502,0.026047565118912798,1.4055280615414625,0.3310683276708192,0.7455643639109097,0.2801235305154611,0.3104270981530487,1.3852220576210446
61,mlp,MLP residual scale model,0.1,0.05966416577349054,2632,1,1.8796954720314099,2.111509539619485,0.026975683890577508,1.2777117732678287,0.3879179331306991,0.8054711246200608,0.21965021719312006,0.23416560621179722,1.4835764700518552
61,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.12826009289031792,2440,1,1.556572522272259,1.6086830150287792,0.005327868852459016,0.9783761477702075,0.5413934426229509,0.9692622950819673,0.09065188123097134,0.06820851951419507,1.6481850195384764
61,ridge,Ridge residual scale model,0.1,0.04966059306895321,2660,1,2.027133602807356,2.3288351279879755,0.04887218045112782,1.267485924094989,0.3176691729323308,0.7571428571428571,0.27893873103090605,0.2760755292969268,1.4515164363429063
