method,method_label,abstention_budget,sigma_hat_threshold_ns,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high
cnn1d,1D-CNN residual scale model,0.05,3.3877464532852164,0.050000000000000044,10887,7,1.4287003588559872,1.6714245084564798,0.003674106732800588,1.0338369589469232,0.45540552953063285,0.9357031321759897,0.14211401216568015,0.1043829503857452,1.4343687605680464,600,0.36777217585662586,0.5333634885638369,0.9207743340595,0.9483697240947522,0.07694418659223273,0.1704708777081276,1.340887309085059,1.5620006354145524,0.0024394173846154087,0.005092129280315181,0.03649767111703779,0.06473345049794965
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.05,3.6959463612060186,0.050000000000000044,10887,7,1.435645207501671,1.6558757976702492,0.004776338752640765,0.9193340420538039,0.6278129879673005,0.9612381739689538,0.05515426222566782,0.050483724577629355,1.6596935613446766,600,0.5666688224941593,0.6824359513544419,0.954631616860422,0.9685676179907842,0.038815913885070205,0.0699248919805731,1.3366702365623915,1.55264485971696,0.003060574037388369,0.0068458883996410985,0.035720312369501996,0.06335816269829284
traditional,S02/S03/S04 atom robust-width baseline,0.1,1.7658184336174991,0.09808027923211171,10336,7,1.5302186086393004,2.672147103643689,0.033862229102167185,2.9652443561385806,0.36784055727554177,0.6034249226006192,0.3307120061304195,0.7393450936324598,1.0148540746202062,600,0.30667976888457327,0.42014137080311525,0.5265662679069074,0.6621054154779143,0.6666185976516148,0.8200971069687912,1.3374630040743207,1.8682779284710669,0.015993313435660506,0.058371957766743345,0.05665592285718373,0.13346258590534743
ridge,Ridge residual scale model,0.1,2.3036417722702027,0.09999999999999998,10314,7,1.5513143162823273,1.9760778879377001,0.017064184603451618,1.0723847192361704,0.4654838084157456,0.8681403917006011,0.14953264601032665,0.13024566431678758,1.4304639067279061,600,0.37930762354035946,0.556092837127259,0.808221055354666,0.9225937319707104,0.06645900345727782,0.21193402046019383,1.4151767358136598,1.8336170302487447,0.004286131689394053,0.034687456018899415,0.04633482336154815,0.17513134851138357
gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,2.321950002658781,0.09999999999999998,10314,7,1.5226551431589093,1.7301120800703824,0.010955982160170642,1.0979280222766568,0.4926313748303277,0.8629047896063603,0.14293481781563983,0.12950404194815213,1.425902209630169,600,0.40167462242741997,0.5766828487348082,0.7964563435138429,0.9128801565001,0.06415166448272382,0.23338355532991395,1.3781016464945135,1.749251640841722,0.004942586535489853,0.019330809544541777,0.05676114555653966,0.16187437138440566
mlp,MLP residual scale model,0.1,2.6054734230041507,0.09999999999999998,10314,7,1.6284973479850697,1.9131168156916576,0.012507271669575335,1.118729823477409,0.49195268566996314,0.8688190808609657,0.13949774199636503,0.1325363227699613,1.4787518803997513,600,0.42938217348129454,0.5490736592193928,0.8312866252101558,0.9067374486918021,0.07833558091133232,0.19250568068517632,1.51094682442747,1.7912905653184805,0.0067079008984510195,0.020752210232911624,0.07109630120304138,0.14788927314158595
cnn1d,1D-CNN residual scale model,0.1,2.7873632907867436,0.09999999999999998,10314,7,1.3810282351224137,1.594141561028289,0.0031995346131471784,1.0607051186599328,0.4567578049253442,0.9324219507465581,0.14122839935529463,0.11136081362008128,1.3444959324460772,600,0.3746137270158677,0.5282137889926485,0.9167750552943941,0.9454233412698095,0.07329238201043538,0.1745964411739068,1.293478533855682,1.4792915814824192,0.002346592101697383,0.004102210150864008,0.07788451465259771,0.11665308239407243
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,3.1163346377834844,0.09999999999999998,10314,7,1.3869514753254475,1.4933028870145757,0.0034904013961605585,0.9428006193424179,0.6237153383750242,0.9598603839441536,0.0601050524267196,0.046534742697607795,1.5648004351695397,600,0.5659733254907879,0.6726368081834748,0.9529198625342088,0.968421052631579,0.035360687216137235,0.06453832036736781,1.307894300045699,1.4974842228902963,0.002127444027960693,0.00475312386088637,0.07321245295928835,0.1238338110667996
traditional,S02/S03/S04 atom robust-width baseline,0.2,1.548799679710527,0.1958987783595113,9215,7,1.512632078542578,2.6500519188493143,0.03494302767227347,3.327936717070876,0.35355398806294086,0.5727618014107434,0.3531868513316579,0.8468743177664625,0.9386982387206568,600,0.28615209278755477,0.408356999821832,0.4913094951653853,0.6325232821545432,0.7672017594322214,0.8938745510889724,1.3108501906917105,1.9380591793179427,0.015014533537593048,0.06337490071057501,0.1353979263604488,0.25737265415549593
ridge,Ridge residual scale model,0.2,2.064883184432983,0.19999999999999996,9168,7,1.5602948330678101,1.92164640048823,0.01614310645724258,1.1665913277498319,0.45157068062827227,0.8591841186736475,0.16096734641754015,0.16237334175061305,1.3383007536383824,600,0.377180198780924,0.5385368817750678,0.8033350640424777,0.9102100827631487,0.09421722254371358,0.2336592710321889,1.4251841566224415,1.8134400004071334,0.003117331430433787,0.03212941055610792,0.0974519316842279,0.32054357173400994
gradient_boosted_trees,HistGradientBoosting residual scale model,0.2,2.1373154085178565,0.19999999999999996,9168,7,1.5551119473151604,1.7288326909639449,0.010471204188481676,1.1875432224206384,0.48211169284467714,0.8488219895287958,0.15254675304930276,0.16046144630836703,1.3268105346559724,600,0.3970145724859965,0.5655905402527871,0.7781837243363443,0.8994091580502216,0.0846725398582286,0.2675608684452517,1.3949273766734362,1.8193705739608037,0.003688952741636703,0.020449955111056153,0.11527857921395135,0.33890365545325074
mlp,MLP residual scale model,0.2,2.29051365852356,0.19999999999999996,9168,7,1.6378160375174613,1.8869552976223447,0.012216404886561954,1.2103616892671683,0.475021815008726,0.8549301919720768,0.15161961517844763,0.1661796974004533,1.3592524613996555,600,0.4154517706969777,0.5281986848182806,0.818650305000376,0.8903768598162523,0.1175884609976252,0.22545394111622832,1.4998255427191818,1.8103999167676645,0.006202117415960395,0.020521283719462616,0.15125019174720045,0.2695349537837844
cnn1d,1D-CNN residual scale model,0.2,2.2301167964935305,0.19999999999999996,9168,7,1.3309974245699134,1.5275627876018252,0.0028359511343804536,1.110677623174485,0.45549738219895286,0.9246291448516579,0.14241368149607417,0.1264135674392371,1.2047724893371887,600,0.37664266850672606,0.5263484190948543,0.906397607006842,0.9398207716915823,0.07203889187146573,0.19238245229165002,1.2512464975853155,1.4375975424776881,0.001997505307801065,0.00357725265347463,0.16654318688745032,0.22518218871756257
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.2,2.5735964706877725,0.19999999999999996,9168,7,1.3465180998469424,1.4025191522971774,0.0031631762652705063,0.9909570140379538,0.6136561954624782,0.9556064572425829,0.060851491488547786,0.03613355784192469,1.410367110890222,600,0.5670729913072349,0.6582667840644285,0.9478379842316156,0.9638348230078911,0.026793447588572224,0.0576643983416746,1.2769019104800754,1.4251027603099409,0.0019391083150389454,0.004210037998770317,0.16347708406062555,0.23151559403837718
