method,event_id,pair,residual_ns
analytic_polynomial_timewalk,65:669969:6739:245009,B4-B8,2.3195544069727845
analytic_polynomial_timewalk,65:670593:7322:245633,B4-B8,2.2523999057657704
analytic_polynomial_timewalk,65:670708:7428:245748,B4-B8,1.4587304326196886
analytic_polynomial_timewalk,65:671756:8387:246796,B4-B8,2.280006690989552
analytic_polynomial_timewalk,65:672239:8844:247279,B4-B8,1.2312610040167513
analytic_polynomial_timewalk,65:672890:9443:247930,B4-B8,1.1136317572591992
analytic_polynomial_timewalk,65:674077:10572:249117,B4-B8,-0.7275252472333449
analytic_polynomial_timewalk,65:674255:10737:249295,B4-B8,2.2570448463134127
analytic_polynomial_timewalk,65:674617:11075:249657,B4-B8,2.2290124469620665
analytic_polynomial_timewalk,65:674684:11140:249724,B4-B8,-0.2135513349289866
analytic_polynomial_timewalk,65:676071:12428:251111,B4-B8,0.2570558327273318
analytic_polynomial_timewalk,65:677190:13474:252230,B4-B8,-2.081800354686571
analytic_polynomial_timewalk,65:678223:14427:253263,B4-B8,2.1600463794251397
analytic_polynomial_timewalk,65:678819:14965:253859,B4-B8,1.942771790472321
analytic_polynomial_timewalk,65:680356:6:255396,B4-B8,3.203135824760132
analytic_polynomial_timewalk,65:681202:802:256242,B4-B8,2.1732218794006357
analytic_polynomial_timewalk,65:682284:1811:257324,B4-B8,1.3081343844890228
analytic_polynomial_timewalk,65:682664:2163:257704,B4-B8,2.6988159255195185
analytic_polynomial_timewalk,65:682740:2234:257780,B4-B8,2.1939894613982034
analytic_polynomial_timewalk,65:682871:2356:257911,B4-B8,0.5373772107335384
analytic_polynomial_timewalk,65:683474:2923:258514,B4-B8,1.727088754472831
analytic_polynomial_timewalk,65:683541:2987:258581,B4-B8,1.538999371107991
analytic_polynomial_timewalk,65:684986:4332:260026,B4-B8,-0.4684881998719135
analytic_polynomial_timewalk,65:685607:4902:260647,B4-B8,1.9169553988283923
analytic_polynomial_timewalk,65:685699:4986:260739,B4-B8,2.5585438645221643
analytic_polynomial_timewalk,65:686924:6129:261964,B4-B8,4.323389953841684
analytic_polynomial_timewalk,65:686970:6168:262010,B4-B8,1.9140492786416416
analytic_polynomial_timewalk,65:649169:4127:224209,B6-B8,-0.03680159270088268
analytic_polynomial_timewalk,65:650188:5110:225228,B6-B8,0.25435300884754497
analytic_polynomial_timewalk,65:651341:6223:226381,B6-B8,-0.9857825700102154
analytic_polynomial_timewalk,65:651631:6497:226671,B6-B8,-3.0405119462312555
analytic_polynomial_timewalk,65:651940:6301:226980,B6-B8,-0.554469370873278
analytic_polynomial_timewalk,65:652313:6632:227353,B6-B8,-1.8538149465145395
analytic_polynomial_timewalk,65:652429:6743:227469,B6-B8,-0.06367735021837007
analytic_polynomial_timewalk,65:652612:6917:227652,B6-B8,-0.41470869114081665
analytic_polynomial_timewalk,65:653933:8154:228973,B6-B8,-0.22170682541381836
analytic_polynomial_timewalk,65:654599:8777:229639,B6-B8,1.1510961885801052
analytic_polynomial_timewalk,65:655258:9389:230298,B6-B8,-0.015513107251578617
analytic_polynomial_timewalk,65:655456:9566:230496,B6-B8,1.0198011515213778
analytic_polynomial_timewalk,65:655741:9833:230781,B6-B8,0.3044271182826961
analytic_polynomial_timewalk,65:656000:10073:231040,B6-B8,-0.518740983734638
analytic_polynomial_timewalk,65:656462:10504:231502,B6-B8,0.08837494807751511
analytic_polynomial_timewalk,65:657071:11070:232111,B6-B8,-2.519286430280495
analytic_polynomial_timewalk,65:657490:11464:232530,B6-B8,1.063339389532537
analytic_polynomial_timewalk,65:657989:11933:233029,B6-B8,-1.200888686834304
analytic_polynomial_timewalk,65:659709:13573:234749,B6-B8,0.5570805127085094
analytic_polynomial_timewalk,65:660196:14017:235236,B6-B8,-0.5110402768466216
analytic_polynomial_timewalk,65:660531:14330:235571,B6-B8,-0.008067795705983372
analytic_polynomial_timewalk,65:660663:14455:235703,B6-B8,-1.1644052897517199
analytic_polynomial_timewalk,65:660707:14496:235747,B6-B8,0.2790802689770544
analytic_polynomial_timewalk,65:662155:15837:237195,B6-B8,-0.7210194759380855
analytic_polynomial_timewalk,65:662241:15919:237281,B6-B8,-2.720611480306111
analytic_polynomial_timewalk,65:662756:13:237796,B6-B8,-0.12891492152826345
analytic_polynomial_timewalk,65:663859:1029:238899,B6-B8,-0.8607768267288876
analytic_polynomial_timewalk,65:664527:1645:239567,B6-B8,1.4669605565112178
analytic_polynomial_timewalk,65:664907:1997:239947,B6-B8,0.23706040208148238
analytic_polynomial_timewalk,65:665457:2517:240497,B6-B8,0.05755236810794884
analytic_polynomial_timewalk,65:665509:2565:240549,B6-B8,-0.6054934297644081
analytic_polynomial_timewalk,65:665719:2794:240759,B6-B8,-2.3166899715730693
analytic_polynomial_timewalk,65:665814:2882:240854,B6-B8,-0.054966780872554466
analytic_polynomial_timewalk,65:666623:3632:241663,B6-B8,-0.3465031375163363
analytic_polynomial_timewalk,65:667306:4269:242346,B6-B8,-2.4876696544572283
analytic_polynomial_timewalk,65:668204:5102:243244,B6-B8,-0.23521756345552092
analytic_polynomial_timewalk,65:669147:5974:244187,B6-B8,0.7245561816809669
analytic_polynomial_timewalk,65:669345:6160:244385,B6-B8,0.28213717783947345
analytic_polynomial_timewalk,65:669500:6304:244540,B6-B8,-0.11667410981176118
analytic_polynomial_timewalk,65:669969:6739:245009,B6-B8,0.2908173011955597
analytic_polynomial_timewalk,65:670593:7322:245633,B6-B8,0.3729568556430962
analytic_polynomial_timewalk,65:670708:7428:245748,B6-B8,-0.6559978031268017
analytic_polynomial_timewalk,65:671756:8387:246796,B6-B8,0.08115825479003291
analytic_polynomial_timewalk,65:672239:8844:247279,B6-B8,0.5477398623267362
analytic_polynomial_timewalk,65:672890:9443:247930,B6-B8,-0.8348208710774117
analytic_polynomial_timewalk,65:674077:10572:249117,B6-B8,-3.348503021048316
analytic_polynomial_timewalk,65:674255:10737:249295,B6-B8,0.5504380899365628
analytic_polynomial_timewalk,65:674617:11075:249657,B6-B8,-0.7522826745040447
analytic_polynomial_timewalk,65:674684:11140:249724,B6-B8,-1.6428035784891648
analytic_polynomial_timewalk,65:676071:12428:251111,B6-B8,-2.7344132598613484
analytic_polynomial_timewalk,65:677190:13474:252230,B6-B8,-1.5216513902036581
analytic_polynomial_timewalk,65:678223:14427:253263,B6-B8,0.1126798709499468
