run,event_index,eventno,evt,group,depth_idx,multiplicity
31,283,391673,5181,sample_i_calib,0,1
31,286,391676,5182,sample_i_calib,0,1
31,287,391677,5183,sample_i_calib,0,1
31,288,391678,5184,sample_i_calib,0,1
31,290,391680,5186,sample_i_calib,0,1
31,291,391681,5187,sample_i_calib,0,1
31,294,391684,5190,sample_i_calib,0,1
31,295,391685,5191,sample_i_calib,0,1
31,296,391686,5192,sample_i_calib,0,1
31,298,391688,5193,sample_i_calib,0,1
31,299,391689,5194,sample_i_calib,0,1
31,304,391694,5198,sample_i_calib,3,4
31,305,391695,5199,sample_i_calib,0,1
31,306,391696,5200,sample_i_calib,0,1
31,308,391698,5202,sample_i_calib,0,1
31,309,391699,5203,sample_i_calib,0,1
31,310,391700,5204,sample_i_calib,0,1
31,311,391701,5205,sample_i_calib,0,1
31,312,391702,5206,sample_i_calib,0,1
31,313,391703,5207,sample_i_calib,0,1
31,315,391705,5209,sample_i_calib,0,1
31,316,391706,5210,sample_i_calib,0,1
31,317,391707,5211,sample_i_calib,0,1
31,318,391708,5212,sample_i_calib,0,1
31,321,391711,5214,sample_i_calib,0,1
31,323,391713,5216,sample_i_calib,0,1
31,324,391714,5217,sample_i_calib,0,1
31,325,391715,5218,sample_i_calib,0,1
31,326,391716,5219,sample_i_calib,0,1
31,327,391717,5220,sample_i_calib,0,1
31,328,391718,5220,sample_i_calib,0,1
31,329,391719,5221,sample_i_calib,0,1
31,330,391720,5222,sample_i_calib,0,1
31,331,391721,5223,sample_i_calib,0,1
31,332,391722,5224,sample_i_calib,0,1
31,335,391725,5227,sample_i_calib,0,1
31,337,391727,5229,sample_i_calib,0,1
31,338,391728,5230,sample_i_calib,0,1
31,340,391730,5231,sample_i_calib,0,1
31,341,391731,5232,sample_i_calib,0,1
31,342,391732,5233,sample_i_calib,0,1
31,343,391733,5234,sample_i_calib,0,1
31,344,391734,5235,sample_i_calib,0,1
31,345,391735,5236,sample_i_calib,0,1
31,346,391736,5237,sample_i_calib,0,1
31,347,391737,5238,sample_i_calib,0,1
31,348,391738,5239,sample_i_calib,0,1
31,349,391739,5239,sample_i_calib,0,1
31,350,391740,5240,sample_i_calib,0,1
31,351,391741,5241,sample_i_calib,0,1
31,352,391742,5242,sample_i_calib,0,1
31,353,391743,5243,sample_i_calib,0,1
31,354,391744,5244,sample_i_calib,1,2
31,355,391745,5245,sample_i_calib,0,1
31,359,391749,5248,sample_i_calib,0,1
31,360,391750,5249,sample_i_calib,0,1
31,364,391754,5252,sample_i_calib,0,1
31,366,391756,5254,sample_i_calib,0,1
31,367,391757,5255,sample_i_calib,0,1
31,369,391759,5257,sample_i_calib,0,1
31,370,391760,5258,sample_i_calib,0,1
31,371,391761,5259,sample_i_calib,0,1
31,373,391763,5261,sample_i_calib,0,1
31,374,391764,5262,sample_i_calib,0,1
31,375,391765,5263,sample_i_calib,0,1
31,378,391768,5266,sample_i_calib,0,1
31,379,391769,5267,sample_i_calib,0,1
31,380,391770,5268,sample_i_calib,0,1
31,381,391771,5269,sample_i_calib,0,1
31,383,391773,5271,sample_i_calib,0,1
31,384,391774,5272,sample_i_calib,0,1
31,385,391775,5273,sample_i_calib,0,1
31,386,391776,5274,sample_i_calib,0,1
31,388,391778,5276,sample_i_calib,0,1
31,389,391779,5277,sample_i_calib,0,1
31,390,391780,5278,sample_i_calib,0,1
31,393,391783,5281,sample_i_calib,0,1
31,394,391784,5282,sample_i_calib,0,1
31,395,391785,5283,sample_i_calib,0,1
31,396,391786,5284,sample_i_calib,0,1
31,399,391789,5286,sample_i_calib,0,1
31,400,391790,5287,sample_i_calib,0,1
31,403,391793,5290,sample_i_calib,0,1
31,404,391794,5291,sample_i_calib,0,1
31,405,391795,5292,sample_i_calib,0,1
31,409,391799,5296,sample_i_calib,0,1
31,410,391800,5297,sample_i_calib,0,1
