late_residual_taxon,current_group,downstream_topology,amplitude_bin,run,n_pulses,mean_inflation20_ns,mean_live20_ns,inflated_label_rate,final_sample_censored_rate,mean_positive_residual_area
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,45,2183,-22.381630150818946,78.10018054409835,0.0,0.007787448465414567,0.0010589085962274607
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,49,1732,-11.143241655582433,89.9630371843069,0.0,0.05658198614318707,0.009538554613721079
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,56,1704,-14.792153760601261,90.02918156075948,0.0,0.04753521126760563,0.0062508603274976865
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,49,1683,-19.886622334824438,81.2196565050649,0.0,0.008318478906714201,0.0009629037887751983
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,48,1597,-9.989029748612959,90.36151515538435,0.0,0.06825297432686286,0.010128642999723153
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,48,1537,-18.98016912735353,81.37037577664378,0.0,0.006506180871828237,0.0011386982183896914
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,57,1532,-18.880221648620086,81.35974084264129,0.0,0.0039164490861618795,0.0013409430775201485
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,45,1521,-38.26248863545111,62.21932205946619,0.0,0.008547008547008548,0.0005076974948547328
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,57,1509,-11.028575026349927,89.21138746491143,0.0,0.06096752816434725,0.010063961272109932
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,50,1224,-14.714135606436106,88.0954294950253,0.0,0.05065359477124183,0.00824812835466457
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,45,1115,16.558036418209955,117.03984711312725,0.747085201793722,0.0,0.1362038464115417
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,49,1024,-36.90757549191042,64.1987033479789,0.0,0.0087890625,0.0007403340513578428
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,48,1023,-33.90073759039448,66.44980731360285,0.0,0.004887585532746823,0.0013965035352438576
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,56,1019,-21.77695895913923,83.04437636222153,0.0,0.005888125613346418,0.000355873652016667
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,51,1017,31.829431908404636,132.64394453546333,1.0,1.0,0.6017976929516735
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,57,1014,-34.66087470212872,65.57908778913264,0.0,0.007889546351084813,0.00095219020724767
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,54,1011,-16.83137920885301,88.6310057354713,0.0,0.05440158259149357,0.006101287923964743
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,55,1005,32.39641555506403,132.49615019234062,1.0,1.0,0.6032457184317935
final_sample_censored_tail,high_20nA,single_upstream,amp_2p5k_q95,44,1000,31.3535177056867,129.63806174758938,1.0,1.0,0.766124734713715
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,53,972,-17.267510781585198,86.23674772418627,0.0,0.040123456790123455,0.007038584637827054
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,45,944,32.94161981017861,133.42343050509592,1.0,1.0,0.612605852745043
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,48,804,16.923141729346952,117.27368663334427,0.7661691542288557,0.0,0.14469879055952076
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,50,794,-18.843717711707882,83.96584738975353,0.0,0.005037783375314861,0.0004052740529334916
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,53,771,27.65962225273445,131.16388075850594,1.0,1.0,0.555457962460883
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,49,763,15.87881606870875,116.98509490859807,0.7391874180865007,0.0,0.12686591980614587
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,54,744,25.81249439220797,131.27487933653228,1.0,1.0,0.5441968677630298
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,57,719,16.667547862450675,116.90751035371204,0.7649513212795549,0.0,0.1332857143365433
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,53,703,-21.39277126805165,82.11148723771983,0.0,0.008534850640113799,0.00019662150400765518
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,55,651,-15.423880268942039,84.67585436833454,0.0,0.04608294930875576,0.008783362126292885
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,54,592,-21.409712112966087,84.05267283135822,0.0,0.018581081081081082,0.00019397323272265935
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,56,585,14.412348185324467,119.23368350668521,0.717948717948718,0.0,0.10179496645709699
prompt_clean,low_2nA,single_upstream,amp_2p5k_q95,47,583,-6.59890676625174,96.70180640194165,0.0,0.017152658662092625,0.008355032643108232
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,55,576,-21.555095577923968,78.54463905935262,0.0,0.006944444444444444,0.0010062049708301313
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,56,575,-34.052912733278134,70.76842258808261,0.0,0.008695652173913044,0.00043978799527180613
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,51,570,-14.282702317336476,86.53181030972222,0.0,0.07017543859649122,0.009538077460508401
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,50,521,15.673883298941258,118.48344840040266,0.761996161228407,0.0,0.1165049398495248
prompt_clean,high_20nA,single_upstream,amp_1p5k_2p5k,51,510,-20.322365908352367,80.49214671870632,0.0,0.00784313725490196,0.0006185321602369807
prompt_clean,low_2nA,single_upstream,amp_1p5k_2p5k,47,509,-13.366086613968534,89.93462655422486,0.0,0.0,0.00021811348300464166
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,45,504,11.4707963843272,111.9526070792445,0.35119047619047616,0.0,0.06094914493224471
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,52,489,30.775830092692967,132.43328186473104,1.0,1.0,0.5908020057080077
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,50,479,-30.52307658020859,72.28648852125282,0.0,0.016701461377870562,0.00030055918630571716
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,45,456,29.665250845197832,130.73953089657692,0.9627192982456141,1.0,0.795313646007036
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,56,438,27.18237864680506,132.21137471753445,0.9703196347031964,1.0,0.8253754437328299
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,53,419,14.771879644338709,118.27613815011019,0.7326968973747017,0.0,0.12328536265500337
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,55,407,-35.723164707857535,64.37656992941905,0.0,0.007371007371007371,0.0016094633976883516
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,48,404,11.786218438327538,112.13676334232485,0.3886138613861386,0.0,0.06317198673990883
prompt_clean,high_20nA,two_staves,amp_2p5k_q95,45,394,-37.160792823267165,64.23925171068848,0.0,0.7563451776649747,0.005312224565424925
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,53,393,-39.2318360756014,64.27242243017008,0.0,0.017811704834605598,0.001940358949038093
prompt_clean,high_20nA,three_or_more_staves,amp_2p5k_q95,56,385,-30.223945407765232,75.11706562367688,0.0,0.6831168831168831,0.0072887838217580705
final_sample_censored_tail,low_2nA,single_upstream,amp_2p5k_q95,46,378,29.671600131025034,131.82962423240724,1.0,1.0,0.6815191754129785
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,50,372,28.686219450925392,131.30063465039882,0.9758064516129032,1.0,0.8942980332744324
prompt_clean,high_20nA,two_staves,amp_2p5k_q95,56,356,-34.91206882641783,70.60648798791314,0.0,0.7696629213483146,0.013606895055868644
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,45,352,25.767394803294135,126.24920549821144,0.9659090909090909,0.0,0.31497322704954533
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,57,350,10.996444577037758,111.23640706829912,0.3342857142857143,0.0,0.05495577707690477
prompt_clean,high_20nA,three_or_more_staves,amp_2p5k_q95,45,350,-30.07716666010215,71.38596536161936,0.0,0.7028571428571428,0.01103705462082063
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,55,348,17.130116518678363,117.22985115595493,0.7614942528735632,0.0,0.13075444557511284
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,54,347,-38.13489769964969,67.32748724467461,0.0,0.01440922190201729,0.00023192369723522508
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,54,336,14.670390515695468,120.13277546001977,0.7410714285714286,0.0,0.11788429729274919
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,53,325,26.95373050853483,130.89399587669516,0.9723076923076923,1.0,0.8745592203715638
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,57,325,27.87971979104428,129.75687274666453,0.9661538461538461,1.0,0.7478652515430939
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,49,318,11.99441261719842,113.10069145708775,0.44654088050314467,0.0,0.06335147115336943
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,49,316,32.26242641246624,133.36870525235557,0.9968354430379747,1.0,0.606915174814329
prompt_clean,high_20nA,single_upstream,amp_2p5k_q95,52,316,-13.913778343109609,87.74367342892847,0.0,0.05063291139240506,0.010223587148899302
late_rebound_peak,low_2nA,single_upstream,amp_2p5k_q95,47,315,14.530627259430101,117.8313404276235,0.7333333333333333,0.0,0.1043635317296196
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,49,311,27.35446887335431,129.4020947859002,0.9646302250803859,1.0,0.7461055989382099
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,54,306,25.60638879338883,131.00482202238518,0.9836601307189542,1.0,0.8391030654056845
prompt_clean,high_20nA,single_upstream,amp_1k_1p5k,51,304,-37.23144096053542,63.58307166652327,0.0,0.009868421052631578,0.0017900514563486962
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,48,295,33.00799965928573,133.35854456328306,1.0,1.0,0.6141554851612024
prompt_clean,low_2nA,single_upstream,amp_1k_1p5k,47,292,-22.86669981265639,80.434013355537,0.0,0.0,0.0002681507638111115
prompt_clean,high_20nA,three_or_more_staves,amp_2p5k_q95,50,290,-29.294274100872606,73.81068641522569,0.0,0.7275862068965517,0.006370168112499845
prompt_clean,high_20nA,three_or_more_staves,amp_2p5k_q95,57,280,-28.04733892723484,73.1744479631745,0.0,0.675,0.006688195749443646
prompt_clean,high_20nA,two_staves,amp_2p5k_q95,50,271,-39.82452479502596,62.383682995447174,0.0,0.7822878228782287,0.007604189982338488
